#Dataset: MPI-M-MPI-ESM-LR_r1i1p1_OURANOS-CRCM5_v1
#Variable: pr
#Area: sea
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2021-01-26
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","NWN","NEN","WNA","CNA","ENA","NCA","CAR","full_domain"
"1970-01",55.347,40.803,185.652,84.043,164.577,27.93,122.105,113.99
"1970-02",56.904,31.372,153.956,126.721,160.103,63.467,68.581,92.487
"1970-03",53.988,33.209,160.934,173.191,119.625,66.497,62.032,102.871
"1970-04",60.901,30.975,115.683,62.021,130.048,35.009,128.624,85.221
"1970-05",62.645,29.658,63.056,14.003,155.526,47.31,224.666,97.441
"1970-06",73.595,45.171,28.333,55.387,131.393,55.323,98.948,76.983
"1970-07",73.5,44.62,28.351,89.416,166.777,167.392,91.127,113.808
"1970-08",78.991,45.983,15.842,88.391,139.189,232.171,124.498,130.284
"1970-09",113.812,64.874,47.806,369.966,203.037,291.187,133.578,142.359
"1970-10",87.003,67.421,87.374,31.008,193.391,89.076,254.679,138.778
"1970-11",73.692,38.772,240.509,43.033,134.853,99.443,119.886,127.046
"1970-12",62.309,49.207,256.708,44.707,136.131,64.371,149.29,119.205
"1971-01",79.212,39.356,126.115,73.416,146.462,121.692,134.94,139.209
"1971-02",64.792,32.942,85.524,145.627,129.905,56.016,93.08,105.998
"1971-03",39.715,40.69,170.679,145.357,173.321,49.284,116.645,92.912
"1971-04",59.699,37.939,112.163,120.83,108.636,31.213,91.562,78.671
"1971-05",70.436,32.745,47.319,41.146,99.374,18.821,63.499,77.227
"1971-06",65.168,40.757,8.557,61.765,124.207,93.995,95.393,84.219
"1971-07",87.068,41.994,44.685,22.567,157.196,118.542,64.306,111.67
"1971-08",85.746,78.547,16.14,53.528,154.581,159.776,67.114,113.498
"1971-09",82.61,55.249,85.935,460.748,197.192,284.888,139.11,152.72
"1971-10",99.999,64.956,111.427,166.37,174.271,292.093,166.934,159.683
"1971-11",93.942,51.381,159.029,76.715,156.817,97.486,221.168,134.664
"1971-12",83.875,37.438,263.483,62.743,124.172,83.053,174.648,134.337
"1972-01",60.98,45.912,160.487,129.285,185.139,49.711,136.185,115.38
"1972-02",86.451,31.499,62.277,88.163,130.365,193.353,84.927,130.91
"1972-03",63.471,27.464,79.654,129.695,201.041,67.382,98.329,98.091
"1972-04",60.751,31.968,83.521,131.128,113.035,36.872,40.367,80.39
"1972-05",58.381,38.854,48.949,207.157,147.001,36.577,108.699,77.361
"1972-06",52.611,38.447,21.979,54.824,155.35,78.248,80.708,85.106
"1972-07",86.957,50.952,45.489,104.981,161.913,63.615,57.664,105.501
"1972-08",82.355,75.583,35.378,160.051,171.965,253.584,92.783,144.849
"1972-09",92.074,56.635,30.571,144,226.719,281.993,167.258,149.243
"1972-10",95.164,51.839,146.287,126.849,158.968,127.736,152.368,136.825
"1972-11",102.919,56.794,130.71,120.117,166.091,142.066,143.959,127.416
"1972-12",82.102,53.654,159.444,113.671,165.914,119.274,106.623,125.115
