#Dataset: CNRM-CERFACS-CNRM-CM5_r1i1p1_OURANOS-CRCM5_v1
#Variable: tas
#Area: landsea
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2021-01-26
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","NWN","NEN","WNA","CNA","ENA","NCA","CAR","full_domain"
"2006-01",-18.48,-20.76,1.775,-0.861,0.541,13.65,22.187,-2.094
"2006-02",-14.258,-22.509,0.703,-3.971,0.392,14.009,22.082,-1.309
"2006-03",-12.269,-17.732,4.396,5.941,1.987,16.716,22.478,-0.327
"2006-04",-3.166,-7.624,5.977,8.482,6.687,18.146,23.525,3.89
"2006-05",2.32,-1.002,10.119,15.296,10.851,21.175,24.889,7.973
"2006-06",9.11,6.441,14.658,20.326,15.151,22.894,25.6,12.321
"2006-07",12.722,12.378,18.295,24.731,19.728,23.881,26.566,15.631
"2006-08",11.854,11.715,17.206,22.334,19.79,23.948,26.883,15.583
"2006-09",5.926,6.046,13.79,18.333,16.965,22.87,26.782,12.935
"2006-10",1.047,0.596,9.497,10.056,11.987,21.214,25.922,9.073
"2006-11",-9.136,-5.557,1.459,3.327,7.701,16.728,24.708,4.079
"2006-12",-17.814,-14.081,-0.707,-2.218,2.253,14.498,23.031,-0.54
"2007-01",-17.154,-21.328,-0.318,-3.021,1.017,13.547,22.249,-2.26
"2007-02",-18.068,-22.655,0.205,0.609,1.74,14.39,22.551,-2.034
"2007-03",-14.794,-21.517,0.563,3.263,2.383,15.942,22.498,-1.32
"2007-04",-4.931,-9.594,5.687,8.863,5.429,18.408,23.374,3.418
"2007-05",-0.005,-4.044,9.944,14.585,10.411,20.563,23.914,6.932
"2007-06",7.358,3.436,15.575,20.642,15.205,22.695,25.397,11.579
"2007-07",11.225,8.405,18.148,21.926,18.849,23.96,26.003,14.679
"2007-08",12.486,9.85,18.666,22.096,19.674,24.499,26.984,15.941
"2007-09",6.394,5.419,15.231,17.074,17.035,22.381,26.614,12.856
"2007-10",1.366,-1.904,9.521,9.959,11.542,20.118,25.638,8.971
"2007-11",-3.843,-9.015,5.431,4.011,6.003,16.955,24.198,5.032
"2007-12",-12.538,-16.673,-0.565,-2.941,1.763,13.021,23.354,0.126
"2008-01",-12.685,-25.938,1.138,-1.652,-0.579,13.11,22.466,-1.208
"2008-02",-16.793,-21.679,1.204,2.426,2.07,14.015,22.339,-1.77
"2008-03",-15.442,-18.047,2.168,2.43,3.458,15.755,23.238,-0.9
"2008-04",-3.1,-10.351,7.091,11.999,7.881,18.014,23.637,4.391
"2008-05",2.017,-3.307,9.218,16.669,10.859,20.588,24.201,7.612
"2008-06",9.528,3.178,15.906,20.742,15.463,22.629,25.211,12.095
"2008-07",14.329,9.315,18.989,22.31,18.519,23.931,26.157,15.355
"2008-08",12.7,10.146,18.251,22.268,19.358,23.824,26.498,15.797
"2008-09",7.012,6.253,15.165,18.237,17.788,22.488,26.365,13.201
"2008-10",-0.39,-0.756,9.49,10.682,11.529,20.396,25.505,8.707
"2008-11",-9.234,-5.047,0.637,4.87,8.939,15.959,24.304,4.104
"2008-12",-10.57,-13.894,-0.706,-0.483,3.606,14.233,23.015,1.534
"2009-01",-12.666,-19.025,-1.045,-5.091,-0.586,13.772,22.289,-0.359
"2009-02",-20.826,-23.497,-0.771,-0.233,0.808,14.388,22.432,-3.318
"2009-03",-11.495,-16.906,1.892,3.441,3.441,14.795,22.385,-0.188
"2009-04",-2.744,-10.641,5.957,7.936,6.532,17.905,23.793,3.928
"2009-05",2.154,-2.104,9.54,14.804,10.015,20.042,24.77,7.743
"2009-06",9.301,4,13.488,19.598,15.554,22.487,25.547,11.962
"2009-07",12.816,10.109,18.547,22.506,18.976,24.587,26.541,15.208
"2009-08",13.241,11.118,17.6,21.998,20.5,24.097,26.813,16.145
"2009-09",7.209,6.926,14.595,17.258,17.293,22.848,26.61,13.104
"2009-10",0.297,-0.629,11.651,12.259,11.546,21.093,25.822,8.871
"2009-11",-8.491,-5.743,3.576,6.566,7.987,17.299,24.333,4.294
"2009-12",-18.161,-13.077,1.151,-1.961,3.097,13.827,22.551,-0.634
"2010-01",-13.869,-16.451,-1.779,-6.922,-0.139,13.034,22.003,-0.63
"2010-02",-16.019,-20.573,-0.053,-0.101,1.424,14.433,22.474,-1.735
"2010-03",-11.281,-17.345,2.16,0.454,1.432,15,22.807,0.152
"2010-04",-5.11,-7.322,6.434,9.803,7.455,17.781,23.475,3.576
"2010-05",2.342,-2.676,10.915,14.189,10.024,19.914,24.253,7.6
"2010-06",9.358,3.951,15.358,18.805,14.997,22.931,25.439,12.124
"2010-07",13.983,10.91,19.998,22.339,18.846,24.284,26.558,15.989
"2010-08",12.978,10.85,19.064,23.109,20.398,24.87,26.844,16.601
"2010-09",7.341,6.051,15.484,18.978,16.921,23.903,26.641,13.478
"2010-10",-0.401,1.269,10.757,15.136,13.549,21.87,25.902,9.408
"2010-11",-7.057,-5.608,2.763,3.86,6.964,17.07,24.562,4.823
"2010-12",-15.768,-14.385,-1.863,-4.033,2.738,14.769,22.909,-0.14
"2011-01",-14.65,-20.979,-0.642,-5.451,-0.844,13.005,22.14,-1.176
"2011-02",-13.258,-20.894,-0.239,-1.799,0.318,14.256,22.073,-0.559
"2011-03",-10.18,-18.488,3.056,3.214,4.486,16.131,22.059,0.684
"2011-04",-3.422,-10.508,4.925,9.375,8.044,18.115,23.652,4.401
"2011-05",1.416,-3.221,10.437,17.549,10.993,20.944,24.202,7.814
"2011-06",8.229,3.713,15.704,19.033,14.108,23.36,25.632,11.887
"2011-07",13.046,9.686,19.255,23.952,18.91,24.499,26.151,15.47
"2011-08",12.342,9.748,18.309,22.979,19.889,24.822,26.819,15.949
"2011-09",7.236,6.502,15.186,19.511,16.699,24.141,26.91,13.415
"2011-10",0.776,-1.267,9.037,9.818,11.067,20.545,26.146,9.183
"2011-11",-8.46,-5.457,0.905,0.998,6.607,16.028,25.107,4.097
"2011-12",-13.483,-13.535,0.051,-4.888,0.388,12.94,23.543,0.423
"2012-01",-15.634,-19.569,0.384,-3.374,0.724,12.659,22.524,-1.484
"2012-02",-16.731,-20.534,-0.842,-0.182,2.561,13.428,22.929,-2.111
"2012-03",-13.57,-15.505,1.931,4.028,3.788,15.217,23.001,-0.469
"2012-04",-5.72,-9.43,5.603,10.916,7.476,17.5,23.421,3.731
"2012-05",2.139,-1.907,10.642,17.507,11.421,20.984,24.04,7.709
"2012-06",8.642,3.742,14.476,20.765,15.288,23.019,25.365,11.773
"2012-07",14.21,10.126,19.231,22.183,19.285,24.602,26.115,15.587
"2012-08",11.661,10.541,19.129,22.51,20.94,24.945,26.54,15.992
"2012-09",7.076,5.25,14.594,16.877,17.222,23.55,26.563,13.436
"2012-10",0.458,-1.839,9.83,9.87,11.528,20.608,25.918,8.885
"2012-11",-5.841,-8.158,5.304,5.649,6.909,16.61,24.107,4.91
"2012-12",-12.83,-10.862,1.198,1.187,4.506,14.684,23.222,1.13
"2013-01",-18.4,-22.517,-4.712,-4.86,1.587,14.364,22.922,-2.28
"2013-02",-20.76,-22.583,-1.969,-1.579,2.023,13.289,22.902,-3.497
"2013-03",-16.04,-18.83,2.079,4.886,2.665,15.539,23.039,-1.223
"2013-04",-4.683,-11.008,5.742,9.458,6.991,17.643,23.393,3.449
"2013-05",-0.002,-4.854,9.4,13.626,10.518,20.375,24.402,7.165
"2013-06",7.54,2.734,15.152,19.342,14.603,23.127,25.43,11.534
"2013-07",11.133,9.045,18.739,23.684,19.331,24.535,26.191,14.806
"2013-08",11.339,10.514,17.779,22.039,18.428,24.08,26.869,15.368
"2013-09",6.788,5.698,15.779,18.417,17.307,23.2,26.839,13.039
"2013-10",0.411,-0.362,10.481,10.348,10.743,19.998,25.8,8.785
"2013-11",-6.429,-8.045,5.581,5.418,5.659,17.673,24.672,4.646
"2013-12",-15.149,-15.029,1.818,-0.019,2.645,14.791,23.262,0.279
"2014-01",-15.543,-19.153,1.343,1.245,2.382,14.063,22.37,-1.389
"2014-02",-16.162,-21.254,1.497,3.044,1.017,14.529,22.263,-2.159
"2014-03",-15.001,-19.513,4.278,6.148,3.535,16.354,22.671,-0.792
"2014-04",-5.993,-9.737,5.611,11.848,7.597,18.201,23.436,3.288
"2014-05",2,-1.823,9.174,14.009,11.17,20.908,24.969,7.573
"2014-06",9.442,5.062,13.895,18.877,14.029,22.866,25.874,11.92
"2014-07",14.071,10.52,17.996,22.61,18.44,24.293,26.456,15.4
"2014-08",11.635,12.33,18.707,21.641,19.836,24.259,27.063,15.749
"2014-09",5.861,7.883,15.472,17.299,17.743,23.405,26.982,13.197
"2014-10",-2.208,0.042,9.704,10.847,12.659,20.714,25.998,8.594
"2014-11",-8.33,-6,2.792,1.666,6.503,16.635,24.53,4.176
