#Dataset: MOHC-HadGEM2-ES_r1i1p1_GERICS-REMO2015_v1
#Variable: tas
#Area: landsea
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2021-01-19
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","NWN","NEN","WNA","CNA","ENA","full_domain"
"2006-01",-19.625,-29.706,1.248,2.091,1.021,-3.018
"2006-02",-17.441,-30.214,0.96,0.181,-1.813,-2.684
"2006-03",-14.619,-19.898,3.799,10.441,2.956,-0.477
"2006-04",-6.167,-10.269,8.263,13.457,6.521,3.996
"2006-05",2.922,0.518,11.421,16.143,11.517,8.882
"2006-06",8.897,6.481,16.215,22.758,16.097,12.929
"2006-07",10.705,8.208,18.779,24.88,18.692,14.939
"2006-08",9.867,7.255,18.904,23.858,19.322,15.203
"2006-09",6.068,3.381,15.744,18.356,16.757,13.009
"2006-10",-3.263,-4.672,9.325,13.976,13.614,8.795
"2006-11",-9.242,-12.776,4.562,4.889,6.619,4.357
"2006-12",-12.224,-15.474,1.164,-1.211,3.066,1.401
"2007-01",-15.945,-24.268,-1.106,-4.934,-0.142,-1.408
"2007-02",-12.469,-21.484,3.014,0.759,2.171,-0.428
"2007-03",-9.631,-15.02,4.322,8.622,4.843,1.486
"2007-04",-4.477,-8.158,7.85,13.785,10.034,5.115
"2007-05",3.933,1.674,12.73,16.784,12.975,9.34
"2007-06",10.711,7.352,16.948,22.205,16.875,13.596
"2007-07",11.525,8.825,20.495,25.146,19.912,15.429
"2007-08",9.383,8.178,19.377,23.196,19.482,15.173
"2007-09",5.868,3.017,16.082,20.944,17.341,13.163
"2007-10",-2.515,-2.717,11.309,12.638,12.721,9.145
"2007-11",-7.104,-10.932,6.061,6.45,8.879,5.391
"2007-12",-10.165,-23.514,0.033,-2.534,2.725,1.46
"2008-01",-15.95,-29.946,-1.069,-2.312,0.224,-1.993
"2008-02",-16.132,-28.826,2.927,1.637,-2.181,-1.691
"2008-03",-12.398,-19.734,6.37,7.995,1.999,0.252
"2008-04",-5.372,-5.302,11.15,14.142,8.55,4.983
"2008-05",3.534,2.797,12.343,17.896,12.444,9.924
"2008-06",9.878,7.748,16.799,20.844,16.761,13.543
"2008-07",11.885,8.57,19.054,24.694,19.634,15.639
"2008-08",11.208,6.571,18.835,23.827,19.038,15.651
"2008-09",5.704,4.326,15.566,20.24,17.561,13.385
"2008-10",-1.886,-0.579,11.441,14.223,13.743,9.622
"2008-11",-5.303,-11.344,4.389,5.355,8.425,5.406
"2008-12",-9.534,-16.149,2.33,1.438,5.683,2.113
"2009-01",-16.059,-22.983,-0.061,-2.955,0.987,-1.509
"2009-02",-14.518,-20.806,2.649,1.323,0.024,-0.961
"2009-03",-11.437,-20.914,5.826,9.072,4.542,0.681
"2009-04",-3.176,-5.821,7.728,10.666,8.48,5.204
"2009-05",4.866,1.266,12.49,17.661,13.168,9.484
"2009-06",10.956,6.917,16.976,20.681,16.677,13.654
"2009-07",12.514,8.486,19.448,25.248,19.342,15.668
"2009-08",9.948,8.454,19.543,23.621,20.43,15.537
"2009-09",6.955,3.371,16.082,20.779,17.711,13.596
"2009-10",-0.585,-3.846,11.677,15.93,14.561,9.463
"2009-11",-7.284,-9.831,6.334,8.906,9.951,5.302
"2009-12",-13.474,-18.312,2.153,2.355,5.022,0.758
"2010-01",-14.065,-22.415,0.678,1.576,2.765,-0.3
