#Dataset: CCCma-CanESM2_r1i1p1_CCCma-CanRCM4_r2
#Variable: tas
#Area: sea
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2021-01-26
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","NWN","NEN","WNA","CNA","ENA","NCA","CAR","full_domain"
"2006-01",-10.482,-18.918,10.164,19.919,13.913,19.839,25.364,7.129
"2006-02",-8.777,-20.115,10.493,18.914,12.761,19.519,24.675,6.824
"2006-03",-9.755,-18.176,10.271,19.105,12.712,19.333,24.679,6.696
"2006-04",-3.273,-9.409,10.923,20.72,14.462,20.252,25.615,9.034
"2006-05",1.689,-1.919,11.946,23.822,17.568,21.573,26.709,11.373
"2006-06",5.031,0.928,13.974,26.702,20.175,23.38,27.648,13.525
"2006-07",8.218,4.946,16.491,28.138,23.514,25.4,28.283,15.961
"2006-08",9.133,7.806,17.349,28.576,24.511,26.184,28.526,17.229
"2006-09",7.793,6.271,16.373,28.205,22.918,25.846,28.341,16.763
"2006-10",4.518,3.098,14.654,26.665,20.669,25.053,27.957,14.754
"2006-11",0.58,-1.497,12.67,24.421,17.777,23.339,27.196,12.315
"2006-12",-6.36,-8.107,10.73,21.855,15.748,21.308,26.326,9.602
"2007-01",-12.16,-16.747,9.757,20.7,14.257,20.511,25.255,6.91
"2007-02",-14.599,-21.39,9.186,19.774,13.977,19.966,24.694,5.788
"2007-03",-11.389,-15.151,8.935,20.954,13.963,20.244,25.078,6.755
"2007-04",-4.992,-8.341,9.047,22.534,15.545,20.842,25.572,8.823
"2007-05",1.428,-1.251,10.766,24.924,18.171,21.958,26.592,11.402
"2007-06",3.694,1.911,13.392,27.149,21.092,23.638,27.468,13.425
"2007-07",6.397,5.878,15.4,28.293,23.487,24.919,28.178,15.716
"2007-08",7.844,7.066,16.588,28.737,24.181,25.971,28.593,16.913
"2007-09",6.163,5.726,16.068,28.613,23.067,25.86,28.488,16.212
"2007-10",2.879,1.679,13.562,27.649,20.709,24.985,28.011,14.142
"2007-11",-2.648,-2.8,10.903,24.99,18.184,23.107,27.044,11.734
"2007-12",-8.409,-10.422,10.2,21.451,15.202,21.047,25.85,9.234
"2008-01",-8.52,-14.285,10.292,20.136,13.224,20.142,24.753,7.758
"2008-02",-11.513,-21.064,9.388,20.2,13.447,19.847,24.715,6.024
"2008-03",-10.779,-17.286,9.134,20.8,13.473,19.958,24.765,6.532
"2008-04",-7.483,-10.986,9.667,22.259,14.857,20.915,25.14,8.135
"2008-05",-0.923,-2.423,11.117,24.341,17.606,21.886,26.24,11.087
"2008-06",3.963,1.34,13.009,26.583,20.655,23.526,27.216,13.382
"2008-07",6.861,4.383,15.533,27.876,23.459,25.231,27.872,15.825
"2008-08",8.857,6.95,16.89,28.644,24.038,26.166,28.151,17.174
"2008-09",6.538,5.467,16.444,28.239,23.3,26.037,28.24,16.373
"2008-10",3.036,2.808,14.096,25.92,21.569,25.132,27.846,14.471
"2008-11",-0.595,-2.163,12.524,23.458,18.098,23.326,27.053,12.23
"2008-12",-6.041,-8.515,10.289,21.094,15.718,21.242,26.239,9.773
"2009-01",-10.974,-16.572,9.042,20.125,13.558,20.368,25.128,7.408
"2009-02",-9.627,-17.02,9.597,20.62,13.229,20.42,24.957,7.269
