#Dataset: MPI-M-MPI-ESM-MR_r1i1p1_UQAM-CRCM5_v1
#Variable: tas
#Area: sea
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2021-01-19
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","NWN","NEN","WNA","CNA","ENA","full_domain"
"2006-01",-10.014,-16.531,8.59,16.15,9.017,6.286
"2006-02",-10.774,-20.199,7.843,18.156,10.021,5.558
"2006-03",-9.971,-16.047,8.996,18.459,10.63,6.329
"2006-04",-5.932,-9.873,9.071,21.049,13.286,7.983
"2006-05",-1.46,-4.133,11.443,23.522,15.436,10.592
"2006-06",3.72,0.532,14.401,26.345,18.173,13.19
"2006-07",5.238,3.997,15.475,28.619,21.29,15.114
"2006-08",6.126,5.932,15.805,29.057,22.257,16.036
"2006-09",4.343,4.545,16.211,28.098,21.732,15.472
"2006-10",-0.136,-0.089,14.32,24.561,18.734,12.997
"2006-11",-6.442,-5.949,12.796,21.275,15.008,10.046
"2006-12",-9.494,-12.964,10.393,18.396,11.133,7.749
"2007-01",-12.248,-17.307,10.005,16.619,10.447,6.199
"2007-02",-12.79,-18.664,9.388,18.366,9.713,5.554
"2007-03",-12.903,-18.077,9.899,18.28,10.529,5.259
"2007-04",-6.589,-9.318,9.692,21.615,13.314,7.936
"2007-05",-0.879,-3.472,11.426,25.026,15.923,10.732
"2007-06",3.046,0.878,12.938,28.116,19.105,13.157
"2007-07",6.222,4.081,15.625,29.257,21.51,15.208
"2007-08",6.741,5.436,16.825,29.57,21.98,15.852
"2007-09",4.737,4.087,15.529,28.113,21.17,15.185
"2007-10",0.38,-0.058,13.229,26.978,18.462,13.038
"2007-11",-3.75,-6.148,10.968,23.668,15.147,10.678
"2007-12",-10.584,-11.021,8.885,20.56,12.331,7.953
"2008-01",-13.144,-17.734,7.572,18.882,9.852,5.838
"2008-02",-16.175,-21.848,7.171,20.661,9.302,4.25
"2008-03",-13.463,-15.998,7.162,21.515,11.962,5.765
"2008-04",-7.1,-10.03,8.838,22.652,12.65,8.171
"2008-05",-1.129,-3.129,10.398,25.211,15.449,10.652
"2008-06",3.249,0.907,12.717,27.429,18.008,13.12
"2008-07",5.408,4.379,13.785,28.813,20.763,14.992
"2008-08",5.188,5.959,15.139,29.622,22.06,15.648
"2008-09",3.452,4.861,15.183,28.018,21.421,14.965
"2008-10",0.317,1.158,13.538,25.391,18.498,13.024
"2008-11",-4.385,-3.014,11.866,21.791,14.675,10.52
"2008-12",-7.311,-7.755,10.049,18.953,12.057,8.572
"2009-01",-11.341,-13.741,8.468,18.798,10.585,6.33
"2009-02",-13.559,-20.984,8.272,18.329,10.412,5.138
"2009-03",-10.334,-16.805,9.235,19.05,9.9,6.115
"2009-04",-7.256,-11.103,9.719,21.446,12.658,7.946
"2009-05",-0.367,-2.974,11.475,23.002,15.281,10.791
"2009-06",3.539,0.946,13.414,26.33,18.913,13.294
"2009-07",5.526,4.555,15.323,27.633,21.545,14.992
"2009-08",6.903,6.664,16.04,28.922,22.612,16.167
"2009-09",5.971,6.307,15.367,28.296,21.407,15.502
"2009-10",2.585,2.572,13.832,25.102,18.046,13.253
"2009-11",-1.6,-1.854,12.73,20.966,14.563,11.127
"2009-12",-8.731,-8.613,10.37,18.577,11.49,8.25
"2010-01",-15.004,-14.837,9.939,18.137,10.812,5.401
"2010-02",-14.87,-16.504,8.783,19.684,10.481,5.199
"2010-03",-13.491,-14.321,8.196,20.638,11.639,5.943
"2010-04",-7.21,-8.877,9.738,22.62,14.129,8.245
"2010-05",-0.851,-2.138,12.008,24.773,15.883,10.776
"2010-06",2.185,1.028,13.671,27.029,18.966,12.98
"2010-07",4.169,4.635,15.499,29.181,21.872,14.9
"2010-08",6.027,6.471,15.567,29.348,22.405,15.838
"2010-09",4.482,5.673,15.095,28.424,21.316,15.172
"2010-10",1.751,2.553,14.176,25.613,18.496,13.477
"2010-11",-3.907,-1.789,11.582,22.981,15.115,11.039
"2010-12",-10.656,-9.669,9.824,21.077,11.934,8.304
"2011-01",-14.623,-13.917,8.617,19.455,10.765,6.051
"2011-02",-14.249,-18.613,6.98,20.325,10.393,5.493
"2011-03",-10.504,-18.382,7.155,20.713,11.087,6.162
"2011-04",-5.34,-8.216,9.629,21.008,12.646,8.506
"2011-05",-0.115,-2.588,12.506,23.534,15.765,10.986
"2011-06",3.223,0.717,14.281,26.552,19.231,13.377
"2011-07",5.276,3.907,16.593,28.984,21.698,15.319
"2011-08",5.123,6.275,17.381,29.287,22.731,16.11
"2011-09",3.382,4.525,16.102,27.765,21.728,15.378
"2011-10",0.921,-0.148,13.918,27.013,18.939,13.435
"2011-11",-4.455,-4.812,12.373,23.87,15.417,10.823
"2011-12",-9.127,-11.799,10.591,20.31,11.543,7.992
