#Dataset: MOHC-HadGEM2-ES_r1i1p1_ICTP-RegCM4-7_v0
#Variable: pr
#Area: sea
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2021-01-27
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","SCA","NWS","NSA","NES","SAM","SWS","SES","SSA","full_domain"
"1970-01",33.617,12.981,3.649,295.387,NA,9.353,36.731,40.298,35.216
"1970-02",9.263,1.32,5.936,145.879,NA,4.903,58.499,32.446,37.231
"1970-03",9.807,11.321,3.251,118.755,NA,5.674,36.381,37.43,40.801
"1970-04",42.944,15.526,2.906,169.207,NA,30.041,37.215,44.904,46.693
"1970-05",140.781,10.232,1.02,191.041,NA,30.754,38.988,30.556,46.36
"1970-06",166.789,14.464,8.07,517.207,NA,15.488,31.649,38.665,51.514
"1970-07",167.024,60.909,22.715,78.812,NA,28.366,19.838,34.735,42.751
"1970-08",123.95,67.341,22.887,5.513,NA,13.719,27.102,42.113,33.766
"1970-09",161.199,78.042,71.322,1.162,NA,19.217,25.278,32.422,49.374
"1970-10",167.818,102.849,38.362,4.737,NA,11.951,38.543,27.773,39.779
"1970-11",148.369,131.324,40.636,14.65,NA,10.94,38.709,24.515,43.699
"1970-12",128.544,114.81,5.284,137.587,NA,9.728,38.158,26.865,44.68
"1971-01",53.789,38.108,1.461,453.949,NA,9.115,35.561,39.818,39.27
"1971-02",20.069,10.949,2.171,169.497,NA,11.483,70.348,33.146,32.868
"1971-03",24.724,4.92,1.693,103.77,NA,13.709,52.197,48.839,42.096
"1971-04",59.291,11.1,1.008,63.81,NA,15.897,52.522,50.671,41.148
"1971-05",188.346,26.729,1.455,176.253,NA,8.729,15.366,41.297,44.206
"1971-06",354.069,47.96,16.548,195.077,NA,30.395,25.731,33.171,53.443
"1971-07",296.03,85.568,41.119,6.804,NA,40.256,44.207,47.088,45.781
"1971-08",233.158,103.188,44.187,1.388,NA,21.579,24.211,42.723,43.589
"1971-09",264.632,109.143,102.8,4.635,NA,18.271,45.73,32.282,54.585
"1971-10",248.941,129.231,36.195,1.028,NA,13.253,28.075,27.152,45.52
"1971-11",241.406,117.333,53.435,7.926,NA,9.38,41.957,33.045,50.532
"1971-12",136.856,65.773,45.063,68.946,NA,7.003,48.126,31.913,45.181
"1972-01",60.013,28.007,55.019,158.836,NA,8.542,41.953,44.533,39.906
"1972-02",16.27,4.833,5.945,146.361,NA,12.972,48.031,41.761,36.604
"1972-03",65.307,15.529,5.22,157.81,NA,23.525,44.279,58.619,46.047
"1972-04",84.521,7.647,2.257,374.691,NA,16.944,38.521,45.619,48.486
"1972-05",260.417,18.425,2.351,374.142,NA,26.129,42.814,46.653,50.811
"1972-06",384.818,58.506,19.738,256.053,NA,58.285,24.49,44.18,55.515
