#Dataset: IPSL-IPSL-CM5A-LR_r1i1p1_RU-CORE-RegCM4-3_v4
#Variable: meanpr
#Area: landsea
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2021-02-16
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","SEA","full_domain"
"1970-01",3.113,2.015
"1970-02",3.043,1.884
"1970-03",2.679,1.954
"1970-04",2.638,1.882
"1970-05",2.156,1.396
"1970-06",1.601,1.084
"1970-07",1.41,1.1
"1970-08",1.463,1.151
"1970-09",1.805,1.244
"1970-10",2.123,1.596
"1970-11",2.211,1.529
"1970-12",2.922,2.211
"1971-01",3.588,2.428
"1971-02",3.083,2.09
"1971-03",2.83,1.743
"1971-04",2.158,1.58
"1971-05",2.029,1.424
"1971-06",1.575,1.141
"1971-07",1.395,1.222
"1971-08",1.44,1.139
"1971-09",1.766,1.27
"1971-10",2.093,1.726
"1971-11",2.704,2.254
"1971-12",2.671,1.854
"1972-01",3.16,2.405
"1972-02",2.718,2.429
"1972-03",3.194,2.504
"1972-04",2.231,1.556
"1972-05",2.029,1.404
"1972-06",1.601,1.199
"1972-07",1.593,1.177
"1972-08",1.626,1.266
"1972-09",1.874,1.396
"1972-10",2.311,1.714
"1972-11",2.622,2.371
"1972-12",3.592,3.113
"1973-01",3.232,2.058
"1973-02",2.633,1.739
"1973-03",2.62,1.898
"1973-04",2.301,1.732
"1973-05",2.07,1.488
"1973-06",1.559,1.176
"1973-07",1.607,1.205
"1973-08",1.546,1.208
"1973-09",1.769,1.341
"1973-10",2.199,1.641
"1973-11",2.441,1.856
"1973-12",3.422,2.39
"1974-01",3.074,2.078
"1974-02",2.771,2.44
"1974-03",2.549,1.869
"1974-04",2.289,1.758
"1974-05",1.952,1.471
"1974-06",1.618,1.177
"1974-07",1.519,1.095
"1974-08",1.535,1.141
"1974-09",1.703,1.306
"1974-10",2.075,1.555
"1974-11",2.455,1.687
"1974-12",3.172,2.237
"1975-01",3.428,2.207
"1975-02",3.114,2.238
"1975-03",2.413,1.757
"1975-04",2.46,2.009
"1975-05",2.221,1.751
"1975-06",1.74,1.28
"1975-07",1.389,1.105
"1975-08",1.257,1.197
"1975-09",1.9,1.439
"1975-10",2.573,1.746
"1975-11",2.469,1.629
"1975-12",2.652,1.732
"1976-01",3.234,2.146
"1976-02",3.804,2.298
"1976-03",2.898,2.144
"1976-04",2.283,1.546
"1976-05",2.061,1.459
"1976-06",1.815,1.317
"1976-07",1.404,1.085
"1976-08",1.56,1.123
"1976-09",1.744,1.301
"1976-10",2.325,1.693
"1976-11",2.701,2.019
"1976-12",3.205,2.389
"1977-01",3.434,2.262
"1977-02",3.571,2.082
"1977-03",2.854,1.961
"1977-04",2.47,1.914
"1977-05",2.21,1.688
"1977-06",1.626,1.235
"1977-07",1.449,1.174
"1977-08",1.511,1.296
"1977-09",1.819,1.41
"1977-10",2.454,1.662
"1977-11",2.561,2.217
"1977-12",2.986,1.985
"1978-01",2.859,1.989
"1978-02",2.794,2.051
"1978-03",2.357,1.754
"1978-04",2.203,1.71
"1978-05",2.092,1.679
"1978-06",1.599,1.337
"1978-07",1.308,1.072
"1978-08",1.384,1.113
"1978-09",1.699,1.222
"1978-10",1.887,1.533
"1978-11",2.601,1.988
"1978-12",3.109,2.422
"1979-01",3.304,2.841
"1979-02",2.655,2.049
"1979-03",2.543,1.874
"1979-04",2.09,1.533
"1979-05",1.918,1.67
"1979-06",1.57,1.393
"1979-07",1.488,1.152
"1979-08",1.614,1.156
"1979-09",1.978,1.411
"1979-10",2.08,1.798
"1979-11",2.905,2.224
"1979-12",3.075,2.39
"1980-01",3.677,2.499
"1980-02",2.296,1.781
"1980-03",2.185,1.545
"1980-04",2.319,1.853
"1980-05",1.785,1.443
"1980-06",1.586,1.203
"1980-07",1.593,1.186
"1980-08",1.575,1.195
"1980-09",1.799,1.399
"1980-10",2.41,1.771
"1980-11",2.538,1.657
"1980-12",3.592,2.836
"1981-01",3.575,2.592
"1981-02",3.157,2.246
"1981-03",2.688,1.823
"1981-04",2.139,1.533
"1981-05",2.057,1.635
"1981-06",1.56,1.143
"1981-07",1.481,1.145
"1981-08",1.752,1.202
"1981-09",2.181,1.452
"1981-10",2.376,1.754
"1981-11",2.612,2.055
"1981-12",2.874,2.035
"1982-01",3.448,2.673
"1982-02",3.642,2.821
"1982-03",2.87,2.313
"1982-04",2.472,1.667
"1982-05",2.322,1.661
"1982-06",1.703,1.25
"1982-07",1.429,1.137
"1982-08",1.66,1.277
"1982-09",2.018,1.391
"1982-10",2.577,1.858
"1982-11",3.079,2.377
"1982-12",3.106,1.894
"1983-01",3.083,1.773
"1983-02",3.401,2.291
"1983-03",2.628,1.834
"1983-04",2.491,1.539
"1983-05",2.052,1.532
"1983-06",1.862,1.282
"1983-07",1.492,1.158
"1983-08",1.572,1.181
"1983-09",1.764,1.341
"1983-10",2.375,1.681
"1983-11",2.74,2.001
"1983-12",2.833,2.323
