#Dataset: MOHC-HadGEM2-ES_r1i1p1_GERICS-REMO2015_v1
#Variable: meanpr
#Area: landsea
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2021-02-16
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","SEA","full_domain"
"2006-01",14.854,9.97
"2006-02",13.908,8.95
"2006-03",10.338,7.184
"2006-04",11.89,7.796
"2006-05",14.624,11.144
"2006-06",12.181,10.814
"2006-07",11.765,12.249
"2006-08",6.557,9.442
"2006-09",8.508,9.824
"2006-10",8.956,6.674
"2006-11",9.196,7.272
"2006-12",10.609,7.495
"2007-01",13.861,8.622
"2007-02",10.872,6.896
"2007-03",11.831,7.158
"2007-04",13.477,9.483
"2007-05",15.197,11.135
"2007-06",14.453,11.641
"2007-07",10.821,10.512
"2007-08",10.65,11.51
"2007-09",10.734,10.311
"2007-10",9.269,8.212
"2007-11",8.625,7.303
"2007-12",10.269,7.285
"2008-01",13.273,8.658
"2008-02",12.92,8.594
"2008-03",11.736,7.629
"2008-04",12.128,9.205
"2008-05",15.045,12.057
"2008-06",13.88,10.441
"2008-07",11.094,11.899
"2008-08",7.876,9.654
"2008-09",8.567,10.142
"2008-10",8.299,7.584
"2008-11",6.771,5.225
"2008-12",10.361,7.402
"2009-01",12.747,7.254
"2009-02",9.159,5.962
"2009-03",13.532,8.769
"2009-04",10.68,6.584
"2009-05",12.541,9.661
"2009-06",11.945,10.891
"2009-07",7.431,10.548
"2009-08",8.022,9.291
"2009-09",9.572,10.544
"2009-10",9.839,7.694
"2009-11",7.091,6.067
"2009-12",11.337,8.177
"2010-01",11.801,7.357
"2010-02",11.291,7.212
"2010-03",9.747,6.07
"2010-04",13.612,8.454
"2010-05",12.827,10.384
"2010-06",10.635,10.977
"2010-07",11.128,11.351
"2010-08",10.399,11.165
"2010-09",9.727,10.07
"2010-10",9.286,7.888
"2010-11",8.137,6.671
"2010-12",9.234,6.906
"2011-01",12.832,8.853
"2011-02",12.548,7.726
"2011-03",10.403,7.54
"2011-04",11.823,8.516
"2011-05",12.876,10.072
"2011-06",15.298,11.977
"2011-07",14.493,12.034
"2011-08",11.059,12.304
"2011-09",12.853,11.938
"2011-10",12.155,10.2
"2011-11",11.587,9.04
"2011-12",12.73,10.142
"2012-01",15.765,10.75
"2012-02",13.087,8.219
"2012-03",12.265,8.454
"2012-04",12.17,9.683
"2012-05",15.189,12.575
"2012-06",12.986,10.984
"2012-07",12.322,12.903
"2012-08",7.806,10.676
"2012-09",10.915,10.782
"2012-10",9.029,8.467
"2012-11",10.198,7.807
"2012-12",14.279,8.934
"2013-01",13.031,8.355
"2013-02",12.477,8.914
"2013-03",12.22,8.748
"2013-04",12.781,9.08
"2013-05",12.509,9.253
"2013-06",12.903,11.486
"2013-07",11.387,13.332
"2013-08",11.893,11.916
"2013-09",10.384,11.367
"2013-10",9.511,8.361
"2013-11",10.102,7.796
"2013-12",10.45,8.144
"2014-01",13.472,8.455
"2014-02",13.538,8.457
"2014-03",11.237,7.139
"2014-04",16.181,9.777
"2014-05",12.483,9.156
"2014-06",15.991,12.492
"2014-07",9.994,12.146
"2014-08",9.915,10.389
"2014-09",9.093,9.073
"2014-10",8.097,7.661
"2014-11",9.203,6.99
"2014-12",10.824,8.298
"2015-01",14.609,9.186
"2015-02",12.842,7.855
"2015-03",11.07,7.056
"2015-04",11.182,7.125
"2015-05",14.45,10.991
"2015-06",10.422,8.979
"2015-07",11.173,12.152
"2015-08",10.164,10.326
"2015-09",11.815,11.126
"2015-10",9.834,8.97
"2015-11",7.444,6.78
"2015-12",10.48,7.811
"2016-01",14.146,9.191
"2016-02",14.534,9.314
"2016-03",12.376,7.579
"2016-04",13.695,9.569
"2016-05",13.083,11.057
"2016-06",12.364,12.678
"2016-07",10.344,12.042
"2016-08",8.118,9.803
"2016-09",9.642,10.799
"2016-10",8.442,7.856
"2016-11",6.1,4.597
"2016-12",8.769,6.798
"2017-01",12.395,8.057
"2017-02",11.313,7.15
"2017-03",10.369,6.768
"2017-04",11.306,8.087
"2017-05",15.966,11.555
"2017-06",15.057,12.717
"2017-07",12.53,12.167
"2017-08",9.714,10.68
"2017-09",9.752,10.364
"2017-10",9.95,9.165
"2017-11",9.06,6.89
"2017-12",8.802,7.452
"2018-01",12.335,8.081
"2018-02",10.695,7.082
"2018-03",11.827,7.779
"2018-04",11.021,8.149
"2018-05",14.915,11.283
"2018-06",14.888,12.637
"2018-07",13.313,12.854
"2018-08",9.33,11.315
"2018-09",9.898,10.633
"2018-10",9.018,7.138
"2018-11",10.72,8.219
"2018-12",12.393,9.459
"2019-01",13.136,8.3
"2019-02",11.423,7.808
"2019-03",12.626,8.247
"2019-04",13.131,8.557
"2019-05",11.514,9.393
"2019-06",12.156,11.945
"2019-07",11.149,12.842
"2019-08",10.677,12.936
"2019-09",10.913,11.515
"2019-10",10.671,9.517
"2019-11",8.562,6.793
"2019-12",10.831,8.397
"2020-01",15.476,11.239
"2020-02",12.909,9.22
"2020-03",10.224,6.422
"2020-04",10.733,7.433
"2020-05",14.926,11.446
"2020-06",12.367,11.454
"2020-07",9.899,10.853
"2020-08",8.456,9.665
"2020-09",9.36,9.095
"2020-10",7.818,7.862
"2020-11",8.698,6.859
"2020-12",8.64,6.324
"2021-01",11.122,7.205
"2021-02",12.178,7.497
"2021-03",11.281,7.507
"2021-04",8.889,6.443
"2021-05",13.485,10.368
"2021-06",16,13.733
"2021-07",9.656,9.766
"2021-08",10.05,12.361
"2021-09",10.317,10.906
"2021-10",10.864,8.72
"2021-11",9.845,7.293
"2021-12",10.834,8.728
"2022-01",14.793,10.152
"2022-02",13.382,8.744
"2022-03",11.771,8.145
"2022-04",13.259,9.387
"2022-05",14.089,10.778
"2022-06",12.148,12.812
"2022-07",11.938,14.279
"2022-08",8.691,11.277
"2022-09",7.835,8.903
"2022-10",7.879,7.345
"2022-11",8.271,6.104
"2022-12",8.19,6.515
"2023-01",9.519,6.576
"2023-02",12.455,7.599
"2023-03",6.988,4.459
"2023-04",13.403,7.99
"2023-05",12.208,10.086
"2023-06",13.387,11.655
"2023-07",12.154,10.766
"2023-08",8.878,10.172
"2023-09",8.663,9.412
"2023-10",8.85,7.424
"2023-11",9.251,7.815
"2023-12",6.927,5.652
"2024-01",12.791,8.675
"2024-02",10.937,8.056
"2024-03",12.886,8.138
"2024-04",12.442,8.092
"2024-05",12.894,10.362
"2024-06",11.203,12.465
"2024-07",11.272,11.161
"2024-08",10.673,12.826
"2024-09",10.926,10.433
"2024-10",9.639,8.836
"2024-11",10.797,8.975
"2024-12",11.742,8.898
"2025-01",15.288,10.707
"2025-02",13.402,7.661
"2025-03",12.504,8.15
"2025-04",13.384,9.553
"2025-05",12.18,11.254
"2025-06",8.248,8.498
"2025-07",10.071,11.796
"2025-08",8.983,9.611
"2025-09",9.17,10.098
"2025-10",8.306,6.623
"2025-11",8.422,6.901
"2025-12",12.157,8.7
"2026-01",15.202,9.373
"2026-02",12.419,8.1
"2026-03",12.647,8.943
"2026-04",12.939,8.735
"2026-05",12.621,9.145
"2026-06",15.683,12.468
"2026-07",11.065,12.457
"2026-08",9.417,11.224
"2026-09",10.418,10.643
"2026-10",8.113,7.956
"2026-11",10.106,8.077
"2026-12",8.757,6.355
"2027-01",11.894,8.542
"2027-02",11.465,7.669
"2027-03",10.968,6.758
"2027-04",12.897,8.735
"2027-05",14.234,11.006
"2027-06",12.572,12.366
"2027-07",10.625,12.863
"2027-08",9.767,11.311
"2027-09",10.006,10.781
"2027-10",9.888,9.376
"2027-11",8.946,7.922
"2027-12",11.221,7.737
"2028-01",11.406,8.989
"2028-02",11.345,8.226
"2028-03",12.445,8.775
"2028-04",13.796,9.295
"2028-05",14.792,10.867
"2028-06",13.296,11.532
"2028-07",11.935,11.727
"2028-08",11.196,11.015
"2028-09",11.459,10.79
"2028-10",11.908,10.011
"2028-11",10.787,8.15
"2028-12",13.5,9.751
"2029-01",15.225,9.52
"2029-02",13.922,9.042
"2029-03",12.923,7.87
"2029-04",13.912,9.829
"2029-05",13.913,10.86
"2029-06",14.185,12.003
"2029-07",11.941,12.815
"2029-08",7.716,10.974
"2029-09",9.318,10.87
"2029-10",7.431,7.522
"2029-11",6.092,5.123
"2029-12",7.582,5.793
"2030-01",13.188,9.408
"2030-02",12.267,7.245
"2030-03",10.786,7.665
"2030-04",11.582,7.574
"2030-05",15.23,10.528
"2030-06",14.041,11.751
"2030-07",12.192,11.884
"2030-08",11.787,13.18
"2030-09",13.029,11.55
"2030-10",13.461,11.263
"2030-11",9.021,7.942
"2030-12",12.399,9.018
"2031-01",14.357,9.288
"2031-02",12.345,7.212
"2031-03",12.561,7.543
"2031-04",10.962,7.261
"2031-05",15.553,11.879
"2031-06",13.536,11.272
"2031-07",12.157,11.805
"2031-08",8.763,12.052
"2031-09",9.437,10.748
"2031-10",9.396,9.039
"2031-11",8.027,6.821
"2031-12",8.615,7.037
"2032-01",13.763,8.948
"2032-02",13.277,9.069
"2032-03",10.727,7.429
"2032-04",11.381,8.476
"2032-05",14.294,10.43
"2032-06",14.668,12.528
"2032-07",10.381,10.999
"2032-08",8.162,10.029
"2032-09",8.12,8.902
"2032-10",8.317,6.813
"2032-11",8.421,6.46
"2032-12",12.297,8.596
"2033-01",14.916,8.962
"2033-02",10.108,6.017
"2033-03",11.967,7.608
"2033-04",12.731,8.421
"2033-05",13.025,8.974
"2033-06",12.267,10.495
"2033-07",13.166,11.359
"2033-08",10.91,10.74
"2033-09",10.019,10.831
"2033-10",10.621,9.051
"2033-11",10.994,8.407
"2033-12",11.044,8.533
"2034-01",15.124,9.809
"2034-02",14.003,8.75
"2034-03",9.832,6.593
"2034-04",11.885,8.39
"2034-05",13.857,10.512
"2034-06",13.092,11.317
"2034-07",9.466,12.747
"2034-08",8.916,9.689
"2034-09",7.874,8.355
"2034-10",8.312,7.935
"2034-11",10.661,8.874
"2034-12",11.486,8.889
"2035-01",15.526,10.589
"2035-02",13.873,8.956
"2035-03",10.921,7.259
"2035-04",12.408,8.643
"2035-05",15.143,12.14
"2035-06",13.899,12.645
"2035-07",12.563,12.988
"2035-08",10.45,12.039
"2035-09",7.633,8.94
"2035-10",10.61,9.168
"2035-11",11.475,9.419
"2035-12",10.297,7.444
"2036-01",14.281,9.382
"2036-02",11.021,7.141
"2036-03",13.249,7.661
"2036-04",14.191,8.525
"2036-05",13.862,10.819
"2036-06",13.769,13.099
"2036-07",10.31,12.24
"2036-08",7.34,10.748
"2036-09",9.453,9.656
"2036-10",7.241,7.246
"2036-11",8.641,6.616
"2036-12",11.095,7.973
"2037-01",13.795,9.31
"2037-02",13.948,8.309
"2037-03",13.381,8.962
"2037-04",10.637,8.049
"2037-05",13.496,10.845
"2037-06",14.732,13.442
"2037-07",12.103,11.65
"2037-08",10.48,10.78
"2037-09",8.466,9.625
"2037-10",8.429,8.096
"2037-11",9.951,8.355
"2037-12",16.161,10.63
"2038-01",16.824,11.694
"2038-02",11.505,7.952
"2038-03",14.149,8.817
"2038-04",13.03,8.389
"2038-05",15.312,9.842
"2038-06",14.32,12.398
"2038-07",8.928,12.825
"2038-08",7.254,11.209
"2038-09",7.229,8.703
"2038-10",9.221,8.033
"2038-11",7.945,6.376
"2038-12",8.192,6.43
"2039-01",10.676,7.062
"2039-02",8.792,5.822
"2039-03",10.114,7.104
"2039-04",11.138,7.706
"2039-05",12.666,9.739
"2039-06",13.974,11.967
"2039-07",10.927,13.239
"2039-08",8.459,10.6
"2039-09",11.853,11.118
"2039-10",12.219,9.641
"2039-11",10.86,8.592
"2039-12",13.646,10.614
"2040-01",16.66,10.994
"2040-02",17.106,10.561
"2040-03",10.73,7.313
"2040-04",12.237,8.643
"2040-05",15.259,11.055
"2040-06",10.881,10.587
"2040-07",11.445,12.597
"2040-08",9.162,11.599
"2040-09",8.202,9.579
"2040-10",10.108,8.667
"2040-11",10.141,7.829
"2040-12",12.658,9.935
"2041-01",14.107,8.725
"2041-02",13.562,8.263
"2041-03",13.358,8.637
"2041-04",11.606,7.828
"2041-05",13.446,10.902
"2041-06",13.878,14.097
"2041-07",9.712,13.213
"2041-08",12.166,12.096
"2041-09",10.925,10.004
"2041-10",11.054,8.702
"2041-11",10.942,8.391
"2041-12",11.817,9.157
"2042-01",14.797,9.435
"2042-02",11.852,7.845
"2042-03",9.616,6.757
"2042-04",13.591,9.061
"2042-05",14.225,9.905
"2042-06",14.053,11.082
"2042-07",11.313,10.921
"2042-08",10.431,12.036
"2042-09",12.83,11.274
"2042-10",11.098,10.451
"2042-11",12.087,10.243
"2042-12",13.91,9.618
"2043-01",14.287,8.74
"2043-02",13.126,8.388
"2043-03",14.351,8.721
"2043-04",13.447,8.974
"2043-05",14.991,11.578
"2043-06",11.183,9.7
"2043-07",11.4,11.019
"2043-08",8.063,9.449
"2043-09",6.993,8.416
"2043-10",7.933,6.727
"2043-11",7.954,6.902
"2043-12",8.372,6.558
"2044-01",11.796,8.696
"2044-02",15.071,8.144
"2044-03",11.325,7.083
"2044-04",11.366,7.568
"2044-05",13.763,10.451
"2044-06",13.905,12.116
