#Dataset: MPI-M-MPI-ESM-MR_r1i1p1_ICTP-RegCM4-7_v0
#Variable: meanpr
#Area: landsea
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2021-02-16
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","SEA","full_domain"
"1970-01",11.887,9.198
"1970-02",6.906,6.112
"1970-03",8.697,6.758
"1970-04",5.362,4.29
"1970-05",8.923,7.707
"1970-06",9.936,9.275
"1970-07",9.175,9.403
"1970-08",12.762,12.065
"1970-09",11.938,10.811
"1970-10",9.562,9.034
"1970-11",7.479,5.962
"1970-12",7.477,5.845
"1971-01",9.517,7.848
"1971-02",9.609,7.988
"1971-03",11.016,8.618
"1971-04",9.406,7.83
"1971-05",12.169,10.334
"1971-06",11.641,11.252
"1971-07",10.971,10.582
"1971-08",10.006,9.97
"1971-09",11.217,9.434
"1971-10",11.93,10.506
"1971-11",11.366,8.552
"1971-12",7.45,5.772
"1972-01",10.109,7.453
"1972-02",6.532,5.32
"1972-03",7.866,6.161
"1972-04",9.045,7.721
"1972-05",12.611,10.777
"1972-06",10.221,10.498
"1972-07",8.754,9.264
"1972-08",9.744,10.334
"1972-09",10.814,10.538
"1972-10",9.712,8.364
"1972-11",7.314,6.137
"1972-12",11.436,9.218
"1973-01",9.268,7.374
"1973-02",8.141,6.712
"1973-03",9.341,7.563
"1973-04",11.355,9.571
"1973-05",14.929,11.759
"1973-06",13.945,12.213
"1973-07",14.606,14.189
"1973-08",11.992,11.904
"1973-09",14.158,12.819
"1973-10",10.542,8.68
"1973-11",9.197,8.838
"1973-12",8.897,6.872
"1974-01",10.297,8.663
"1974-02",9.06,8.089
"1974-03",8.046,6.87
"1974-04",7.462,5.747
"1974-05",10.726,9.017
"1974-06",15.127,13.91
"1974-07",9.462,10.805
"1974-08",7.969,7.444
"1974-09",10.054,9.641
"1974-10",11.196,10.255
"1974-11",9.054,7.866
"1974-12",8.67,7.032
"1975-01",7.64,5.284
"1975-02",7.281,5.628
"1975-03",7.692,6.031
"1975-04",4.445,4.164
"1975-05",4.687,4.794
"1975-06",9.983,9.455
"1975-07",8.474,8.922
"1975-08",9.251,8.63
"1975-09",11.044,10.142
"1975-10",11.489,9.282
"1975-11",8.349,6.856
"1975-12",9.902,7.856
"1976-01",7.047,6.704
"1976-02",7.287,6.756
"1976-03",8.374,6.87
"1976-04",8.111,6.418
"1976-05",11.257,10.142
"1976-06",12.217,11.53
"1976-07",11.837,10.718
"1976-08",12.564,10.98
"1976-09",11.81,10.268
"1976-10",12.092,10.279
"1976-11",14.45,12.166
"1976-12",11.543,9.341
"1977-01",7.542,6.546
"1977-02",13.031,11.335
"1977-03",8.534,6.765
"1977-04",7.294,6.231
"1977-05",8.649,7.781
"1977-06",11.423,10.498
"1977-07",12.856,12.537
"1977-08",10.729,10.195
"1977-09",11.59,10.425
"1977-10",10.982,9.532
"1977-11",11.186,9.695
"1977-12",9.185,8.098
"1978-01",9.554,8.236
"1978-02",9.562,8.791
"1978-03",9.034,7.765
"1978-04",8.753,7.022
"1978-05",10.656,9.998
"1978-06",10.229,9.542
"1978-07",11.971,10.825
"1978-08",11.211,10.697
"1978-09",9.199,9.119
"1978-10",11.757,9.526
"1978-11",11.074,9.615
"1978-12",9.402,7.473
"1979-01",8.275,7.76
"1979-02",9.084,8.187
"1979-03",5.909,4.95
"1979-04",10.865,8.731
"1979-05",9.568,9.024
"1979-06",14.822,13.681
"1979-07",12.723,12.434
"1979-08",11.778,11.361
"1979-09",11.015,9.866
"1979-10",13.622,11.528
"1979-11",11.969,9.421
"1979-12",9.385,7.76
"1980-01",9.992,8.348
"1980-02",8.423,8.019
"1980-03",11.228,9.603
"1980-04",5.845,5.346
"1980-05",12.297,10.397
"1980-06",10.709,9.592
"1980-07",11.973,10.691
"1980-08",12.342,11.361
"1980-09",11.767,9.988
"1980-10",10.542,9.037
"1980-11",8.301,7.156
"1980-12",9.642,7.462
"1981-01",7.914,6.303
"1981-02",9.022,8.602
"1981-03",10.038,8.229
"1981-04",9.015,7.792
"1981-05",14.459,12.587
"1981-06",12.485,12.476
"1981-07",9.895,10.619
"1981-08",11.109,11.027
"1981-09",12.572,11.665
"1981-10",15.34,13.663
"1981-11",9.356,7.71
"1981-12",10.141,9.082
"1982-01",9.645,8.962
"1982-02",8.654,7.763
"1982-03",7.858,7.208
"1982-04",8.14,6.971
"1982-05",8.675,7.952
"1982-06",11.048,10.264
"1982-07",13.343,11.879
"1982-08",10.63,10.295
"1982-09",12.997,12.021
"1982-10",13.161,11.965
"1982-11",9.894,8.374
"1982-12",8.298,6.446
"1983-01",10.18,8.608
"1983-02",8.837,7.486
"1983-03",10.176,7.398
"1983-04",6.389,5.613
"1983-05",12.608,10.437
"1983-06",12.931,11.483
"1983-07",14.089,13.458
"1983-08",14.041,13.702
"1983-09",14.034,12.399
"1983-10",15.477,13.12
"1983-11",13.026,10.591
"1983-12",11.069,9.126
"1984-01",8.71,7.579
"1984-02",8.141,6.377
"1984-03",7.312,6.101
"1984-04",8.306,5.968
"1984-05",9.614,8.266
"1984-06",12.408,11.493
"1984-07",11.958,11.374
"1984-08",11.29,11.34
"1984-09",12.457,10.203
"1984-10",18.084,14.758
"1984-11",9.645,8.088
"1984-12",8.642,6.77
"1985-01",8.95,6.446
"1985-02",8.155,6.913
"1985-03",8.765,7.011
"1985-04",6.602,5.687
"1985-05",9.66,8.462
"1985-06",9.516,9.34
"1985-07",11.893,12.376
"1985-08",11.429,10.624
"1985-09",9.546,8.124
"1985-10",11.695,10.78
"1985-11",8.921,7.297
"1985-12",11.182,8.851
"1986-01",7.642,6.772
"1986-02",7.937,7.194
"1986-03",9.907,8.409
"1986-04",7.06,5.647
"1986-05",13.193,12.828
"1986-06",11.262,10.24
"1986-07",13.318,12.675
"1986-08",10.757,11.035
"1986-09",9.66,9.942
"1986-10",7.247,7.4
"1986-11",5.386,4.16
"1986-12",10.025,7.897
"1987-01",8.947,7.157
"1987-02",9.213,7.96
"1987-03",10.719,9.093
