#Dataset: MOHC-HadGEM2-ES_r1i1p1_GERICS-REMO2015_v1
#Variable: meanpr
#Area: sea
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2021-02-16
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","SEA","full_domain"
"2006-01",17.719,10.748
"2006-02",12.754,6.781
"2006-03",15.151,10.415
"2006-04",12.639,8.283
"2006-05",14.29,10.447
"2006-06",12.274,11.061
"2006-07",10.272,10.77
"2006-08",7.004,10.09
"2006-09",6.22,7.385
"2006-10",6.688,5.299
"2006-11",9.831,6.8
"2006-12",10.394,7.103
"2007-01",9.119,6.964
"2007-02",8.792,5.031
"2007-03",13.694,8.304
"2007-04",13.156,9.467
"2007-05",12.182,11.616
"2007-06",11.643,10.988
"2007-07",12.028,12.478
"2007-08",8.972,11.003
"2007-09",7.949,7.935
"2007-10",12.299,10.5
"2007-11",14.92,11.55
"2007-12",13.064,9.811
"2008-01",14.415,10.591
"2008-02",13.28,7.38
"2008-03",11.987,7.72
"2008-04",15.445,9.681
"2008-05",14.345,11.304
"2008-06",11.721,11.128
"2008-07",9.969,11.026
"2008-08",6.041,9.364
"2008-09",4.874,6.862
"2008-10",6.712,6.607
"2008-11",5.644,4.771
"2008-12",7.58,5.736
"2009-01",8.885,5.625
"2009-02",10.028,5.583
"2009-03",7.971,5.911
"2009-04",10.425,7.878
"2009-05",11.393,8.874
"2009-06",13.806,11.772
"2009-07",12.332,11.988
"2009-08",8.808,9.969
"2009-09",10.225,11.315
"2009-10",11.062,10.665
"2009-11",9.424,8.348
"2009-12",10.344,8.578
"2010-01",15.715,9.295
"2010-02",12.001,9.915
"2010-03",12.611,10.524
"2010-04",13.387,10.684
"2010-05",16.198,13.284
"2010-06",12.28,11.894
"2010-07",9.917,13.956
"2010-08",6.837,10.363
"2010-09",9.64,10.648
"2010-10",10.245,9.145
"2010-11",10.16,8.12
"2010-12",10.359,9.553
"2011-01",13.665,9.797
"2011-02",13.232,8.462
"2011-03",13.916,10.11
"2011-04",16.579,9.884
"2011-05",17.743,11.17
"2011-06",13.354,9.113
"2011-07",10.165,10.93
"2011-08",6.472,8.491
"2011-09",7.113,7.916
"2011-10",6.314,5.991
"2011-11",8.721,7.242
"2011-12",12.148,8.387
"2012-01",10.849,7.336
"2012-02",13.158,8.301
"2012-03",11.853,8.459
"2012-04",13.804,9.242
"2012-05",16.084,12.207
"2012-06",14.217,13.373
"2012-07",12.736,12.439
"2012-08",10.435,12.987
"2012-09",12.814,12.849
"2012-10",13.269,11.299
"2012-11",13.055,11.042
"2012-12",17.036,13.044
"2013-01",15.957,12.205
"2013-02",10.756,7.578
"2013-03",13.543,10.418
"2013-04",13.697,8.736
"2013-05",17.309,13.971
"2013-06",13.387,11.505
"2013-07",9.634,12.198
"2013-08",9.427,10.33
"2013-09",7.132,9.262
"2013-10",7.981,10.112
"2013-11",6.914,7.139
"2013-12",14.312,11.315
"2014-01",14.674,7.721
"2014-02",13.601,8.105
"2014-03",13.031,8.819
"2014-04",13.756,10.055
"2014-05",15.8,11.381
"2014-06",12.93,11.268
"2014-07",11.486,13.384
"2014-08",9.283,11.507
"2014-09",10.387,11.581
"2014-10",8.49,8.609
"2014-11",9.507,6.908
"2014-12",12.877,9.304
"2015-01",17.257,10.164
"2015-02",11.525,8.627
"2015-03",12.366,8.247
"2015-04",11.806,8.007
