#Dataset: MPI-M-MPI-ESM-MR_r1i1p1_RU-CORE-RegCM4-3_v4
#Variable: tas
#Area: sea
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2021-02-16
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","SEA","full_domain"
"1970-01",26.51,25.581
"1970-02",26.301,25.437
"1970-03",26.542,25.761
"1970-04",26.872,26.44
"1970-05",27.442,27.127
"1970-06",27.41,27.248
"1970-07",27.019,27.141
"1970-08",26.955,27.013
"1970-09",26.921,26.929
"1970-10",26.902,26.885
"1970-11",27.065,26.717
"1970-12",26.701,26.091
"1971-01",26.617,25.638
"1971-02",26.465,25.426
"1971-03",26.824,25.955
"1971-04",27.291,26.555
"1971-05",27.84,27.232
"1971-06",27.751,27.485
"1971-07",27.276,27.293
"1971-08",26.836,26.972
"1971-09",26.722,26.751
"1971-10",27.119,26.955
"1971-11",26.988,26.444
"1971-12",26.656,26.075
"1972-01",26.508,25.65
"1972-02",26.368,25.628
"1972-03",26.913,26.242
"1972-04",27.494,27.009
"1972-05",27.938,27.622
"1972-06",27.414,27.361
"1972-07",27.103,27.159
"1972-08",27.075,27.156
"1972-09",26.984,27.016
"1972-10",26.811,26.773
"1972-11",27.283,26.963
"1972-12",27.415,26.629
"1973-01",26.991,26.14
"1973-02",26.804,25.978
"1973-03",27.341,26.526
"1973-04",27.733,27.006
"1973-05",27.833,27.347
"1973-06",27.385,27.295
"1973-07",27.469,27.48
"1973-08",27.198,27.232
"1973-09",27.208,27.261
"1973-10",27.328,27.13
"1973-11",27.38,27.03
"1973-12",27.242,26.65
"1974-01",26.953,25.996
"1974-02",26.72,25.747
"1974-03",26.892,25.924
"1974-04",27.432,26.794
"1974-05",27.988,27.516
"1974-06",28.034,27.762
"1974-07",26.923,27.007
"1974-08",26.41,26.529
"1974-09",26.674,26.836
"1974-10",26.675,26.708
"1974-11",26.68,26.349
"1974-12",26.705,26.075
"1975-01",26.53,25.64
"1975-02",26.611,25.8
"1975-03",27.043,26.235
"1975-04",27.569,26.996
"1975-05",27.896,27.541
"1975-06",27.94,27.815
"1975-07",27.205,27.34
"1975-08",27.188,27.293
"1975-09",27.246,27.283
"1975-10",27.207,27.129
"1975-11",27.449,27.1
"1975-12",27.415,26.731
"1976-01",26.364,25.579
"1976-02",26.594,25.766
"1976-03",26.9,26.034
"1976-04",27.509,26.793
"1976-05",27.996,27.501
"1976-06",27.73,27.553
"1976-07",27.175,27.176
"1976-08",27.346,27.368
"1976-09",27.45,27.325
"1976-10",27.55,27.309
"1976-11",27.711,27.21
"1976-12",27.196,26.454
"1977-01",26.862,25.973
"1977-02",26.978,25.945
"1977-03",26.608,25.55
"1977-04",27.131,26.428
"1977-05",27.919,27.424
"1977-06",27.366,27.14
"1977-07",27.243,27.17
"1977-08",27.384,27.397
"1977-09",27.346,27.301
"1977-10",27.378,27.281
"1977-11",27.333,26.986
"1977-12",27.119,26.373
"1978-01",26.655,25.649
"1978-02",26.545,25.441
"1978-03",26.714,25.775
"1978-04",27.141,26.334
"1978-05",27.563,27.013
"1978-06",27.145,26.951
"1978-07",26.921,26.973
"1978-08",26.812,27.01
"1978-09",26.717,26.905
"1978-10",26.889,26.803
"1978-11",27.139,26.884
"1978-12",27.289,26.619
"1979-01",27.015,26.066
"1979-02",26.82,25.68
"1979-03",26.733,25.822
"1979-04",27.445,26.775
"1979-05",28.055,27.516
"1979-06",28.167,27.861
"1979-07",27.678,27.637
"1979-08",27.464,27.55
"1979-09",27.498,27.496
"1979-10",27.528,27.466
"1979-11",27.242,26.89
"1979-12",26.876,26.151
"1980-01",26.615,25.656
"1980-02",26.565,25.634
"1980-03",26.894,25.93
"1980-04",27.132,26.437
"1980-05",27.969,27.368
"1980-06",27.373,27.145
"1980-07",27.209,27.19
"1980-08",27.246,27.3
"1980-09",27.242,27.102
"1980-10",27.094,26.917
"1980-11",27.188,26.977
"1980-12",27.459,26.9
"1981-01",26.828,26.038
"1981-02",26.807,25.816
"1981-03",27.191,26.211
"1981-04",27.57,26.879
"1981-05",28.133,27.661
"1981-06",27.749,27.664
"1981-07",27.375,27.359
"1981-08",27.213,27.275
"1981-09",27.3,27.427
"1981-10",27.681,27.6
"1981-11",27.304,26.946
"1981-12",27.199,26.394
"1982-01",26.231,25.119
"1982-02",26.002,24.855
"1982-03",26.513,25.571
"1982-04",26.833,26.127
"1982-05",27.599,27.119
"1982-06",27.878,27.538
"1982-07",27.312,27.31
"1982-08",27.324,27.264
"1982-09",27.803,27.696
"1982-10",27.359,27.069
"1982-11",26.728,26.345
"1982-12",26.785,26.248
"1983-01",26.667,25.903
"1983-02",26.664,25.778
"1983-03",26.762,25.987
"1983-04",27.21,26.736
"1983-05",27.742,27.419
"1983-06",27.599,27.47
"1983-07",27.516,27.459
"1983-08",27.51,27.47
"1983-09",27.444,27.297
"1983-10",27.786,27.59
"1983-11",27.394,26.983
"1983-12",26.741,25.919
"1984-01",26.236,25.416
"1984-02",26.198,25.25
"1984-03",26.706,25.925
"1984-04",26.955,26.309
"1984-05",27.339,26.907
"1984-06",27.626,27.294
"1984-07",26.953,27.008
"1984-08",26.649,26.79
"1984-09",27.119,27.058
"1984-10",27.652,27.418
"1984-11",27.343,26.993
"1984-12",27.114,26.404
"1985-01",26.676,25.866
"1985-02",26.596,25.796
"1985-03",27.026,26.119
