#Dataset: MPI-M-MPI-ESM-LR_r1i1p1_SMHI-RCA4_v2
#Variable: meanpr
#Area: land
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2021-02-17
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","NEAF","SEAF","WCA","ECA","TIB","ARP","SAS","ARS","BOB","EIO","full_domain"
"1970-01",0.459,3.635,0.795,0.149,0.098,0.163,0.136,1.564,3.233,5.274,0.742
"1970-02",0.14,2.966,0.789,0.148,0.46,0.04,0.075,0.995,1.96,6.196,0.788
"1970-03",1.322,6.429,1.499,0.793,1.107,0.423,1.07,0.546,4.701,9.085,1.657
"1970-04",3.766,5.552,2.153,1.276,1.133,0.346,1.866,3.138,7.332,10.687,2.422
"1970-05",3.181,2.67,0.735,0.511,2.222,0.197,5.246,2.368,4.336,12.396,2.675
"1970-06",2.872,1.806,0.589,1.651,2.587,0.493,6.604,5.132,4.844,10.004,3.12
"1970-07",2.44,1.216,0.546,1.96,3.907,0.973,6.898,4.573,5.945,13.158,3.195
"1970-08",2.098,1.215,0.594,2.171,3.321,0.852,7.067,3.442,6.644,7.311,3.18
"1970-09",2.455,1.144,0.407,1.084,2.174,0.302,4.927,1.577,2.97,7.376,2.523
"1970-10",4.03,3.357,0.369,0.338,1.083,0.241,2.912,8.199,7.475,10.484,2.067
"1970-11",2.046,7.177,1.146,0.173,0.292,0.179,1.24,2.998,9.971,16.624,1.843
"1970-12",1.1,5.073,0.98,0.149,0.145,0.217,0.267,3.884,9.925,12.002,1.064
"1971-01",0.222,2.833,0.64,0.165,0.545,0.064,0.234,1.81,8.338,14.88,0.943
"1971-02",0.214,3.238,0.657,0.131,0.408,0.066,0.663,2.863,5.615,7.029,1.052
"1971-03",0.854,5.052,0.829,0.603,0.969,0.089,0.849,0.685,2.977,5.164,1.441
"1971-04",1.356,4.085,1.17,0.512,1.742,0.154,2.164,0.967,7.464,10.889,1.936
"1971-05",4.001,4.145,0.677,0.556,1.64,0.132,3.562,5.149,5.264,10.242,2.406
"1971-06",2.313,2.151,0.619,1.4,2.636,0.316,7.079,5.264,5.88,9.955,3.164
"1971-07",2.109,1.883,0.467,1.092,3.348,0.856,7.207,4.619,6.811,9.647,3.13
"1971-08",2.767,1.722,0.522,1.849,3.81,0.641,7.767,4.769,7.233,9.847,3.516
"1971-09",3.373,2.768,0.352,0.768,2.301,0.12,6.37,1.823,5.383,12.676,3.091
"1971-10",2.377,3.724,0.596,0.538,2.237,0.017,2.978,1.507,3.826,7.869,2.276
"1971-11",2.186,6.845,0.676,0.518,1.005,0.265,0.721,5.64,10.298,9.722,1.565
"1971-12",0.27,3.087,0.653,0.043,0.845,0.071,1.44,5.672,9.911,8.276,1.242
"1972-01",0.416,2.908,0.558,0.135,0.218,0.087,0.225,1.285,2.248,5.891,0.843
"1972-02",0.45,3.437,0.758,0.133,0.313,0.166,0.068,1.393,2.96,6.317,0.743
"1972-03",1.284,5.624,1.658,0.412,1.187,0.094,0.729,1.357,3.736,8.293,1.493
"1972-04",3.725,6.206,1.949,0.869,1.388,0.237,1.323,1.126,7.208,11.758,2.163
"1972-05",2.571,3.802,0.454,0.655,2.71,0.083,4.865,3.878,6.745,12.836,2.582
"1972-06",2.066,1.952,0.953,0.982,1.725,0.215,5.916,5.596,3.982,7.977,2.677
"1972-07",2.641,1.588,0.466,1.398,2.982,0.63,6.856,5.826,8.663,7.408,3.192
"1972-08",2.434,1.739,0.334,2.259,3.692,0.785,6.854,4.19,7.247,7.186,3.354
"1972-09",4.104,2.853,0.325,0.885,2.756,0.546,5.927,0.448,2.024,11.231,3.291
