#Dataset: MIROC-MIROC5_r1i1p1_SMHI-RCA4_v2
#Variable: meanpr
#Area: landsea
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2021-02-17
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","NEAF","SEAF","WCA","ECA","TIB","ARP","SAS","ARS","BOB","EIO","full_domain"
"1970-01",0.282,2.143,1.068,0.14,0.505,0.244,0.594,1.063,4.452,15.849,4.386
"1970-02",0.372,3.071,0.891,0.071,0.11,0.185,0.41,1.596,1.818,10.21,2.919
"1970-03",1.024,4.429,1.118,0.601,1.385,0.135,0.853,1.046,1.862,12.833,3.818
"1970-04",3.738,8.986,1.208,0.913,2.017,0.276,2.194,1.268,3.05,14.53,5.03
"1970-05",3.478,1.491,1.216,0.58,2.465,0.279,3.831,6.447,3.832,14.402,4.959
"1970-06",1.918,0.938,0.777,1.137,1.849,0.613,4.477,8.667,3.806,13.333,4.89
"1970-07",3.149,0.839,0.608,1.333,2.594,0.462,5.412,5.272,9.116,9.72,4.769
"1970-08",3.141,1.21,0.525,0.993,3.358,0.553,5.27,1.649,5.916,9.576,4.643
"1970-09",2.557,1.809,0.514,1.827,2.357,0.231,3.95,0.931,5.68,7.574,4.012
"1970-10",1.75,2.394,1.095,0.661,1.04,0.088,2.459,0.713,6.432,9.237,4.163
"1970-11",0.971,3.808,1.32,0.177,0.628,0.343,2.012,6.422,8.158,9.732,4.142
"1970-12",1.399,3.236,0.975,0.198,0.389,0.19,0.623,4.844,6.755,12.39,3.962
"1971-01",0.846,5.015,1.712,0.108,0.551,0.192,0.172,0.624,2.244,10.497,3.487
"1971-02",0.922,4.918,1.427,0.094,0.908,0.357,0.871,2.315,4.008,10.878,3.515
"1971-03",1.038,5.59,1.304,0.43,1.203,0.127,0.895,1.022,3.325,13.425,4.056
"1971-04",2.349,5.369,1.122,1.227,2.074,0.067,1.736,1.571,5.962,14.228,4.676
"1971-05",1.953,1.51,0.926,0.592,3.031,1.273,4.393,8.705,6.317,14.229,5.438
"1971-06",2.107,1.1,0.498,1.269,2.527,0.183,6.346,5.58,11.932,9.795,4.793
"1971-07",2.667,1.283,0.418,1.235,2.743,0.349,5.459,3.335,9.629,10.153,4.93
"1971-08",2.69,1.322,0.517,1.878,2.946,0.359,5.31,2.192,5.511,7.47,4.3
"1971-09",2.656,2.031,0.259,0.707,1.558,0.166,4.675,0.787,6.655,8.19,4.388
"1971-10",2.407,3.306,0.428,0.3,1.881,0.073,3.933,0.515,9.701,5.637,4.007
"1971-11",1.804,2.997,0.612,0.141,0.234,0.316,1.061,4.289,8.247,9.339,4.026
"1971-12",0.67,1.958,0.963,0.133,0.475,0.274,1.533,2.887,7.363,13.016,3.968
"1972-01",0.183,2.149,2.203,0.086,0.859,0.2,0.611,0.504,0.658,11.981,3.359
"1972-02",0.392,2.805,2.237,0.523,1.377,0.485,0.287,0.445,1.98,12.758,3.577
"1972-03",0.906,6.166,1.274,0.329,0.972,0.204,0.762,1.072,2.926,11.493,3.768
"1972-04",2.576,7.87,1.606,1.234,1.319,0.251,1.035,1.097,1.52,12.321,4.416
"1972-05",2.735,3.476,1.053,0.896,1.956,0.179,5.409,7.893,3.91,11.972,5.015
"1972-06",2.623,1.273,0.755,0.801,2.282,0.328,5.664,7.591,12.55,8.898,4.672
"1972-07",2.66,0.9,0.306,1.211,3.138,0.312,6.934,5.038,6.924,9.226,4.949
