#Dataset: NCC-NorESM1-M_r1i1p1_SMHI-RCA4_v2
#Variable: meanpr
#Area: landsea
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2021-02-17
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","NEAF","SEAF","WCA","ECA","TIB","ARP","SAS","ARS","BOB","EIO","full_domain"
"1970-01",0.306,3.12,0.565,0.123,0.352,0.121,0.238,0.036,0.243,11.957,3.229
"1970-02",0.305,3.172,0.893,0.106,0.903,0.07,0.689,0.087,0.125,10.234,3.028
"1970-03",0.246,4.296,0.617,0.656,1.692,0.019,0.641,0.156,0.335,8.951,3.579
"1970-04",1.053,5.581,1.178,1.065,1.233,0.044,0.525,0.083,0.428,10.264,4.015
"1970-05",4.288,8.466,1.65,0.659,1.774,0.327,1.842,0.858,2.014,15.02,5.196
"1970-06",2.331,4.572,1.215,0.967,1.266,0.261,3.156,2.132,2.499,13.131,4.721
"1970-07",2.381,2.119,0.533,0.726,1.913,0.208,4.396,4.797,4.986,11.263,4.27
"1970-08",2.093,1.628,0.308,1.074,2.784,0.272,5.903,2.921,6.168,5.948,3.28
"1970-09",3.113,2.708,0.28,0.968,2.496,0.195,5.946,0.449,2.245,8.666,3.858
"1970-10",4.221,4.772,0.719,0.412,1.114,0.139,2.501,3.618,7.689,12.684,4.671
"1970-11",3.127,5.937,0.598,0.212,0.603,0.086,1.566,5.424,8.212,15.018,4.962
"1970-12",1.341,5.931,0.773,0.184,0.625,0.101,0.523,5.037,3.08,17.398,4.814
"1971-01",0.647,6.297,0.807,0.103,0.488,0.077,0.366,0.369,0.327,14.362,3.678
"1971-02",1.285,7.171,1.216,0.175,1.467,0.298,0.571,0.135,0.185,8.103,2.96
"1971-03",0.984,4.501,1.005,0.437,1.095,0.102,0.562,0.245,0.065,9.012,3.379
"1971-04",1.664,6.172,1.982,0.634,1.873,0.097,0.845,0.415,0.398,9.542,4.025
