#Dataset: CCCma-CanESM2_r1i1p1_IITM-RegCM4-4_v5
#Variable: meanpr
#Area: sea
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2021-02-17
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","NEAF","SEAF","WCA","ECA","TIB","ARP","SAS","ARS","BOB","EIO","full_domain"
"2006-01",1.214,4.781,0.698,NA,NA,0.2,2.367,2.209,6.917,7.799,5.34
"2006-02",1.103,4.298,0.937,NA,NA,0.46,4.592,1.068,5.139,4.075,3.35
"2006-03",0.465,3.202,0.247,NA,NA,0.043,3.669,0.608,5.182,2.758,3.817
"2006-04",0.923,5.496,0.588,NA,NA,0.142,2.19,0.594,3.583,3.085,4.003
"2006-05",1.497,12.955,1.242,NA,NA,0.534,4.264,2.966,9.205,5.502,5.86
"2006-06",3.581,6.263,1.063,NA,NA,2.346,11.481,8.866,15.995,6.475,5.922
"2006-07",10.871,3.561,3.892,NA,NA,4.341,15.405,5.396,17.519,10.208,7.102
"2006-08",8.758,3.09,4.727,NA,NA,5.19,14.232,4.768,18.299,7.743,6.606
"2006-09",6.17,1.832,5.27,NA,NA,5.302,5.54,3.035,4.629,5.265,4.003
"2006-10",2.803,1.399,1.582,NA,NA,2.041,6.072,3.056,9.74,3.232,3.211
"2006-11",0.957,1.377,0.917,NA,NA,0.337,3.92,3.485,13.324,4.025,3.723
"2006-12",0.168,1.536,0.671,NA,NA,0.291,5.109,4.967,12.553,4.65,4.48
"2007-01",0.343,3.789,0.275,NA,NA,0.052,2.424,1.829,6.275,3.727,3.912
"2007-02",0.171,1.661,0.314,NA,NA,0.041,3.127,1.174,5.91,5.216,4.978
"2007-03",0.148,3.138,0.473,NA,NA,0.062,3.277,1.072,12.205,2.268,2.997
"2007-04",1.181,3.742,0.768,NA,NA,0.174,2.55,2.138,5.919,3.102,3.317
"2007-05",3.472,3.113,1.896,NA,NA,2.838,3.917,1.369,2.629,2.524,2.364
"2007-06",4.015,2.424,4.951,NA,NA,4.051,10.474,4.577,10.797,3.35,3.561
"2007-07",10.402,2.956,17.376,NA,NA,9.953,13.453,5.373,24.964,5.219,5.761
"2007-08",4.092,1.206,20.944,NA,NA,13.109,11.896,3.663,13.544,2.889,4.141
"2007-09",0.766,1.246,5.363,NA,NA,1.938,5.953,2.591,6.582,2.891,2.833
"2007-10",1.002,0.838,1.806,NA,NA,1.3,4.045,3.338,9.34,3.256,3.076
"2007-11",0.474,1.089,0.213,NA,NA,0.226,4.519,4.41,10.86,3.545,3.569
"2007-12",0.211,1.501,0.335,NA,NA,0.36,3.067,2.778,10.643,3.874,3.933
"2008-01",0.275,3.096,0.134,NA,NA,0.078,4.015,1.597,9.466,5.435,5.024
"2008-02",0.33,2.927,0.633,NA,NA,0.064,2.275,1.062,8.347,3.374,3.784
"2008-03",0.502,1.424,0.768,NA,NA,0.056,4.692,0.938,15.301,2.535,3.34
"2008-04",0.982,3.105,0.54,NA,NA,0.177,4.065,1.67,7.446,2.021,2.674
"2008-05",2.3,2.735,2.72,NA,NA,2.235,6.052,2.526,4.407,2.154,2.371
"2008-06",3.945,2.305,1.87,NA,NA,3.447,8.67,4.021,9.829,2.851,3.373
"2008-07",6.992,1.923,14.343,NA,NA,8.455,13.827,4.018,17.184,2.758,4.382
"2008-08",2.838,1.931,12.941,NA,NA,10.04,14.849,4.226,15.567,2.271,3.958
"2008-09",1.079,1.02,2.545,NA,NA,1.16,8.226,2.493,6.789,2.625,3.312
"2008-10",1.428,1.03,0.828,NA,NA,0.668,3.576,2.902,7.89,3.228,3.508
"2008-11",0.877,1.586,0.534,NA,NA,0.904,3.862,2.331,12.507,4.152,3.913
"2008-12",0.566,3.073,0.341,NA,NA,0.227,2.027,2.168,7.271,3.709,3.936
"2009-01",0.625,5.185,0.396,NA,NA,0.202,3.55,1.609,9.818,4.278,3.801
"2009-02",0.366,2.673,0.58,NA,NA,0.087,4.146,0.977,3.996,3.191,3.289
"2009-03",0.776,1.721,0.703,NA,NA,0.25,4.851,1.242,3.531,2.768,2.565
"2009-04",1.673,3.72,0.959,NA,NA,0.573,3.05,2.588,4.579,3.783,3.972
"2009-05",5.515,7.777,2.319,NA,NA,3.087,6.981,3.414,5.825,3.92,4.379
