#Dataset: IPSL-IPSL-CM5A-MR_r1i1p1_SMHI-RCA4_v2
#Variable: meanpr
#Area: sea
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2021-02-17
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","NEAF","SEAF","WCA","ECA","TIB","ARP","SAS","ARS","BOB","EIO","full_domain"
"2006-01",0.29,3.326,0.636,NA,NA,0.119,0.062,0.528,0.033,14.091,6.669
"2006-02",0.04,0.893,0.685,NA,NA,0.006,0.008,0.012,0.047,8.785,4.296
"2006-03",0.008,5.463,0.492,NA,NA,0.006,0.063,0.005,0.047,9.342,6.384
"2006-04",0.035,25.309,0.319,NA,NA,0.014,2.143,0.254,9.981,18.714,10.455
"2006-05",1.795,23.096,0.602,NA,NA,0.033,3.14,3.957,3.619,14.115,8.318
"2006-06",0.054,5.465,0.499,NA,NA,0.021,2.841,7.341,3.032,10.669,5.933
"2006-07",0.027,3.516,0.248,NA,NA,0.028,8.412,7.111,5.455,7.58,5.131
"2006-08",0.025,3.014,0.543,NA,NA,0.045,7.174,5.645,7.07,7.704,4.949
"2006-09",0.035,3.168,1.257,NA,NA,0.026,7.244,3.377,7.954,11.662,5.971
"2006-10",2.082,6.221,0.804,NA,NA,0.218,3.719,1.994,7.551,12.854,6.588
"2006-11",4.471,9.965,0.43,NA,NA,0.27,2.981,6.915,7.18,17.242,7.935
"2006-12",1.372,8.531,0.8,NA,NA,0.036,0.448,3.555,2.123,17.617,8.013
"2007-01",0.136,0.92,0.622,NA,NA,0.053,0.002,0.197,0.094,15.072,6.686
"2007-02",0.022,1.669,0.627,NA,NA,0.012,0.2,0.251,0.382,10.909,5.915
"2007-03",0.038,7.292,0.548,NA,NA,0.007,0.045,0.039,0.084,11.859,6.832
"2007-04",0.026,16.09,0.207,NA,NA,0.023,0.315,0.143,0.755,12.746,8.113
"2007-05",0.597,11.554,0.614,NA,NA,0.02,0.295,0.777,1.581,14.916,7.127
"2007-06",0.029,6.979,0.775,NA,NA,0.025,2.299,5.15,3.297,10.432,5.66
"2007-07",0.055,3.529,0.434,NA,NA,0.036,10.154,5.395,5.368,6.199,4.53
"2007-08",0.027,2.953,0.589,NA,NA,0.039,7.997,4.287,6.129,8.213,4.934
"2007-09",0.239,1.997,0.325,NA,NA,0.029,5.286,3.316,6.484,11.364,5.926
"2007-10",0.626,4.439,0.356,NA,NA,0.215,6.399,4.593,10.979,13.306,6.965
"2007-11",1.754,7.973,0.951,NA,NA,0.401,2.897,8.855,8.314,16.834,8.102
"2007-12",2.006,15.797,0.574,NA,NA,0.055,0.947,2.974,2.902,18.936,8.334
"2008-01",0.29,0.822,0.63,NA,NA,0.006,0.115,1.301,0.314,15.002,6.838
"2008-02",0.005,0.169,0.33,NA,NA,0.004,0.38,0.158,0.485,12.5,5.745
"2008-03",0.003,8.541,0.203,NA,NA,0.009,0.316,0.146,0.582,8.588,6.433
"2008-04",0.291,12.034,0.503,NA,NA,0.019,0.672,0.384,2.42,12.914,7.679
"2008-05",0.402,10.232,0.818,NA,NA,0.027,1.836,1.633,1.484,18.284,8.009
"2008-06",0.227,6.622,1.197,NA,NA,0.031,5.259,5.961,4.788,9.721,6.099
"2008-07",0.035,4.769,1.038,NA,NA,0.039,6.642,6.675,3.62,5.525,5.041
"2008-08",0.032,2.37,0.41,NA,NA,0.043,8.786,5.883,3.511,6.65,4.964
"2008-09",0.219,1.578,0.526,NA,NA,0.026,4.445,0.933,3.645,10.863,5.413
"2008-10",7.006,2.914,0.442,NA,NA,1.254,2.916,5.16,3.522,13.916,6.399
"2008-11",6.231,10.734,0.896,NA,NA,0.602,2.15,6.009,7.454,16.361,7.769
"2008-12",1.334,14.291,1.121,NA,NA,0.023,0.966,3.216,2.72,19.346,8.266
"2009-01",0.096,3.092,0.949,NA,NA,0.014,0.046,0.246,0.344,16.724,6.438
"2009-02",0.062,4.982,0.592,NA,NA,0.004,0.09,0.118,0.485,15.796,6.803
