#Dataset: MIROC-MIROC5_r1i1p1_ORNL-RegCM4-7_v0
#Variable: meanpr
#Area: sea
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2021-02-16
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","NEAF","SEAF","WCA","ECA","TIB","ARP","SAS","ARS","BOB","EIO","full_domain"
"2006-01",2.807,3.146,0.559,NA,NA,0.751,1.355,4.091,5.784,12.448,7.345
"2006-02",2.919,6.539,0.17,NA,NA,0.102,0.358,1.356,1.877,7.969,4.665
"2006-03",1.905,5.819,0.585,NA,NA,0.127,0.579,0.866,2.478,4.783,3.384
"2006-04",1.633,6.462,0.333,NA,NA,0.082,0.321,0.723,1.156,5.544,3.332
"2006-05",3.456,5.026,0.359,NA,NA,0.245,2.213,2.089,2.223,5.493,3.333
"2006-06",0.325,2.314,0.217,NA,NA,0.027,2.746,6.506,2.205,7.526,4.5
"2006-07",0.105,1.057,0.16,NA,NA,0.033,4.434,5.482,10.047,12.923,6.685
"2006-08",0.281,1.094,0.28,NA,NA,0.274,4.057,3.283,12.822,8.906,5.99
"2006-09",0.409,0.945,0.26,NA,NA,0.126,2.249,2.816,2.485,11.494,6.148
"2006-10",0.935,2.164,0.208,NA,NA,0.091,1.412,1.23,2.245,9.405,6.011
"2006-11",3.249,4.338,2.091,NA,NA,1.98,1.436,1.72,3.528,5.368,5.439
"2006-12",1.758,3.277,0.74,NA,NA,0.689,3.212,1.665,8.321,8.142,6.481
"2007-01",1.684,2.07,0.166,NA,NA,0.42,3.267,7.138,6.412,13.329,7.805
"2007-02",1.448,7.059,0.517,NA,NA,0.305,0.328,0.8,2.752,13.107,6.914
"2007-03",0.218,5.372,0.178,NA,NA,0.009,0.454,0.61,4.023,11.769,6.88
"2007-04",0.319,7.849,0.198,NA,NA,0.073,0.872,0.994,1.022,7.799,5.396
"2007-05",6.423,6.892,0.201,NA,NA,2.048,0.719,1.824,1.32,3.584,3.13
"2007-06",0.442,1.942,0.744,NA,NA,0.23,3.534,7.173,6.532,10.713,5.948
"2007-07",0.311,1.792,0.433,NA,NA,0.099,5.536,7.588,12.77,14.702,8.025
"2007-08",1.073,1.02,0.19,NA,NA,0.276,5.587,5.562,15.874,13.879,8.945
"2007-09",2.827,1.183,0.215,NA,NA,1.225,5.595,5.612,11.816,10.848,8.212
"2007-10",1.009,1.087,0.233,NA,NA,0.099,4.313,1.514,5.723,12.412,8.889
"2007-11",0.817,1.206,1.808,NA,NA,0.958,3.101,0.803,8.487,7.614,6.552
"2007-12",2.71,2.079,1.509,NA,NA,0.747,3.753,3.576,7.785,9.563,7.006
"2008-01",1.692,3.35,0.535,NA,NA,0.252,1.421,2.204,3.143,14.715,6.996
"2008-02",1.081,4.531,0.402,NA,NA,0.248,0.329,0.549,1.182,13.399,6.596
"2008-03",0.465,2.677,0.935,NA,NA,0.173,0.328,0.57,1.732,7.315,4.599
"2008-04",0.901,10.164,0.201,NA,NA,0.026,2.184,1.954,3.533,7.159,4.925
"2008-05",0.943,11.925,0.268,NA,NA,0.026,3.328,3.984,2.947,7.641,4.757
"2008-06",0.126,2.389,0.399,NA,NA,0.016,5.363,9.494,8.022,10.953,6.354
"2008-07",1.558,1.607,0.341,NA,NA,0.469,6.186,8.674,12.759,17.265,8.707
"2008-08",0.166,1.054,0.143,NA,NA,0.136,4.432,4.747,12.186,11.06,7.084
"2008-09",0.388,1.059,0.044,NA,NA,0.072,3.665,4.86,6.44,11.065,6.492
"2008-10",1.206,1.68,0.444,NA,NA,0.111,1.704,1.349,4.297,14.008,7.842
"2008-11",0.734,2.993,0.085,NA,NA,0.067,5.993,2.188,11.574,15.778,9.634
"2008-12",0.73,1.864,0.866,NA,NA,0.289,5.471,5.859,12.005,16.045,9.302
"2009-01",1.121,2.754,0.541,NA,NA,0.763,1.137,2.262,6.999,12.122,7
"2009-02",1.224,3.237,0.382,NA,NA,0.178,0.651,1.395,1.399,14.23,7.187
"2009-03",0.114,7.934,0.448,NA,NA,0.023,1.106,0.325,3.63,15.889,8.723
"2009-04",0.218,7.062,0.551,NA,NA,0.033,1.618,0.889,3.274,13.13,7.203
"2009-05",0.816,9.249,0.454,NA,NA,0.086,3.825,4.868,12.024,15.028,8.146
"2009-06",0.1,1.568,1.34,NA,NA,0.02,6.828,6.943,16.837,13.448,8.294
"2009-07",0.283,1.406,0.385,NA,NA,0.072,7.24,7.302,17.556,15.629,9.462
"2009-08",1.514,0.906,0.122,NA,NA,0.771,5.7,5.74,14.289,11.467,7.994
"2009-09",3.849,1.145,0.324,NA,NA,1.474,5.281,8.893,8.972,12.463,7.94
"2009-10",1.791,1.697,0.077,NA,NA,0.543,2.469,2.784,6.124,15.797,8.372
"2009-11",0.629,2.589,0.272,NA,NA,0.179,8.934,3.565,16.162,17.396,9.944
"2009-12",1.52,3.609,0.167,NA,NA,0.233,4.277,3.8,11.088,16.763,9.869
"2010-01",1.056,3.68,0.327,NA,NA,0.117,3.886,3.479,8.856,16.971,10.226
"2010-02",0.764,1.186,0.571,NA,NA,0.243,1.327,1.48,4.873,13.351,7.802
"2010-03",0.661,6.014,0.39,NA,NA,0.012,0.729,0.822,3.867,18.397,9.555
"2010-04",0.273,8.103,0.311,NA,NA,0.01,3.076,1.595,10.811,19.842,10.512
"2010-05",0.154,4.468,0.052,NA,NA,0.013,7.691,7.585,15.339,17.18,9.45
"2010-06",0.147,1.646,0.529,NA,NA,0.019,5.819,8.535,13.531,14.419,8.705
"2010-07",0.835,1.055,0.304,NA,NA,0.423,7.38,8.312,16.608,11.95,8.477
"2010-08",0.114,1.068,0.561,NA,NA,0.079,5.124,4.665,12.975,13.392,8.129
"2010-09",0.088,0.739,0.191,NA,NA,0.038,3.269,2.167,7.631,10.811,7.175
"2010-10",0.384,1.022,0.201,NA,NA,0.061,3.405,0.618,7.301,7.488,7.44
"2010-11",0.911,2.051,0.464,NA,NA,0.204,2.747,1.491,11.297,9.096,8.351
"2010-12",1.433,0.773,0.881,NA,NA,0.536,4.373,1.075,12.875,9.928,8.276
"2011-01",0.703,1.165,0.146,NA,NA,0.12,2.587,1.535,9.724,12.979,8.428
"2011-02",0.574,3.636,0.331,NA,NA,0.06,0.713,0.675,3.236,13.52,7.526
"2011-03",0.427,3.919,0.179,NA,NA,0.008,2.179,2.217,4.368,13.635,6.705
"2011-04",0.581,8.395,0.385,NA,NA,0.018,2.503,0.913,5.252,6.752,4.943
"2011-05",0.299,6.638,0.519,NA,NA,0.053,7.514,7.831,13.956,9.756,6.378
"2011-06",0.136,1.76,0.064,NA,NA,0.029,7.066,9.858,12.581,10.698,6.929
"2011-07",0.158,1.255,0.101,NA,NA,0.08,5.7,5.148,11.639,8.584,5.778
"2011-08",0.24,1.045,0.074,NA,NA,0.144,3.832,3.714,13.28,8.324,7.147
"2011-09",2.54,0.908,0.196,NA,NA,0.95,3.837,3.902,7.532,9.17,5.693
"2011-10",0.536,1.121,0.244,NA,NA,0.127,4.68,1.244,9.96,8.987,7.019
"2011-11",1.295,1.85,0.988,NA,NA,0.725,2.851,0.791,3.441,5.159,4.405
"2011-12",3.98,3.661,3.365,NA,NA,1.876,2.661,4.906,4.24,5.54,4.359
"2012-01",1.994,2.597,0.86,NA,NA,0.643,0.883,1.756,2.332,6.03,4.768
"2012-02",1.826,4.759,0.314,NA,NA,0.171,0.387,0.559,1.846,7.545,4.845
"2012-03",0.895,6.647,0.473,NA,NA,0.034,0.49,1.17,1.348,4.997,3.832
"2012-04",0.926,5.581,1.885,NA,NA,0.433,0.569,0.701,1.156,5.011,3.669
"2012-05",0.469,6.096,0.3,NA,NA,0.026,2.554,2.896,4.717,4.839,3.183
"2012-06",0.109,2.082,0.177,NA,NA,0.014,6.428,9.37,9.105,11.719,6.546
"2012-07",0.088,1.223,0.407,NA,NA,0.019,4.535,7.716,8.384,8.886,5.794
"2012-08",0.124,1.455,0.18,NA,NA,0.033,3.276,4.363,9.08,12.82,6.791
"2012-09",0.556,1.297,0.207,NA,NA,0.044,3.103,4.881,6.733,13.698,6.45
"2012-10",2.661,5.115,1.611,NA,NA,0.489,1.911,2.51,2.09,8.621,5.468
"2012-11",2.84,5.762,3.756,NA,NA,3.523,1.312,1.646,2.435,7.11,4.798
"2012-12",1.527,7.233,1.084,NA,NA,0.688,1.221,1.007,5.788,11.702,7.372
"2013-01",2.555,4.575,0.724,NA,NA,0.443,0.274,1.161,1.622,9.759,5.828
"2013-02",0.762,2.03,1.26,NA,NA,0.376,0.465,0.651,4.032,9.104,5.514
"2013-03",0.227,3.925,0.581,NA,NA,0.068,0.377,0.286,3.477,13.116,7.041
"2013-04",0.273,3.241,0.268,NA,NA,0.019,0.981,0.739,1.657,9.815,5.579
"2013-05",0.229,2.583,0.748,NA,NA,0.019,3.892,3.615,8.146,13.57,6.894
"2013-06",0.146,1.534,0.324,NA,NA,0.036,6.19,9.289,7.057,16.377,8.689
"2013-07",1.352,0.857,0.668,NA,NA,0.411,5.289,7.014,11.404,12.616,8.009
"2013-08",0.595,0.872,0.122,NA,NA,0.343,4.461,3.941,9.335,11.351,7.036
"2013-09",0.165,0.934,0.205,NA,NA,0.134,5.169,3.459,10.878,11.434,7.389
"2013-10",0.573,0.734,0.175,NA,NA,0.371,4.019,2.811,7.861,13.167,7.912
"2013-11",1.821,0.976,0.364,NA,NA,0.636,5.37,2.153,10.826,12.891,8.299
"2013-12",1.859,1.92,1.968,NA,NA,1.282,1.093,1.258,5.275,10.233,7.838
"2014-01",1.058,2.414,0.607,NA,NA,0.446,0.893,1.25,3.119,12.619,6.653
"2014-02",1.125,3.006,0.187,NA,NA,0.182,0.899,0.972,3.407,10.985,7.018
"2014-03",1.171,3.093,1.42,NA,NA,0.601,0.301,0.708,1.519,7.499,4.453
"2014-04",0.644,6.546,0.48,NA,NA,0.221,1.048,0.725,2.096,12.989,6.568
"2014-05",0.686,4.527,0.252,NA,NA,0.047,1.791,5.343,3.715,20.822,9.721
"2014-06",0.298,1.658,0.35,NA,NA,0.044,6.669,11.095,5.81,18.481,8.794
"2014-07",0.109,1.127,0.439,NA,NA,0.033,7.308,7.651,13.116,13.935,7.888
"2014-08",0.265,0.938,0.142,NA,NA,0.09,5.598,5.099,12.795,11.038,6.895
"2014-09",0.426,1.142,0.283,NA,NA,0.187,3.15,3.01,9.827,14.117,8.306
"2014-10",0.449,1.418,0.353,NA,NA,0.219,6.554,2.38,9.385,9.159,6.723
"2014-11",1.283,1.157,0.704,NA,NA,0.639,3.604,1.865,8.455,9.162,7.411
"2014-12",1.48,1.484,2.862,NA,NA,1,2.57,1.689,7.373,8.691,5.908
"2015-01",0.848,2.494,0.978,NA,NA,0.827,0.477,0.46,3.972,7.907,6.102
"2015-02",0.724,3.056,0.703,NA,NA,0.339,0.348,0.581,0.969,9.836,5.785
"2015-03",0.873,4.688,0.357,NA,NA,0.287,0.898,1.352,2.408,6.197,4.382
"2015-04",1.031,7.995,0.67,NA,NA,0.024,2.032,0.812,3.339,6.177,4.532
"2015-05",0.757,4.594,0.189,NA,NA,0.039,4.197,3.525,6.416,7.362,4.699
"2015-06",0.135,1.949,0.82,NA,NA,0.014,4.186,6.27,12.138,11.776,7.028
"2015-07",0.564,1.298,1.362,NA,NA,0.608,9.086,9.518,19.202,10.139,8.291
"2015-08",1.858,1.654,0.17,NA,NA,1.002,6.932,8.647,10.661,14.261,7.461
"2015-09",0.195,1.151,0.376,NA,NA,0.064,6.288,6.981,13.224,13.089,7.811
"2015-10",0.582,1.812,0.096,NA,NA,0.032,2.968,0.805,4.913,12.332,6.891
"2015-11",1.453,1.686,1.061,NA,NA,0.811,3.603,2.912,8.397,11.514,7.423
"2015-12",1.801,2.572,2.226,NA,NA,1.499,0.856,1.251,2.816,7.529,7.486
"2016-01",0.932,4.15,2.595,NA,NA,1.588,1.138,0.89,0.8,6.263,4.544
"2016-02",1.121,4.085,0.907,NA,NA,0.606,0.384,0.53,2.818,9.169,5.539
"2016-03",0.702,4.952,1.152,NA,NA,0.173,0.217,0.363,1.754,8.549,5.681
"2016-04",0.547,8.046,0.463,NA,NA,0.142,0.565,0.601,3.514,6.925,4.889
"2016-05",1.436,6.146,0.83,NA,NA,0.24,5.28,6.343,6.249,7.953,5.131
"2016-06",0.095,2.483,0.975,NA,NA,0.008,5.591,6.782,8.49,10.84,6.369
"2016-07",0.3,1.144,0.352,NA,NA,0.068,6.388,7.007,11.405,10.261,6.226
"2016-08",1.398,1.523,0.083,NA,NA,0.449,5.35,5.89,12.901,14.956,8.191
"2016-09",0.747,1.659,0.428,NA,NA,0.674,5.954,5.637,13.842,12.735,8.057
"2016-10",3.311,1.692,0.602,NA,NA,1.081,3.584,2.695,5.724,17.427,8.36
"2016-11",0.851,1.294,0.897,NA,NA,0.716,3.08,0.58,8.391,11.924,7.783
"2016-12",0.898,0.704,0.934,NA,NA,0.663,1.765,1.082,7.626,13.242,9.047
"2017-01",0.538,1.342,0.399,NA,NA,0.191,0.616,1.325,1.164,11.766,6.569
"2017-02",0.687,1.961,0.882,NA,NA,0.319,1.082,2.2,3.305,13.343,7.234
"2017-03",1.618,3.161,0.444,NA,NA,0.038,0.517,1.973,2.275,11.012,6.111
"2017-04",0.784,8.697,0.395,NA,NA,0.05,0.736,0.558,1.153,8.196,4.749
"2017-05",0.612,5.431,0.455,NA,NA,0.042,5.917,7.043,3.897,11.499,6.448
"2017-06",0.171,1.83,0.351,NA,NA,0.053,6.873,11.567,4.457,11.812,6.42
"2017-07",0.731,2.431,0.702,NA,NA,0.298,5.356,6.947,8.299,16.582,8.342
"2017-08",1.459,1.405,0.123,NA,NA,1.506,5.174,5.437,10.403,14.177,7.768
"2017-09",1.593,1.682,0.239,NA,NA,0.485,5.215,6.829,10.205,16.491,8.809
"2017-10",8.45,2.009,0.318,NA,NA,1.154,4.886,4.253,8.176,14.513,8.107
"2017-11",2.843,4.808,0.466,NA,NA,0.319,3.567,4.771,9.634,12.098,8.291
"2017-12",2.636,2.781,0.365,NA,NA,0.289,5.601,2.68,15.52,10.886,8.585
"2018-01",1.054,1.431,0.144,NA,NA,0.096,3.84,3.885,12.828,8.507,7.174
"2018-02",0.698,3.777,0.436,NA,NA,0.051,3.202,1.92,15.874,7.445,6.296
"2018-03",0.822,8.694,0.489,NA,NA,0.122,1.564,5.116,8.667,10.271,7.083
"2018-04",0.737,9.35,0.275,NA,NA,0.012,1.069,1.619,2.076,10.243,6.349
"2018-05",0.763,9.769,0.516,NA,NA,0.023,6.585,9.143,11.715,16.395,9.175
"2018-06",0.174,2.198,0.46,NA,NA,0.024,4.119,7.996,7.243,15.525,7.869
"2018-07",0.733,1.456,0.189,NA,NA,0.278,6.32,7.31,7.166,18.16,8.722
"2018-08",2.097,1.049,0.225,NA,NA,0.994,7.701,7.014,10.245,15.685,8.113
"2018-09",2.303,0.9,0.289,NA,NA,0.831,3.732,5.816,5.406,14.387,8.044
"2018-10",0.305,1.201,0.114,NA,NA,0.043,5.425,3.274,9.665,12.917,7.904
"2018-11",0.537,1.363,0.865,NA,NA,0.76,3.923,1.211,9.701,6.38,8.115
"2018-12",1.048,1.205,0.805,NA,NA,0.524,4.851,0.971,15.69,10.844,8.059
"2019-01",1.854,3.207,0.186,NA,NA,0.514,3.145,6.404,7.989,13.059,7.978
"2019-02",0.572,5.003,0.188,NA,NA,0.051,1.253,2.599,5.737,13.583,7.403
"2019-03",0.413,4.83,0.401,NA,NA,0.058,0.219,0.467,1.201,7.19,4.752
