#Dataset: MPI-M-MPI-ESM-LR_r1i1p1_SMHI-RCA4_v2
#Variable: meanpr
#Area: sea
#Interpolation_method: cdo remap
#Spatial_resolution: 0.5º
#Creation_Date: 2021-02-17
#Author: IPCC-WGI Atlas Hub (https://github.com/SantanderMetGroup/IPCC-Atlas). Santander Meteorology Group.
"date","NEAF","SEAF","WCA","ECA","TIB","ARP","SAS","ARS","BOB","EIO","full_domain"
"2006-01",0.276,2.253,0.268,NA,NA,0.256,0.339,0.565,1.084,10.985,5.59
"2006-02",0.046,1.432,0.319,NA,NA,0.093,0.297,0.932,1.487,7.985,4.95
"2006-03",0.063,2.593,0.097,NA,NA,0.013,1.803,0.763,3.358,7.884,5.411
"2006-04",0.816,17.78,0.773,NA,NA,0.048,1.724,2.146,5.753,9.061,6.031
"2006-05",0.548,11.28,0.601,NA,NA,0.037,2.359,4.991,5.38,11.592,6.833
"2006-06",0.128,10.779,5.733,NA,NA,0.564,9.043,8.432,6.317,8.082,5.895
"2006-07",0.331,4.035,0.037,NA,NA,0.435,7.775,4.96,8.873,6.787,4.994
"2006-08",0.213,3.272,0.113,NA,NA,0.292,5.243,2.308,4.899,7.445,4.978
"2006-09",0.794,3.311,0.071,NA,NA,0.285,5.238,1.439,6.882,10.275,5.839
"2006-10",1.295,3.502,0.199,NA,NA,0.297,3.169,2.041,5.692,13.43,6.724
"2006-11",2.656,6.277,0.631,NA,NA,1.12,2.762,6.098,8.858,12.3,6.94
"2006-12",1.683,5.79,0.846,NA,NA,0.864,0.415,1.034,1.283,11.433,6.566
"2007-01",0.066,0.699,0.2,NA,NA,0.058,0.297,0.937,1.963,11.054,5.838
"2007-02",0.056,0.724,0.15,NA,NA,0.125,0.137,0.17,3.233,8.414,5.147
"2007-03",0.127,5.512,0.122,NA,NA,0.258,1.423,1.766,4.663,8.703,5.215
"2007-04",0.414,22.667,0.52,NA,NA,0.06,2.257,1.925,7.423,10.65,7.046
"2007-05",0.888,22.574,0.531,NA,NA,0.044,0.237,0.816,1.304,13.326,7.345
"2007-06",0.172,5.083,0.176,NA,NA,0.028,7.363,7.733,5.65,7.962,5.85
"2007-07",0.159,4.348,0.262,NA,NA,0.066,5.526,4.741,5.889,8.204,5.606
"2007-08",0.283,2.658,0.472,NA,NA,0.283,7.348,3.81,6.991,6.211,4.492
"2007-09",0.641,5.92,1.914,NA,NA,0.264,6.99,3.239,6.311,10.471,5.868
"2007-10",1.989,3.932,0.355,NA,NA,0.29,6.383,3.089,7.38,12.156,6.55
"2007-11",4.808,10.382,0.093,NA,NA,0.307,4.212,8.394,7.908,11.839,8.487
"2007-12",1.18,11.9,0.375,NA,NA,1.049,1.67,1.777,4.164,13.333,7.643
"2008-01",0.086,0.566,0.162,NA,NA,0.18,0.147,0.571,0.571,11.344,5.731
"2008-02",0.013,0.434,0.261,NA,NA,0.082,0.12,0.187,0.111,6.178,4.122
"2008-03",0.157,6.11,0.49,NA,NA,0.151,0.338,0.375,0.825,10.177,5.679
"2008-04",0.264,9.423,0.899,NA,NA,0.026,0.667,0.43,1.578,12.055,6.323
"2008-05",0.286,9.05,0.286,NA,NA,0.031,5.855,4.619,5.602,9.062,6.104
"2008-06",0.115,6.49,0.11,NA,NA,0.046,8.333,5.424,4.794,6.793,4.848
"2008-07",0.139,3.918,0.008,NA,NA,0.209,10.242,5.443,12.34,4.709,4.908
"2008-08",0.252,2.73,0.069,NA,NA,0.228,6.732,2.293,5.678,5.262,4.005
"2008-09",1.104,6.076,0.003,NA,NA,0.239,3.266,1.654,3.432,10.182,5.55
"2008-10",1.187,7.093,0.345,NA,NA,0.559,5.922,2.177,8.243,8.441,6.294
"2008-11",4.641,2.065,0.118,NA,NA,0.884,4.683,2.852,8.082,11.441,6.603
"2008-12",3.066,5.634,1.227,NA,NA,1.619,0.788,2.664,1.493,13.58,6.433
"2009-01",0.513,2.607,0.563,NA,NA,0.44,0.799,1.373,1.343,10.751,5.942
"2009-02",0.195,2.338,0.176,NA,NA,0.109,0.173,0.82,0.405,5.918,4.292
"2009-03",0.048,6.671,0.218,NA,NA,0.031,2.789,0.96,4.243,9.512,5.568
"2009-04",0.24,13.544,0.482,NA,NA,0.025,0.593,1.014,0.902,9.1,5.246
"2009-05",1.478,11.625,0.585,NA,NA,0.022,5.707,3.664,7.652,9.498,5.941
"2009-06",0.076,4.447,0.303,NA,NA,0.056,7.225,5.225,5.031,7.063,4.832
"2009-07",0.354,1.975,0.341,NA,NA,0.51,8.88,3.288,6.531,7.797,4.886
"2009-08",0.314,3.332,0.071,NA,NA,0.596,8.557,2.917,7.632,6.132,4.188
"2009-09",0.065,2.826,0.316,NA,NA,0.213,4.705,2.228,8.457,7.784,5.282
"2009-10",1.852,3.61,0.157,NA,NA,0.392,4.184,1.251,3.515,9.731,5.828
"2009-11",1.419,4.176,0.294,NA,NA,1.049,2.29,1.798,6.009,11.415,6.947
"2009-12",2.884,5.425,0.528,NA,NA,1.164,0.875,2.717,8.133,14.124,7.561
"2010-01",0.42,2.161,0.352,NA,NA,0.265,0.783,1.002,3.313,11.762,6.278
"2010-02",0.029,0.533,0.044,NA,NA,0.044,0.219,0.405,0.411,7.971,4.622
"2010-03",0.063,5.03,0.148,NA,NA,0.042,1.551,0.575,8.791,13.344,6.578
"2010-04",0.603,14.829,0.653,NA,NA,0.059,1.576,1.277,4.584,12.422,6.445
"2010-05",0.347,11.584,0.803,NA,NA,0.026,4.925,5.078,4.584,11.113,5.979
"2010-06",0.122,3.634,0.45,NA,NA,0.07,6.168,5.033,3.852,9.38,5.424
"2010-07",0.226,2.784,0.518,NA,NA,0.272,6.676,4.738,4.505,8.268,4.69
"2010-08",0.239,3.015,0.52,NA,NA,0.384,5.325,2.386,4.203,9.342,4.779
"2010-09",0.369,3.691,0.092,NA,NA,0.246,3.844,0.409,6.093,9.48,4.916
"2010-10",5.144,14.433,0.192,NA,NA,0.742,2.408,4.988,4.161,12.868,6.994
"2010-11",5.692,15.838,0.594,NA,NA,2.28,1.858,5.063,7.614,13.714,9.024
"2010-12",0.758,2.096,0.672,NA,NA,0.714,1.117,0.312,7.476,11.864,6.544
"2011-01",0.587,0.539,0.118,NA,NA,0.177,0.783,3.275,1.94,11.3,6.021
"2011-02",0.077,0.385,0.225,NA,NA,0.05,0.912,1.524,3.709,7.999,5.561
"2011-03",0.009,5.562,0.213,NA,NA,0.072,1.172,1.555,2.301,9.174,5.175
"2011-04",2.089,19.032,0.62,NA,NA,0.314,1.636,4.018,5.894,10.507,6.777
"2011-05",0.395,14.189,0.47,NA,NA,0.022,4.336,2.477,5.358,15.363,7.871
"2011-06",0.143,5.715,0.277,NA,NA,0.084,8.526,8.116,7.184,9.511,6.303
"2011-07",0.072,4.133,0.383,NA,NA,0.057,7.354,5.184,6.074,6.552,4.851
"2011-08",0.777,3.944,0.073,NA,NA,0.839,5.56,4.845,8.113,8.559,5.239
"2011-09",0.554,4.925,0.061,NA,NA,0.208,4.751,2.917,5.78,8.425,5.659
"2011-10",1.984,3.918,0.113,NA,NA,0.178,4.75,2.019,5.768,12.914,6.609
"2011-11",3.835,6.037,0.341,NA,NA,2.592,3.804,9.998,5.968,13.09,7.351
"2011-12",2.734,8.759,0.685,NA,NA,1.677,0.99,2.217,1.61,11.167,5.926
"2012-01",0.428,2.174,0.203,NA,NA,0.279,1.119,1.065,1.953,13.384,6.961
"2012-02",0.14,1.641,0.754,NA,NA,0.457,0.038,0.209,0.245,9.112,6.149
"2012-03",0.357,7.094,0.466,NA,NA,0.338,0.322,0.404,0.55,8.579,5.106
"2012-04",0.093,15.095,0.428,NA,NA,0.095,1.339,1.74,2.402,11.958,6.342
"2012-05",0.651,11.526,0.407,NA,NA,1.26,4.645,6.284,4.091,13.744,7.83
