#Dataset: Monthly information aggregated on IPCC reference regions for CMIP5/6 and CORDEX
#Reference: https://doi.org/10.5194/essd-12-2959-2020
#Project: CORDEX-AFR
#Experiment: rcp45
#Model: MOHC-HadGEM2-ES_r1i1p1_SMHI-RCA4_v1
#Variable: pr
#Variable_longname: mean daily precipitation
#Units: mm/day
#Time_frequency: month
#Feature_type: regional mean time series
#Regions: IPCC-WGI-reference-regions-v4
#Area: land only
#Spatial_resolution: 0.5 degrees
#Interpolation_method: cdo remapcon
#Creation_Date: 2021-03-14
"date","MED","SAH","WAF","CAF","NEAF","SEAF","WSAF","ESAF","MDG","ARP","full_domain"
"2006-01",1.347,0.018,0.01,1.784,0.023,2.223,3.448,4.499,12.266,0.029,1.391
"2006-02",1.343,0.001,0.306,2.308,0.002,3.694,5.18,4.112,4.585,0.002,1.502
"2006-03",1.568,0.07,1.049,2.523,0.076,3.252,1.7,3.744,13.074,0.014,1.498
"2006-04",0.776,0.043,2.033,3.027,0.261,1.903,0.165,1.6,9.24,0.028,1.116
"2006-05",0.549,0.241,4.675,2.438,1.682,0.81,0.408,0.936,1.732,0.123,1.178
"2006-06",0.924,0.597,7.177,2.179,2.281,0.836,0.421,0.608,0.963,0.311,1.472
"2006-07",0.478,0.775,7.427,1.994,2.587,0.376,0.287,0.523,1.98,0.285,1.436
"2006-08",0.59,0.916,7.005,3.126,2.64,0.357,0.205,1.081,2.688,0.359,1.655
"2006-09",0.862,0.389,5.652,3.079,2.057,0.678,0.919,0.885,0.473,0.091,1.376
"2006-10",1.869,0.257,4.367,4.361,2.222,3.29,1.791,1.737,1.514,0.096,1.872
"2006-11",1.485,0.076,1.031,4.11,0.541,6.352,4.971,2.93,8.791,0.276,2.062
"2006-12",2.308,0.029,0.098,2.457,0.007,3.108,5.012,2.859,10.351,0.025,1.611
"2007-01",1.504,0.021,0.054,1.445,0.022,1.512,5.542,6.149,13.211,0.029,1.641
"2007-02",1.431,0.01,0.805,1.797,0.001,0.649,5.529,7.824,6.891,0.032,1.701
"2007-03",1.29,0.049,1.09,3.28,0.196,3.344,1.359,1.702,10.32,0.267,1.363
"2007-04",0.913,0.031,3.204,2.96,1.269,2.377,0.189,0.816,7.203,0.278,1.247
"2007-05",0.65,0.063,3.017,1.977,2.725,1.953,0.202,0.45,4.782,0.284,1.133
"2007-06",0.84,0.214,4.698,1.736,1.441,0.978,0.095,0.439,1.305,0.077,1.006
"2007-07",0.492,0.559,7.563,1.849,2.751,0.605,0.423,0.415,1.111,0.444,1.41
"2007-08",0.376,0.838,7.423,3.114,3.846,0.534,0.166,0.532,4.018,0.738,1.75
"2007-09",0.764,0.249,5.498,4.336,3.901,0.983,0.226,0.627,3.128,0.3,1.64
"2007-10",1.169,0.042,3.34,5.701,2.616,3.523,2.243,1.488,1.731,0.057,1.845
"2007-11",1.985,0.036,1.209,4.279,0.453,4.599,4.151,2.459,3.451,0.054,1.8
"2007-12",1.782,0.033,0.139,2.001,0.184,3.36,5.337,6.562,7.427,0.077,1.829
"2008-01",1.324,0.013,0.068,1.241,0.058,1.742,5.101,7.959,16.91,0.026,1.775
"2008-02",1.618,0.006,0.407,1.748,0.004,1.955,4.555,8.308,8.768,0.011,1.715
"2008-03",1.251,0.003,1.213,3.181,0.033,3.237,1.801,3.36,8.857,0.014,1.413
"2008-04",1.529,0.22,4.717,3.48,0.574,1.309,0.765,0.751,2.953,0.101,1.379
"2008-05",1.134,0.64,6.406,3.547,2.104,1.084,0.632,1.262,2.658,0.257,1.712
"2008-06",0.516,0.384,5.474,2.677,2.393,0.733,0.187,0.398,1.594,0.26,1.264
"2008-07",0.525,0.534,8.203,2.406,2.689,0.584,0.095,0.388,1.599,0.323,1.491
"2008-08",0.268,0.538,8.095,3.249,3.371,0.607,0.308,0.551,1.016,0.282,1.623
"2008-09",0.727,0.388,6.489,4.295,2.037,1.084,0.885,0.71,1.536,0.096,1.607
"2008-10",1.48,0.109,3.348,4.719,1.281,3.384,3.378,2.386,2.454,0.048,1.868
"2008-11",1.616,0.013,1.048,3.662,0.17,4.58,2.631,4.073,4.502,0.155,1.635
"2008-12",2.293,0.011,0.125,1.97,0.002,2.563,4.207,6.741,7.107,0.008,1.675
"2009-01",1.749,0.011,0.044,1.416,0.029,1.399,5.726,6.381,14.566,0.008,1.709
"2009-02",2.016,0.003,0.329,1.598,0.007,1.596,5.095,6.312,10.404,0.002,1.636
"2009-03",1.064,0.007,1.358,2.277,0.187,2.082,4.785,5.987,5.367,0.078,1.628
"2009-04",1.021,0.052,3.043,4.135,0.378,2.511,2.7,3.719,5.942,0.135,1.723
"2009-05",1.057,0.593,4.87,2.811,1.862,1.61,0.301,0.552,0.792,0.128,1.41
"2009-06",0.675,0.804,7.733,2.731,2.423,1.33,0.351,1.01,1.798,0.156,1.7
"2009-07",0.219,0.453,8.387,2.764,2.67,0.66,0.079,0.526,2.054,0.171,1.509
"2009-08",0.449,0.665,9.315,3.85,2.57,0.891,0.056,0.43,1.861,0.247,1.778
"2009-09",0.952,0.255,6.347,4.327,2.888,1.414,0.37,0.809,1.861,0.065,1.653
"2009-10",1.564,0.085,3.478,5.452,0.834,3.598,2.007,1.688,2.669,0.137,1.784
"2009-11",1.991,0.049,1.156,4.058,0.257,5.096,4.133,4.499,6.068,0.025,1.948
"2009-12",1.998,0.019,0.164,2.762,0.094,3.62,4.077,5.159,12.32,0.04,1.788
"2010-01",1.84,0.011,0.1,1.989,0.008,3.133,4.569,4.406,14.355,0.009,1.625
"2010-02",1.468,0.01,0.236,1.798,0.006,2.505,5.486,5.973,7.004,0.012,1.599
"2010-03",0.939,0.001,0.958,2.505,0.03,3.428,3.026,3.022,9.403,0,1.361
"2010-04",1.666,0.079,3.609,3.055,1.051,2.641,0.352,0.886,1.8,0.096,1.287
"2010-05",1.24,0.569,5.68,3.964,1.947,0.903,0.836,1.436,1.536,0.411,1.721
"2010-06",0.806,0.293,4.036,2.14,2.296,0.761,0.051,0.253,1.389,0.259,1.061
"2010-07",0.299,0.513,8.536,3.059,2.565,0.616,0.105,0.277,2.166,0.479,1.578
"2010-08",1.066,0.934,9.072,3.671,3.043,0.588,0.055,0.15,0.64,0.471,1.873
"2010-09",0.418,0.311,7.973,4.72,3.638,1.384,0.185,0.539,0.705,0.119,1.779
"2010-10",1.697,0.349,8.208,4.937,0.753,2.23,2.739,2.471,2.567,0.141,2.232
"2010-11",2.558,0.131,2.706,3.735,0.249,4.424,5.293,6.544,4.204,0.181,2.356
"2010-12",3.616,0.026,0.024,2.626,0.014,3.578,4.245,4.569,13.193,0.003,1.919
"2011-01",1.073,0.01,0.004,1.78,0.038,2.042,5.501,6.55,10.433,0.017,1.63
"2011-02",0.853,0.013,0.112,1.757,0.016,1.832,5.823,7.324,9.926,0.018,1.66
"2011-03",0.757,0.006,0.547,3.236,0.048,4.117,2.769,2.196,6.467,0.005,1.328
"2011-04",0.769,0.018,2.61,3.931,0.293,3.124,1.868,3.231,4.316,0.072,1.51
"2011-05",1.408,0.484,5.569,3.19,1.289,0.817,0.64,0.839,0.952,0.138,1.436
"2011-06",0.398,0.154,5,1.949,2.06,0.28,0.08,0.494,1.039,0.158,0.995
"2011-07",0.288,0.775,8.705,2.608,3.128,0.376,0.067,0.32,1.197,0.39,1.591
"2011-08",0.633,0.773,8.645,3.82,3.525,0.79,0.112,0.278,0.592,0.277,1.81
"2011-09",0.781,0.514,8.344,4.879,2.767,1.012,0.534,0.84,0.861,0.172,1.914
"2011-10",1.63,0.683,7.372,4.105,0.551,2.363,1.893,2.632,2.528,0.025,2.052
