#Dataset: Monthly information aggregated on IPCC reference regions for CMIP5/6 and CORDEX
#Reference: https://doi.org/10.5194/essd-12-2959-2020
#Project: CORDEX-AFR
#Experiment: rcp45
#Model: CCCma-CanESM2_r1i1p1_SMHI-RCA4_v1
#Variable: pr
#Variable_longname: mean daily precipitation
#Units: mm/day
#Time_frequency: month
#Feature_type: regional mean time series
#Regions: IPCC-WGI-reference-regions-v4
#Area: land and sea
#Spatial_resolution: 0.5 degrees
#Interpolation_method: cdo remapcon
#Creation_Date: 2021-03-14
"date","MED","SAH","WAF","CAF","NEAF","SEAF","WSAF","ESAF","MDG","ARP","full_domain"
"2006-01",1.208,0.019,0.044,1.869,0.121,2.767,2.851,7.182,7.161,0.011,2.093
"2006-02",2.084,0.023,0.701,2.824,0.049,2.483,3.396,3.549,5.485,0.064,1.966
"2006-03",1.078,0.017,0.816,3.219,0.321,4.335,0.759,1.292,4.506,0.002,1.909
"2006-04",0.862,0.009,2.033,2.36,1.859,6.036,0.102,0.636,3.592,0.027,1.955
"2006-05",0.526,0.289,4.093,2.946,1.254,3.416,0.169,0.288,1.625,0.058,2.01
"2006-06",0.392,0.24,5.545,1.666,0.981,1.463,0.147,0.307,0.991,0.004,1.762
"2006-07",0.132,0.181,3.644,1.126,2.012,0.642,0.228,0.605,1.333,0.003,1.414
"2006-08",0.11,0.575,6.951,2.922,2.387,0.672,0.187,0.253,0.562,0.003,1.662
"2006-09",0.169,0.173,5.598,3.423,2.098,1.64,0.091,0.114,0.363,0.006,1.49
"2006-10",0.307,0.003,1.375,3.486,1.671,3.757,0.342,0.702,1.401,0.002,1.431
"2006-11",1.596,0.003,0.263,2.945,1.188,6.422,1.967,2.352,2.651,0.007,1.73
"2006-12",1.598,0.014,0.03,2.404,0.163,3.396,2.468,4.357,7.986,0.002,1.891
"2007-01",1.215,0.009,0.003,2.143,0.038,1.753,3.151,4.986,9.881,0.001,2.122
"2007-02",0.941,0.005,0.026,2.295,0.003,2.044,3.136,4.776,8.413,0,2.081
"2007-03",0.494,0.002,0.405,2.835,0.163,3.695,2.276,2.081,6.019,0.001,1.881
"2007-04",0.229,0.017,1.833,2.618,0.778,3.053,0.145,1.055,3.419,0.002,1.832
"2007-05",0.314,0.028,2.941,2.342,1.582,0.975,0.202,0.882,1.523,0.005,1.808
"2007-06",0.153,0.084,3.834,1.908,1.438,0.514,0.22,0.772,1.266,0.004,1.633
"2007-07",0.083,0.296,7.311,2.023,1.714,0.437,0.166,0.649,1.519,0.005,1.709
"2007-08",0.119,0.457,7.866,2.73,2.633,0.448,0.084,0.432,0.919,0.076,1.627
"2007-09",0.171,0.128,5.066,3.345,2.346,1.189,0.059,0.171,0.298,0.161,1.268
"2007-10",0.561,0.01,1.501,4.122,2.339,3.096,0.358,0.375,0.629,0.253,1.279
"2007-11",1.613,0.005,0.235,4.219,1.607,4.965,1.702,3.089,3.506,0.002,1.778
"2007-12",1.643,0.046,0.016,2.533,0.42,3.966,3.024,3.634,5.154,0.002,1.876
"2008-01",1.934,0.009,0.019,1.924,0.006,1.588,3.713,6.302,10.412,0.001,2.032
"2008-02",0.83,0.003,0.047,1.843,0.003,1.511,3.652,7.831,10.226,0,2.021
"2008-03",1.092,0.003,1.201,3.216,0.021,3.483,2.354,4.254,4.395,0.001,1.993
"2008-04",0.504,0.017,2.124,3.998,1.579,3.893,0.559,1.678,1.541,0.005,1.992
"2008-05",0.443,0.039,3.331,2.86,1.486,1.94,0.283,1.512,2.514,0.026,1.975
"2008-06",0.133,0.019,3.181,1.914,1.195,0.87,0.367,0.845,2.248,0.016,1.622
"2008-07",0.103,0.147,5.407,1.816,1.829,0.367,0.273,0.388,0.832,0.06,1.489
"2008-08",0.1,0.268,7.131,2.19,2.294,0.432,0.199,0.332,0.774,0.075,1.5
"2008-09",0.217,0.127,5.45,3.766,1.484,1.096,0.112,0.152,0.356,0.041,1.366
"2008-10",0.76,0.006,1.431,3.646,1.29,2.346,0.397,0.479,0.741,0.002,1.3
"2008-11",1.988,0.005,0.661,3.276,1.682,3.788,1.814,1.849,1.712,0.007,1.676
"2008-12",1.719,0.026,0.076,1.92,0.043,2.331,2.09,5.541,8.382,0.004,1.891
"2009-01",1.961,0.005,0.017,1.925,0.047,2.085,2.33,4.104,9.484,0.002,1.938
"2009-02",1.461,0.007,0.107,2.145,0.001,1.611,2.047,3.927,10.121,0.001,1.896
"2009-03",0.77,0.004,0.573,2.654,0.048,3.005,1.248,1.652,6.99,0.007,1.686
"2009-04",0.879,0.005,2.031,2.543,1.372,3.172,0.208,1.154,1.483,0.03,1.726
"2009-05",0.579,0.141,3.997,2.484,1.188,1.144,0.37,0.478,1.204,0.043,1.898
"2009-06",0.261,0.076,3.659,1.843,1.349,0.786,0.223,0.461,1.554,0.004,1.354
"2009-07",0.207,0.183,5.404,1.961,1.852,0.508,0.208,0.28,0.959,0.006,1.415
"2009-08",0.197,0.413,6.663,2.546,2.102,0.513,0.139,0.224,1.142,0.035,1.404
"2009-09",0.153,0.062,4.34,2.972,1.319,0.821,0.107,0.212,1.014,0.005,1.18
"2009-10",1.011,0.025,2.514,3.305,1.364,1.743,0.484,0.522,0.623,0.004,1.345
"2009-11",1.049,0.02,1.21,3.056,0.762,3.697,2.089,2.467,2.17,0.082,1.602
"2009-12",1.376,0.007,0.069,2.215,0.034,2.59,1.768,5.993,8.826,0.008,2.097
"2010-01",1.693,0.007,0.005,2.085,0.005,1.886,2.766,5.244,7.272,0.005,1.894
