#Dataset: Monthly information aggregated on IPCC reference regions for CMIP5/6 and CORDEX
#Reference: https://doi.org/10.5194/essd-12-2959-2020
#Project: CORDEX-AFR
#Experiment: rcp45
#Model: MOHC-HadGEM2-ES_r1i1p1_CLMcom-CCLM4-8-17_v1
#Variable: pr
#Variable_longname: mean daily precipitation
#Units: mm/day
#Time_frequency: month
#Feature_type: regional mean time series
#Regions: IPCC-WGI-reference-regions-v4
#Area: land and sea
#Spatial_resolution: 0.5 degrees
#Interpolation_method: cdo remapcon
#Creation_Date: 2021-03-14
"date","MED","SAH","WAF","CAF","NEAF","SEAF","WSAF","ESAF","MDG","ARP","full_domain"
"2006-01",1.039,0.019,0.026,2.287,0.011,2.896,1.93,4.655,8.25,0.158,1.634
"2006-02",0.947,0,0.552,2.492,0.002,2.157,2.662,1.907,6.188,0.011,1.406
"2006-03",1.21,0.015,0.982,3.757,0.128,2.229,1.989,2.774,3.914,0.006,1.67
"2006-04",0.435,0.007,1.271,2.809,0.569,2.372,0.109,0.767,3.577,0.077,1.651
"2006-05",0.288,0.083,7.232,2.891,1.723,1.653,0.248,1.028,1.505,0.631,1.866
"2006-06",0.419,1.082,6.304,3.363,1.936,0.536,0.507,1.454,1.033,0.322,1.892
"2006-07",0.017,1.374,5.264,2.703,2.987,0.45,0.148,0.635,1.3,1.34,1.419
"2006-08",0.22,0.768,4.796,2.65,2.183,0.428,0.35,0.706,1.838,0.576,1.352
"2006-09",0.421,0.536,5.743,3.036,1.517,0.414,0.358,0.816,0.146,0.104,1.357
"2006-10",1.733,0.542,4.912,4.066,3.632,5.117,0.397,1.236,0.916,1.087,2.182
"2006-11",1.491,0.104,3.928,4.896,1.718,6.147,0.904,1.792,2.168,0.395,2.068
"2006-12",2.113,0.005,1.054,3.026,0.002,2.908,2.627,1.977,3.3,0.05,1.741
"2007-01",1.629,0.017,0.141,2.249,0,0.857,2.743,4.752,5.937,0.044,1.768
"2007-02",1.245,0.012,0.145,2.736,0.002,1.011,2.916,3.142,4.773,0.079,1.572
"2007-03",0.839,0.009,0.839,3.823,0.158,2.217,1.71,1.37,4.993,0.178,1.632
"2007-04",0.622,0.013,3.663,5.945,0.881,3.148,0.362,1.27,3.905,0.238,2.049
"2007-05",0.359,0.039,5.021,3.285,3.496,3.067,0.312,1.091,1.208,0.852,2.24
"2007-06",0.357,0.302,8.093,2.797,1.58,0.849,0.252,0.522,0.768,0.151,1.725
"2007-07",0.093,0.847,7.207,3.084,2.636,0.817,0.251,0.514,1.835,0.581,1.536
"2007-08",0.105,0.922,5.018,2.933,4.234,1.24,0.137,0.761,1.964,1.346,1.551
"2007-09",0.49,0.319,5.576,4.003,2.122,0.896,0.122,0.381,1.243,0.358,1.396
"2007-10",1.403,0.184,6.275,5.071,3.741,3.174,0.578,1.205,0.861,0.459,2.057
"2007-11",2.208,0.042,4.752,4.946,1.007,3.952,1.45,1.182,1.866,0.131,1.962
"2007-12",1.721,0.008,1.099,3.601,0.013,3.227,1.92,3.268,4.307,0.231,1.952
"2008-01",1.139,0.007,0.082,2.434,0.006,2.072,2.494,6.43,6.62,0.029,1.849
"2008-02",1.345,0.003,0.243,2.365,0.022,1.963,2.795,5.814,7.535,0.104,1.838
"2008-03",1.031,0.006,1.228,3.49,0.13,2.455,1.324,3.236,6.923,0.317,2.019
"2008-04",0.918,0.011,5.697,2.652,0.096,1.141,0.344,0.898,0.775,0.235,1.716
"2008-05",0.704,0.06,6.138,3.504,1.009,2.541,0.256,0.51,0.496,0.024,1.972
"2008-06",0.248,0.232,8.28,3.038,1.655,0.781,0.282,1.04,1.304,0.234,1.69
"2008-07",0.043,1.105,7.272,2.353,2.364,0.642,0.404,1.103,1.857,1.13,1.685
"2008-08",0.097,0.612,6.424,2.918,2.842,0.387,0.131,0.573,0.761,0.658,1.41
"2008-09",0.384,0.335,7.743,3.669,0.969,1.036,0.177,0.954,2.533,0.057,1.545
"2008-10",1.529,0.142,6.109,5.363,2.207,3.505,0.577,1.933,1.111,0.079,2.132
"2008-11",1.635,0.03,3.996,5.82,0.602,5.361,1.433,2.244,1.513,0.083,2.074
"2008-12",2.169,0.007,0.868,4.065,0.021,2.975,2.565,3.489,3.273,0.015,2.07
"2009-01",1.662,0.008,0.004,2.818,0.001,1.745,2.692,5.324,6.909,0.005,1.917
"2009-02",1.695,0.001,0.094,2.53,0.004,1.76,3.298,3.86,3.753,0.004,1.725
"2009-03",0.81,0.007,0.566,2.994,0.094,1.833,1.802,2.194,3.122,0.367,1.747
"2009-04",0.621,0.004,3.001,5.217,0.657,2.44,1.336,1.737,3.867,0.015,2.225
"2009-05",0.682,0.116,4.835,5.006,1.133,2.587,0.241,0.649,0.7,0.146,1.989
"2009-06",0.405,0.59,8.193,3.873,2.429,1.147,0.196,0.583,1.734,0.515,2.013
"2009-07",0.044,0.55,9.738,2.957,2.002,0.365,0.122,0.454,1.43,0.353,1.605
"2009-08",0.1,0.879,7.94,3.249,2.303,0.899,0.139,0.423,1.18,0.392,1.509
"2009-09",1.1,0.847,7.47,4.34,2.569,1.259,0.193,0.574,0.946,0.986,1.833
"2009-10",1.699,0.251,5.675,6.195,2.676,4.468,0.493,0.717,0.239,1.414,2.201
"2009-11",2.06,0.038,4.634,4.957,0.635,5.626,2.499,2.252,2.805,0.598,2.268
"2009-12",1.714,0.02,1.151,3.581,0.137,4.52,2.307,3.596,7.334,0.296,2.129
"2010-01",1.544,0.006,0.057,3.085,0.007,2.584,4.242,4.747,4.963,0.033,1.887
"2010-02",1.062,0.013,0.059,3.133,0.003,2.146,2.801,3.585,4.266,0.015,1.852
"2010-03",0.846,0.001,0.577,2.803,0.011,2.895,2.778,3.365,5.71,0.001,1.838
"2010-04",1.231,0.073,3.286,3.134,0.698,1.353,0.251,0.492,3.456,0.278,2.145
"2010-05",0.706,0.181,6.306,3.766,0.958,0.839,0.443,1.8,0.368,0.09,2.059
"2010-06",0.313,0.11,8.93,2.111,1.536,0.367,0.122,1.001,1.391,0.142,1.723
"2010-07",0.016,0.944,7.053,3.373,3.674,0.861,0.167,1.029,1.957,1.005,1.728
"2010-08",0.228,1.326,9.118,3.154,2.214,0.453,0.15,0.354,0.498,0.495,1.698
"2010-09",0.303,0.583,8.786,4.405,2.092,1.214,0.117,0.33,0.263,0.475,1.643
"2010-10",1.304,0.576,9.454,5.759,1.792,3.241,0.442,1.517,2.473,0.454,2.187
"2010-11",1.91,0.093,6.186,4.039,0.424,4.174,1.078,3.642,2.128,0.295,2.231
"2010-12",2.588,0.024,0.38,3.726,0.008,3.785,1.425,4.057,7.021,0.002,2.1
"2011-01",0.941,0.005,0.026,3.195,0.005,2.51,2.481,4.742,5.457,0.012,1.746
"2011-02",0.802,0.009,0.015,2.866,0.001,2.717,3.32,3.93,4.497,0.01,1.762
"2011-03",0.413,0.01,0.135,3.791,0.039,3.084,1.661,1.515,4.327,0.008,1.623
"2011-04",0.533,0.001,1.451,4.663,0.215,2.725,0.918,1.718,2.183,0.011,2.119
"2011-05",1.325,0.091,4.791,3.022,1.56,2.532,0.632,0.418,0.687,0.406,2.216
"2011-06",0.173,0.063,9.875,2.013,0.834,0.479,0.201,0.935,1.189,0.041,1.74
"2011-07",0.021,0.526,8.858,2.43,2.789,0.456,0.28,0.449,1.045,0.173,1.559
"2011-08",0.169,0.585,8.021,3.926,2.338,0.774,0.25,0.281,0.379,0.387,1.501
"2011-09",0.601,0.909,7.443,4.815,1.6,1.073,0.09,0.412,0.666,0.265,1.609
"2011-10",1.321,0.32,8.63,5.616,1.327,3.075,0.562,1.497,1.097,0.421,2.152
"2011-11",2.341,0.072,4.44,3.793,0.405,4.531,1.219,3.348,2.576,0.199,2.174
"2011-12",2.339,0.039,3.454,2.279,0.003,2.866,1.883,5.148,3.44,0.044,2.02
"2012-01",1.36,0.089,0.16,1.797,0,1.541,2.053,5.534,8.345,0.041,1.792
"2012-02",0.956,0.002,0.114,1.422,0.004,1.298,2.274,4.035,7.445,0.013,1.63
"2012-03",1.55,0.004,1.819,2.531,0.099,0.931,1.38,1.772,3.525,0.007,1.75
"2012-04",1.47,0.003,4.008,2.865,0.153,1.348,0.542,0.951,1.505,0.064,1.867
"2012-05",1.32,0.036,5.658,2.932,0.779,1.387,0.183,1.542,2.177,0.045,1.823
"2012-06",0.753,0.244,8.605,2.777,1.72,1.334,0.206,1.044,0.731,0.134,1.946
"2012-07",0.024,0.737,4.861,2.17,3.153,0.258,0.278,0.723,1.068,0.83,1.288
"2012-08",0.192,0.928,5.154,2.592,2.753,0.546,0.256,0.408,0.708,0.741,1.306
"2012-09",0.447,0.584,6.466,3.756,1.558,1.025,0.489,0.511,0.47,0.129,1.489
"2012-10",1.879,0.746,7.97,5.813,1.473,4.387,0.865,1.886,0.922,0.698,2.311
"2012-11",1.641,0.019,4.5,4.368,0.094,4.104,1.401,3.614,4.295,0.135,2.077
"2012-12",2.844,0.009,1.009,3.101,0.003,3.781,2.958,5.707,5.927,0.045,2.248
"2013-01",1.56,0.03,0.441,2.303,0.002,1.977,2.537,4.822,4.507,0.092,1.609
"2013-02",1.131,0.001,0.541,2.893,0.014,3.038,3.048,3.568,4.04,0.019,1.611
"2013-03",1.106,0.001,1.095,2.725,0.051,1.579,2.983,3.68,4.053,0.007,1.786
"2013-04",0.683,0.134,4.754,3.981,0.792,1.821,0.793,1.492,1.372,0.515,2.07
"2013-05",0.832,0.055,6.047,2.973,0.985,1.03,0.298,0.719,2.648,0.246,1.887
"2013-06",0.371,0.253,8.557,1.862,2.091,1.597,0.243,1.064,1.18,0.189,1.811
"2013-07",0.123,0.718,6.341,3.031,3.072,0.261,0.29,0.775,2.697,0.532,1.621
"2013-08",0.146,0.689,6.824,3.431,3.227,1.056,0.095,0.411,0.478,0.462,1.521
"2013-09",0.386,0.305,6.531,4.021,2.371,1.408,0.181,0.428,1.403,0.138,1.577
"2013-10",1.392,0.117,7.619,5.125,1.853,5.489,0.682,1.188,0.657,0.263,2.241
"2013-11",1.831,0.08,4.693,5.391,0.841,6.825,2.099,2.112,3.048,0.412,2.433
"2013-12",1.408,0.023,0.535,4.303,0.084,4.274,2.771,3.829,3.983,0.05,2.155
"2014-01",1.473,0.012,0.083,2.784,0.005,2.91,2.684,5.378,9.908,0.04,2.075
"2014-02",1.084,0.003,0.183,2.77,0,2.162,3.007,3.789,5.413,0.001,1.849
"2014-03",1.114,0.002,0.505,3.247,0.047,1.046,1.219,1.597,2.682,0.002,1.666
"2014-04",0.836,0.035,2.99,3.397,0.301,2.91,0.603,1.27,1.104,0.047,2.073
"2014-05",0.779,0.037,4.18,5.045,1.963,3.062,0.22,0.495,1.557,0.796,2.116
"2014-06",0.252,0.207,9.828,2.867,1.38,0.923,0.285,0.393,0.776,0.091,1.966
"2014-07",0.095,0.829,9.685,2.991,2.133,0.474,0.18,0.555,1.961,0.35,1.674
"2014-08",0.093,0.616,7.702,3.133,2.68,0.428,0.175,0.522,0.846,0.43,1.505
"2014-09",1.401,0.227,7.691,4.377,2.056,1.153,0.083,0.352,1.045,0.187,1.605
"2014-10",1.887,0.284,7.19,5.477,3.495,3.848,0.472,1.577,0.871,0.784,2.343
"2014-11",1.98,0.07,5.349,5.649,0.684,6.28,1.014,1.818,1.72,0.259,2.34
"2014-12",1.627,0.029,0.218,3.468,0.029,5.361,2.69,3.749,4.783,0.184,2.229
"2015-01",1.102,0.01,0.045,2.875,0.007,3.696,2.075,6.439,9.653,0.165,2.154
"2015-02",1.302,0.003,0.051,2.504,0.006,1.627,2.706,3.764,9.081,0.013,1.803
"2015-03",0.685,0.001,1.316,2.678,0.123,0.891,0.999,1.716,7.622,0.072,1.61
"2015-04",1.638,0.045,4.74,2.684,0.332,1.497,0.649,1.68,2.799,0.442,1.973
"2015-05",0.986,0.255,6.297,3.166,1.295,1.97,0.311,0.716,2.347,0.331,2.025
"2015-06",0.287,0.531,8.209,2.409,1.845,1.301,0.124,0.301,0.417,0.105,1.897
"2015-07",0.017,0.418,4.641,2.237,2.872,0.82,0.334,0.54,0.962,0.503,1.419
"2015-08",0.199,0.323,5.841,3.252,2.747,0.765,0.166,0.699,1.632,0.457,1.365
"2015-09",0.227,0.499,6.04,4.181,2.395,1.941,0.397,1.804,0.519,0.404,1.616
"2015-10",1.861,0.482,5.936,4.291,2.531,3.51,0.495,1.449,0.502,1.219,2.183
"2015-11",1.673,0.167,3.416,4.862,0.277,5.697,1.037,2.119,2.431,0.588,2.245
"2015-12",1.439,0.014,0.798,2.687,0.01,3.632,1.197,4.377,3.918,0.103,1.852
"2016-01",1.725,0.009,0.07,2.619,0,1.649,2.818,4.764,5.895,0.069,1.788
"2016-02",0.765,0.003,0.074,2.242,0.002,2.236,2.902,3.973,6.074,0.01,1.63
"2016-03",0.685,0.006,0.593,3.173,0.138,1.436,1.752,1.304,4.872,0.152,1.753
"2016-04",1.153,0.018,3.219,5.236,0.742,2.244,0.283,1.405,0.659,0.325,2.175
"2016-05",0.7,0.003,4.897,2.847,0.377,1.015,0.256,0.956,1.653,0,1.79
"2016-06",0.441,0.367,9.928,2.616,1.67,0.213,0.584,0.875,1.028,0.099,1.715
"2016-07",0.045,1.039,7.149,2.279,2.072,0.269,0.32,0.325,1.138,0.297,1.607
"2016-08",0.123,0.931,5.674,3.051,3.548,0.882,0.185,0.671,3.113,0.715,1.608
"2016-09",0.464,0.232,7.147,3.227,1.79,0.909,0.163,0.427,0.136,0.252,1.386
"2016-10",2.28,0.288,6.94,5.711,2.065,4.605,0.688,1.316,0.771,0.208,2.296
"2016-11",2.329,0.069,4.958,3.634,0.512,5.637,0.811,2.75,3.445,0.433,2.256
"2016-12",1.177,0.022,1.208,2.068,0.021,4.04,1.18,4.868,9.356,0.226,2.137
"2017-01",1.153,0.002,0.026,1.636,0,1.124,1.476,4.908,9.283,0.004,1.704
"2017-02",0.7,0.009,0.181,1.663,0.006,2.196,1.832,3.736,7.52,0.034,1.546
"2017-03",0.641,0.009,0.998,3.347,0.212,3.961,2.19,4.082,2.164,0.356,1.662
"2017-04",0.528,0.014,3.757,4.471,1.076,2.878,0.498,1.33,1.882,0.092,1.866
"2017-05",0.756,0.235,7.13,2.988,0.676,1.393,0.509,1.149,0.814,0.222,1.793
"2017-06",0.581,0.581,7.741,3.865,2.223,1.537,0.089,1.475,1.296,0.191,1.891
"2017-07",0.034,0.775,5.143,2.686,4.031,0.554,0.355,0.732,1.501,0.682,1.59
"2017-08",0.084,0.314,5.026,3.221,2.81,0.552,0.464,0.673,0.982,0.425,1.278
"2017-09",0.755,0.268,6.618,3.981,1.523,1.718,0.213,1.058,0.122,0.155,1.503
"2017-10",2.43,0.281,4.758,4.597,3.218,3.977,0.557,0.546,0.63,0.463,2.094
"2017-11",1.632,0.04,5.937,4.365,0.503,5.759,0.927,2.105,2.587,0.106,2.109
"2017-12",1.087,0.037,0.874,3.678,0.008,3.506,1.881,3.096,6.105,0.172,2.062
"2018-01",1.256,0.008,0.057,2.997,0.003,2.259,2.472,3.343,4.265,0.11,1.825
"2018-02",1.522,0.01,0.191,3.223,0.004,2.175,2.779,5.003,7.008,0.056,1.936
"2018-03",1.004,0.002,0.498,3.262,0.025,2.06,2.646,3.4,5.801,0.008,1.899
"2018-04",1.369,0.009,3.28,2.922,0.269,1.146,0.43,1.111,2.748,0.049,2.099
