#Dataset: Monthly information aggregated on IPCC reference regions for CMIP5/6 and CORDEX
#Reference: https://doi.org/10.5194/essd-12-2959-2020
#Project: CORDEX-AFR
#Experiment: rcp85
#Model: MOHC-HadGEM2-ES_r1i1p1_CLMcom-KIT-CCLM5-0-15_v1
#Variable: pr
#Variable_longname: mean daily precipitation
#Units: mm/day
#Time_frequency: month
#Feature_type: regional mean time series
#Regions: IPCC-WGI-reference-regions-v4
#Area: sea only
#Spatial_resolution: 0.5 degrees
#Interpolation_method: cdo remapcon
#Creation_Date: 2021-03-14
"date","MED","SAH","WAF","CAF","NEAF","SEAF","WSAF","ESAF","MDG","ARP","full_domain"
"2006-01",1.801,0.109,0.78,6.753,0.031,0.173,0.304,2.974,7.186,0.294,2.137
"2006-02",1.511,0.115,0.518,9.228,0.014,0.296,0.784,3.762,8.063,0.223,2.242
"2006-03",0.752,0.119,2.822,6.92,0,0.326,0.877,4.533,5.894,0.011,2.196
"2006-04",0.701,0.155,8.591,6.017,0.002,4.376,0.569,6.968,7.688,0.649,2.728
"2006-05",0.705,0.031,15.435,5.042,0.703,4.104,0.578,3.183,3.182,0.265,2.732
"2006-06",1.139,0.462,16.582,0.88,0.837,3.51,0.57,2.628,2.615,1.95,2.498
"2006-07",0.147,0.797,8.29,0.192,1.434,1.571,0.602,1.112,1.284,3.559,1.839
"2006-08",1.086,0.484,5.344,0.094,0.761,0.642,0.203,0.883,1.111,2.356,1.442
"2006-09",1.57,0.596,7.924,0.412,0.807,1.304,0.15,0.858,0.805,0.813,1.839
"2006-10",2.362,0.96,16.055,2.317,0.851,5.916,0.205,2.071,2.499,3.106,2.683
"2006-11",2.003,0.79,15.421,9.71,1.245,10.669,0.246,3.4,4.273,4.238,3.438
"2006-12",1.686,0.528,2.686,8.805,0.078,7.681,0.417,2.835,2.471,1.694,2.959
"2007-01",1.725,0.102,0.828,10.212,0.021,0.536,1.558,4.635,7.17,0.247,2.674
"2007-02",1.667,0.027,0.774,7.424,0.001,0.028,0.679,7.372,8.467,0.215,2.495
"2007-03",1.634,0.031,7.571,7.04,0,2.411,0.351,3.795,2.634,0.038,2.719
"2007-04",0.684,0.075,10.09,9.865,0.761,3.566,0.601,2.938,4.251,0.16,2.931
"2007-05",0.872,0.252,11.478,12.724,0.539,3.861,0.428,2.525,1.708,1.346,2.747
"2007-06",0.324,0.537,18.414,1.561,0.666,3.228,0.248,1.466,1.325,1.779,2.226
"2007-07",0.024,1.469,9.1,0.202,1.484,3.227,0.61,1.235,1.65,6.22,1.953
"2007-08",0.031,0.601,5.126,0.14,0.92,1.06,0.264,0.83,1.09,2.514,1.429
"2007-09",0.793,1.201,6.875,0.273,3.305,1.268,0.342,1.994,2.417,3.464,1.826
"2007-10",2.832,1.118,11.349,1.189,4.265,4.15,0.514,2.023,1.071,1.741,2.592
"2007-11",2.066,0.956,14.474,4.693,0.155,2.457,0.202,3.082,4.756,2.154,2.76
"2007-12",2.534,1.074,3.821,5.056,0.308,1.968,0.204,3.691,8.025,1.715,2.615
"2008-01",1.833,0.059,1.318,7.448,0.029,0.731,0.839,3.259,6.538,0.059,2.101
"2008-02",1.519,0.003,0.258,11.53,0.004,0.568,1.536,3.392,4.861,0.007,2.091
"2008-03",1.164,0.013,1.121,11.583,0.004,1.17,1.358,2.81,4.166,0.064,2.774
"2008-04",0.66,0.06,8.794,16.39,0.082,6.505,1.143,3.406,4.43,0.23,3.652
"2008-05",0.384,0.24,8.677,14.624,0.63,4.044,0.368,2.071,1.84,1.302,2.885
"2008-06",0.148,0.543,15.823,1.915,0.386,2.685,0.282,2.456,3.847,1.683,2.484
"2008-07",0.11,0.721,11.054,0.317,1.109,1.189,0.546,2.101,3.279,2.018,1.97
"2008-08",0.177,0.864,7.815,0.185,1.028,1.142,0.718,1.832,1.946,3.164,1.856
"2008-09",2.197,0.966,11.053,0.52,4.431,1.647,0.594,2.315,1.588,1.731,2.252
"2008-10",1.911,0.174,12.758,2.53,3.239,4.392,0.145,2.461,2.271,0.579,2.542
"2008-11",3.18,0.294,15.207,4.703,0.364,8.794,0.635,3.828,5.522,0.95,3.295
"2008-12",1.514,0.439,2.892,7.968,0.165,8.409,0.293,5.602,5.027,1.02,2.991
"2009-01",0.889,0.074,0.178,11.271,0.033,2.002,0.722,4.476,8.906,0.266,2.965
"2009-02",1.61,0.099,0.312,12.548,0.001,0.702,1.956,3.963,6.86,0.242,2.338
"2009-03",1.14,0.046,3.057,10.744,0,1.45,0.421,2.472,6.453,0.027,2.717
"2009-04",0.602,0.091,11.694,18.642,0.003,6.423,0.421,4.89,2.913,0.219,3
"2009-05",0.528,0.319,16.172,11.824,0.746,7.061,0.382,3.211,3.438,0.949,3.127
"2009-06",0.908,0.435,11.55,0.649,1.245,5.835,0.197,1.33,2.035,1.429,2.536
"2009-07",0.152,1.157,7.199,0.049,1.528,0.998,0.843,2.172,1.01,5.214,1.772
"2009-08",0.619,1.265,6.118,0.207,1.197,0.866,0.127,0.912,1.019,3.079,1.539
"2009-09",1.932,1.13,9.349,0.7,1.362,1.905,0.131,1.241,1.765,2.87,2.277
"2009-10",3.012,2.472,15.775,3.509,7.408,7.648,0.061,1.201,1.289,5.306,3.071
"2009-11",1.491,0.855,13.099,8.682,4.329,9.097,0.498,3.864,3.71,5.278,3.091
"2009-12",1.485,0.379,2.258,9.389,0.178,8.022,0.377,4.833,8.555,1.302,3.358
"2010-01",1.929,0.331,0.442,9.98,0.011,1.329,0.547,1.853,7.643,0.922,2.645
"2010-02",0.879,0.1,1.238,7.392,0.006,0.38,0.621,2.473,6.775,0.357,2.224
"2010-03",0.683,0.066,1.54,12.757,0.001,2.403,1.245,3.957,3.466,0.04,2.321
"2010-04",0.894,0.044,9.916,17.36,0,3.609,0.973,4.254,5.522,0.076,3.412
"2010-05",0.194,0.598,11.425,11.029,4.561,9.976,0.517,2.675,3.168,4.105,3.335
"2010-06",0.851,0.538,12.937,4.328,1.731,2.648,0.451,1.915,1.935,2.902,2.44
"2010-07",0.163,0.641,8.98,0.386,1.441,2.252,0.753,1.339,2.018,2.786,1.939
"2010-08",0.574,0.323,7.947,0.184,1.415,0.707,0.775,1.319,1.376,1.974,1.599
"2010-09",1.829,0.923,7.698,0.416,4.316,2.728,0.248,2.296,1.844,2.223,1.984
"2010-10",3.255,2.352,11.571,1.553,6.833,4.764,0.306,1.334,1.558,6.9,2.537
"2010-11",2.869,0.849,11.878,4.979,2.292,10.836,0.38,2.653,2.205,2.929,2.938
"2010-12",2.25,0.188,8.502,5.991,0.961,6.018,0.365,4.804,8.024,0.577,3.123
"2011-01",1.625,0.07,0.291,12.527,0.018,1.739,0.877,3.91,10.717,0.394,2.751
"2011-02",1.065,0.063,0.493,11.423,0.004,0.696,0.988,3.53,4.802,0.182,2.374
"2011-03",0.798,0.129,2.825,12.053,0.006,2.904,1.074,2.361,2.041,0.073,2.336
"2011-04",0.931,0.028,11.499,16.953,0.024,3.939,0.815,1.955,4,0.155,3.31
"2011-05",0.413,0.335,10.148,13.095,0.055,6.2,0.799,4.044,5.231,0.924,3.504
"2011-06",0.347,0.398,19.355,2.622,1.045,6.234,0.601,2.657,1.909,1.096,2.774
"2011-07",0.641,0.496,9.429,0.126,1.151,0.953,0.413,2.67,3.11,2.364,2.224
"2011-08",0.088,1.052,6.862,0.149,1.026,0.898,0.385,1.378,1.718,5.021,1.549
"2011-09",0.715,0.835,7.315,0.478,2.543,1.574,0.393,1.59,0.801,2.028,1.63
"2011-10",2.96,0.949,12.713,2.296,6.029,2.475,0.348,1.293,0.999,0.677,2.254
"2011-11",1.541,0.654,11.68,6.58,0.804,8.276,0.379,2.456,2.346,1.916,2.836
"2011-12",2.066,0.237,1.542,8.484,0.216,4.724,0.297,3.958,6.451,1.985,2.549
"2012-01",1.106,0.047,0.24,9.572,0.04,0.641,0.843,3.01,6.589,0.185,2.342
"2012-02",2.13,0.133,0.901,7.082,0.002,0.354,0.87,3.183,7.471,0.064,2.236
"2012-03",0.86,0.109,4.493,7.507,0.015,1.363,1.158,4.905,5.743,0.291,2.649
"2012-04",0.956,0.009,9.481,11.148,0.001,5.151,0.708,3.685,3.73,0.003,3.2
"2012-05",0.818,0.681,12.418,10.065,0.589,8.609,0.178,3.033,1.774,1.636,3.062
"2012-06",1.214,1.355,14.579,2.517,3.28,2.469,0.257,1.948,3.317,4.612,2.774
"2012-07",0.117,1.416,10.172,0.262,2.349,1.51,0.509,2.088,3.434,4.803,2.072
"2012-08",0.726,1.089,7.054,0.049,2.534,1.831,0.213,1.484,1.539,4.622,1.58
"2012-09",0.743,0.739,10.356,0.6,2.417,2.66,0.351,0.864,0.355,1.983,1.744
"2012-10",1.905,1.998,11.132,1.774,6.781,3.564,0.222,1.87,1.047,5.489,2.601
"2012-11",1.6,1.17,9.999,9.522,1.203,9.537,0.216,2.956,4.127,2.655,2.934
"2012-12",1.871,0.278,1.701,11.652,0.243,6.273,0.584,2.751,6.168,1.261,2.988
"2013-01",2.46,0.194,0.733,8.063,0.01,0.569,0.743,5.627,7.856,0.364,2.425
"2013-02",1.332,0.089,0.921,9.318,0.01,0.434,1.189,3.751,5.314,0.165,2.29
"2013-03",1.369,0.062,4.324,9.315,0.008,1.583,1.627,3.305,8.841,0.004,2.973
"2013-04",0.509,0.044,9.736,15.437,0.027,3.926,1.047,3.242,5.336,0.11,3.135
"2013-05",0.841,0.611,9.833,10.075,1.009,5.796,0.557,2.38,4.368,2.461,2.867
"2013-06",0.165,0.466,18.28,6.11,1.183,5.22,0.634,2.302,2.234,2.374,2.537
"2013-07",0.097,0.705,11.919,0.416,1.05,0.851,0.501,2.715,1.816,4.244,1.942
"2013-08",0.005,1.851,5.722,0.202,1.431,0.588,0.418,1.919,2.31,7.907,1.604
"2013-09",1.682,1.147,7.568,0.485,1.271,0.867,0.286,0.746,1.13,2.566,1.692
"2013-10",2.341,0.822,11.571,1.789,2.743,3.86,0.252,0.849,0.787,0.903,2.362
"2013-11",2.48,0.52,13.659,5.975,0.129,7.741,0.115,2.327,2.836,2.154,2.857
"2013-12",1.374,0.287,0.724,10.645,0.022,3.535,0.719,3.267,4.817,0.835,2.532
"2014-01",1.173,0.101,0.198,12.254,0.01,0.141,0.6,3.066,6.259,0.216,2.107
"2014-02",0.922,0.02,0.655,7.635,0.003,0.786,0.551,4.26,5.807,0.039,1.907
"2014-03",1.518,0.01,4.04,5.723,0.001,1.213,0.981,5.784,6.052,0.046,2.372
