#Dataset: Monthly information aggregated on IPCC reference regions for CMIP5/6 and CORDEX
#Reference: https://doi.org/10.5194/essd-12-2959-2020
#Project: CORDEX-AFR
#Experiment: rcp26
#Model: ICHEC-EC-EARTH_r12i1p1_KNMI-RACMO22T_v1
#Variable: tas
#Variable_longname: mean near-surface air temperature
#Units: degC
#Time_frequency: month
#Feature_type: regional mean time series
#Regions: IPCC-WGI-reference-regions-v4
#Area: land only
#Spatial_resolution: 0.5 degrees
#Interpolation_method: cdo remapcon
#Creation_Date: 2021-03-14
"date","MED","SAH","WAF","CAF","NEAF","SEAF","WSAF","ESAF","MDG","ARP","full_domain"
"2006-01",6.839,14.6,22.707,21.03,20.839,19.58,20.332,20.039,21.689,13.513,15.937
"2006-02",9.128,17.753,24.785,22.077,22.406,20.009,20.258,19.873,22.109,15.061,17.602
"2006-03",12.229,21.339,25.951,22.504,23.116,19.69,19.539,19.139,21.794,18.604,19.357
"2006-04",13.661,24.013,24.708,22.458,23.955,20.56,19.175,18.023,21.41,22.712,20.83
"2006-05",16.993,25.735,23.158,21.595,23.371,20.403,15.552,15.757,20.18,27.873,21.821
"2006-06",21.479,28.057,23.128,21.591,22.371,20.112,14.778,15.255,18.354,29.368,23.102
"2006-07",25.063,28.522,22.911,21.82,22.198,20.029,14.724,14.855,17.623,29.641,23.533
"2006-08",25.114,28.981,22.939,22.319,22.317,21.299,16.697,17.644,19.253,29.303,24.268
"2006-09",20.973,26.548,23.321,21.991,22.609,21.737,19.196,20.714,20.805,27.541,23.178
"2006-10",15.664,24.941,24.079,21.924,21.981,20.961,21.784,22.063,22.52,24.556,21.936
"2006-11",10.508,20.205,23.844,21.573,21.125,19.678,21.703,22.364,23.498,19.145,19.077
"2006-12",8.566,15.926,21.676,20.924,20.488,19.373,20.893,20.009,22.952,15.823,16.838
"2007-01",5.468,12.216,20.273,20.554,20.857,20.031,20.487,20.753,23.277,13.911,15.153
"2007-02",6.622,16.774,24.72,22.882,22.519,21.139,19.682,19.864,21.801,14.646,17.217
"2007-03",9.217,20.626,26.431,23.081,23.556,20.487,19.429,20.319,22.564,18.614,19.231
"2007-04",12.253,24.015,25.195,23.186,24.566,20.928,19.419,20.185,22.581,25.22,21.562
"2007-05",15.363,24.965,23.736,21.608,22.529,20.494,16.638,18.029,21.342,27.823,21.678
"2007-06",19.072,27.349,23.64,21.35,22.528,19.87,12.986,13.768,18.375,28.637,22.308
"2007-07",24.115,28.627,23.14,22.357,22.415,20.822,13.081,14.607,18.792,29.229,23.516
"2007-08",22.382,27.669,23.014,22.198,22.121,21.054,15.564,17.213,19.685,28.423,23.467
"2007-09",18.578,26.283,23.242,21.554,21.984,20.955,17.908,19.1,20.469,24.937,22.297
"2007-10",13.745,23.083,23.746,21.202,21.135,20.383,19.845,20.88,22.49,22.122,20.582
"2007-11",9.733,17.412,22.806,21.544,20.929,20.261,20.659,21.862,22.842,17.752,17.911
