#Dataset: Monthly information aggregated on IPCC reference regions for CMIP5/6 and CORDEX
#Reference: https://doi.org/10.5194/essd-12-2959-2020
#Project: CORDEX-AFR
#Experiment: rcp26
#Model: MOHC-HadGEM2-ES_r1i1p1_GERICS-REMO2015_v1
#Variable: tas
#Variable_longname: mean near-surface air temperature
#Units: degC
#Time_frequency: month
#Feature_type: regional mean time series
#Regions: IPCC-WGI-reference-regions-v4
#Area: land and sea
#Spatial_resolution: 0.5 degrees
#Interpolation_method: cdo remapcon
#Creation_Date: 2021-03-14
"date","MED","SAH","WAF","CAF","NEAF","SEAF","WSAF","ESAF","MDG","ARP","full_domain"
"2006-01",8.888,13.735,23.639,23.337,23.5,24.495,22.928,23.819,26.011,14.783,19.376
"2006-02",9.804,14.901,25.23,25.697,25.468,25.825,23.492,24.563,26.271,17.654,20.422
"2006-03",11.61,18.278,27.626,26.717,27.127,26.375,23.351,24.349,26.167,20.721,21.583
"2006-04",15.544,24.906,29.698,27.761,28.404,26.151,22.043,22.522,25.403,24.844,23.043
"2006-05",18.978,26.913,28.821,27.137,28.352,24.916,18.949,19.48,23.627,28.343,23.104
"2006-06",24.273,30.812,28.216,26.37,28.101,23.924,17.066,18.556,22.494,33.028,23.724
"2006-07",26.152,31.778,26.025,25.544,26.703,23.657,17.19,18.681,22.168,33.32,23.507
"2006-08",26.534,31.148,25.191,24.871,25.285,23.867,18.572,19.751,21.858,32.736,23.28
"2006-09",23.688,29.626,26.33,26.004,27.155,25.316,20.534,23.403,23.302,30.464,23.238
"2006-10",19.312,25.2,26.21,24.606,26.141,25.551,21.017,24.162,24.847,25.377,21.959
"2006-11",14.92,19.651,25.198,24.166,25.66,25.122,22.214,24.607,25.718,21.58,20.874
"2006-12",12.486,15.952,23.12,23.661,24.55,25.072,22.748,24.715,26.692,18.168,20.049
"2007-01",10.835,15.677,24.401,24.278,24.698,24.888,23.863,24.701,26.817,16.626,20.363
"2007-02",10.159,17.298,26.949,26.868,26.351,26.228,24.302,25.095,27.061,17.941,21.221
"2007-03",13.226,21.464,29.193,27.704,27.518,26.489,23.21,23.896,26.916,21.503,22.385
"2007-04",14.607,24.094,30.083,28.907,29.471,26.717,22.674,23.564,26.112,25.803,23.134
"2007-05",18.229,28.016,29.397,27.976,29.466,25.861,18.594,20.64,24.989,29.544,23.434
"2007-06",23.477,32.127,28.298,26.654,28.679,24.752,17.495,19.532,23.445,33.355,24.02
"2007-07",25.814,31.915,26.029,25.281,25.926,24.335,17.507,19.399,22.713,34.378,23.606
"2007-08",26.193,31.042,25.459,24.815,26.162,24.607,18.503,20.988,23.092,32.737,23.359
"2007-09",23.761,29.566,25.443,24.963,26.772,25.363,20.158,23.254,23.715,31.31,23.103
"2007-10",18.928,26.002,26.626,24.293,25.806,25.165,21.642,24.203,24.589,26.69,22.107
"2007-11",14.049,18.791,24.59,23.331,24.828,24.243,22.138,24.159,25.509,21.691,20.521
"2007-12",10.673,14.887,23.232,23.145,23.979,24.026,23.34,24.339,26.434,16.4,19.719
"2008-01",8.852,12.612,22.314,22.95,23.365,24.071,23.221,24.808,26.999,15.674,19.487
"2008-02",10.556,15.477,25.149,25.224,24.564,25.051,23.746,24.585,27.079,16.698,20.739
"2008-03",11.419,19.23,27.855,26.709,26.381,25.554,23.392,24.111,26.883,19.137,21.754
"2008-04",15.238,24.183,29.132,27.104,27.638,24.936,21.929,22.726,25.544,25.67,22.912
"2008-05",18.922,27.493,29.269,27.34,28.136,24.623,19.719,20.428,24.193,28.852,23.381
"2008-06",23.23,30.344,27.341,26.287,28.235,24.084,17.802,19.154,23.403,32.646,23.699
"2008-07",26.186,31.922,26.31,25.125,26.564,23.818,16.736,18.565,22.322,33.615,23.583
"2008-08",25.213,30.915,25.057,24.736,26.41,24.316,17.863,19.97,22.057,32.738,23.251
"2008-09",22.525,29.04,26.307,25.867,27.24,25.429,19.814,22.765,23.399,30.516,23.087
"2008-10",19.67,25.79,26.909,25.104,26.373,25.674,21.13,24.434,24.572,26.342,22.365
"2008-11",14.888,19.516,25.441,24.323,25.647,25.489,21.96,25.031,25.777,20.448,20.69
"2008-12",10.843,14.537,23.276,23.915,25.088,24.973,23.199,24.398,26.488,17.114,19.712
"2009-01",10.292,14.087,23.076,23.839,24.436,25.002,24.272,25.268,27.248,16.221,20.158
"2009-02",10.744,17.086,26.192,26.184,25.686,26.004,24.034,25.107,27.642,17.454,21.319
"2009-03",11.439,19.504,28.271,28.165,28.272,27.152,24.006,25.152,27.243,21.271,22.407
"2009-04",15.184,24.389,30.679,28.911,29.403,27.026,22.768,23.244,26.017,24.728,23.292
"2009-05",18.701,27.809,30.043,28.094,28.717,25.829,19.864,21.061,24.939,28.569,23.604
"2009-06",24.233,31.275,28.684,27.107,28.582,25.092,18.193,20.014,23.723,33.313,24.223
"2009-07",26.434,32.503,27.381,26.405,27.409,24.633,17.053,19.089,22.863,34.616,24.13
"2009-08",26.348,31.71,25.988,25.63,26.541,24.887,18.926,21.522,22.789,33.497,23.806
"2009-09",23.915,29.826,26.278,25.617,27.584,25.427,20.671,22.823,23.759,31.138,23.408
"2009-10",18.689,24.901,26.667,25.088,26.492,25.787,21.801,25.003,25.118,25.94,22.209
"2009-11",13.657,18.993,25.725,24.676,25.944,25.673,22.76,25.043,26.24,21.243,20.789
"2009-12",11.071,15.308,23.972,23.655,24.702,25.104,23.263,24.494,26.533,16.393,19.881
"2010-01",9.328,14.931,24.766,24.261,24.442,25.039,23.693,24.753,27.036,14.907,20.068
"2010-02",11.032,16.892,25.819,25.239,25.341,25.445,23.763,24.148,26.812,17.526,21.017
"2010-03",13.905,20.029,28.29,26.373,27.447,25.639,23.424,24.003,26.32,21.983,22.284
"2010-04",16.126,25.481,30.175,28.47,28.973,25.669,22.018,22.254,25.588,26.607,23.522
"2010-05",19.114,27.675,30.085,27.959,28.836,24.962,19.401,21.293,24.469,29.983,23.776
"2010-06",24.195,30.895,28.419,26.311,28.426,24.184,17.63,19.381,23.511,33.076,24.072
"2010-07",26.548,31.898,26.23,24.652,26.159,23.875,16.576,19.433,22.766,33.738,23.712
"2010-08",26.538,30.974,25.092,24.014,23.852,23.872,18.465,20.867,22.622,32.447,23.35
"2010-09",23.501,29.357,26.215,25.428,26.581,25.194,20.039,23.129,23.858,30.699,23.24
"2010-10",19.663,25.894,26.749,25.266,26.24,25.416,22.533,24.495,24.869,25.859,22.436
"2010-11",13.91,20.093,26.207,25.104,26.075,25.881,22.654,24.651,25.971,21.224,21.124
"2010-12",10.637,15.589,24.063,23.92,24.77,25.028,22.707,24.557,27.061,17.466,19.862
"2011-01",10.415,15.187,24.267,23.76,24.094,24.144,23.38,24.549,27.29,14.781,20.013
"2011-02",10.24,15.999,25.767,25.816,25.658,25.775,23.764,24.482,26.934,18.687,20.912
"2011-03",11.542,19.871,28.459,27.542,27.68,26.157,23.471,24.433,26.733,21.303,22.122
"2011-04",15.394,24.628,29.683,27.579,28.232,25.909,21.925,22.836,26.117,25.731,23.103
"2011-05",18.932,27.808,29.121,27.067,27.914,25.105,19.677,20.785,24.772,28.722,23.385
"2011-06",24.354,31.066,26.995,25.688,28.075,24.327,17.313,18.64,23.512,33.038,23.759
"2011-07",26.375,31.908,25.924,24.572,25.497,23.82,17.076,19.185,23.217,33.561,23.583
"2011-08",26.36,31.181,24.89,24.536,26.122,24.227,17.966,19.89,22.878,32.699,23.283
"2011-09",24.217,29.343,25.72,25.167,26.59,24.801,20.32,21.659,23.281,30.29,22.919
"2011-10",19.23,25.355,26.869,25.84,26.611,25.612,21.628,24.63,24.521,25.653,22.115
"2011-11",13.773,19.271,25.094,24.377,25.722,25.325,22.31,25.031,26.619,20.098,20.645
"2011-12",11.493,14.909,22.867,24.018,24.567,24.721,23.415,24.822,26.968,17.201,19.875
"2012-01",8.574,13.593,23.933,23.192,23.589,23.992,23.028,24.686,27.315,15.083,19.408
"2012-02",10.813,15.87,24.941,24.59,24.685,24.609,23.429,24.709,26.603,16.856,20.461
"2012-03",12.401,19.853,27.793,26.873,27.039,25.474,23.165,24.168,26.509,22.475,22.061
"2012-04",15.185,24.494,29.581,28.033,28.719,26.07,22.263,23.336,25.799,24.98,23.101
"2012-05",19.348,28.126,28.796,26.831,27.638,24.688,20.444,21.848,24.654,29.176,23.65
"2012-06",24.024,31.047,28.139,26.953,28.563,24.488,18.379,19.775,23.119,33.09,24.036
"2012-07",26.807,32.07,26.62,25.664,26.713,23.974,18.203,19.591,22.216,34.083,24.026
"2012-08",26.413,31.314,25.343,24.889,23.802,24.093,18.785,21.47,22.421,32.811,23.447
"2012-09",22.943,30.385,26.45,25.561,26.908,24.929,21.203,23.315,23.18,30.776,23.382
"2012-10",19.101,26.115,27.144,25.504,26.72,25.746,22.231,24.747,24.414,25.911,22.442
"2012-11",13.973,19.767,25.699,24.346,25.746,25.652,22.525,23.881,25.435,20.045,20.86
"2012-12",11.021,15.751,23.624,23.662,24.102,24.905,23.213,24.63,26.221,16.461,19.971
"2013-01",10.278,14.553,23.661,23.961,24.062,25.068,23.616,24.914,26.787,16.352,20.137
"2013-02",12.018,17.528,25.572,25.416,25.311,25.436,23.701,24.252,26.741,18.188,21.2
"2013-03",14.202,22.1,29.005,27.22,27.486,25.721,23.129,24.512,26.386,22.445,22.69
"2013-04",16.301,24.556,29.642,27.435,28.073,25.674,22.379,23.603,25.973,26.077,23.343
"2013-05",19.726,28.365,29.637,27.762,28.654,24.897,20.478,21.891,24.229,29.69,23.876
"2013-06",24.407,30.941,27.866,26.131,27.976,23.924,18.609,19.256,22.875,33.333,24.003
"2013-07",26.78,32.203,26.018,24.947,25.457,23.274,17.781,18.56,21.756,33.761,23.734
