#Dataset: Monthly information aggregated on IPCC reference regions for CMIP5/6 and CORDEX
#Reference: https://doi.org/10.5194/essd-12-2959-2020
#Project: CORDEX-AFR
#Experiment: rcp85
#Model: ICHEC-EC-EARTH_r12i1p1_SMHI-RCA4_v1
#Variable: tas
#Variable_longname: mean near-surface air temperature
#Units: degC
#Time_frequency: month
#Feature_type: regional mean time series
#Regions: IPCC-WGI-reference-regions-v4
#Area: sea only
#Spatial_resolution: 0.5 degrees
#Interpolation_method: cdo remapcon
#Creation_Date: 2021-03-14
"date","MED","SAH","WAF","CAF","NEAF","SEAF","WSAF","ESAF","MDG","ARP","full_domain"
"2006-01",14.353,19.811,26.242,26.481,23.795,26.294,20.864,25.117,25.8,20.463,21.42
"2006-02",13.64,19.355,26.213,27.02,23.584,26.681,22.377,25.852,26.719,20.626,21.996
"2006-03",15.031,19.507,26.626,27.577,24.046,26.975,22.514,25.448,26.413,21.473,22.181
"2006-04",14.976,19.717,26.917,27.19,25.764,26.978,22.233,24.531,25.467,23.524,21.952
"2006-05",17.44,20.59,26.619,27.06,26.923,26.102,20.772,23.583,23.837,25.843,21.236
"2006-06",19.956,21.81,26.267,26.499,26.799,24.947,18.965,22.066,22.544,26.536,20.401
"2006-07",22.255,23.165,26.027,25.989,26.106,24.316,18.051,21.144,21.654,27.037,20.023
"2006-08",23.541,24.47,25.794,25.694,26.239,24.378,17.219,21.684,22.126,27.676,19.796
"2006-09",22.398,24.669,25.878,25.664,26.559,25.19,16.854,21.824,22.299,27.849,19.63
"2006-10",20.256,23.864,26.044,25.916,26.548,25.632,17.413,23.008,23.384,27.35,20.009
"2006-11",17.088,21.838,26.493,26.056,25.992,26.344,18.279,24.156,24.381,24.992,20.281
"2006-12",14.527,20.719,26.297,26.107,24.796,26.89,19.723,24.725,25.502,22.296,20.731
"2007-01",13.345,18.799,25.852,26.63,23.692,26.64,21.091,24.916,25.78,20.127,21.171
"2007-02",13.384,19.132,26.19,27.273,23.864,26.937,21.952,25.701,26.391,20.07,21.808
"2007-03",14.35,19.343,26.513,27.783,24.784,27.604,22.698,25.702,26.445,22.022,22.146
"2007-04",16.298,20.242,27.05,27.241,26.344,27.589,22.756,24.922,25.446,23.392,22.157
"2007-05",17.574,20.72,26.492,27.197,27.444,26.778,20.659,23.995,24.401,25.75,21.5
"2007-06",19.848,22.253,26.192,26.963,27.29,25.304,19.797,22.349,22.64,27.173,20.747
"2007-07",22.644,23.203,25.197,26.033,26.303,24.7,18.309,21.167,22.074,27.749,20.064
"2007-08",23.598,23.906,25.018,25.692,26.05,24.509,17.525,21.372,21.971,27.967,19.772
"2007-09",22.909,24.079,25.179,25.646,26.257,25.243,16.988,22.077,22.663,28.123,19.721
"2007-10",20.078,22.998,25.498,26.175,26.498,25.685,17.657,22.961,23.41,27.408,19.952
"2007-11",17.547,21.921,26.321,26.249,25.887,26.328,18.665,24.099,24.326,24.865,20.114
"2007-12",15.625,20.54,26.541,26.22,24.483,26.583,20.082,24.843,25.598,21.94,20.785
"2008-01",14.091,18.856,26.19,26.887,23.322,26.526,21.581,25.236,26.018,20.088,21.271
"2008-02",12.661,18.919,26.45,27.61,23.744,26.621,22.5,25.41,26.296,20.99,21.82
"2008-03",13.617,18.943,26.614,27.605,24.432,27.283,23.21,25.368,26.011,21.978,22.105
"2008-04",15.99,19.532,26.739,27.363,25.608,27.212,22.508,25.064,25.364,23.581,22.065
"2008-05",16.833,19.979,25.951,27.164,26.939,26.223,20.577,23.732,24.394,25.619,21.183
"2008-06",20.066,21.384,25.391,26.668,26.45,24.817,19.605,22.258,22.649,26.911,20.419
"2008-07",22.307,22.775,25.197,26.378,26.032,24.15,18.197,21.437,21.862,27.351,19.737
"2008-08",23.521,23.408,25.054,25.797,25.945,24.349,17.159,21.495,21.784,27.788,19.615
"2008-09",22.203,23.686,25.254,25.454,26.404,24.708,16.85,22.087,22.229,28.274,19.62
"2008-10",20.045,23.17,25.618,25.955,26.275,25.698,17.504,22.965,22.925,27.326,19.791
"2008-11",17.795,21.542,26.574,26.409,25.851,26.691,18.697,23.31,24.096,24.867,20.391
"2008-12",15.126,20.139,26.403,26.69,24.863,26.887,20.557,24.495,25.161,22.271,20.958
"2009-01",13.494,19.072,26.187,27.301,23.819,26.509,21.739,25.103,25.454,20.652,21.373
"2009-02",12.897,18.72,26.493,27.372,23.838,26.856,22.488,25.262,26.249,21.04,21.988
"2009-03",13.41,19.192,26.711,27.799,25.191,27.411,22.913,25.349,25.832,22.171,22.166
"2009-04",15.022,20.169,27.011,27.462,26.335,27.569,22.433,24.778,25.277,23.468,22.093
"2009-05",17.077,21.006,26.74,27.585,27.621,26.933,20.604,23.878,24.118,25.9,21.395
"2009-06",19.646,21.88,26.584,27.172,27.162,25.51,19.282,22.408,22.879,27.359,20.636
"2009-07",22.119,23.04,26.318,26.759,26.506,24.486,18.405,21.346,21.453,27.729,20.109
"2009-08",23.221,24.34,25.677,25.918,26.035,24.591,17.435,21.367,21.762,28.067,19.798
"2009-09",22.191,24.534,25.962,25.891,26.63,25.198,17.234,22.036,22.484,28.41,19.828
"2009-10",20.713,23.97,26.467,26.383,26.683,25.968,17.745,22.949,23.193,27.526,20.055
"2009-11",17.825,22.365,26.891,26.634,26.068,26.228,19.395,23.819,24.284,25.134,20.707
"2009-12",15.37,20.543,26.819,26.584,24.519,26.73,20.011,24.869,25.385,22.308,20.898
"2010-01",14.158,20.283,26.755,27.088,23.808,26.8,21.055,25.558,26.23,21.157,21.584
"2010-02",13.238,19.692,26.776,27.764,23.843,26.906,22.71,26.36,26.649,20.919,22.081
"2010-03",14.589,20.235,27.099,27.792,24.794,27.438,23.136,25.698,26.458,21.692,22.392
"2010-04",15.722,20.73,27.315,27.452,26.283,27.229,23.093,25.271,25.644,23.564,22.329
"2010-05",17.364,20.907,26.209,27.113,27.391,26.754,21.228,23.92,24.601,25.749,21.4
"2010-06",19.671,22.172,26.178,26.903,27.073,25.524,19.649,22.052,22.789,26.912,20.541
"2010-07",22.519,22.976,25.978,26.551,26.1,24.453,18.77,21.909,22.221,27.504,20.074
"2010-08",22.655,24.097,25.126,25.799,26.024,24.716,17.381,21.906,22.236,27.968,19.548
"2010-09",22.069,24.611,25.608,25.491,26.542,25.017,17.297,22.462,22.342,28.127,19.786
