#Dataset: Monthly information aggregated on IPCC reference regions for CMIP5/6 and CORDEX
#Reference: https://doi.org/10.5194/essd-12-2959-2020
#Project: CORDEX-AFR
#Experiment: rcp85
#Model: MOHC-HadGEM2-ES_r1i1p1_GERICS-REMO2009_v1
#Variable: tas
#Variable_longname: mean near-surface air temperature
#Units: degC
#Time_frequency: month
#Feature_type: regional mean time series
#Regions: IPCC-WGI-reference-regions-v4
#Area: sea only
#Spatial_resolution: 0.5 degrees
#Interpolation_method: cdo remapcon
#Creation_Date: 2021-03-14
"date","MED","SAH","WAF","CAF","NEAF","SEAF","WSAF","ESAF","MDG","ARP","full_domain"
"2006-01",13.741,18.903,26.888,27.17,24.005,26.771,21.863,26.757,27.938,21.046,21.865
"2006-02",13.521,18.528,26.025,27.673,23.312,26.82,22.818,27.133,27.919,20.516,22.242
"2006-03",14.676,19.59,26.963,28.211,24.111,26.799,22.173,26.6,27.844,22.467,22.383
"2006-04",16.423,19.597,26.921,28.106,25.448,27.552,21.582,26.201,26.822,25.454,22.119
"2006-05",18.944,20.608,27.026,27.719,27.996,27.434,20.386,25.035,25.511,28.485,21.75
"2006-06",22.135,22.252,27.079,26.009,28.561,26.512,18.872,23.748,24.504,30.597,21.218
"2006-07",25.261,23.861,26.286,23.788,28.077,25.674,18.563,22.958,23.352,31.303,20.643
"2006-08",25.901,24.597,25.911,23.502,27.99,25.377,17.996,22.005,22.78,30.737,20.44
"2006-09",24.588,24.424,26.746,24.667,28.254,25.939,18.286,22.38,22.834,30.209,20.342
"2006-10",21.978,23.708,27.549,26.146,27.501,26.974,19.174,23.575,24.32,28.923,20.651
"2006-11",19.754,21.992,27.442,26.986,26.895,27.967,20.426,24.608,25.779,26.641,21.027
"2006-12",16.838,20.017,27.662,27.647,25.829,27.859,21.254,25.231,26.461,24.348,21.485
"2007-01",14.864,19.075,27.541,27.946,24.738,27.426,22.59,26.551,27.979,22.731,22.148
"2007-02",13.98,18.982,27.384,28.531,24.091,27.328,23.015,27.132,28.23,21.905,22.612
"2007-03",14.083,18.546,27.401,29.312,24.914,28.099,23.26,27.467,27.624,23.993,22.613
"2007-04",15.614,19.554,26.849,29.043,26.584,28.687,22.983,26.365,26.887,25.875,22.4
"2007-05",17.874,20.942,26.718,28.51,28.135,27.658,21.224,24.572,25.329,28.83,21.869
"2007-06",21.862,22.465,27.036,27.05,29.624,27.434,19.849,23.765,24.535,31.333,21.449
"2007-07",25.046,24.026,26.704,24.732,28.602,26.689,18.728,22.937,23.823,31.418,20.98
"2007-08",25.999,24.245,26.138,23.76,28.39,26.334,17.808,22.618,23.452,31.651,20.607
"2007-09",24.557,24.281,26.28,24.302,28.749,26.716,17.915,23.044,24.026,30.877,20.501
"2007-10",21.438,23.693,27.028,25.404,27.614,27.097,18.837,24.104,24.797,28.816,20.682
"2007-11",18.167,22.168,27.312,26.329,26.629,27.373,20.211,24.783,26.095,26.406,20.898
"2007-12",16.078,20.471,27.397,26.896,25.638,27.835,21.458,26.306,27.361,23.559,21.494
"2008-01",13.531,18.855,27.128,27.301,24.237,27.043,22.837,26.568,27.66,22.236,21.984
"2008-02",13.345,19.254,26.837,28.05,23.4,26.566,23.405,26.45,27.577,21.786,22.374
"2008-03",14.037,19.038,27.249,28.681,24.354,27.38,23.823,26.726,27.195,23.254,22.636
"2008-04",15.379,19.505,27.345,29.404,26.479,28.483,23.275,26.572,27.185,25.739,22.573
"2008-05",18.41,20.917,26.937,29.271,27.904,27.764,22.365,25.247,25.418,28.605,22.021
"2008-06",22.089,23.005,27.571,28.284,28.871,26.5,20.551,23.639,24.377,30.813,21.574
"2008-07",25.286,24.81,27.292,25.871,28.599,25.803,19.106,23.065,23.603,31.391,21.161
"2008-08",26.281,25.33,27.191,24.852,28.378,25.995,18.352,22.963,23.686,31.511,20.88
"2008-09",24.838,24.758,27.326,24.932,28.706,26.679,17.798,23.514,24.31,30.843,20.751
"2008-10",22.026,24.416,27.595,25.625,27.577,27.502,18.701,24.491,25.253,29.335,20.925
"2008-11",18.466,22.696,27.806,26.978,27.435,28.252,20.176,25.432,26.363,26.916,21.19
"2008-12",15.82,20.78,27.789,27.166,26.292,28.041,21.364,26.116,27.379,24.428,21.491
"2009-01",14.003,19.409,27.218,27.703,25.039,27.772,22.352,26.279,27.634,21.852,22.005
"2009-02",13.551,19.013,26.971,28.785,24.348,27.364,23.271,26.682,27.718,21.439,22.526
"2009-03",14.399,18.989,27.537,29.34,25.383,27.27,22.69,26.321,27.286,22.799,22.655
"2009-04",15.839,19.744,27.083,29.425,26.725,28.29,22.055,26.273,27.064,25.596,22.468
"2009-05",18.611,21.406,27.106,28.717,28.19,27.934,21.303,24.754,25.406,28.322,21.986
"2009-06",22.66,23.233,27.393,26.767,29.513,27.489,19.931,23.574,24.499,30.844,21.57
"2009-07",25.481,25.068,26.807,24.535,28.821,26.575,18.077,22.648,23.491,31.412,20.983
"2009-08",26.31,25.804,26.448,24.057,28.918,26.483,17.643,22.442,23.306,31.002,20.83
"2009-09",25.189,25.889,26.843,24.944,28.909,26.86,18.111,22.99,23.774,30.47,20.772
"2009-10",22.917,24.977,27.54,26.55,27.757,27.287,19.185,23.952,24.636,29.175,20.892
"2009-11",19.192,23.327,27.84,27.281,27.306,28.031,20.284,25.005,25.936,26.588,21.114
"2009-12",17.029,21.084,27.744,27.301,26.137,28.081,21.423,25.632,27.175,23.398,21.635
"2010-01",15.438,20.291,27.327,27.78,24.954,27.741,22.43,26.073,27.732,22.164,22.185
"2010-02",15.083,20.005,27.558,28.844,24.299,27.484,23.022,26.492,27.47,22.079,22.621
"2010-03",15.428,20.099,27.586,29.725,24.73,27.907,23.2,27.211,27.501,23.139,22.889
"2010-04",16.729,20.349,27.173,29.733,26.247,28.398,22.645,26.769,27.326,25.61,22.562
"2010-05",19.304,21.205,27.014,29.437,27.729,28.526,20.797,25.623,26.289,28.441,22.066
"2010-06",23.141,22.378,27.288,27.65,29.613,27.501,19.198,23.697,24.685,31.095,21.525
