#Dataset: Monthly information aggregated on IPCC reference regions for CMIP5/6 and CORDEX
#Reference: https://doi.org/10.5194/essd-12-2959-2020
#Project: CORDEX-ANT
#Experiment: rcp45
#Model: ICHEC-EC-EARTH_r1i1p1_KNMI-RACMO21P_v1
#Variable: tas
#Variable_longname: mean near-surface air temperature
#Units: degC
#Time_frequency: month
#Feature_type: regional mean time series
#Regions: IPCC-WGI-reference-regions-v4
#Area: land only
#Spatial_resolution: 0.5 degrees
#Interpolation_method: cdo remapcon
#Creation_Date: 2021-03-14
"date","EAN","WAN","full_domain"
"2006-01",-21.127,-9.894,-18.748
"2006-02",-29.91,-12.664,-26.26
"2006-03",-38.729,-19.857,-34.733
"2006-04",-42.121,-26.845,-38.88
"2006-05",-44.001,-28.844,-40.784
"2006-06",-48.417,-33.341,-45.22
"2006-07",-47.352,-28.239,-43.309
"2006-08",-44.006,-31.646,-41.382
"2006-09",-48.018,-31.62,-44.542
"2006-10",-41.101,-25.72,-37.843
"2006-11",-30.053,-19.937,-27.906
"2006-12",-22.033,-10.77,-19.648
"2007-01",-23.069,-6.881,-19.647
"2007-02",-28.865,-15.939,-26.125
"2007-03",-36.466,-17.305,-32.411
"2007-04",-38.989,-24.531,-35.924
"2007-05",-39.698,-26.315,-36.859
"2007-06",-42.802,-25.276,-39.093
"2007-07",-46.748,-25.418,-42.238
"2007-08",-46.648,-35.453,-44.269
"2007-09",-41.614,-23.917,-37.871
"2007-10",-41.573,-27.531,-38.596
"2007-11",-30.329,-15.221,-27.131
"2007-12",-23.948,-10.078,-21.014
"2008-01",-22.329,-10.907,-19.911
"2008-02",-27.805,-11.549,-24.366
"2008-03",-37.913,-21.236,-34.38
"2008-04",-41.827,-20.737,-37.367
"2008-05",-45.055,-28.138,-41.47
"2008-06",-42.18,-30.05,-39.607
"2008-07",-43.777,-29.302,-40.709
"2008-08",-51.972,-30.434,-47.415
"2008-09",-46.711,-28.61,-42.879
"2008-10",-40.161,-26.945,-37.357
"2008-11",-26.894,-17.957,-24.996
"2008-12",-23.359,-10.42,-20.62
"2009-01",-25.653,-11.341,-22.623
"2009-02",-30.759,-15.292,-27.483
"2009-03",-38.654,-22.248,-35.179
"2009-04",-40.454,-23.274,-36.815
"2009-05",-43.347,-26.689,-39.817
"2009-06",-43.424,-25.353,-39.601
"2009-07",-48.361,-29.51,-44.373
