#Dataset: Monthly information aggregated on IPCC reference regions for CMIP5/6 and CORDEX
#Reference: https://doi.org/10.5194/essd-12-2959-2020
#Project: CORDEX-ANT
#Experiment: rcp45
#Model: ICHEC-EC-EARTH_r3i1p1_DMI-HIRHAM5_v1
#Variable: tas
#Variable_longname: mean near-surface air temperature
#Units: degC
#Time_frequency: month
#Feature_type: regional mean time series
#Regions: IPCC-WGI-reference-regions-v4
#Area: land and sea
#Spatial_resolution: 0.5 degrees
#Interpolation_method: cdo remapcon
#Creation_Date: 2021-03-14
"date","EAN","WAN","full_domain"
"2006-01",-18.462,-6.164,-9.655
"2006-02",-24.22,-7.422,-12.664
"2006-03",-27.056,-12.384,-15.148
"2006-04",-32.68,-16.119,-19.679
"2006-05",-35.299,-18.941,-22.081
"2006-06",-38.035,-22.683,-25.355
"2006-07",-37.963,-23.664,-25.671
"2006-08",-42.052,-25.156,-29.04
"2006-09",-36.208,-25.862,-25.78
"2006-10",-32.824,-18.696,-21.566
"2006-11",-25.344,-13.305,-15.718
"2006-12",-18.149,-6.871,-10.22
"2007-01",-18.469,-5.317,-9.409
"2007-02",-19.1,-7.544,-9.92
"2007-03",-26.651,-10.878,-14.544
"2007-04",-31.962,-17.414,-19.087
"2007-05",-34.554,-18.546,-21.084
"2007-06",-36.327,-20.738,-23.28
"2007-07",-37.155,-26.717,-26.107
"2007-08",-36.663,-24.629,-25.65
"2007-09",-39.429,-19.865,-25.589
"2007-10",-33.257,-17.46,-21.347
"2007-11",-23.728,-11.459,-14.583
"2007-12",-18.353,-7.093,-10.264
"2008-01",-18.4,-5.819,-9.386
"2008-02",-19.857,-8.109,-10.368
"2008-03",-28.834,-10.06,-15.519
"2008-04",-31.171,-16.66,-18.558
"2008-05",-33.627,-19.452,-21.446
"2008-06",-36.344,-19.132,-23.658
"2008-07",-37.387,-21.559,-25.313
"2008-08",-37.462,-23.4,-26.321
"2008-09",-34.944,-21.701,-24.022
"2008-10",-31.788,-20.632,-21.144
