#Dataset: Monthly information aggregated on IPCC reference regions for CMIP5/6 and CORDEX
#Reference: https://doi.org/10.5194/essd-12-2959-2020
#Project: CORDEX-ARC
#Experiment: historical
#Model: CCCma-CanESM2_r1i1p1_UQAM-CRCM5_v1
#Variable: tas
#Variable_longname: mean near-surface air temperature
#Units: degC
#Time_frequency: month
#Feature_type: regional mean time series
#Regions: IPCC-WGI-reference-regions-v4
#Area: land and sea
#Spatial_resolution: 0.5 degrees
#Interpolation_method: cdo remapcon
#Creation_Date: 2021-03-13
"date","GIC","NWN","NEN","NEU","EEU","RAR","WSB","ESB","RFE","ARO","full_domain"
"1970-01",-23.739,-22.353,-29.318,-8.389,-27.155,-34.11,-39.965,-35.066,-30.553,-29.91,-25.837
"1970-02",-24.918,-21.516,-34.493,-7.929,-17.727,-31.714,-27.601,-32.218,-31.998,-29.216,-25.396
"1970-03",-24.329,-19.96,-30.475,-3.979,-8.383,-26.295,-16.834,-22.581,-22.21,-27.813,-22.163
"1970-04",-15.214,-14.908,-19.503,-1.704,-10.095,-19.983,-19.068,-8.638,-12.82,-22.62,-15.931
"1970-05",-9.166,-4.252,-7.754,2.582,5.439,-5.357,-3.037,5.3,-1.034,-9.435,-5.156
"1970-06",-2.654,3.429,-2.378,7.609,10.116,0.72,0.909,9.653,6.179,-1.624,1.345
"1970-07",-0.902,6.689,3.184,11.429,13.442,5.213,7.883,21.779,14.379,-0.538,4.704
"1970-08",-1.556,5.031,1.948,11.637,13.821,3.95,8.249,13.665,11.466,-1.337,3.677
"1970-09",-6.027,1.424,-3.026,7.754,7.51,-1.79,0.202,2.103,3.373,-3.94,-0.728
"1970-10",-12.695,-5.65,-11.52,3.698,-0.565,-12.792,-9.796,-13.45,-12.18,-10.551,-8.792
"1970-11",-22.505,-19.764,-23.127,0.229,-1.664,-23.098,-11.979,-22.656,-24.855,-23.606,-19.299
"1970-12",-26.014,-19.687,-27.281,-4.878,-14.251,-28.049,-20.697,-31.69,-33.412,-26.909,-23.229
"1971-01",-22.121,-25.352,-35.191,-8.908,-24.594,-32.721,-33.093,-40.468,-33.991,-28.492,-26.016
"1971-02",-27.638,-28.977,-35.326,-6.236,-15.01,-32.59,-29.049,-32.505,-31.676,-29.537,-26.962
"1971-03",-23.764,-17.216,-25.064,-4.53,-8.179,-25.708,-17.446,-18.555,-22.48,-26.944,-21.034
"1971-04",-18.199,-15.672,-22.871,0.238,-3.922,-15.712,-12.804,-4.911,-11.347,-20.908,-14.977
"1971-05",-9.746,-5.613,-8.567,3.869,6.338,-6.65,-5.868,7.209,0.438,-10.443,-5.735
"1971-06",-2.405,3.925,-1.519,6.237,7.642,-0.904,0.579,10.853,5.75,-2.418,0.755
"1971-07",-0.987,8.009,3.619,9.688,13.583,4.223,7.658,19.234,13.234,-0.827,4.36
"1971-08",-2.436,3.23,0.937,9.469,10.562,4.43,6.906,14.61,8.678,-1.68,2.842
"1971-09",-7.408,1.356,-4.734,7.256,6.59,0.017,1.9,5.093,1.401,-2.497,-0.542
"1971-10",-14.299,-7.618,-11.782,2.504,-3.757,-8.406,-10.426,-9.057,-9.838,-8.13,-7.847
"1971-11",-22.001,-18.983,-23.417,-1.559,-6.927,-20.635,-19.074,-24.39,-21.345,-21.637,-18.245
"1971-12",-22.02,-24.333,-27.138,-8.628,-20.018,-29.232,-28.045,-36.298,-30.23,-29.134,-24.305
"1972-01",-25.821,-24.961,-33.553,-4.355,-13.867,-30.441,-26.618,-37.329,-33.663,-28.238,-25.196
