#Dataset: Monthly information aggregated on IPCC reference regions for CMIP5/6 and CORDEX
#Reference: https://doi.org/10.5194/essd-12-2959-2020
#Project: CORDEX-AUS
#Experiment: rcp26
#Model: MPI-M-MPI-ESM-MR_r1i1p1_ICTP-RegCM4-7_v0
#Variable: pr
#Variable_longname: mean daily precipitation
#Units: mm/day
#Time_frequency: month
#Feature_type: regional mean time series
#Regions: IPCC-WGI-reference-regions-v4
#Area: land only
#Spatial_resolution: 0.5 degrees
#Interpolation_method: cdo remapcon
#Creation_Date: 2021-03-15
"date","SEA","NAU","CAU","EAU","SAU","NZ","full_domain"
"2006-01",10.841,8.968,2.661,2.642,1.749,5.43,5.882
"2006-02",10.325,8.506,3.531,1.257,1.569,8.053,6.118
"2006-03",5.929,4.308,0.969,5.431,1.254,3.798,3.642
"2006-04",5.265,2.076,0.678,0.881,1.188,7.514,2.728
"2006-05",4.108,1.27,0.849,1.063,1.795,6.842,2.375
"2006-06",4.231,0.27,1.031,1.757,3.322,5.282,2.526
"2006-07",4.308,0.136,0.535,1.274,3.44,5.908,2.392
"2006-08",5.162,0.144,0.024,0.149,2.665,9.748,2.505
"2006-09",4.932,0.395,0.148,0.435,1.235,8.604,2.113
"2006-10",5.128,0.507,0.388,0.935,1.382,6.893,2.335
"2006-11",4.907,1.624,0.603,1.991,1.994,7.202,2.52
"2006-12",9.645,6.281,1.435,3.245,1.454,6.068,4.848
"2007-01",7.17,7.526,2.379,2.35,1.154,6.504,4.605
"2007-02",8.876,4.373,1.004,1.237,0.843,5.997,4.347
"2007-03",7.838,5.421,1.603,2.312,1.475,6.739,4.763
"2007-04",5.072,0.726,0.209,0.859,0.823,7.47,2.329
"2007-05",4.56,1.417,1.67,0.919,1.752,6.471,2.695
"2007-06",4.332,0.575,1.053,0.816,3.119,5.974,2.547
"2007-07",6.007,0.142,0.857,0.545,3.951,8.939,3.075
"2007-08",7.67,0.199,0.398,0.851,1.807,6.421,3.003
"2007-09",5.455,0.259,0.375,1.029,2.41,5.397,2.42
"2007-10",6.283,0.585,0.387,0.787,1.508,5.738,2.577
"2007-11",6.197,1.619,0.588,2.886,1.606,5.95,2.908
"2007-12",9.227,4.819,2.725,2.654,1.736,5.002,4.797
"2008-01",10.827,6.972,3.155,2.427,1.792,6.141,5.855
"2008-02",8.5,10.956,3.257,2.437,1.99,7.965,5.969
"2008-03",9.315,7.013,1.585,2.499,2.304,6.322,4.956
"2008-04",3.211,1,0.471,1.634,0.705,7.692,1.907
"2008-05",6.576,1.003,0.824,2.15,2.718,5.898,3.16
"2008-06",7.466,0.477,1.926,1.41,4.157,8.38,3.819
"2008-07",7.886,0.35,1.437,2.244,3.333,8.492,3.686
"2008-08",7.384,0.248,0.599,0.429,3.208,9.714,3.259
"2008-09",8.077,1.677,0.736,0.642,2.206,6.327,3.409
"2008-10",6.368,2.218,1.781,4.944,2.322,5.009,3.648
"2008-11",10.267,7.27,2.402,3.133,1.501,5.944,5.387
"2008-12",7.965,3.675,2.351,1.942,1.211,7.555,4.119
"2009-01",11.504,8.206,3.442,0.869,1.757,10.306,6.182
"2009-02",7.234,7.81,2.544,2.591,1.431,7.036,4.95
"2009-03",7.901,4.176,1.955,2.269,1.493,6.826,4.388
"2009-04",5.463,4.718,2.686,1.826,1.73,7.952,3.886
"2009-05",5.81,1.056,0.492,0.697,2,6.923,2.623
"2009-06",4.807,0.427,1.148,2.775,3.36,5.891,2.846
"2009-07",4.807,0.131,0.44,0.134,2.94,7.224,2.414
"2009-08",6.886,0.144,0.171,0.456,2.04,6.974,2.798
"2009-09",7.119,0.091,0.418,0.885,2.569,7.694,2.93
"2009-10",5.962,0.387,0.246,1.063,1.802,6.134,2.503
"2009-11",7.126,2.116,1.311,3.863,1.735,8.151,3.604
"2009-12",10.206,5.139,1.87,2.636,2.204,7.493,4.944
"2010-01",9.035,8.245,4.101,3.351,1.677,3.1,5.801
"2010-02",7.829,6.085,0.667,1.347,0.68,7.434,4.261
"2010-03",6.087,3.509,0.805,1.096,0.998,5.785,2.992
"2010-04",6.652,2.368,0.458,0.968,1.27,4.351,3.009
"2010-05",4.737,0.538,0.833,3.537,1.747,6.828,2.751
"2010-06",5.757,0.984,2.64,3.054,4.345,6.082,3.816
"2010-07",6.076,0.112,0.24,0.451,4.35,9.886,2.983
"2010-08",7.643,0.394,0.192,0.739,2.764,7.422,3.044
"2010-09",6.539,0.112,0.298,0.732,2.687,6.277,2.639
"2010-10",8.104,1.045,0.658,0.58,2.18,6.21,3.269
"2010-11",8.892,5.959,1.602,2.807,1.865,7.683,4.621
"2010-12",4.362,3.268,1.125,3.596,1.579,4.965,2.985
"2011-01",9.067,5.635,2.685,3.262,2.831,5.883,5.296
"2011-02",9.86,3.883,1.766,2.829,0.571,9.533,4.695
"2011-03",8.478,3.434,0.286,0.918,0.719,6.319,3.435
"2011-04",7.096,3.016,2.043,1.65,2.376,7.803,3.972
"2011-05",5.422,0.605,0.395,4.282,2.079,4.924,2.67
"2011-06",6.712,0.426,0.733,0.318,2.152,9.053,2.906
"2011-07",8.565,0.213,0.147,0.646,1.503,7.675,3.074
"2011-08",5.585,0.107,0.119,0.584,3.183,8.811,2.532
"2011-09",7.489,0.18,0.039,0.152,1.691,7.478,2.754
"2011-10",6.395,0.698,0.42,1.329,1.174,6.439,2.659
"2011-11",7.955,2.429,0.803,2.215,1.364,5.237,3.406
"2011-12",10.535,6.472,0.859,2.062,0.9,5.536,5.026
"2012-01",10.139,3.731,1.199,1.951,1.227,5.754,4.408
"2012-02",8.505,5.948,2.232,2,1.776,4.412,4.631
"2012-03",7.258,2.577,1.247,2.748,0.99,5.13,3.516
"2012-04",7.207,2.74,1.161,4.179,1.951,4.737,3.832
"2012-05",5.189,0.62,0.379,0.653,2.203,9.37,2.446
"2012-06",5.863,0.265,0.577,0.229,1.694,4.304,2.55
"2012-07",5.29,0.076,1.148,0.574,2.345,6.774,2.699
"2012-08",8.371,0.222,0.011,0.191,0.729,5.516,2.944
"2012-09",5.96,0.138,0.032,0.216,1.875,7.323,2.429
"2012-10",6.12,0.702,0.399,1.358,1.631,6.325,2.601
"2012-11",6.483,1.598,0.712,2.257,2.033,6.58,3.074
"2012-12",7.895,4.939,0.869,3.631,1.379,6.057,4.052
"2013-01",9.789,7.447,1.42,1.477,1.554,6.414,5.115
"2013-02",9.505,13.559,3.521,5.888,2.111,8.201,7.067
"2013-03",6.648,7.506,0.563,1.936,0.36,7.472,4.601
"2013-04",7.108,6.211,2.548,1.031,1.506,7.538,4.42
"2013-05",4.037,1.118,0.756,1.912,2.304,8.073,2.456
"2013-06",5.123,0.59,0.875,1.635,3.176,6.851,2.694
"2013-07",3.808,0.155,0.357,0.513,2.359,5.183,2.027
"2013-08",8.094,0.343,0.23,0.2,2.339,8.553,3.213
"2013-09",5.919,0.293,0.146,2.261,1.529,7.432,2.559
"2013-10",5.615,0.371,0.166,0.608,1.478,6.034,2.298
