#Dataset: Monthly information aggregated on IPCC reference regions for CMIP5/6 and CORDEX
#Reference: https://doi.org/10.5194/essd-12-2959-2020
#Project: CORDEX-AUS
#Experiment: historical
#Model: MPI-M-MPI-ESM-MR_r1i1p1_ICTP-RegCM4-7_v0
#Variable: pr
#Variable_longname: mean daily precipitation
#Units: mm/day
#Time_frequency: month
#Feature_type: regional mean time series
#Regions: IPCC-WGI-reference-regions-v4
#Area: sea only
#Spatial_resolution: 0.5 degrees
#Interpolation_method: cdo remapcon
#Creation_Date: 2021-03-15
"date","SEA","NAU","CAU","EAU","SAU","NZ","full_domain"
"1970-01",15.749,9.684,0.404,3.562,1.398,3.658,7.414
"1970-02",10.159,6.873,0.052,6.428,1.257,3.194,5.919
"1970-03",10.614,13.953,8.151,4.302,1.37,3.214,7.034
"1970-04",2.475,5.441,10.735,4.141,2.434,2.813,5.77
"1970-05",4.818,2.208,1.714,3.454,3.794,4.447,5.284
"1970-06",3.801,0.854,5.201,2.742,4.758,4.953,5.498
"1970-07",4.087,0.431,2.244,2.483,4.997,3.786,5.134
"1970-08",5.881,0.438,1.125,2.587,4.629,4.592,5.176
"1970-09",10.347,0.364,0.942,1.498,4.867,4.519,5.669
"1970-10",5.499,0.719,0.136,1.799,1.635,3.122,3.879
"1970-11",7.132,2.551,0.002,1.687,1.38,2.818,4.399
"1970-12",7.944,5.8,0.269,0.941,1.155,2.965,4.789
"1971-01",18.809,13.519,0.083,0.687,2.243,3.129,7.937
"1971-02",20.415,15.978,0.582,3.044,1.424,2.354,7.886
"1971-03",14.687,14.85,2.377,2.896,2.189,3.355,7.221
"1971-04",8.518,7.149,0.277,4.928,1.485,1.881,5.869
"1971-05",4.788,1.494,2.034,6.091,2.751,4.583,4.742
"1971-06",7.292,1.489,5.202,3.137,3.962,3.969,5.866
"1971-07",7.585,0.758,0.495,2.598,5.189,5.169,5.803
"1971-08",7.969,0.272,0.661,3.125,4.74,5.74,5.47
"1971-09",5.961,0.26,0.145,1.772,4.854,5.158,4.974
"1971-10",6.778,1.126,0.401,0.694,3.134,2.306,4.449
"1971-11",9.456,1.208,0.033,2.379,2.255,4.856,4.769
"1971-12",11.511,6.77,0.047,0.448,1.932,2.698,5.962
"1972-01",14.263,15.019,2.164,3.287,1.549,3.419,7.118
"1972-02",7.135,12.061,2.54,2.265,0.783,2.2,7.922
"1972-03",6.079,9.034,7.53,1.755,1.393,2.272,5.861
"1972-04",4.426,5.871,0.583,1.893,1.727,3.867,5.345
"1972-05",8.855,0.974,1.026,2.265,4.46,3.197,5.679
"1972-06",5.116,0.263,2.178,3.547,6.962,5.903,6.183
"1972-07",5.945,0.394,1.553,1.866,6.116,5.608,5.518
"1972-08",7.18,0.242,0.013,1.315,3.053,3.137,5.232
"1972-09",7.732,0.339,0.652,1.264,3.107,2.734,5.119
"1972-10",5.476,0.511,0.006,1.617,2.163,3.538,4.407
"1972-11",3.867,1.726,0.163,0.775,2.565,3.986,4.145
"1972-12",10.988,5.766,2.473,1.099,2.383,3.613,5.673
"1973-01",10.831,7.705,0.15,3.686,1.983,3.085,6.461
"1973-02",10.044,7.736,0.661,2.671,2.001,2.963,5.566
"1973-03",18.131,14.922,3.738,1.951,1.862,3.935,8.259
"1973-04",7.745,4.6,1.053,2.394,3.576,4.734,5.105
"1973-05",8.936,2.223,0.384,4.637,3.25,3.628,5.578
"1973-06",8.72,1.104,2.114,4.745,3.785,5.457,5.586
"1973-07",7.94,0.525,2.896,2.3,6.694,5.884,6.077
"1973-08",8.681,0.31,0.777,1.185,5.425,5.719,5.743
"1973-09",8.539,0.49,0.525,0.793,2.246,3.905,4.489
"1973-10",9.158,1.261,0.637,1.76,2.897,3.245,4.679
"1973-11",8.849,1.784,0.058,1.005,1.296,1.957,4.403
"1973-12",8.078,6.038,0.072,1.06,1.379,2.567,4.614
"1974-01",11.837,8.571,1.127,5.789,2.209,3.591,6.544
"1974-02",15.678,13.816,0.077,9.205,2.154,4.152,7.652
"1974-03",8.538,11.189,0.677,5.741,1.292,2.885,7.492
"1974-04",4.019,6.198,0.314,2.856,1.615,3.392,5.028
"1974-05",6.345,2.367,2.096,1.995,2.341,3.522,5.042
"1974-06",6.145,0.88,4.529,2.635,3.069,2.682,4.741
"1974-07",5.144,0.096,0.597,3.247,6.494,6.728,5.873
"1974-08",5.366,0.281,0.524,1.098,3.892,4.025,5.179
"1974-09",4.82,0.179,0.097,0.73,2.063,3.272,4.282
"1974-10",5.776,0.463,0.156,0.805,1.893,3.061,4.136
"1974-11",9.471,1.528,0.002,0.89,2.074,3.749,5.442
"1974-12",10.288,8.379,1.421,2.934,1.453,2.941,6.839
"1975-01",10.49,10.578,0.694,3.231,0.877,3.149,7.345
"1975-02",13.764,12.869,0.19,1.497,1.013,2.173,7.554
"1975-03",7.818,6.789,4.84,2.278,1.698,2.781,8.278
