#Dataset: Monthly information aggregated on IPCC reference regions for CMIP5/6 and CORDEX
#Reference: https://doi.org/10.5194/essd-12-2959-2020
#Project: CORDEX-AUS
#Experiment: rcp26
#Model: MOHC-HadGEM2-ES_r1i1p1_GERICS-REMO2015_v1
#Variable: tas
#Variable_longname: mean near-surface air temperature
#Units: degC
#Time_frequency: month
#Feature_type: regional mean time series
#Regions: IPCC-WGI-reference-regions-v4
#Area: land only
#Spatial_resolution: 0.5 degrees
#Interpolation_method: cdo remapcon
#Creation_Date: 2021-03-15
"date","SEA","NAU","CAU","EAU","SAU","NZ","full_domain"
"2006-01",25.391,30.21,32.103,25.618,23.575,17.309,27.679
"2006-02",25.46,30.322,31.561,25.265,23.25,18.488,27.511
"2006-03",25.378,29.159,29.806,23.068,23.696,14.794,26.562
"2006-04",25.473,25.498,22.365,18.53,16.436,12.987,22.302
"2006-05",25.43,23.358,18.678,15.487,14.295,10.548,20.22
"2006-06",25.082,20.999,15.444,13.22,11.826,8.171,18.149
"2006-07",24.599,20.602,15.038,12.971,11.262,7.725,17.713
"2006-08",25.509,23.545,16.586,13.564,11.471,8.284,18.941
"2006-09",25.539,27.515,22.443,17.415,14.752,8.46,22.113
"2006-10",25.9,29.055,27.42,21.103,18.338,10.842,24.816
"2006-11",25.866,30.763,29.755,23.505,20.797,10.509,26.363
"2006-12",25.704,31.894,33.4,27.499,23.353,13.069,28.4
"2007-01",25.806,31.767,34.284,27.266,24.993,14.824,28.943
"2007-02",26.005,31.938,34.713,27.214,25.24,15.37,29.203
"2007-03",26.11,30.234,31.996,26.194,24.904,14.292,27.98
"2007-04",26.189,28.72,26.345,21.199,18.433,12.254,24.643
"2007-05",25.779,26.553,20.959,16.745,14.609,11.154,21.627
"2007-06",25.495,22.112,16.667,13.491,12.136,8.5,18.871
"2007-07",25.765,25.09,16.666,14.438,11.311,7.806,19.325
"2007-08",25.492,22.607,16.152,13.243,11.145,8.336,18.59
"2007-09",26.209,29.016,22.039,18.029,14.429,9.378,22.451
"2007-10",26.367,30.375,25.925,21.426,16.945,12.6,24.629
"2007-11",26.032,31.279,28.995,23.783,20.013,14.914,26.326
"2007-12",25.999,32.502,33.27,25.19,23.514,16.697,28.484
"2008-01",25.693,29.113,35.033,26.099,29.129,16.263,29.261
"2008-02",25.566,30.285,33.568,26.9,24.841,16.684,28.45
"2008-03",25.565,28.515,28.325,24.445,21.265,16.006,25.878
"2008-04",25.588,26.843,25.203,21.604,17.79,13.515,23.87
"2008-05",25.544,24.523,20.592,16.915,14.754,10.378,21.179
"2008-06",25.4,21.374,15.637,13.451,11.867,9.266,18.407
"2008-07",25.032,20.939,15.901,12.743,11.363,7.044,18.092
"2008-08",25.6,23.415,17.309,14.396,12.141,6.092,19.248
"2008-09",25.391,25.507,21.526,16.999,14.045,9.864,21.406
"2008-10",25.841,29.06,26.314,21.422,16.952,10.159,24.291
"2008-11",25.793,30.693,28.401,22.435,19.621,14.009,25.77
"2008-12",26.098,32.292,32.758,26.929,22.538,15.755,28.286
"2009-01",25.678,31.745,32.351,27.588,23.377,15.598,28.16
"2009-02",25.901,30.171,32.188,25.089,26.716,18.447,28.272
