#Dataset: Monthly information aggregated on IPCC reference regions for CMIP5/6 and CORDEX
#Reference: https://doi.org/10.5194/essd-12-2959-2020
#Project: CORDEX-AUS
#Experiment: rcp85
#Model: MPI-M-MPI-ESM-LR_r1i1p1_CLMcom-CCLM4-8-17-CLM3-5_v1
#Variable: tas
#Variable_longname: mean near-surface air temperature
#Units: degC
#Time_frequency: month
#Feature_type: regional mean time series
#Regions: IPCC-WGI-reference-regions-v4
#Area: land and sea
#Spatial_resolution: 0.5 degrees
#Interpolation_method: cdo remapcon
#Creation_Date: 2021-03-15
"date","SEA","NAU","CAU","EAU","SAU","NZ","full_domain"
"2006-01",25.327,27.132,28.206,23.54,17.297,16.794,22.124
"2006-02",25.377,27.098,28.505,22.349,18.702,16.956,22.513
"2006-03",25.534,27.276,27.25,22.44,16.918,17.291,22.243
"2006-04",25.899,26.299,22.733,19.221,14.761,15.332,21.057
"2006-05",26.067,25.572,19.26,18.187,13.069,13.753,20.036
"2006-06",26.034,23.992,15.716,15.597,11.753,12.224,18.764
"2006-07",25.628,24.077,15.567,14.878,10.335,11.819,18.172
"2006-08",25.906,23.794,15.293,13.889,9.935,10.731,17.825
"2006-09",25.904,26.095,19.753,17.658,11.372,11.491,18.885
"2006-10",25.753,26.189,21.495,19.118,12.321,11.988,19.406
"2006-11",26.173,27.249,27.165,21.817,14.627,13.741,20.999
"2006-12",25.826,27.648,28.283,23.294,16.276,15.695,21.805
"2007-01",25.899,27.266,28.823,23.498,18.21,17.305,22.459
"2007-02",25.518,26.482,25.861,23.843,18.173,18.386,22.271
"2007-03",25.55,26.027,24.591,21.89,17.318,16.664,21.865
"2007-04",25.744,25.75,21.607,19.303,15.305,16.019,21.082
"2007-05",25.908,24.522,19.297,17.023,13.835,13.576,19.925
"2007-06",25.648,23.261,15.139,14.403,11.553,12.225,18.613
"2007-07",25.597,23.172,15.168,13.34,10.425,11.108,18.088
"2007-08",25.816,24.479,15.827,14.66,9.911,11.026,18.183
"2007-09",26.018,25.881,21.202,17.473,11.667,11.502,19.119
