#Dataset: Monthly information aggregated on IPCC reference regions for CMIP5/6 and CORDEX
#Reference: https://doi.org/10.5194/essd-12-2959-2020
#Project: CORDEX-AUS
#Experiment: rcp26
#Model: MPI-M-MPI-ESM-MR_r1i1p1_ICTP-RegCM4-7_v0
#Variable: tas
#Variable_longname: mean near-surface air temperature
#Units: degC
#Time_frequency: month
#Feature_type: regional mean time series
#Regions: IPCC-WGI-reference-regions-v4
#Area: sea only
#Spatial_resolution: 0.5 degrees
#Interpolation_method: cdo remapcon
#Creation_Date: 2021-03-15
"date","SEA","NAU","CAU","EAU","SAU","NZ","full_domain"
"2006-01",26.997,27.407,25.042,23.169,16.4,16.817,21.853
"2006-02",26.585,27.302,25.747,23.543,15.845,15.836,21.897
"2006-03",26.67,27.706,26.089,23.199,16.781,15.939,21.745
"2006-04",27.059,27.403,25.33,21.796,15.361,15.35,21.408
"2006-05",27.308,26.119,23.832,20.443,14.248,13.883,20.638
"2006-06",26.964,24.851,21.76,18.765,12.843,12.746,19.705
"2006-07",26.812,24.313,20.357,18.393,12.573,12.218,19.211
"2006-08",26.881,24.618,20.152,18.457,11.785,12.337,19.188
"2006-09",27.011,24.981,19.856,18.449,11.704,11.749,19.114
"2006-10",27.242,25.884,20.211,19.34,11.913,12.05,19.422
"2006-11",27.355,27.105,21.23,21.543,12.011,13.404,20.121
"2006-12",27.678,27.756,22.819,22.507,13.946,14.137,21.051
"2007-01",27.09,27.595,23.872,24.399,15.179,16.106,21.778
"2007-02",26.722,27.33,24.124,24.028,16.173,15.685,21.91
"2007-03",27.254,27.868,25.288,23.415,16.027,15.777,21.89
"2007-04",27.234,28.094,26.094,22.1,15.456,14.834,21.524
"2007-05",27.805,27.368,23.794,21.2,14.983,13.842,20.849
"2007-06",27.779,26.245,21.615,20.322,13.329,13.039,19.949
"2007-07",27.33,25.422,20.149,19.35,11.757,11.836,19.258
"2007-08",27.319,25.25,19.995,18.659,11.646,11.482,19.096
"2007-09",27.342,25.326,19.851,18.681,11.481,11.773,19.133
"2007-10",27.36,26.069,21.035,19.785,12.185,12.674,19.543
"2007-11",27.731,27.338,22.65,20.97,12.222,13.714,20.184
"2007-12",27.498,27.811,24.16,22.617,14.134,15.558,21.152
"2008-01",27.333,27.943,25.585,23.79,14.973,17.178,21.963
"2008-02",27.31,28.111,26.341,24.292,15.203,17.905,22.081
"2008-03",27.178,27.3,26.339,24.229,15.5,17.313,21.953
"2008-04",27.394,27.465,26.129,22.801,15.12,15.976,21.588
"2008-05",27.573,26.534,24.559,20.924,13.867,14.292,20.847
"2008-06",27.232,25.399,21.57,19.516,12.47,13.187,19.847
"2008-07",27.015,24.535,20.697,17.697,11.708,12.102,19.274
"2008-08",27.106,25.089,21.039,18.139,11.684,12.185,19.214
"2008-09",27.324,25.246,20.595,18.342,11.667,12.028,19.216
"2008-10",27.43,26.311,20.941,19.855,12.357,12.689,19.555
"2008-11",27.481,26.966,22.399,21.06,12.915,13.611,20.197
"2008-12",26.921,27.224,23.639,22.433,14.032,15.128,20.938
"2009-01",27.005,28.133,25.138,23.155,15.047,16.221,21.791
"2009-02",26.661,27.74,25.873,23.524,15.84,16.856,22.206
"2009-03",26.916,27.464,25.287,23.394,15.359,16.196,21.871
"2009-04",27.065,27.044,24.564,22.738,15.019,14.72,21.332
"2009-05",27.42,26.669,24.714,20.702,14.361,13.588,20.742
"2009-06",27.674,25.335,22.053,19.326,13.268,12.905,19.866
"2009-07",27.24,24.851,21.192,18.318,12.197,11.882,19.191
"2009-08",26.998,24.934,20.48,18.119,11.543,11.881,18.999
"2009-09",27.322,25.118,20.046,17.803,11.114,11.633,19.076
"2009-10",27.784,26.359,21.403,19.347,11.948,12.579,19.69
"2009-11",27.776,27.154,21.751,20.558,12.641,13.399,20.267
"2009-12",27.089,27.224,22.348,22.834,13.82,14.908,20.74
"2010-01",26.572,26.702,25.275,23.049,15.864,16.79,21.421
"2010-02",26.589,27.292,26.855,23.517,16.15,17.402,21.993
"2010-03",26.411,27.315,26.667,23.095,16.555,17.303,21.878
"2010-04",27.017,27.492,26.239,22.559,15.825,16.474,21.619
"2010-05",27.433,26.811,24.683,20.795,14.701,14.803,20.827
"2010-06",27.526,25.359,21.926,19.313,13.063,13.657,19.998
"2010-07",27.096,25.191,21.457,18.222,11.841,12.867,19.544
"2010-08",27.17,24.986,20.305,18.261,11.56,12.178,19.226
"2010-09",27.212,25.658,20.317,18.191,11.241,12.007,19.223
"2010-10",27.679,26.664,20.74,19.297,11.901,12.411,19.691
"2010-11",27.751,27.485,21.62,21.116,12.021,14.014,20.353
"2010-12",27.411,27.802,22.62,22.118,14.525,14.971,21.028
"2011-01",27.029,27.495,23.81,23.659,15.648,16.892,21.789
"2011-02",26.539,27.115,25.332,23.224,15.818,17.069,21.893
"2011-03",27.09,27.832,26.654,23.086,16.128,16.517,21.997
"2011-04",27.5,27.565,25.062,22.264,14.413,15.489,21.453
"2011-05",27.56,26.645,23.78,20.401,13.876,14.078,20.731
"2011-06",27.395,25.602,22.406,18.95,13.05,13.033,19.995
"2011-07",27.07,24.827,21.57,17.706,12.254,11.917,19.393
"2011-08",27.048,24.763,20.456,17.859,11.391,11.821,19.22
"2011-09",27.337,25.879,20.54,18.584,11.559,11.861,19.392
"2011-10",27.644,26.927,21.272,19.021,12.316,12.076,19.726
"2011-11",27.721,27.6,22.542,20.815,12.969,13.785,20.393
"2011-12",27.361,27.92,23.996,22.762,14.275,14.848,21.226
"2012-01",26.514,27.569,25.393,23.328,16.152,15.983,21.777
