#Dataset: Monthly information aggregated on IPCC reference regions for CMIP5/6 and CORDEX
#Reference: https://doi.org/10.5194/essd-12-2959-2020
#Project: CORDEX-CAM
#Experiment: historical
#Model: ICHEC-EC-EARTH_r12i1p1_SMHI-RCA4_v1
#Variable: pr
#Variable_longname: mean daily precipitation
#Units: mm/day
#Time_frequency: month
#Feature_type: regional mean time series
#Regions: IPCC-WGI-reference-regions-v4
#Area: sea only
#Spatial_resolution: 0.5 degrees
#Interpolation_method: cdo remapcon
#Creation_Date: 2021-03-14
"date","NCA","SCA","CAR","NWS","NSA","NES","SAM","full_domain"
"1970-01",3.407,1.022,1.895,3.688,2.206,11.248,NA,2.667
"1970-02",2.25,0.591,1.563,4.02,0.663,8.447,NA,2.878
"1970-03",1.212,0.582,0.892,1.901,0.786,8.302,NA,2.454
"1970-04",1.719,1.874,1.184,3.621,1.979,10.556,NA,2.734
"1970-05",0.898,6.961,2.297,2.816,1.793,14.108,NA,3.707
"1970-06",4.957,13.142,4.003,1.991,11.881,9.152,NA,3.819
"1970-07",4.795,7.093,3.763,1.924,4.802,0.478,NA,3.339
"1970-08",12.541,11.584,4.278,3.462,3.4,1.012,NA,4.093
"1970-09",8.928,13.096,3.138,3.655,2.139,0.362,NA,4.195
"1970-10",5.201,11.916,3.105,7.129,3.343,3.223,NA,4.132
"1970-11",1.402,6.211,2.794,3.386,9.957,7.06,NA,3.83
"1970-12",3.016,3.882,2.646,2.873,3.694,13.051,NA,3.171
"1971-01",0.759,1.226,2.3,1.939,2.156,8.617,NA,2.329
"1971-02",2.888,1.466,2.661,1.008,1.919,15.61,NA,2.685
"1971-03",0.562,0.891,1.403,1.663,1.323,14.784,NA,2.265
"1971-04",0.141,1.33,1.264,3.598,0.795,23.216,NA,2.876
"1971-05",1.23,6.609,2.652,3.461,7.956,11.322,NA,2.733
"1971-06",3.118,7.276,2.695,1.929,9.576,5.781,NA,3.55
"1971-07",5.222,11.113,2.959,2.579,6.292,3.931,NA,3.885
"1971-08",9.637,12.648,2.582,4.064,2.105,0.507,NA,3.836
"1971-09",12.2,11.727,2.888,3.688,2.031,0.348,NA,4.215
"1971-10",6.668,12.803,4.899,4.966,4.162,1.085,NA,4.318
"1971-11",5.523,12.136,3.647,2.225,7.725,4.112,NA,3.927
"1971-12",1.48,4.764,3.739,2.759,2.509,11.31,NA,2.973
"1972-01",2.394,1.847,2.385,2.02,2.212,12.726,NA,2.461
"1972-02",1.087,1.334,2.87,1.745,1.694,13.174,NA,2.527
"1972-03",0.808,0.573,0.942,3.288,1.12,20.733,NA,3.13
"1972-04",0.609,1.383,1.672,3.642,1.466,13.062,NA,2.859
