#Dataset: Monthly information aggregated on IPCC reference regions for CMIP5/6 and CORDEX
#Reference: https://doi.org/10.5194/essd-12-2959-2020
#Project: CORDEX-CAM
#Experiment: historical
#Model: NOAA-GFDL-GFDL-ESM2M_r1i1p1_OURANOS-CRCM5_v1
#Variable: pr
#Variable_longname: mean daily precipitation
#Units: mm/day
#Time_frequency: month
#Feature_type: regional mean time series
#Regions: IPCC-WGI-reference-regions-v4
#Area: sea only
#Spatial_resolution: 0.5 degrees
#Interpolation_method: cdo remapcon
#Creation_Date: 2021-03-14
"date","NCA","SCA","CAR","NWS","NSA","NES","SAM","full_domain"
"1970-01",1.158,1.078,2.482,8.746,1.547,2.633,NA,3.213
"1970-02",1.364,0.865,1.653,7.093,1.626,1.742,NA,3.395
"1970-03",1.008,0.478,1.073,7.699,1.22,1.835,NA,3.299
"1970-04",0.728,0.557,0.861,7.361,0.881,12.131,NA,3.534
"1970-05",1.104,1.172,1.436,3.486,1.522,16.011,NA,3.011
"1970-06",0.633,2.703,0.794,3.434,4.773,4.102,NA,3.409
"1970-07",2.226,4.583,1.472,1.577,2.746,0.887,NA,3.617
"1970-08",2.538,5.208,1.915,2.07,0.443,0.761,NA,3.554
"1970-09",8.922,13.207,1.921,2.685,0.321,0.654,NA,5.246
"1970-10",6.954,13.68,2.446,3.314,3.153,0.707,NA,5.369
"1970-11",6.162,10.57,3.148,4.9,5.253,0.588,NA,5.355
"1970-12",4.445,2.947,1.964,6.763,2.571,1.679,NA,3.991
"1971-01",1.145,1.688,2.452,9.349,1.893,2.19,NA,3.163
"1971-02",1.511,0.956,1.921,9.639,1.2,3.807,NA,3.251
"1971-03",1.485,0.887,1.424,9.338,1.289,9.158,NA,3.527
"1971-04",1.401,0.497,1.247,6.471,1.128,13.328,NA,3.711
"1971-05",0.531,0.934,0.83,4.899,2.33,12.684,NA,3.649
"1971-06",0.752,2.994,0.966,2.899,4.954,0.816,NA,3.343
"1971-07",2.165,4.698,1.535,1.843,2.531,0.589,NA,3.754
"1971-08",11.552,14.884,2.571,2.491,1.846,0.76,NA,5.054
"1971-09",9.302,8.533,1.844,2.084,1.511,0.628,NA,4.833
"1971-10",10.85,10.958,2.892,3.039,1.281,0.628,NA,6.384
"1971-11",7.792,10.844,4.603,4.795,2.431,0.54,NA,6.127
"1971-12",3.522,6.118,2.704,3.646,6.966,5.128,NA,4.754
"1972-01",1.087,1.246,2.223,8.95,1.966,4.242,NA,2.988
"1972-02",1.639,0.952,1.374,8.296,1.331,2.476,NA,3.447
"1972-03",0.859,0.662,1.365,8.745,1.368,1.889,NA,3.567
"1972-04",0.326,0.492,0.924,7.913,1.107,16.029,NA,3.215
"1972-05",0.541,0.605,0.892,6.125,1.362,16.166,NA,3.001
"1972-06",0.993,3.296,1.36,3.157,7.13,3.78,NA,3.463
"1972-07",2.341,5.367,1.395,1.876,4.058,1.414,NA,4.295
"1972-08",3.702,4.178,1.621,1.426,0.712,0.664,NA,3.494
"1972-09",3.583,5.423,1.487,2.712,0.262,0.711,NA,4.669
"1972-10",6.231,12.498,2.384,3.818,0.967,0.5,NA,5.803
"1972-11",3.124,7.491,3.297,5.223,6.417,0.774,NA,5.155
"1972-12",1.096,2.646,2.583,8.687,3.941,5.003,NA,4.678
"1973-01",3.273,1.315,2.11,9.255,1.869,3.085,NA,3.657
"1973-02",2.605,0.682,1.425,9.322,1.214,1.587,NA,4.307
"1973-03",1.437,0.915,1.714,10.334,1.568,2.571,NA,4.559
"1973-04",1.95,0.731,1.419,6.242,2,5.986,NA,5.599
"1973-05",0.914,1.064,1.878,4.978,2.793,16.24,NA,4.454
"1973-06",0.692,3.274,1.317,1.324,7.168,3.492,NA,4.056
"1973-07",1.49,5.446,2.031,1.863,4.104,1.058,NA,4.558
"1973-08",2.013,6.291,1.784,1.856,0.494,0.787,NA,4.44
"1973-09",5.405,9.825,2.26,2.468,1.518,0.66,NA,5.578
"1973-10",8.355,10.061,2.362,4.627,1.061,0.632,NA,5.641
"1973-11",4.831,10.385,4.627,3.712,3.445,0.446,NA,5.472
"1973-12",2.333,3.01,2.81,6.752,5.813,0.986,NA,4.285
"1974-01",1.384,1.131,2.215,6.861,2.217,2.031,NA,3.725
"1974-02",1.18,1.124,2.556,9.62,1.722,1.466,NA,4.05
"1974-03",0.632,0.545,1.416,7.295,1.446,2.33,NA,3.899
"1974-04",0.484,0.559,1.243,6.541,1.965,15.09,NA,3.949
"1974-05",0.766,1.799,2.095,5.296,4.466,19.306,NA,3.981
"1974-06",1.04,5.267,1.293,2.297,4.477,6.533,NA,4.041
"1974-07",8.676,10.362,3.578,1.494,2.892,0.433,NA,4.807
"1974-08",9.697,16.451,3.288,2.648,2.343,0.552,NA,5.08
"1974-09",11.177,18.09,4.039,4.505,0.646,0.507,NA,5.668
"1974-10",4.493,12.316,3.899,3.907,0.824,0.697,NA,6.164
"1974-11",5.798,13.415,3.474,4.151,5.936,1.722,NA,5.058
"1974-12",3.322,4.605,2.77,4.602,4.048,2.706,NA,3.59
"1975-01",1.259,1.651,2.497,2.196,2.36,2.802,NA,2.733
"1975-02",1.212,1.244,1.791,6.04,1.707,2.453,NA,3.487
"1975-03",0.826,0.896,2.235,8.18,1.365,3.573,NA,3.693
"1975-04",0.616,0.62,1.15,5.032,1.204,15.059,NA,3.305
"1975-05",0.176,2.034,1.115,4.627,2.689,4.828,NA,2.629
"1975-06",2.433,4.022,1.135,2.031,4.619,1.778,NA,3.415
"1975-07",1.215,5.68,1.762,1.53,3.694,0.756,NA,3.737
"1975-08",14.795,13.508,3.055,2.262,1.767,0.519,NA,5.109
"1975-09",17.902,14.901,2.021,2.668,0.73,0.505,NA,5.469
"1975-10",7.731,14.068,3.968,4.019,1.092,0.626,NA,6.52
"1975-11",2.455,12.832,5.075,4.084,5.062,0.687,NA,5.266
"1975-12",2.006,3.557,3.35,4.989,2.89,4.033,NA,3.89
"1976-01",1.942,1.131,1.828,6.397,1.419,3.63,NA,2.812
"1976-02",3.079,1.049,1.596,7.478,1.18,2.132,NA,2.987
"1976-03",0.989,0.673,1.284,7.144,1.533,2.213,NA,3.327
"1976-04",0.593,0.526,1.117,8.14,1.218,7.529,NA,3.172
"1976-05",0.945,0.823,1.289,7.371,1.674,16.481,NA,3.289
"1976-06",0.712,1.903,1.192,5.735,3.757,7.373,NA,2.927
"1976-07",1.995,5.188,1.062,3.267,3.116,2.338,NA,3.811
"1976-08",4.677,5.538,1.829,2.346,1.327,1.073,NA,4.379
"1976-09",13.108,14.385,1.721,2.459,0.282,0.651,NA,6.376
"1976-10",5.443,17.375,4.414,4.389,1.395,0.704,NA,5.66
"1976-11",4.102,12.403,2.009,4.203,4.193,0.483,NA,5.123
"1976-12",2.928,2.85,2.218,5.915,5.563,2.055,NA,4.091
"1977-01",2.092,1.34,1.824,8.017,1.917,2.295,NA,2.903
"1977-02",3.019,1.092,1.843,11.82,1.456,2.71,NA,3.252
"1977-03",0.758,0.522,1.111,8.828,1.095,3.976,NA,3.266
"1977-04",0.411,0.338,0.925,6.877,1.544,16.886,NA,3.18
"1977-05",0.798,0.81,0.748,3.841,1.879,22.334,NA,3.211
"1977-06",0.584,2.286,0.843,2.179,3.933,2.983,NA,3.199
"1977-07",2.885,4.014,1.869,1.663,3.625,0.612,NA,3.819
"1977-08",9.56,8.792,2.311,2.325,0.738,0.912,NA,5.532
"1977-09",9.438,9.05,2.082,2.887,0.485,0.664,NA,6.022
"1977-10",9.923,15.672,3.438,4.074,0.796,0.628,NA,6.258
"1977-11",1.854,12.403,3.742,2.658,2.924,0.624,NA,5.126
"1977-12",3.308,4.91,2.292,3.243,4.599,4.202,NA,4.304
"1978-01",2.289,1.325,2.407,7.958,1.832,3.336,NA,3.291
"1978-02",2.968,1.139,1.853,9.904,0.963,3.536,NA,3.681
"1978-03",1.249,0.761,1.71,10.656,1.104,4.188,NA,3.752
"1978-04",1.474,0.858,1.058,7.13,1.146,11.89,NA,3.419
"1978-05",1.152,0.906,1.18,8.417,1.499,24.482,NA,3.866
"1978-06",1.168,4.932,0.734,2.02,6.724,3.824,NA,3.819
"1978-07",2.92,7.611,1.817,1.717,3.288,0.951,NA,4.565
"1978-08",12.361,11.274,1.804,2.182,0.963,0.626,NA,6.001
"1978-09",14.762,19.416,1.607,3.403,0.201,0.729,NA,6.734
"1978-10",7.651,15.59,3.297,4.297,0.329,0.719,NA,6.388
"1978-11",2.909,15.915,3.118,3.789,2.987,0.563,NA,5.215
"1978-12",1.91,6.298,2.486,4.07,6.221,3.937,NA,4.148
