#Dataset: Monthly information aggregated on IPCC reference regions for CMIP5/6 and CORDEX
#Reference: https://doi.org/10.5194/essd-12-2959-2020
#Project: CORDEX-CAM
#Experiment: historical
#Model: MOHC-HadGEM2-ES_r1i1p1_ICTP-RegCM4-3_v4
#Variable: tas
#Variable_longname: mean near-surface air temperature
#Units: degC
#Time_frequency: month
#Feature_type: regional mean time series
#Regions: IPCC-WGI-reference-regions-v4
#Area: sea only
#Spatial_resolution: 0.5 degrees
#Interpolation_method: cdo remapcon
#Creation_Date: 2021-03-14
"date","NCA","SCA","CAR","NWS","NSA","NES","SAM","full_domain"
"1970-01",20.591,25.326,24.083,25.003,25.321,26.037,NA,23.225
"1970-02",20.946,25.87,24.478,24.901,25.144,25.74,NA,23.214
"1970-03",21.196,25.684,24.089,24.638,25.125,26.02,NA,23.013
"1970-04",22.312,25.988,24.536,24.416,25.121,25.852,NA,23.307
"1970-05",24.132,26.527,25.254,23.602,25.075,25.341,NA,23.636
"1970-06",25.203,26.335,25.591,22.539,24.885,25.093,NA,23.716
"1970-07",26.264,26.189,25.949,21.721,24.757,24.532,NA,23.79
"1970-08",27.075,26.427,26.362,21.529,25.063,24.146,NA,23.961
"1970-09",27.068,26.663,26.393,21.861,25.451,24.135,NA,23.948
"1970-10",26.054,26.541,26.062,22.198,25.652,24.456,NA,23.71
"1970-11",24.347,26.353,25.625,22.824,25.559,24.886,NA,23.444
"1970-12",22.317,25.782,24.923,23.463,24.893,25.425,NA,22.97
"1971-01",21.141,25.581,24.52,24.175,24.802,25.527,NA,22.983
"1971-02",20.31,25.707,24.191,24.909,24.292,25.804,NA,22.92
"1971-03",21.674,26.163,24.055,25.428,24.491,25.887,NA,23.102
"1971-04",22.295,26.511,24.37,25.405,24.607,25.957,NA,23.342
"1971-05",24.064,26.556,25.022,24.897,24.966,25.576,NA,23.613
"1971-06",25.457,26.694,25.346,24.201,24.655,24.834,NA,23.853
"1971-07",26.376,26.536,25.726,23.688,24.919,24.114,NA,24.118
"1971-08",26.982,26.585,26.16,23.151,25.192,24.071,NA,24.302
"1971-09",27.119,26.606,26.259,22.858,25.732,24.252,NA,24.317
"1971-10",25.606,26.47,25.994,22.932,26.075,24.679,NA,24.102
"1971-11",24.169,26.22,25.421,23.366,25.704,25.096,NA,23.673
