#Dataset: Monthly information aggregated on IPCC reference regions for CMIP5/6 and CORDEX
#Reference: https://doi.org/10.5194/essd-12-2959-2020
#Project: CORDEX-EAS
#Experiment: rcp26
#Model: MOHC-HadGEM2-ES_r1i1p1_ICTP-RegCM4-4_v0
#Variable: pr
#Variable_longname: mean daily precipitation
#Units: mm/day
#Time_frequency: month
#Feature_type: regional mean time series
#Regions: IPCC-WGI-reference-regions-v4
#Area: sea only
#Spatial_resolution: 0.5 degrees
#Interpolation_method: cdo remapcon
#Creation_Date: 2021-03-13
"date","ECA","TIB","EAS","SAS","SEA","NAU","BOB","full_domain"
"2006-01",NA,NA,4.917,0.057,4.406,NA,0.186,4.114
"2006-02",NA,NA,4.427,0.023,2.784,NA,0.022,3.288
"2006-03",NA,NA,4.299,0.059,3.168,NA,0.146,3.735
"2006-04",NA,NA,4.448,0.146,3.23,NA,0.076,3.876
"2006-05",NA,NA,4.95,0.366,8.595,NA,0.542,5.13
"2006-06",NA,NA,4.005,0.426,14.519,NA,1.757,5.69
"2006-07",NA,NA,4.892,1.75,15.246,NA,4.339,7.33
"2006-08",NA,NA,6.345,1.367,16.905,NA,2.558,8.401
"2006-09",NA,NA,4.052,1.057,12.33,NA,1.442,6.869
"2006-10",NA,NA,4.175,2.202,11.553,NA,1.091,6.963
"2006-11",NA,NA,5.795,2.098,10.236,NA,3.138,6.975
"2006-12",NA,NA,5.745,2.145,5.966,NA,4.604,5.449
"2007-01",NA,NA,6.423,0.298,3.922,NA,0.592,4.213
"2007-02",NA,NA,5.089,0.023,1.868,NA,0.085,3.207
"2007-03",NA,NA,5.113,0.08,3.707,NA,0.34,3.456
"2007-04",NA,NA,4.416,0.129,3.112,NA,0.166,3.306
"2007-05",NA,NA,5.05,0.324,9.243,NA,0.552,5.472
"2007-06",NA,NA,4.671,0.764,11.131,NA,1.495,5.694
"2007-07",NA,NA,6.12,1.611,15.841,NA,5.614,7.68
"2007-08",NA,NA,5.274,1.118,18.941,NA,0.955,8.563
"2007-09",NA,NA,6.609,1.076,12.699,NA,2.16,6.61
"2007-10",NA,NA,5.281,0.512,13.031,NA,1.166,7.167
"2007-11",NA,NA,5.376,1.422,11.87,NA,3.139,7.182
"2007-12",NA,NA,5.255,0.648,7.179,NA,1.216,6.023
"2008-01",NA,NA,4.684,0.371,4.928,NA,0.405,4.79
"2008-02",NA,NA,3.558,0.107,3.65,NA,0.16,3.404
"2008-03",NA,NA,4.071,0.032,2.96,NA,0.048,3.129
"2008-04",NA,NA,4.168,0.248,4.636,NA,0.349,3.75
"2008-05",NA,NA,5.56,0.9,9.813,NA,0.879,4.882
"2008-06",NA,NA,5.431,0.853,15.767,NA,1.879,6.905
"2008-07",NA,NA,7.219,0.775,19.575,NA,1.07,8.132
"2008-08",NA,NA,4.517,1.099,16.06,NA,1.704,7.422
"2008-09",NA,NA,3.64,0.332,12.093,NA,1.053,6.583
"2008-10",NA,NA,6.006,1.684,9.559,NA,2.165,6.228
"2008-11",NA,NA,5.731,1.366,7.117,NA,2.394,6.124
"2008-12",NA,NA,5.963,1.659,7.327,NA,0.704,6.286
"2009-01",NA,NA,4.667,0.699,3.555,NA,0.272,4.307
"2009-02",NA,NA,3.859,0.089,2.167,NA,0.087,3.095
"2009-03",NA,NA,4.762,0.101,1.823,NA,0.038,2.974
"2009-04",NA,NA,4.697,0.119,2.202,NA,0.061,2.819
"2009-05",NA,NA,5.058,0.345,5.188,NA,0.114,4.421
"2009-06",NA,NA,6.179,0.581,12.711,NA,1.129,6.142
