#Dataset: Monthly information aggregated on IPCC reference regions for CMIP5/6 and CORDEX
#Reference: https://doi.org/10.5194/essd-12-2959-2020
#Project: CORDEX-EAS
#Experiment: rcp26
#Model: NCC-NorESM1-M_r1i1p1_ICTP-RegCM4-4_v0
#Variable: tas
#Variable_longname: mean near-surface air temperature
#Units: degC
#Time_frequency: month
#Feature_type: regional mean time series
#Regions: IPCC-WGI-reference-regions-v4
#Area: land and sea
#Spatial_resolution: 0.5 degrees
#Interpolation_method: cdo remapcon
#Creation_Date: 2021-03-13
"date","ECA","TIB","EAS","SAS","SEA","NAU","BOB","full_domain"
"2006-01",-13.112,-14.02,3.856,20.053,23.712,NA,24.75,7.083
"2006-02",-5.173,-12.758,6.429,22.472,24.212,NA,24.463,9.363
"2006-03",4.679,-5.435,11.693,25.728,25.323,NA,25.156,13.222
"2006-04",8.289,-0.321,14.592,28.598,26.637,NA,26.328,15.822
"2006-05",15.867,3.577,18.345,30.414,27.237,NA,27.258,18.958
"2006-06",21.106,7.442,21.299,29.574,26.919,NA,27.236,21.3
"2006-07",24.762,9.585,23.604,27.668,26.856,NA,27.146,22.875
"2006-08",22.737,8.896,23.788,27.024,27.038,NA,26.928,22.381
"2006-09",13.995,6.616,21.259,26.857,26.971,NA,26.968,19.951
"2006-10",7.024,-0.371,16.437,25.912,26.861,NA,27.632,17.058
"2006-11",-3.663,-8.309,10.803,22.945,26.081,NA,27.044,12.373
"2006-12",-7.642,-14.363,6.989,19.655,23.938,NA,24.782,9.447
"2007-01",-7.753,-15.727,6.585,19.472,23.337,NA,23.991,8.201
"2007-02",-4.966,-12.501,8.19,22.185,24.185,NA,23.862,9.834
"2007-03",0.347,-4.788,10.034,26.295,24.807,NA,24.721,12.464
"2007-04",9.15,0.434,14.648,28.76,25.81,NA,25.823,16.129
"2007-05",14.935,4.899,18.449,29.526,26.619,NA,26.542,18.823
"2007-06",19.401,7.107,21.729,29.061,26.826,NA,27.076,20.866
