#Dataset: Monthly information aggregated on IPCC reference regions for CMIP5/6 and CORDEX
#Reference: https://doi.org/10.5194/essd-12-2959-2020
#Project: CORDEX-EUR
#Experiment: historical
#Model: MOHC-HadGEM2-ES_r1i1p1_historical_CLMcom-CCLM4-8-17_v1
#Variable: pr
#Variable_longname: mean daily precipitation
#Units: mm/day
#Time_frequency: month
#Feature_type: regional mean time series
#Regions: IPCC-WGI-reference-regions-v4
#Area: land and sea
#Spatial_resolution: 0.5 degrees
#Interpolation_method: cdo remapcon
#Creation_Date: 2021-03-14
"date","NEU","WCE","EEU","MED","world"
"1970-01",2.631,1.646,1.803,1.829,2.201
"1970-02",2.861,2.222,1.897,1.138,1.991
"1970-03",2.661,1.769,1.747,1.129,1.708
"1970-04",2.17,1.464,1.191,0.745,1.495
"1970-05",1.523,1.22,1.401,1.378,1.32
"1970-06",2.001,1.386,2.276,0.499,1.093
"1970-07",1.844,1.046,0.823,0.069,0.854
"1970-08",1.547,0.803,1.288,0.301,0.919
"1970-09",2.528,1.629,1.775,0.605,1.304
"1970-10",3.458,2.187,1.483,0.904,1.815
"1970-11",2.759,2.271,2.155,1.957,2.157
"1970-12",2.15,2.108,2.243,2.079,1.897
"1971-01",2.3,1.818,1.405,1.911,1.953
"1971-02",1.609,1.936,1.192,1.86,1.964
"1971-03",2.163,1.766,1.505,1.062,1.507
"1971-04",1.678,1.614,0.424,1.255,1.311
"1971-05",1.188,1.221,0.755,1.419,1.133
"1971-06",1.441,1.659,2.181,0.369,1.017
"1971-07",2.201,0.369,0.58,0.051,0.726
"1971-08",1.612,0.518,0.949,0.072,0.707
"1971-09",1.858,1.454,1.401,0.253,1.143
"1971-10",2.64,1.476,2.372,1.357,1.805
"1971-11",2.808,2.044,1.825,1.839,2.074
"1971-12",3.368,2.851,1.896,1.571,2.464
"1972-01",2.355,2.629,1.805,1.724,2.056
"1972-02",2.629,2.261,1.971,1.154,1.848
"1972-03",1.52,2.258,1.99,1.447,1.838
"1972-04",1.385,1.204,2.414,1.197,1.41
"1972-05",1.075,0.897,2.702,0.635,1.046
"1972-06",1.941,0.931,1.711,0.329,0.97
"1972-07",1.471,0.431,1.773,0.018,0.696
"1972-08",2.038,0.704,2.412,0.177,1.002
"1972-09",2.433,1.403,3.008,0.59,1.367
"1972-10",2.909,1.769,2.185,1.913,1.983
"1972-11",2.471,1.793,1.037,2.408,2.193
"1972-12",2.475,3.165,1.665,2.388,2.326
"1973-01",2.331,2.425,1.374,1.985,2.085
"1973-02",2.598,2.263,1.923,1.238,1.776
"1973-03",1.941,2.043,2.318,1.445,1.718
"1973-04",2.452,1.954,1.966,0.857,1.553
"1973-05",1.131,1.173,1.876,0.963,1.224
"1973-06",1.422,1.302,2.381,0.267,0.945
"1973-07",1.858,0.773,2.777,0.009,0.83
"1973-08",1.741,0.692,2.391,0.079,0.896
"1973-09",2.139,1.71,2.102,0.412,1.152
"1973-10",2.669,2.531,2.267,1.388,2.074
"1973-11",3.023,1.509,1.481,1.903,2.201
"1973-12",2.992,3.085,2.039,1.843,2.152
"1974-01",2.168,2.447,2.172,2.364,2.293
"1974-02",2.192,2.244,1.791,1.773,2.071
"1974-03",2.071,0.744,0.629,0.961,1.422
"1974-04",1.749,1.052,1.696,1.042,1.36
"1974-05",1.807,1.184,0.983,0.993,1.224
"1974-06",1.041,1.106,2.323,1.001,1.06
"1974-07",2.044,1.399,1.854,0.086,0.96
"1974-08",2.195,0.873,1.54,0.153,0.889
"1974-09",2.307,1.724,2.621,0.806,1.444
"1974-10",1.479,1.575,1.537,1.879,1.873
"1974-11",1.667,2.168,1.599,2.347,2.087
"1974-12",2.883,2.358,1.806,1.838,2.228
"1975-01",2.213,2.665,1.798,2.354,2.394
"1975-02",2.956,2.268,1.88,1.551,2.114
"1975-03",2.822,1.21,1.69,0.762,1.525
"1975-04",1.49,1.34,2.252,0.737,1.123
"1975-05",1.264,1.46,2.239,1.02,1.181
"1975-06",1.811,1.323,2.018,0.721,1.22
"1975-07",1.37,0.502,0.946,0.144,0.57
"1975-08",1.977,0.724,0.99,0.114,0.816
"1975-09",2.37,0.894,2.547,0.716,1.31
"1975-10",2.266,2.067,2.213,2.159,2.089
"1975-11",3.079,2.05,1.45,1.503,2.226
"1975-12",3.464,3.052,1.397,1.407,2.321
"1976-01",2.991,2.767,2.451,2.384,2.487
"1976-02",3.19,1.476,1.399,1.723,2.049
"1976-03",2.316,2.345,1.735,1.237,1.695
"1976-04",2.515,1.659,0.671,0.766,1.344
"1976-05",1,2.247,2.065,1.099,1.318
"1976-06",1.306,1.872,1.144,0.778,1.046
"1976-07",1.766,1.15,2.087,0.097,0.902
"1976-08",2.304,0.822,2.506,0.191,1.092
"1976-09",2.1,1.577,1.709,0.562,1.264
"1976-10",2.764,2.37,2.195,1.867,2.097
"1976-11",2.498,2.851,2.784,1.988,2.211
"1976-12",2.56,2.676,1.642,2.084,2.142
"1977-01",2.139,1.293,1.359,1.2,1.782
"1977-02",2.565,2.473,1.298,1.429,2.029
"1977-03",1.938,1.467,1.526,1.305,1.645
"1977-04",1.76,3.055,2.598,1.102,1.698
"1977-05",1.745,2.521,2.367,0.592,1.367
"1977-06",0.579,1.677,2.335,0.521,0.994
"1977-07",1.902,1.169,1.144,0.119,0.839
"1977-08",1.972,0.973,2.524,0.151,0.999
"1977-09",2.596,2.226,2.508,0.396,1.385
"1977-10",2.653,1.797,1.643,1.737,1.697
"1977-11",2.46,2.366,1.862,1.992,2.112
"1977-12",2.506,2.253,1.117,2.322,2.36
"1978-01",2.053,2.562,2.026,1.733,2.07
"1978-02",3.194,1.821,1.535,1.448,1.915
"1978-03",1.737,1.191,0.96,1.237,1.595
"1978-04",2.083,2.407,1.003,1.55,1.68
"1978-05",2.092,1.603,1.754,1.034,1.441
"1978-06",1.249,1.239,1.638,0.507,0.958
"1978-07",1.846,1.018,1.49,0.087,0.944
"1978-08",1.887,0.664,2.237,0.031,0.932
"1978-09",2.367,0.87,2.866,0.65,1.432
"1978-10",1.842,1.388,2.03,2.654,2.045
"1978-11",2.377,2.844,1.412,2.967,2.548
"1978-12",2.232,3.208,2.12,2.419,2.393
"1979-01",2.865,1.882,1.564,1.693,1.982
"1979-02",2.762,1.744,1.947,1.111,1.78
"1979-03",2.537,3.133,1.869,0.694,1.722
"1979-04",1.874,1.46,1.189,1.107,1.393
"1979-05",1.254,1.889,1.98,1.436,1.311
"1979-06",1.663,2.068,1.717,0.645,1.178
"1979-07",2.217,0.749,1.748,0.079,0.903
"1979-08",2.181,0.817,1.637,0.132,1.01
"1979-09",2.516,1.355,1.441,0.725,1.302
"1979-10",2.321,1.555,2.219,1.776,1.914
"1979-11",3.551,2.986,2.245,1.832,2.468
"1979-12",3.237,3.04,1.755,1.894,2.359
"1980-01",3.091,2.783,1.206,2.431,2.385
"1980-02",2.206,1.687,1.462,1.826,1.784
"1980-03",1.611,2.94,2.067,1.378,1.857
"1980-04",1.435,2.429,2.581,0.974,1.614
"1980-05",1.155,2.026,1.824,0.823,1.172
"1980-06",1.474,1.938,2.367,0.455,1.043
"1980-07",1.798,0.982,1.874,0.094,0.842
"1980-08",1.682,1.278,1.306,0.101,0.892
"1980-09",2.623,1.309,1.15,0.446,1.366
"1980-10",2.072,1.966,2.84,1.533,1.887
"1980-11",3.188,2.449,2.153,1.969,2.221
"1980-12",2.489,1.7,1.712,2.276,2.192
"1981-01",1.996,1.555,1.046,1.599,1.886
"1981-02",2.247,1.665,2.238,2.306,2.223
"1981-03",1.196,1.832,1.185,2.32,1.842
"1981-04",1.915,1.418,1.864,1.552,1.469
"1981-05",1.513,2.166,1.757,0.847,1.3
"1981-06",1.596,1.041,1.556,0.392,0.892
"1981-07",1.717,0.631,1.401,0.064,0.749
"1981-08",1.558,0.747,1.334,0.152,0.917
"1981-09",2.665,0.925,1.108,0.825,1.399
"1981-10",2.544,1.816,2.447,1.526,1.741
"1981-11",3.079,1.661,1.887,1.845,2.116
"1981-12",2.4,2.201,1.352,1.987,2.3
"1982-01",2.729,1.85,1.796,1.064,1.929
"1982-02",3.198,2.595,2.166,0.732,2.028
"1982-03",2.492,1.919,1.131,0.804,1.558
"1982-04",2.325,1.884,2.632,0.807,1.494
"1982-05",1.366,1.846,1.729,0.913,1.155
"1982-06",1.556,1.587,1.266,0.38,0.913
"1982-07",1.419,0.832,0.339,0.141,0.65
"1982-08",1.592,0.977,1.378,0.471,0.961
"1982-09",2.455,1.298,2.181,0.606,1.276
"1982-10",2.325,2.805,1.377,1.659,1.863
"1982-11",2.963,2.188,1.596,2.627,2.412
"1982-12",3.268,2.691,1.427,1.855,2.322
"1983-01",2.676,1.346,0.788,1.541,2.057
"1983-02",2.674,2.491,1.836,1.685,1.974
"1983-03",1.85,1.372,1.211,1.444,1.684
"1983-04",2.169,0.996,1.446,1.317,1.485
"1983-05",1.022,1.24,1.675,1.212,1.207
"1983-06",1.372,0.909,1.932,0.467,0.886
"1983-07",1.853,0.887,1.55,0.035,0.812
"1983-08",1.929,1.048,1.951,0.023,0.929
"1983-09",2.85,1.828,2.443,0.771,1.757
"1983-10",2.852,2.238,2.392,1.717,2.014
