#Dataset: Monthly information aggregated on IPCC reference regions for CMIP5/6 and CORDEX
#Reference: https://doi.org/10.5194/essd-12-2959-2020
#Project: CORDEX-EUR
#Experiment: rcp85
#Model: MPI-M-MPI-ESM-LR_r1i1p1_rcp85_CLMcom-CCLM4-8-17_v1
#Variable: pr
#Variable_longname: mean daily precipitation
#Units: mm/day
#Time_frequency: month
#Feature_type: regional mean time series
#Regions: IPCC-WGI-reference-regions-v4
#Area: sea only
#Spatial_resolution: 0.5 degrees
#Interpolation_method: cdo remapcon
#Creation_Date: 2021-03-15
"date","NEU","WCE","EEU","MED","world"
"2006-01",2.98,4.865,0.983,3.177,3.834
"2006-02",3.496,2.819,1.552,0.873,3.414
"2006-03",3.327,3.058,1.379,0.788,2.467
"2006-04",1.53,2.445,1.706,1.71,1.929
"2006-05",1.47,2.01,1.671,0.99,1.404
"2006-06",1.787,1.044,3.455,0.513,1.533
"2006-07",2.046,1.902,4.258,0.126,1.413
"2006-08",2.051,1.615,3.084,0.253,1.393
"2006-09",2.226,3.786,2.45,1.332,2.424
"2006-10",3.874,1.72,1.747,1.531,2.96
"2006-11",3.824,2.741,2.085,1.816,3.595
"2006-12",2.665,2.734,1.071,2.864,3.655
"2007-01",2.622,2.991,0.946,2.936,3.307
"2007-02",2.625,3.389,1.15,2.039,3.065
"2007-03",2.036,2.055,1.541,1.131,2.449
"2007-04",1.397,2.376,1.409,1.509,1.714
"2007-05",1.299,1.861,3.438,0.807,1.414
"2007-06",1.721,1.219,2.986,0.314,1.286
"2007-07",2.745,1.743,4.555,0.088,1.588
"2007-08",3.467,1.13,2.471,0.091,1.81
"2007-09",3.429,2.918,1.255,0.465,2.362
"2007-10",3.102,3.973,1.697,2.111,3.184
"2007-11",4.064,3.218,2.771,2.299,3.116
"2007-12",2.859,4.309,1.238,3.409,3.627
"2008-01",2.886,4.935,0.761,2.733,3.548
"2008-02",2.782,3.939,1.122,2.033,3.254
"2008-03",2.014,2.754,0.813,1.908,2.35
"2008-04",1.783,0.895,1.218,0.891,1.795
"2008-05",1.881,1.208,2.794,1.07,1.597
"2008-06",1.447,2.057,5.543,0.167,1.066
"2008-07",1.566,1.767,3.325,0.129,1.262
"2008-08",2.257,2.018,4.103,0.227,1.866
"2008-09",3.259,1.868,1.618,1.054,2.586
"2008-10",2.902,3.787,1.63,2.441,3.32
"2008-11",2.426,2.83,2.013,2.381,3.202
"2008-12",3.751,1.566,1.934,1.282,3.377
"2009-01",3.156,2.21,1.435,2.209,3.26
"2009-02",2.547,2.345,1.09,1.66,2.931
"2009-03",2.359,2.85,1.078,1.258,2.401
"2009-04",1.175,2.508,2.927,1.152,1.725
"2009-05",1.66,2.403,2.747,0.582,1.745
"2009-06",2.167,1.606,4.826,0.207,1.549
"2009-07",1.796,1.423,3.021,0.14,1.344
"2009-08",2.665,1.861,2.486,0.134,1.746
"2009-09",4.151,1.978,3.237,0.351,2.457
"2009-10",3.27,1.817,2.379,1.392,2.561
"2009-11",2.339,4.558,1.484,2.116,3.57
"2009-12",2.722,2.66,2.304,1.96,2.796
"2010-01",3.316,2.908,0.611,2.17,3.36
"2010-02",3.018,2.256,1.505,1.205,3.073
"2010-03",3.121,3.326,1.405,0.757,2.736
"2010-04",2.062,1.973,1.132,1.165,2.091
"2010-05",1.514,2.555,2.446,0.787,1.614
"2010-06",1.405,2.016,5.288,0.79,1.481
"2010-07",1.976,1.329,3.542,0.16,1.381
"2010-08",2.919,1.451,5.684,0.154,1.702
"2010-09",3.297,1.611,2.634,1.575,2.772
"2010-10",3.623,3.822,2.968,2.601,3.363
"2010-11",2.473,2.977,0.894,2.993,3.423
"2010-12",2.677,3.428,0.999,3.063,3.589
"2011-01",2.335,3.992,0.696,3.287,3.639
"2011-02",3.445,3.646,0.586,1.632,3.467
"2011-03",2.409,1.751,1.56,1.149,2.276
"2011-04",1.751,2.682,1.189,1.916,2.299
"2011-05",1.461,2.145,4.337,0.987,1.687
"2011-06",1.388,1.134,5.128,0.68,1.332
"2011-07",2.454,1.599,3.272,0.14,1.488
"2011-08",3.322,2.165,1.397,0.414,1.936
"2011-09",3.313,0.907,3.268,0.726,2.373
"2011-10",2.99,3.884,2.708,2.563,3.246
"2011-11",3.286,3.012,1.684,3.182,3.832
"2011-12",3.442,4.386,0.843,2.434,3.365
"2012-01",3.218,2.658,2.253,2.273,3.103
"2012-02",3.261,3.658,1.284,1.374,3.228
"2012-03",2.271,2.706,1.979,1.541,2.601
"2012-04",2.528,2.674,1.837,1.169,2.423
"2012-05",1.834,2.13,3.862,1.072,1.556
"2012-06",1.505,1.81,4.964,0.591,1.261
"2012-07",2.258,1.907,3.659,0.26,1.539
"2012-08",3.501,0.952,3.654,0.136,2.034
"2012-09",2.558,1.938,3.371,1.01,1.996
"2012-10",3.424,3.985,1.186,1.778,3.131
"2012-11",3.784,4.472,0.484,2.32,3.71
"2012-12",2.589,4.687,1.155,2.549,3.476
"2013-01",2.721,2.387,1.138,2.467,3.156
"2013-02",3.325,2.099,1.892,1.412,2.851
"2013-03",2.752,2.003,1.853,1.212,2.216
"2013-04",1.739,1.382,0.891,1.696,1.781
"2013-05",1.515,1.687,3.242,0.643,1.483
"2013-06",1.216,2.174,1.082,0.574,1.295
"2013-07",1.641,2.449,3.036,0.217,1.336
"2013-08",2.304,0.953,2.91,0.402,1.958
"2013-09",3.088,2.056,1.602,1.103,2.309
"2013-10",2.6,2.234,4.048,2.374,3.059
"2013-11",3.059,3.944,1.058,2.673,3.606
"2013-12",2.523,5.715,1.422,2.425,3.428
"2014-01",3.052,3.717,1.694,1.872,2.939
"2014-02",2.696,2.348,1.248,1.761,2.626
"2014-03",2.207,2.871,1.715,1.277,2.207
"2014-04",1.954,2.587,1.912,1.003,2.152
"2014-05",1.835,2.803,3.583,0.738,1.874
"2014-06",2.389,1.705,2.8,0.529,1.64
"2014-07",2.317,2.243,3.266,0.603,1.848
"2014-08",2.625,1.008,3.584,0.296,1.947
"2014-09",3.251,1.456,2.017,0.569,1.943
"2014-10",2.564,2.979,1.106,2.834,3.159
"2014-11",4.209,5.2,1.813,1.623,3.736
"2014-12",3.124,4.486,1.873,2.334,3.39
"2015-01",3.852,5.501,1.768,1.878,3.698
"2015-02",3.316,1.977,1.173,0.656,3.101
