#Dataset: Monthly information aggregated on IPCC reference regions for CMIP5/6 and CORDEX
#Reference: https://doi.org/10.5194/essd-12-2959-2020
#Project: CORDEX-EUR
#Experiment: rcp85
#Model: MPI-M-MPI-ESM-LR_r1i1p1_rcp85_SMHI-RCA4_v1a
#Variable: pr
#Variable_longname: mean daily precipitation
#Units: mm/day
#Time_frequency: month
#Feature_type: regional mean time series
#Regions: IPCC-WGI-reference-regions-v4
#Area: sea only
#Spatial_resolution: 0.5 degrees
#Interpolation_method: cdo remapcon
#Creation_Date: 2021-03-15
"date","NEU","WCE","EEU","MED","world"
"2006-01",3.593,5.388,1.425,3.557,4.327
"2006-02",4.246,3.552,2.032,1.13,3.958
"2006-03",3.911,4.037,1.089,1.202,2.952
"2006-04",2.2,2.743,3.23,1.426,2.151
"2006-05",1.984,2.487,1.052,0.955,1.721
"2006-06",2.249,1.416,1.294,0.665,1.808
"2006-07",2.797,1.948,2.442,0.144,1.765
"2006-08",2.648,1.428,3.814,0.291,1.657
"2006-09",2.614,3.837,1.862,1.352,2.75
"2006-10",4.393,2.189,3.167,1.51,3.242
"2006-11",4.365,3.658,2.602,1.995,4.014
"2006-12",3.033,3.238,1.25,3.322,4.098
"2007-01",3.084,3.968,1.501,3.697,3.988
"2007-02",2.914,4.396,2.306,2.37,3.555
"2007-03",2.559,2.642,0.539,1.812,3.073
"2007-04",1.71,2.933,0.884,1.629,2.048
"2007-05",1.629,1.874,2.243,0.873,1.666
"2007-06",2.377,1.63,1.525,0.37,1.614
"2007-07",3.182,1.376,1.699,0.12,1.763
"2007-08",3.678,1.323,2.449,0.125,2.04
"2007-09",3.772,3.074,2.208,0.473,2.669
"2007-10",3.652,4.652,1.985,2.463,3.699
"2007-11",4.317,4.156,3.372,3.064,3.633
"2007-12",3.208,5.069,1.372,3.666,4.089
"2008-01",3.322,5.529,1.525,3.172,4.131
"2008-02",3.198,4.461,1.136,2.4,3.783
"2008-03",2.51,3.026,0.842,1.749,2.587
"2008-04",1.986,1.106,2.178,0.937,2.004
"2008-05",2.102,1.525,1.695,1.057,1.785
"2008-06",2.046,2.606,3.469,0.383,1.434
"2008-07",2.076,2.014,2.681,0.137,1.614
"2008-08",2.764,1.363,4.082,0.145,2.049
"2008-09",3.617,1.851,2.751,0.968,2.743
"2008-10",3.102,4.021,2.948,2.397,3.568
"2008-11",2.889,3.072,1.772,2.574,3.618
"2008-12",4.488,2.112,2.277,1.505,3.767
"2009-01",3.843,2.468,1.5,2.509,3.758
"2009-02",3.031,3.461,1.239,1.924,3.484
"2009-03",2.92,3.057,1.5,1.282,2.761
"2009-04",1.805,2.339,1.705,1.452,2.205
"2009-05",2.211,2.193,2.266,0.55,1.992
"2009-06",3.043,1.1,2.896,0.54,2.09
"2009-07",2.383,1.641,4.478,0.157,1.635
"2009-08",3.436,2.344,3.448,0.183,2.079
"2009-09",4.477,2.276,3.109,0.388,2.643
"2009-10",3.638,2.567,2.289,1.869,2.981
"2009-11",2.769,4.395,2.145,2.258,4.027
"2009-12",3.278,2.659,2.406,2.299,3.238
"2010-01",3.794,3.648,1.019,2.362,3.769
"2010-02",3.534,3.043,1.337,1.514,3.616
"2010-03",3.554,4.177,1.402,0.931,3.126
