#Dataset: Monthly information aggregated on IPCC reference regions for CMIP5/6 and CORDEX
#Reference: https://doi.org/10.5194/essd-12-2959-2020
#Project: CORDEX-EUR
#Experiment: historical
#Model: ICHEC-EC-EARTH_r12i1p1_historical_KNMI-RACMO22E_v1
#Variable: tas
#Variable_longname: mean near-surface air temperature
#Units: degC
#Time_frequency: month
#Feature_type: regional mean time series
#Regions: IPCC-WGI-reference-regions-v4
#Area: land only
#Spatial_resolution: 0.5 degrees
#Interpolation_method: cdo remapcon
#Creation_Date: 2021-03-14
"date","NEU","WCE","EEU","MED","world"
"1970-01",-11.944,-12.225,-17.645,-0.183,-5.966
"1970-02",-9.629,-6.532,-12.187,2.877,-2.403
"1970-03",-6.088,-2.548,-7.663,7.11,1.843
"1970-04",-1.134,2.778,-3.391,10.676,6.18
"1970-05",3.299,10.205,3.596,14.986,11.585
"1970-06",9.194,14.067,10.318,18.709,15.865
"1970-07",10.132,15.782,13.641,21.82,18.28
"1970-08",9.335,15.977,14.665,22.368,18.483
"1970-09",6.583,10.913,8.631,16.852,13.823
"1970-10",2.73,5.77,0.941,12.22,8.454
"1970-11",-3.51,-2.021,-5.278,5.995,1.885
"1970-12",-9.083,-3.566,-9.822,3.383,-1.436
"1971-01",-8.352,-4.665,-9.384,1.539,-2.314
"1971-02",-8.591,-3.757,-14.721,4.112,-1.465
"1971-03",-6.269,-3.578,-12.427,6.795,0.751
"1971-04",-1.982,3.027,-3.165,10.889,6.175
"1971-05",4.29,11.102,6.28,15.869,12.41
"1971-06",7.603,14.504,11.469,19.427,16.193
"1971-07",10.954,14.94,17.047,21.433,18.526
"1971-08",9.446,16.017,14.984,22.87,18.65
"1971-09",5.723,11.814,7.87,18.59,14.277
"1971-10",0.849,5.027,1.228,12.981,8.531
"1971-11",-4.662,-0.751,-2.762,7.74,3.319
"1971-12",-6.767,-5.096,-14.416,4.699,-1.301
"1972-01",-7.167,-2.71,-9.884,2.351,-1.367
"1972-02",-6.367,-4.676,-12.215,2.65,-1.471
"1972-03",-5.675,-1.197,-10.623,4.712,0.629
"1972-04",-0.755,5.781,-2.548,11.22,7.065
"1972-05",7.45,12.647,6.199,14.589,12.892
"1972-06",8.592,13.646,11.001,18.398,15.908
"1972-07",10.955,16.039,17.111,22.949,19.447
"1972-08",9.473,16.327,15.749,22.703,18.76
"1972-09",5.806,11.959,8.978,18.281,14.419
"1972-10",1.598,5.926,2.015,12.257,8.57
"1972-11",-4.067,-0.513,-9.297,7.205,2.12
"1972-12",-7.212,-6.192,-9.367,3.011,-1.208
"1973-01",-13.299,-10.663,-20.833,2.298,-5.442
"1973-02",-16.67,-8.199,-22.007,4.923,-4.243
"1973-03",-3.861,-1.963,-10.47,5.592,1.147
"1973-04",-3.405,2.174,-5.062,10.223,5.227
"1973-05",2.501,7.904,2.4,13.838,10.137
"1973-06",8.064,14.251,11.616,19.509,16.099
"1973-07",11.197,18.361,17.328,22.237,19.743
"1973-08",8.918,15.067,15.191,22.44,18.331
"1973-09",5.399,11.116,9.021,16.704,13.731
"1973-10",1.693,4.882,-1.15,11.86,7.761
"1973-11",-2.913,-1.656,-10.908,7.053,1.968
"1973-12",-7.625,-5.988,-16.917,3.757,-2.303
"1974-01",-7.354,-3.584,-10.287,2.014,-1.775
"1974-02",-6.571,-5.995,-16.92,2.172,-2.794
