#Dataset: Monthly information aggregated on IPCC reference regions for CMIP5/6 and CORDEX
#Reference: https://doi.org/10.5194/essd-12-2959-2020
#Project: CORDEX-EUR
#Experiment: rcp45
#Model: ICHEC-EC-EARTH_r12i1p1_rcp45_SMHI-RCA4_v1
#Variable: tas
#Variable_longname: mean near-surface air temperature
#Units: degC
#Time_frequency: month
#Feature_type: regional mean time series
#Regions: IPCC-WGI-reference-regions-v4
#Area: land and sea
#Spatial_resolution: 0.5 degrees
#Interpolation_method: cdo remapcon
#Creation_Date: 2021-03-14
"date","NEU","WCE","EEU","MED","world"
"2006-01",-1.534,0.088,-11.536,8.442,3.408
"2006-02",-6.204,-6.057,-15.953,8.496,1.395
"2006-03",-3.628,0.71,-10.419,11.133,4.486
"2006-04",0.136,6.089,-3.485,13.262,7.76
"2006-05",6.003,9.926,6.561,15.418,11.262
"2006-06",9.208,13.671,12.333,19.203,14.969
"2006-07",12.029,16.772,15.973,22.791,17.868
"2006-08",11.536,17.002,16.576,23.025,17.958
"2006-09",8.92,13.167,10.044,20.696,15.267
"2006-10",6.606,6.892,2.216,15.701,11.146
"2006-11",2.713,3.936,-4.925,11.791,7.342
"2006-12",1.266,1.838,-6.867,8.327,4.696
"2007-01",-1.438,-0.871,-11.003,7.014,2.578
"2007-02",-1.961,-3.975,-16.612,8.147,2.458
"2007-03",-1.106,2.956,-4.758,10.106,5.294
"2007-04",2.012,7.991,3.231,13.885,8.888
"2007-05",5.467,11.994,8.12,16.284,12.005
"2007-06",8.695,13.805,12.782,19.117,14.826
"2007-07",11.551,16.203,14.708,22.7,17.552
"2007-08",11.713,17.2,14.561,23.167,17.926
"2007-09",9.733,13.239,8.126,20.179,15.058
"2007-10",6.389,8.567,1.788,16.58,11.426
"2007-11",1.975,3.809,-1.787,11.885,7.083
"2007-12",0.344,2.458,-3.547,9.053,4.98
"2008-01",-0.113,-1.953,-8.975,7.137,3.3
"2008-02",-1.441,-4.36,-16.588,7.322,2.105
"2008-03",0.674,4.119,-1.997,10.998,6.364
"2008-04",2.07,7.236,3.743,12.1,8.169
"2008-05",6.065,12.841,9.956,16.284,12.25
"2008-06",8.944,13.289,13.868,19.538,14.975
"2008-07",11.453,17.353,17.296,23.199,18.007
"2008-08",10.833,16.524,14.396,22.969,17.456
"2008-09",9.313,15.225,10.889,20.557,15.501
"2008-10",6.037,9.441,5.806,16.912,11.838
"2008-11",3.175,5.163,-0.96,12.824,8.13
"2008-12",1.875,3.422,-2.483,9.836,5.623
"2009-01",-0.642,-0.976,-6.613,8.046,3.634
"2009-02",-4.316,-2.064,-11.503,10.025,2.978
"2009-03",-0.785,3.749,-2.659,11.918,6.34
"2009-04",1.66,5.636,-0.801,12.509,7.853
"2009-05",5.253,10.43,6.984,15.273,11.165
"2009-06",8.723,15.036,12.612,19.744,15.033
"2009-07",10.705,16.567,15.533,23.154,17.481
"2009-08",11.207,16.346,15.302,23.156,17.654
"2009-09",9.022,13.934,10.602,20.389,15.25
"2009-10",7.1,8.28,3.037,15.076,11.124
"2009-11",0.459,1.743,-5.49,11.787,6.511
"2009-12",0.51,-1.021,-9.357,8.999,4.417
"2010-01",-2.501,-0.069,-8.429,8.164,3.074
"2010-02",-0.453,0.984,-9.28,9.542,4.488
"2010-03",-3.337,-0.381,-7.277,10.181,4.289
"2010-04",1.166,5.827,-0.757,12.896,7.918
"2010-05",6.018,11.241,7.191,16.029,11.821
"2010-06",9.658,14.782,13.49,20.325,15.618
"2010-07",11.915,17.106,15.512,22.586,17.653
"2010-08",12.235,15.99,15.377,21.883,17.447
"2010-09",9.018,11.947,10.847,19.808,14.927
"2010-10",4.827,5.04,-0.23,14.679,10.105
"2010-11",2.584,2.641,-5.966,11.395,6.927
"2010-12",-1.197,-0.488,-9.806,9.18,3.914
"2011-01",0.292,2.384,-8.678,9.088,4.492
"2011-02",-1.459,0.326,-11.307,8.375,3.272
"2011-03",-1.69,2.84,-2.337,10.271,5.484
"2011-04",1.963,7.634,2.715,13.139,8.529
"2011-05",4.878,12.167,8.397,16.64,11.902
"2011-06",9.356,15.087,14.237,20.35,15.661
"2011-07",10.597,18.225,15.777,23.109,17.7
"2011-08",11.894,17.678,13.111,23.518,18.036
"2011-09",10.14,13.115,9.72,20.804,15.616
"2011-10",7.049,9.981,6.192,17.001,12.16
"2011-11",2.67,2.142,-2.275,11.981,7.509
"2011-12",0.427,-2.68,-11.035,8.927,3.76
"2012-01",-1.893,-0.139,-14.277,8.703,2.995
"2012-02",-5.307,-4.005,-8.808,8.163,2.117
"2012-03",-1.675,-0.404,-10.59,10.479,4.426
"2012-04",2.076,7.764,1.744,13.835,8.836
"2012-05",5.726,11.944,9.506,16.244,11.887
"2012-06",9.432,15.225,13.517,20.033,15.374
"2012-07",11.209,17.376,17.106,23.785,18.155
"2012-08",13.421,18.549,15.835,23.355,18.59
"2012-09",9.911,13.622,9.111,20.762,15.496
"2012-10",5.776,9.081,4.902,15.702,11.357
"2012-11",3.456,4.769,-0.993,12.049,7.936
"2012-12",1.701,2.965,-4.195,9.764,5.548
"2013-01",-0.46,-0.673,-13.032,8.761,3.495
"2013-02",-0.214,-0.952,-7.881,7.232,3.432
"2013-03",1.396,4.274,-2.809,10.606,6.242
"2013-04",1.214,7.277,2.421,13.567,8.533
"2013-05",6.415,11.39,7.054,16.434,12.033
"2013-06",9.773,13.992,11.875,19.479,15.118
"2013-07",11.985,15.922,15.562,22.671,17.751
"2013-08",11.946,15.461,15.279,21.808,17.378
"2013-09",9.798,12.656,9.067,19.341,14.99
"2013-10",6.401,8.524,4.704,15.475,11.33
"2013-11",2.475,4.996,-0.225,14.107,8.593
"2013-12",-2.662,-1.932,-10.459,9.623,3.686
"2014-01",0.996,0.122,-8.616,8.621,4.119
"2014-02",0.919,-0.444,-8.524,8.774,4.266
"2014-03",-0.806,-0.07,-7.325,10.407,4.753
"2014-04",2.641,5.883,-1.468,12.871,8.42
"2014-05",6.55,10.802,5.841,16.297,12.034
"2014-06",10.527,15.788,13.852,20.227,15.897
"2014-07",12.56,18.614,15.16,23.569,18.447
"2014-08",11.655,17.924,16.167,23.839,18.477
"2014-09",10.995,14.946,10.699,20.736,16.134
"2014-10",7.946,9.452,3.295,16.56,12.177
"2014-11",0.658,3.029,-6.25,11.661,6.63
"2014-12",-2.352,1.556,-8.759,10.521,4.416
"2015-01",0.255,-1.114,-13.195,7.121,2.729
"2015-02",-0.223,-4.723,-12.101,6.629,2.627
"2015-03",0.768,0.313,-6.267,9.041,4.884
"2015-04",2.324,5.235,1.121,12.006,7.876
"2015-05",5.813,11.383,7.565,16.847,11.986
"2015-06",9.187,14.486,11.919,20.185,15.264
"2015-07",11.934,18.4,15.761,23.776,18.315
"2015-08",11.966,18.025,14.26,23.614,18.166
"2015-09",9.906,12.354,9.176,19.787,15.038
"2015-10",4.401,7.497,2.502,16.209,10.925
"2015-11",3.06,2.024,-6.213,12.042,7.009
"2015-12",1.681,0.457,-7.631,9.339,4.648
"2016-01",0.35,-0.225,-11.526,7.527,3.124
"2016-02",-1.942,-5.118,-19.992,8.091,1.788
"2016-03",1.151,4.056,-4.54,11.09,6.103
"2016-04",2.993,8.991,4.999,13.05,8.935
"2016-05",5.824,12.2,10.045,16.472,12.16
"2016-06",10.787,17.518,15.398,20.401,16.142
"2016-07",12.131,17.423,15.712,23.437,18.168
"2016-08",11.873,16.972,14.694,23.35,18.07
"2016-09",10.153,14.592,10.007,20.251,15.727
"2016-10",5.637,7.816,2.402,15.39,11.056
"2016-11",0.995,1.902,-3.467,12.059,6.984
"2016-12",-0.81,-0.613,-9.135,8.769,4.088
"2017-01",-1.487,0.054,-9.18,8.216,3.19
"2017-02",-0.062,-0.633,-10.962,7.72,3.612
"2017-03",-2.34,0.134,-8.949,9.599,4.385
"2017-04",3.797,7.709,0.103,13.12,8.767
"2017-05",5.33,9.45,8.32,15.569,11.533
"2017-06",9.42,13.557,14.626,18.867,15.186
"2017-07",12.119,16.879,14.288,22.953,18.042
