#Dataset: Monthly information aggregated on IPCC reference regions for CMIP5/6 and CORDEX
#Reference: https://doi.org/10.5194/essd-12-2959-2020
#Project: CORDEX-EUR
#Experiment: historical
#Model: MOHC-HadGEM2-ES_r1i1p1_historical_DMI-HIRHAM5_v2
#Variable: tas
#Variable_longname: mean near-surface air temperature
#Units: degC
#Time_frequency: month
#Feature_type: regional mean time series
#Regions: IPCC-WGI-reference-regions-v4
#Area: land and sea
#Spatial_resolution: 0.5 degrees
#Interpolation_method: cdo remapcon
#Creation_Date: 2021-03-14
"date","NEU","WCE","EEU","MED","world"
"1970-01",0.531,-0.557,-5.891,7.685,4.116
"1970-02",0.834,0.874,-7.312,8.551,4.503
"1970-03",2.772,3.599,-1.618,10.451,6.774
"1970-04",4.597,10.544,1.293,14.874,10.213
"1970-05",8.313,14.433,9.677,17.547,13.528
"1970-06",10.021,17.038,13.532,22.194,16.757
"1970-07",13.133,18.29,16.287,23.761,18.615
"1970-08",13.672,18.273,12.811,24.23,18.786
"1970-09",10.193,13.165,9.303,21.252,15.862
"1970-10",6.665,9.758,6.587,16.73,12.362
"1970-11",3.087,4.152,0.756,12.767,8.309
"1970-12",-0.338,-3.609,-8.695,8.062,3.709
"1971-01",-1.604,-5.63,-12.844,7.334,2.46
"1971-02",-2.846,-5.771,-12.749,8.809,3.002
"1971-03",1.56,2.796,-5.292,11.228,6.546
"1971-04",4.845,7.238,2.649,12.918,9.371
"1971-05",8.615,14.544,10.778,16.739,13.474
"1971-06",10.434,16.672,16.125,21.555,16.939
"1971-07",12.679,19.247,20.483,23.831,19.108
"1971-08",11.58,16.772,14.964,23.987,18.387
"1971-09",10.132,13.311,10.463,21.396,16.22
"1971-10",5.852,9.116,3.798,19.33,12.979
"1971-11",2.53,2.346,-6.995,13.087,7.739
"1971-12",1.608,2.937,-7.232,10.447,5.994
"1972-01",-0.285,-0.778,-11.091,9.148,4.111
"1972-02",-1.281,-1.279,-10.025,8.613,3.715
"1972-03",-2.398,-1.754,-11.153,11.457,4.64
"1972-04",3.742,6.295,-0.637,14.007,9.27
"1972-05",6.148,12.798,6.131,19.074,13.422
"1972-06",9.931,17.775,14.616,22.441,17.086
"1972-07",10.947,17.163,15.631,24.484,18.314
"1972-08",11.178,15.686,13.463,24.548,18.217
"1972-09",7.892,12.291,8.06,21.911,15.525
"1972-10",5.126,7.388,5.827,16.802,11.741
"1972-11",4.672,3.582,-3.613,12.577,8.186
"1972-12",-0.528,0.418,-13.63,10.272,4.629
"1973-01",-2.504,-5.583,-14.107,7.611,2.226
"1973-02",-1.991,-1.81,-10.923,8.805,3.488
"1973-03",-1.396,-0.112,-6.419,10.568,5.169
"1973-04",1.515,5.977,0.762,13.799,8.457
"1973-05",6.692,11.879,5.598,17.668,12.761
"1973-06",10.381,17.542,14.118,21.883,17.156
"1973-07",12.394,18.834,18.836,24.843,19.343
"1973-08",10.894,16.936,12.621,24.441,18.227
"1973-09",8.441,11.982,11.222,21.676,15.886
"1973-10",6.382,9.336,3.332,18.694,12.814
"1973-11",4.491,3.955,-2.048,13.192,8.558
"1973-12",0.118,1.483,-5.078,9.902,5.398
"1974-01",-2.272,-1.298,-10.608,8.571,3.223
"1974-02",-4.398,-2.274,-12.368,10.645,3.493
"1974-03",2.39,2.069,-7.747,11.211,6.54
"1974-04",3.183,8.903,1.8,14.886,10.028
"1974-05",7.039,14.811,11.856,18.268,13.898
"1974-06",10.818,17.088,17.573,21.87,17.285
"1974-07",11.083,16.773,18.467,24.498,18.758
"1974-08",10.905,17.165,16.253,24.066,18.339
"1974-09",7.722,11.736,9.834,21.53,15.501
"1974-10",5.986,5.802,-0.726,17.406,11.551
"1974-11",-0.573,-1.777,-9.997,12.229,5.916
"1974-12",1.209,0.728,-10.747,10.402,5.314
"1975-01",-1.803,-1.927,-10.613,9.047,3.688
"1975-02",-1.649,-2.674,-10.949,8.828,3.4
"1975-03",1.621,3.568,-6.681,11.161,6.32
"1975-04",2.863,6.679,-0.131,14.351,9.271
"1975-05",7.212,13.811,10.084,18.664,13.916
"1975-06",10.421,17.578,17.005,22.17,17.495
"1975-07",11.57,18.477,16.846,24.559,18.873
"1975-08",10.81,17.218,14.189,24.58,18.325
"1975-09",9.292,12.907,10.025,21.937,16.102
"1975-10",4.231,8.503,1.852,17.844,12.014
"1975-11",4.282,5.434,-2.67,13.092,8.569
"1975-12",1.546,2.116,-7.099,10.228,5.706
"1976-01",-3.398,-0.906,-11.409,8.65,2.94
"1976-02",-1.102,-1.356,-9.05,8.879,3.729
"1976-03",0.608,3.742,-1.477,11.485,6.742
"1976-04",3.955,8.222,3.93,15.201,10.372
"1976-05",6.128,12.835,10.199,18.784,13.483
"1976-06",11.238,18.852,17.713,22.607,17.904
"1976-07",11.513,18.583,16.991,25.182,19.067
"1976-08",11.128,16.888,15.906,24.521,18.503
"1976-09",10.429,14.271,12.769,22.115,16.565
"1976-10",4.832,9.18,2.72,17.884,11.957
"1976-11",1.715,3.535,-2.994,13.603,8.065
"1976-12",-1.831,-3.059,-10.907,9.263,3.522
"1977-01",-0.112,-3.359,-13.913,6.519,2.632
"1977-02",-1.673,-0.588,-13.142,9.405,3.644
"1977-03",0.273,3.005,-7.45,11.694,6.168
"1977-04",-0.755,7.444,-1.847,16.006,8.861
"1977-05",5.429,12.127,7.01,18.367,12.883
"1977-06",9.743,16.181,11.604,22.487,16.596
"1977-07",12.474,17.624,18.618,24.679,19.021
"1977-08",11.807,17.297,14.63,24.066,18.348
"1977-09",8.868,13.518,11.532,21.868,16.118
"1977-10",6.006,9.832,7.239,17.881,12.735
"1977-11",1.885,3.514,-6.465,13.077,7.675
"1977-12",-1.093,-1.06,-17.195,10.595,4.307
"1978-01",-1.867,-2.381,-14.315,9.098,3.306
"1978-02",-1.624,-0.014,-11.328,9.135,3.849
"1978-03",2.088,1.891,-6.594,10.556,6.182
"1978-04",3.792,8.433,0.001,14.222,9.589
"1978-05",6.198,13.844,7.481,18.755,13.417
"1978-06",10.485,17.202,14.397,22.2,17.182
"1978-07",13.241,20.127,15.611,24.477,19.326
"1978-08",11.404,16.341,13.128,23.916,18.102
"1978-09",8.797,13.008,10.303,21.65,15.945
"1978-10",6.281,6.58,2.216,16.76,11.613
"1978-11",2.531,2.045,-5.126,12.886,7.539
"1978-12",-0.037,1.977,-6.71,10.464,5.384
"1979-01",-1.147,-0.23,-12.542,8.424,3.512
"1979-02",-1.264,-0.404,-13.332,8.637,3.526
"1979-03",0.594,3.282,-3.356,12.534,7.01
"1979-04",3.858,7.517,1.926,14.377,9.546
"1979-05",7.247,14.338,11.577,17.772,13.612
"1979-06",10.406,18.381,15.467,21.701,17.184
"1979-07",11.265,18.821,17.165,24.6,18.813
"1979-08",11.593,17.926,15.198,24.732,18.82
"1979-09",9.545,14.741,11.899,22.269,16.647
