#Dataset: Monthly information aggregated on IPCC reference regions for CMIP5/6 and CORDEX
#Reference: https://doi.org/10.5194/essd-12-2959-2020
#Project: CORDEX-EUR
#Experiment: rcp85
#Model: MPI-M-MPI-ESM-LR_r1i1p1_rcp85_DMI-HIRHAM5_v1
#Variable: tas
#Variable_longname: mean near-surface air temperature
#Units: degC
#Time_frequency: month
#Feature_type: regional mean time series
#Regions: IPCC-WGI-reference-regions-v4
#Area: land and sea
#Spatial_resolution: 0.5 degrees
#Interpolation_method: cdo remapcon
#Creation_Date: 2021-03-15
"date","NEU","WCE","EEU","MED","world"
"2006-01",-1.295,-4.305,-16.385,9.405,3.372
"2006-02",0.815,2.61,-5.96,10.399,5.936
"2006-03",2.868,5.222,0.697,12.733,8.349
"2006-04",4.573,10.396,4.414,15.072,10.864
"2006-05",7.598,12.345,11.724,17.614,13.743
"2006-06",12.305,17.318,16.242,21.441,17.532
"2006-07",14.163,18.275,18.619,24.162,19.5
"2006-08",12.317,16.741,15.35,25.059,19.127
"2006-09",8.923,12.236,7.647,22.068,15.994
"2006-10",6.232,9.327,4.837,18.364,12.886
"2006-11",4.344,4.875,-1.752,13.482,8.933
"2006-12",2.872,-1.553,-7.858,9.086,5.338
"2007-01",-0.308,-5.695,-15.973,7.487,2.834
"2007-02",-0.407,0.851,-7.651,10.244,5.338
"2007-03",2.899,3.948,-2.333,11.911,7.724
"2007-04",3.878,7.019,2.962,14.043,9.95
"2007-05",7.968,13.971,12.556,18.135,14.298
"2007-06",10.702,15.833,18.362,20.846,17.008
"2007-07",12.301,18.116,19.424,24.169,19.185
"2007-08",12.281,17.687,16.401,24.354,18.964
"2007-09",10.624,15.884,13.658,22.555,17.244
"2007-10",8.12,10.357,6.301,18.769,13.593
"2007-11",3.048,3.975,-0.122,14.049,8.906
"2007-12",1.544,2.494,-5.386,12.002,6.924
"2008-01",-2.607,-4.71,-20.216,10.545,3.161
"2008-02",0.36,0.933,-8.282,10.65,5.68
"2008-03",1.233,4.069,-1.774,12.448,7.783
"2008-04",4.533,9.806,5.587,15.296,11.053
"2008-05",8.357,14.239,12.93,18.097,14.256
"2008-06",10.925,16.582,13.94,23.181,17.636
"2008-07",12.989,18.431,19.502,25.5,19.952
"2008-08",12.406,17.721,12.996,24.916,19.043
"2008-09",10.009,14.183,7.374,22.509,16.676
"2008-10",6.097,9.46,1.695,19.079,13.009
"2008-11",1.086,2.191,-5.138,12.712,7.514
"2008-12",2.719,3.02,-7.028,9.9,6.259
"2009-01",0.098,0.612,-6.688,8.411,4.661
"2009-02",0.264,0.619,-9.482,10.277,5.402
"2009-03",0.555,3.088,-4.319,12.166,7.062
"2009-04",4.156,8.759,2.484,15.322,10.59
"2009-05",7.565,14.129,10.057,18.495,14.096
"2009-06",11.038,18.064,13.869,22.799,17.503
"2009-07",11.548,17.537,15.572,24.623,18.765
"2009-08",11.568,16.782,12.531,25.425,18.757
"2009-09",9.6,14.541,13.345,22.503,16.722
"2009-10",4.394,8.411,1.293,18.876,12.194
"2009-11",3.467,3.092,-5.253,13.806,8.531
"2009-12",1.256,0.353,-7.241,9.895,5.64
"2010-01",0.614,-4.779,-14.251,8.177,3.534
"2010-02",1.863,1.257,-7.876,9.707,5.583
"2010-03",1.878,4.932,-3.255,12.861,7.833
"2010-04",5.21,10.788,5.736,15.216,11.131
"2010-05",8.493,13.937,7.294,19.276,14.309
"2010-06",11.709,16.808,13.614,22.665,17.568
"2010-07",13.868,18.413,16.665,24.893,19.51
"2010-08",11.988,18.323,13.906,25.868,19.334
"2010-09",10.186,13.599,9.115,22.831,16.698
"2010-10",7.296,9.549,4.13,19.033,13.051
"2010-11",3.734,-1.231,-7.891,12.64,7.327
"2010-12",2.518,-1.618,-8.655,9.285,5.243
"2011-01",1.709,-3.827,-12.253,8.301,4.043
"2011-02",3.112,0.085,-10.187,8.955,5.254
"2011-03",2.175,3.216,-4.487,11.887,7.333
"2011-04",6.167,9.493,2.188,13.885,10.582
"2011-05",8.801,14.037,10.641,17.79,14.219
"2011-06",11.214,16.535,14.344,21.837,17.235
"2011-07",13.1,18.38,17.627,24.681,19.5
"2011-08",13.227,17.907,14.786,24.256,19.218
"2011-09",11.018,14.765,10.031,21.814,16.806
"2011-10",7.238,11.978,5.231,18.752,13.583
"2011-11",5.746,5.599,-1.064,14.245,9.664
"2011-12",3.151,2.475,-4.345,11,6.874
"2012-01",1.531,1.799,-4.601,10.124,6.157
"2012-02",3.045,3.622,-5.641,10.42,6.51
"2012-03",2.519,4.34,-3.77,12.546,7.916
"2012-04",4.62,10.974,5.541,15.286,11.186
"2012-05",9.047,15.026,11.308,18.598,14.639
"2012-06",12.01,16.783,14.106,22.386,17.706
"2012-07",13.94,18.28,15.107,24.547,19.535
"2012-08",13.13,17.706,15.501,25.095,19.398
"2012-09",10.923,14.478,9.966,22.761,17.079
"2012-10",8.498,10.682,5.614,18.65,13.655
"2012-11",6.817,5.716,-1.182,14.339,10.035
"2012-12",1.118,0.294,-10.599,11.804,6.028
"2013-01",1.772,-2.5,-12.632,9.552,4.836
"2013-02",1.31,1.307,-6.433,9.493,5.486
"2013-03",2.015,4.765,-2.622,12.077,7.759
"2013-04",5.471,10.659,5.631,14.423,10.929
"2013-05",8.555,12.797,12.985,18.164,14.331
"2013-06",13.677,19.171,13.98,22.05,18.081
"2013-07",14.388,18.739,17.812,25.496,20.132
"2013-08",14.357,17.795,14.779,24.913,19.601
"2013-09",11.399,15.676,13.067,22.83,17.577
"2013-10",9.071,8.658,3.398,17.766,13.194
"2013-11",3.836,6.337,-4.052,14.264,9.262
"2013-12",-0.916,1.233,-8.913,11.987,5.886
"2014-01",-0.941,-0.733,-7.491,10.025,4.912
"2014-02",0.845,2.201,-8.179,10.555,5.839
"2014-03",1.996,4.725,-1.525,12.663,7.975
"2014-04",4.02,10.189,3.465,15.31,10.715
"2014-05",8.719,16.371,9.649,19.501,15.032
"2014-06",12.03,17.797,17.46,22.411,17.914
"2014-07",13.897,19.076,19.298,24.682,19.843
"2014-08",12.657,16.587,14.289,24.629,18.883
"2014-09",9.404,14.122,10.425,22.092,16.437
"2014-10",7.909,9.468,1.403,18.2,13.085
"2014-11",5.452,7.07,-0.037,14.309,9.838
"2014-12",1.424,1.791,-6.924,11.829,6.567
"2015-01",1.266,2.634,-7.495,11.098,6.169
"2015-02",3.046,4.333,-5.168,11.299,7.023
"2015-03",2.307,5.368,-2.745,13.1,8.052
"2015-04",4.741,8.563,2.997,15.493,10.895
"2015-05",9.114,15.328,13.804,19.092,15.177
"2015-06",11.775,17.68,15.114,22.926,17.985
"2015-07",13.607,19.431,17.184,25.071,19.915
"2015-08",12.404,17.913,14.309,26.025,19.697
"2015-09",10.615,14.547,9.903,23.791,17.393
"2015-10",7.54,10.077,2.322,18.496,13.216
"2015-11",4.04,3.265,-4.603,15.113,9.264
"2015-12",1.733,2.67,-7.404,11.423,6.613
"2016-01",-1.031,-1.041,-12.537,10.652,4.752
"2016-02",-2.071,-0.579,-10.995,12,5.385
"2016-03",2.34,3.674,-5.356,12.848,7.701
"2016-04",4.691,8.965,5.082,16.381,11.403
"2016-05",8.138,12.633,9.252,19.173,14.345
"2016-06",11.76,16.724,14.269,22.764,17.71
"2016-07",13.314,18.757,15.856,25.526,19.746
"2016-08",12.038,16.329,13.168,25.211,18.977
"2016-09",10.725,15.206,13.791,22.757,17.344
"2016-10",6.643,9.783,5.056,19.061,13.344
"2016-11",2.984,4.887,-9.962,14.752,8.598
"2016-12",2.088,2.867,-5.689,10.665,6.35
"2017-01",3.106,4.182,-3.034,10.014,6.527
"2017-02",2.299,1.839,-3.427,9.597,5.956
"2017-03",4.256,5.938,-2.187,12.535,8.403
"2017-04",6.834,10.658,3.313,16.14,11.82
"2017-05",9.957,14.849,9.731,18.499,14.659
"2017-06",11.852,18.255,13.912,23.112,17.948
"2017-07",13.868,18.956,20.156,25.611,20.209
"2017-08",12.914,18.085,16.229,25.865,19.915
"2017-09",10.669,14.887,12.231,23.619,17.587
"2017-10",8.593,10.735,7.011,19.582,14.202
"2017-11",5.933,6.37,-0.264,14.837,10.148
"2017-12",2.476,2.448,-5.048,11.665,6.946
"2018-01",2.67,2.184,-6.322,10.213,6.212
"2018-02",0.857,-0.88,-8.461,10.231,5.522
"2018-03",2.386,6.672,0.792,14.156,9.084
"2018-04",5.01,11.485,7.478,15.89,11.795
"2018-05",8.327,13.919,9.909,18.282,14.375
"2018-06",12.226,16.423,14.315,22.23,17.747
"2018-07",13.296,17.634,17.028,25.078,19.647
"2018-08",12.781,18.025,17.316,25.05,19.712
"2018-09",12.437,15.998,12.762,23.249,18.109
"2018-10",9.677,13.154,5.564,20.305,14.862
"2018-11",6.242,7.711,2.972,15.022,10.688
"2018-12",3.006,0.177,-8.86,10.256,5.926
"2019-01",-1.304,-0.083,-12.184,9.736,4.365
"2019-02",2.093,2.163,-8.491,10.367,5.985
"2019-03",3.593,6.259,-0.044,13.064,8.819
"2019-04",5.584,7.633,1.606,14.523,10.356
"2019-05",9.124,14.28,10.046,19.372,14.863
"2019-06",11.768,18.322,14.686,22.904,18.013
"2019-07",14.157,19.865,17.509,26.052,20.358
"2019-08",13.22,17.477,16.426,26.281,20.061
"2019-09",9.58,14.785,8.191,23.557,17.048
"2019-10",7.308,11.441,3.673,19.752,13.838
"2019-11",4.742,4.107,-2.001,14.145,9.333
"2019-12",3.192,2.953,-3.701,11.286,7.169
"2020-01",0.796,-1.425,-11.069,9.363,4.805
"2020-02",-0.047,-0.358,-10.398,10.505,5.318
"2020-03",2.527,4.334,-0.954,11.955,7.848
"2020-04",5.202,10.642,8.245,15.468,11.665
"2020-05",9.15,14.881,13.961,18.322,14.983
"2020-06",11.403,18.535,16.691,24.103,18.626
"2020-07",13.45,18.495,17.554,26.478,20.327
"2020-08",12.924,17.593,16.726,26.294,20.045
"2020-09",9.914,13.285,9.267,23.014,16.865
"2020-10",7.655,9.268,3.542,18.73,13.344
"2020-11",5.086,3.954,-1.385,14.363,9.503
"2020-12",1.917,-0.729,-8.881,11.024,6.135
"2021-01",-1.253,-4.517,-12.033,10.258,4.421
"2021-02",-1.213,-2.585,-9.707,9.719,4.477
"2021-03",1.744,1.824,-2.04,10.897,6.952
"2021-04",5.225,8.665,7.792,14.726,11.03
"2021-05",9.109,14.707,9.485,17.621,14.276
"2021-06",11.572,16.859,17.086,22.922,18.025
"2021-07",14.055,18.004,16.371,24.761,19.706
"2021-08",13.209,17.715,14.931,26.034,19.872
"2021-09",10.584,15.158,10.829,23.87,17.6
