#Dataset: Monthly information aggregated on IPCC reference regions for CMIP5/6 and CORDEX
#Reference: https://doi.org/10.5194/essd-12-2959-2020
#Project: CORDEX-EUR
#Experiment: historical
#Model: NOAA-GFDL-GFDL-ESM2G_r1i1p1_historical_GERICS-REMO2015_v1
#Variable: tas
#Variable_longname: mean near-surface air temperature
#Units: degC
#Time_frequency: month
#Feature_type: regional mean time series
#Regions: IPCC-WGI-reference-regions-v4
#Area: land and sea
#Spatial_resolution: 0.5 degrees
#Interpolation_method: cdo remapcon
#Creation_Date: 2021-03-15
"date","NEU","WCE","EEU","MED","world"
"1970-01",-7.935,-2.751,-18.853,8.049,-0.067
"1970-02",-3.924,-1.511,-14.962,8.627,1.58
"1970-03",-4.412,1.869,-10.792,10.053,3.17
"1970-04",-1.814,7.343,-1.098,14.656,7.647
"1970-05",2.209,12.303,6.053,18.103,11.435
"1970-06",7.638,14.82,14.717,19.916,14.71
"1970-07",9.767,17.686,15.087,23.339,17.314
"1970-08",9.752,15.599,13.948,22.825,17.133
"1970-09",7.355,11.773,8.579,19.578,13.874
"1970-10",3.521,5.924,-2.586,15.735,9.459
"1970-11",-2.744,-0.173,-12.939,11.686,4.3
"1970-12",-7.4,-7.313,-24.719,8.921,-0.071
"1971-01",-4.324,-1.596,-17.251,7.01,0.842
"1971-02",-3.231,1.722,-12.688,8.718,2.372
"1971-03",-4.312,0.889,-8.688,9.8,3.316
"1971-04",-3.318,5.483,-1.582,13.63,6.625
"1971-05",4.65,12.554,10.231,16.545,11.854
"1971-06",8.671,16.302,14.329,21.087,15.606
"1971-07",10.197,16.89,18.064,22.512,17.394
"1971-08",9.276,15.931,12.852,22.622,16.951
"1971-09",8.92,14.607,9.361,20.591,15.093
"1971-10",3.643,8.846,2.139,16.568,10.195
"1971-11",1.17,3.117,-5.735,11.045,5.533
"1971-12",-2.737,-3.916,-16.988,7.434,0.996
"1972-01",-6.429,-3.348,-22.107,7.515,-0.092
"1972-02",-7.242,-4.143,-15.514,8.225,1.037
"1972-03",-2.865,1.074,-9.1,10.666,3.782
"1972-04",-1.76,6.042,-1.472,13.458,7.007
"1972-05",2.574,10.441,5.951,17.37,11.185
"1972-06",8.336,15.545,13.642,20.382,15.27
"1972-07",10.715,18.767,15.419,22.965,17.729
"1972-08",8.782,15.465,15.702,22.181,16.758
"1972-09",6.485,12.101,9.754,19.553,13.858
"1972-10",2.943,7.987,-1.301,16.753,9.835
"1972-11",-3.319,2.527,-8.845,13.445,5.172
"1972-12",-7.514,-4.376,-24.408,9.315,0.122
