#Dataset: Monthly information aggregated on IPCC reference regions for CMIP5/6 and CORDEX
#Reference: https://doi.org/10.5194/essd-12-2959-2020
#Project: CORDEX-EUR
#Experiment: rcp85
#Model: ICHEC-EC-EARTH_r3i1p1_rcp85_DMI-HIRHAM5_v2
#Variable: tas
#Variable_longname: mean near-surface air temperature
#Units: degC
#Time_frequency: month
#Feature_type: regional mean time series
#Regions: IPCC-WGI-reference-regions-v4
#Area: sea only
#Spatial_resolution: 0.5 degrees
#Interpolation_method: cdo remapcon
#Creation_Date: 2021-03-15
"date","NEU","WCE","EEU","MED","world"
"2006-01",2.774,7.331,-7.637,13.133,7.561
"2006-02",1.742,7.57,-10.768,12.98,7.044
"2006-03",1.521,6.594,-8.142,13.489,7.474
"2006-04",4.345,9.882,-2.407,14.617,8.61
"2006-05",6.945,12.306,7.099,16.494,10.709
"2006-06",9.214,15.601,12.24,19.396,13.254
"2006-07",11.371,17.99,16.225,21.972,15.396
"2006-08",11.202,18.389,12.441,23.389,16.152
"2006-09",11.062,16.533,8.269,22.045,15.326
"2006-10",8.971,13.845,2.95,19.074,13.24
"2006-11",5.849,11.351,-1.703,16.874,10.929
"2006-12",3.272,9.884,-8.511,14.777,8.973
"2007-01",2.799,6.33,-8.798,11.819,7.509
"2007-02",2.915,5.831,-12.872,12.282,7.331
"2007-03",3.364,8.333,-6.593,13.044,8.083
"2007-04",4.356,10.347,0.448,14.93,9.023
"2007-05",6.962,12.673,6.958,16.937,10.986
"2007-06",10.341,15.168,10.679,18.978,13.478
"2007-07",12.715,17.076,16.563,21.685,15.528
"2007-08",13.275,17.927,14.649,22.78,16.472
"2007-09",11.376,16.483,9.87,21.885,15.22
"2007-10",7.99,13.752,4.142,19.512,12.943
"2007-11",5.593,11.358,-1.613,17.08,10.792
"2007-12",4.145,9.348,-5.94,14.294,9.085
"2008-01",3.664,8.308,-5.409,12.635,7.71
"2008-02",4.383,7.765,-5.136,12.324,7.871
"2008-03",3.495,7.769,-4.69,13.068,7.746
"2008-04",4.931,10.736,0.043,14.863,9.445
"2008-05",6.574,12.365,11.076,16.957,11.066
"2008-06",9.263,15.063,13.021,19.698,13.33
"2008-07",12.463,18.23,13.552,21.763,15.71
"2008-08",12.505,18.902,13.766,22.921,16.409
"2008-09",10.435,17.03,7.534,21.727,15.232
"2008-10",8.455,13.797,-0.004,18.62,13.281
"2008-11",5.93,11.451,-3.372,16.197,10.689
"2008-12",4.264,10.359,-5.608,14.687,9.057
"2009-01",2.817,7.766,-10.28,12.644,7.863
"2009-02",0.654,5.686,-11.979,12.728,6.658
"2009-03",3.274,7.909,-5.059,13.321,7.982
"2009-04",4.614,10.997,1.437,15.354,9.266
"2009-05",5.905,12.147,6.856,17.799,10.814
"2009-06",9.782,15.65,10.663,20.291,13.521
"2009-07",12.563,18.248,17.653,22.869,15.88
"2009-08",13.238,18.782,14.334,23.836,16.681
"2009-09",11.012,16.923,10.563,22.076,15.215
"2009-10",7.544,14.154,1.998,19.833,13.139
"2009-11",6.042,11.783,-0.067,17.313,10.918
"2009-12",3.967,9.92,-3.933,14.409,8.766
"2010-01",3.512,7.826,-7.733,13.352,7.783
"2010-02",3.049,7.752,-9.398,12.818,7.719
"2010-03",2.875,8.493,-6.575,13.475,7.969
"2010-04",3.991,10.452,-1.299,15.264,9.368
"2010-05",7.022,13.188,6.707,17.082,11.038
"2010-06",9.114,15.268,11.231,19.655,13.194
"2010-07",11.575,17.405,14.749,22.108,15.388
"2010-08",11.675,18.007,12.871,22.854,16.046
"2010-09",9.928,16.383,6.875,21.795,14.94
"2010-10",8.104,13.975,3.113,19.584,13.079
"2010-11",5.822,11.406,0.362,17.549,10.906
"2010-12",4.443,9.039,-5.431,14.516,9.428
"2011-01",3.574,8.98,-7.961,13.521,8.423
"2011-02",3.512,8.033,-8.96,12.611,7.986
"2011-03",3.665,8.847,-3.547,13.527,8.215
"2011-04",5.891,11.232,5.036,15.339,9.671
"2011-05",7.092,12.702,8.503,17.12,11.137
"2011-06",9.772,15.028,12.115,19.468,13.318
"2011-07",12.8,17.716,16.461,21.588,15.73
"2011-08",12.504,18.259,15.751,22.776,16.251
"2011-09",10.218,16.099,7.608,21.654,15.257
"2011-10",8.097,13.997,4.956,19.507,13.18
"2011-11",5.933,10.363,-4.454,16.323,11.14
"2011-12",2.956,8.953,-7.409,13.445,8.722
"2012-01",2.939,7.98,-8.041,13.318,8.075
"2012-02",3.835,8.947,-7.6,12.932,7.966
"2012-03",3.758,9.232,-3.371,13.936,8.155
"2012-04",4.849,10.595,2.341,14.976,9.25
"2012-05",7.177,12.977,8.206,16.778,11.103
"2012-06",9.962,15.392,14.521,20.082,13.577
"2012-07",11.698,18.225,14.861,22.116,15.664
"2012-08",12.416,18.364,13.513,23.181,16.555
"2012-09",11.473,16.83,7.136,21.867,15.403
"2012-10",7.995,13.367,0.779,19.463,13.099
"2012-11",5.882,11.445,-5.444,17.257,11.129
"2012-12",4.143,9.162,-7.429,13.689,9.146
"2013-01",4.873,8.399,-7.176,12.274,8.275
"2013-02",4.232,7.644,-9.208,12.203,8.196
"2013-03",2.934,8.266,-4.482,13.17,7.818
"2013-04",4.142,9.85,-2.982,14.874,9.128
"2013-05",7.005,13.234,6.835,17.225,11.242
"2013-06",9.213,14.887,10.933,20.12,13.578
"2013-07",11.868,17.079,14.697,21.674,15.46
"2013-08",11.415,17.981,12.187,23.068,16.108
"2013-09",10.339,16.253,8.054,21.655,15.134
"2013-10",8.628,14.288,2.831,19.284,13.219
"2013-11",5.801,11.971,-3.914,16.572,11.031
"2013-12",4.599,10.219,-4.129,14.782,9.247
"2014-01",4.034,7.591,-10.204,12.191,7.802
"2014-02",3.731,9.275,-5.776,13.368,7.992
"2014-03",4.189,8.732,-5.045,13.689,8.402
"2014-04",4.394,10.548,-1.068,15.036,9.464
"2014-05",7.496,12.749,7.603,17.513,11.504
"2014-06",9.876,15.761,13.387,20.125,13.774
"2014-07",12.694,17.566,15.44,21.9,15.695
"2014-08",12.392,18.062,13.144,22.957,16.331
"2014-09",11.37,16.832,9.326,21.372,15.362
"2014-10",8.505,14.307,5.052,19.169,13.162
"2014-11",6.451,11.249,-1.675,16.988,10.8
"2014-12",4.233,9.432,-9.031,14.531,8.897
"2015-01",3.604,8.537,-8.678,12.845,7.847
"2015-02",3.345,7.597,-6.91,12.259,7.217
"2015-03",2.615,8.433,-6.486,13.31,7.792
"2015-04",4.431,10.551,3.493,14.744,8.92
"2015-05",6.734,12.476,8.584,16.892,10.737
"2015-06",9.325,14.717,14.182,20.212,13.272
"2015-07",11.335,16.954,14.899,22.355,15.41
"2015-08",12.44,17.94,13.402,23.428,16.494
"2015-09",11.387,17.187,7.615,21.557,15.685
"2015-10",9.269,14.398,1.18,19.202,13.382
"2015-11",5.692,11.474,-4.765,16.771,10.736
"2015-12",4.916,10.065,-5.326,14.882,9.342
"2016-01",3.422,8.247,-11.561,13.252,8.236
"2016-02",2.498,7.564,-10.574,13.195,7.644
"2016-03",3.025,8.892,-5.933,13.734,8.055
"2016-04",4.094,10.175,-1.98,15.551,9.196
"2016-05",7.069,13.219,6.822,17.183,11.183
"2016-06",9.809,15.43,11.716,19.82,13.5
"2016-07",11.684,17.518,14.498,22.253,15.618
"2016-08",12.102,17.982,12.842,23.116,16.581
"2016-09",11.19,17.271,7.869,21.83,15.527
"2016-10",8.811,14.256,0.384,18.986,13.357
"2016-11",5.414,10.708,-3.457,17.023,11.007
"2016-12",4.424,8.647,-12.936,14.843,9.318
"2017-01",2.967,6.903,-14.404,13.686,8.277
