#Dataset: Monthly information aggregated on IPCC reference regions for CMIP5/6 and CORDEX
#Reference: https://doi.org/10.5194/essd-12-2959-2020
#Project: CORDEX-EUR
#Experiment: rcp26
#Model: NCC-NorESM1-M_r1i1p1_rcp26_SMHI-RCA4_v1
#Variable: tas
#Variable_longname: mean near-surface air temperature
#Units: degC
#Time_frequency: month
#Feature_type: regional mean time series
#Regions: IPCC-WGI-reference-regions-v4
#Area: sea only
#Spatial_resolution: 0.5 degrees
#Interpolation_method: cdo remapcon
#Creation_Date: 2021-03-15
"date","NEU","WCE","EEU","MED","world"
"2006-01",4.908,10.375,-1.186,13.556,9.197
"2006-02",3.882,9.795,-5.202,13.295,8.841
"2006-03",2.932,9.323,-8.619,14.122,8.606
"2006-04",4.475,11.183,1.834,15.262,10.134
"2006-05",7.229,13.922,9.15,17.725,12.031
"2006-06",9.617,15.557,13.358,20.443,14.005
"2006-07",10.837,17.597,13.729,23.044,15.938
"2006-08",11.379,18.437,12.988,23.67,16.498
"2006-09",10.339,17.541,9.288,21.977,15.365
"2006-10",7.54,14.545,2.953,18.258,12.925
"2006-11",5.539,12.012,1.294,15.753,10.698
"2006-12",3.077,9.793,-4.367,14.038,8.969
"2007-01",4.401,9.474,-9.058,13.254,9.058
"2007-02",4.161,8.739,-10.293,12.015,8.222
"2007-03",3.134,9.748,-2.854,13.836,8.72
"2007-04",5.263,11.481,2.125,15.03,10.029
"2007-05",7.093,13.742,6.859,17.053,11.948
"2007-06",9.271,16.299,11.983,20.555,14.291
"2007-07",10.966,18.166,14.074,23.001,16.042
"2007-08",11.639,18.522,11.357,23.623,16.388
"2007-09",9.645,16.811,9.364,22.1,15.161
"2007-10",8.904,14.743,5.189,19.323,13.468
"2007-11",7.482,11.954,-1.78,16.051,11.623
"2007-12",4.422,11.03,-8.008,14.843,9.62
"2008-01",1.955,7.931,-18.158,13.516,8.057
"2008-02",-2.232,5.529,-25.486,14.364,6.805
"2008-03",1.383,7.953,-10.527,13.906,8.285
"2008-04",5.159,10.241,-1.219,14.819,10.009
"2008-05",7.306,12.911,5.068,16.765,12.09
"2008-06",9.501,15.869,12.13,19.899,14.086
"2008-07",10.683,17.635,13.828,22.993,15.85
"2008-08",11.303,19.133,12.184,24.984,16.99
"2008-09",10.52,17.476,8.131,22.825,15.548
"2008-10",8.306,13.785,1.562,19.587,13.56
"2008-11",6.129,10.666,-7.169,16.012,10.973
"2008-12",5.158,10.712,-9.138,14.497,9.833
"2009-01",2.478,9.091,-13.427,13.768,7.99
"2009-02",3.251,9.896,-6.819,13.389,8.382
"2009-03",3.208,9.912,-3.765,13.473,8.616
"2009-04",5.482,10.929,1.996,14.372,9.983
"2009-05",6.969,13.707,6.254,17.628,11.91
"2009-06",8.791,15.665,14.504,20.297,13.836
"2009-07",11.495,18.371,14.49,22.628,16.033
"2009-08",11.316,19.062,13.486,23.423,16.578
"2009-09",9.167,17.069,7.565,22.295,15.346
"2009-10",8.193,14.851,4.339,19.204,13.244
"2009-11",6.61,12.896,-2.058,16.525,11.352
"2009-12",4.769,11.019,-4.923,14.081,9.541
"2010-01",3.405,10.59,-4.756,13.538,8.756
"2010-02",2.816,9.548,-7.616,13.06,8.3
"2010-03",4.467,10.392,-6.349,13.859,9.334
"2010-04",5.849,11.58,2.775,14.914,10.347
"2010-05",7.339,13.793,11.283,17.182,11.996
"2010-06",8.966,16.233,12.257,21.128,14.13
"2010-07",11.123,18.657,13.593,22.969,16.082
"2010-08",11.332,19.504,12.302,24.11,16.828
"2010-09",10.243,16.715,7.688,21.779,15.309
"2010-10",8.894,14.264,1.982,18.857,13.277
"2010-11",6.153,12.343,0.216,16.004,10.64
"2010-12",4.429,11.273,-6.829,15.123,9.452
"2011-01",4.311,8.961,-12.626,12.184,8.685
"2011-02",4.583,9.876,-4.931,13.351,8.929
"2011-03",3.584,10.291,-0.797,14.198,8.891
"2011-04",6.297,11.463,3.678,14.813,10.454
"2011-05",7.736,13.609,10.16,17.359,12.284
"2011-06",9.476,16.124,13.153,20.669,14.145
"2011-07",11.302,18.337,15.732,23.305,16.184
"2011-08",11.79,18.884,14.417,24.05,16.839
"2011-09",9.933,16.909,10.469,22.415,15.138
"2011-10",8.347,14.005,2.869,19.579,13.305
"2011-11",6.263,11.899,-1.917,15.432,10.8
"2011-12",4.851,10.839,-1.906,14.437,9.677
"2012-01",4.128,9.737,-5.622,13.171,8.978
"2012-02",3.369,8.72,-9.934,12.916,8.249
"2012-03",3.747,9.858,-5.584,14.009,9.033
"2012-04",5.297,11.089,4.013,14.644,10.263
