#Dataset: Monthly information aggregated on IPCC reference regions for CMIP5/6 and CORDEX
#Reference: https://doi.org/10.5194/essd-12-2959-2020
#Project: CORDEX-NAM
#Experiment: rcp85
#Model: CNRM-CERFACS-CNRM-CM5_r1i1p1_OURANOS-CRCM5_v1
#Variable: pr
#Variable_longname: mean daily precipitation
#Units: mm/day
#Time_frequency: month
#Feature_type: regional mean time series
#Regions: IPCC-WGI-reference-regions-v4
#Area: land only
#Spatial_resolution: 0.5 degrees
#Interpolation_method: cdo remapcon
#Creation_Date: 2021-03-13
"date","NWN","NEN","WNA","CNA","ENA","NCA","CAR","full_domain"
"2006-01",2.175,1.253,2.542,1.069,2.948,0.636,2.686,1.875
"2006-02",1.59,0.817,3.389,1.713,3.722,1.75,1.948,2.038
"2006-03",1.666,0.85,2.737,1.85,2.965,0.499,2.805,1.773
"2006-04",1.759,0.934,2.424,3.698,3.647,1.185,1.753,2.149
"2006-05",2.318,1.155,1.948,3.911,4.558,1.114,2.027,2.401
"2006-06",1.881,1.642,1.509,3.038,4.152,2.242,3.174,2.338
"2006-07",2.771,2.25,0.958,1.802,3.127,3.186,2.414,2.405
"2006-08",2.826,2.373,1.433,3.838,3.832,4.838,3.202,3.051
"2006-09",3.087,3.136,1.372,2.708,3.496,5.789,3.789,3.309
"2006-10",2.592,2.145,1.685,2.387,4.221,2.333,4.241,2.672
"2006-11",2.672,1.647,3.272,2.005,4.541,0.816,2.356,2.573
"2006-12",2.63,1.438,3.718,1.302,3.181,1.849,2.596,2.352
"2007-01",2.241,0.823,3.66,1.232,2.778,0.655,1.891,1.92
"2007-02",1.431,0.842,3.161,2.138,4.276,0.565,1.297,1.989
"2007-03",1.545,0.708,2.615,2.171,3.828,0.608,1.427,1.861
"2007-04",1.489,0.955,2.265,3.347,2.978,0.519,1.775,1.835
"2007-05",1.909,1.833,1.786,4.291,3.703,1.123,2.392,2.392
"2007-06",2.211,1.81,1.48,2.599,4.195,3.01,1.65,2.544
"2007-07",2.477,2.499,1.394,4.194,4.025,3.196,1.663,2.833
"2007-08",2.581,2.303,1.216,2.596,3.698,3.44,2.257,2.635
"2007-09",2.714,2.81,1.094,3.156,5.491,5.231,4.091,3.393
"2007-10",2.995,2.26,1.421,1.629,3.684,1.106,4.67,2.557
"2007-11",3.09,1.507,1.391,0.897,2.536,1.657,2.429,2.038
"2007-12",2.8,1.371,2.469,1.428,2.726,1.494,1.893,2.1
"2008-01",2.528,0.688,1.245,0.613,2.332,1.487,2.165,1.616
"2008-02",1.84,1.143,3.317,2.085,4.015,1.113,1.581,2.208
"2008-03",1.476,1.164,2.535,1.765,4.499,0.777,1.387,1.978
"2008-04",1.778,1.455,2.727,3.375,3.7,1.389,2.532,2.348
"2008-05",1.328,1.604,2.533,3.834,3.839,1.175,3.715,2.294
"2008-06",2.101,2.137,1.496,3.62,3.966,2.881,1.287,2.64
"2008-07",1.965,2.13,1.3,3.505,4.199,2.81,1.613,2.558
"2008-08",2.595,2.149,1.506,3.212,3.738,5.177,1.624,2.917
"2008-09",3.169,2.809,0.923,1.932,3.975,4.056,2.92,2.979
"2008-10",3.027,2.393,2.544,2.236,3.42,3.455,3.43,2.8
"2008-11",1.542,1.605,5.584,3.611,4.474,1.104,1.131,2.702
"2008-12",2.775,1.288,1.961,1.443,2.673,1.969,2.385,2.13
"2009-01",1.762,1.013,3.112,1.315,3.2,1.409,2.952,1.937
"2009-02",2.024,1.004,3.121,1.062,3.555,0.992,1.629,1.987
"2009-03",2.077,0.871,2.4,3.36,2.071,1.97,2.014,2.011
"2009-04",1.421,1.121,2.675,3.067,3.833,0.858,1.654,2.048
"2009-05",2.197,1.173,2.895,3.152,3.499,1.501,1.613,2.292
"2009-06",2.165,1.864,2.174,3.139,3.4,2.779,3.696,2.523
"2009-07",2.408,2.396,1.192,3.508,4.65,2.772,1.727,2.743
"2009-08",2.602,2.629,1.01,4.102,3.948,3.679,3.185,2.981
"2009-09",2.804,2.543,0.979,2.856,3.813,4.9,4.292,2.948
"2009-10",3.222,2.453,1.282,1.243,3.428,1.845,5.834,2.584
"2009-11",2.481,1.513,4.197,1.751,3.713,1.048,5.696,2.544
"2009-12",2.363,1.324,2.346,1.552,2.854,0.923,3.169,1.982
"2010-01",2.185,1.073,1.627,1.746,3.207,1.028,2.455,1.881
"2010-02",1.496,0.965,3.289,2.219,3.671,1.652,2.427,2.113
"2010-03",2.093,0.804,1.836,1.922,2.951,1.691,1.74,1.843
"2010-04",1.956,1.159,2.156,3.635,3.437,0.868,1.66,2.127
"2010-05",1.716,1.574,2.738,3.226,3.313,1.791,3.74,2.317
"2010-06",2.45,1.725,1.404,3.553,3.679,2.588,2.403,2.517
"2010-07",2.536,1.873,1.017,2.59,4.819,3.176,1.334,2.603
"2010-08",2.606,2.402,0.902,2.923,3.735,2.19,2.452,2.626
"2010-09",3.114,2.649,1.148,2.29,4.172,3.465,3.862,2.955
"2010-10",2.871,2.452,2.81,0.781,3.188,0.713,4.627,2.383
"2010-11",1.975,1.608,3.941,1.863,4.34,1.816,1.932,2.499
"2010-12",2.104,1.225,4.587,1.845,3.762,2.884,1.75,2.527
"2011-01",2.266,0.99,2.629,1.017,2.559,0.819,3.121,1.841
"2011-02",1.375,0.793,3.092,2.398,3.282,1.944,2.341,1.999
"2011-03",1.426,1.232,3.134,1.926,4.37,0.395,3.051,2.106
"2011-04",1.587,1.346,2.526,4.144,3.817,0.813,1.876,2.239
"2011-05",2.141,1.693,1.848,2.294,2.869,1.572,4.712,2.141
"2011-06",2.259,1.562,1.3,2.947,4.638,2.453,2.73,2.529
"2011-07",2.364,2.084,0.697,2.332,5.077,2.593,1.507,2.54
"2011-08",2.349,2.787,1.153,2.521,3.921,1.509,1.654,2.484
"2011-09",3.106,2.302,1.41,2.763,4.002,1.206,3.252,2.683
"2011-10",2.267,1.825,2.105,4.316,4.531,3.002,6.337,3.023
"2011-11",2.825,1.219,1.72,2.703,4.424,0.909,2.043,2.375
