#Dataset: Monthly information aggregated on IPCC reference regions for CMIP5/6 and CORDEX
#Reference: https://doi.org/10.5194/essd-12-2959-2020
#Project: CORDEX-NAM
#Experiment: historical
#Model: MPI-M-MPI-ESM-LR_r1i1p1_OURANOS-CRCM5_v1
#Variable: pr
#Variable_longname: mean daily precipitation
#Units: mm/day
#Time_frequency: month
#Feature_type: regional mean time series
#Regions: IPCC-WGI-reference-regions-v4
#Area: sea only
#Spatial_resolution: 0.5 degrees
#Interpolation_method: cdo remapcon
#Creation_Date: 2021-03-13
"date","NWN","NEN","WNA","CNA","ENA","NCA","CAR","full_domain"
"1970-01",2.542,1.803,7.399,2.855,5.592,0.909,4.375,4.206
"1970-02",2.666,1.542,5.379,4.371,6.633,2.464,2.609,3.796
"1970-03",2.237,1.498,4.95,5.563,3.735,2.063,1.909,3.567
"1970-04",2.932,1.308,4.664,1.712,4.664,1.607,4.344,3.174
"1970-05",2.559,1.148,2.243,0.463,5.558,1.786,7.849,3.433
"1970-06",3.029,1.762,1.143,2.024,5.009,1.991,3.362,2.509
"1970-07",2.88,1.725,0.956,3.338,5.56,5.802,2.976,3.631
"1970-08",2.719,1.722,0.558,2.915,5.089,8.109,4.17,4.148
"1970-09",5.091,2.619,1.248,12.603,7.065,10.12,4.088,4.424
"1970-10",3.681,2.549,2.838,1.078,7.432,3.197,8.52,5.03
"1970-11",3.307,1.607,9.761,1.526,5.088,3.063,4.816,4.894
"1970-12",2.79,2.109,9.635,1.605,4.045,2.113,6.208,4.404
"1971-01",3.22,1.841,3.827,2.608,4.979,3.912,5.177,4.599
"1971-02",3.059,1.632,3.075,5.419,4.943,2.284,3.625,3.916
"1971-03",1.761,1.716,5.562,4.912,6.316,1.571,3.535,3.546
"1971-04",2.637,1.574,4.621,4.008,3.87,1.296,3.273,2.891
"1971-05",2.774,1.309,1.753,1.404,3.335,0.692,2.44,2.689
"1971-06",2.642,1.418,0.306,1.944,4.927,3.232,3.608,2.947
"1971-07",3.329,1.654,1.001,0.88,5.313,4.013,2.589,3.657
"1971-08",3.312,2.9,0.448,1.837,4.862,5.653,2.348,3.511
"1971-09",3.374,2.047,2.793,15.379,7.001,11.723,4.745,5.017
"1971-10",4.276,2.6,3.858,5.677,6.174,10.11,5.164,4.957
"1971-11",4.529,2.11,5.998,2.582,5.438,3.394,7.62,5.018
"1971-12",3.871,1.63,10.646,1.807,4.115,3.09,6.072,4.711
"1972-01",2.702,2.05,6.03,4.325,6.369,1.991,4.405,4.024
"1972-02",3.932,1.456,2.624,2.904,4.877,7.798,2.897,4.333
"1972-03",2.512,1.188,2.488,4.274,7.057,2.081,3.027,3.454
"1972-04",2.488,1.368,2.9,4.384,4.063,1.24,1.38,2.828
"1972-05",2.347,1.372,1.867,5.856,5.497,1.645,4.035,2.887
"1972-06",2.155,1.559,0.856,1.824,5.577,3.011,2.396,2.903
"1972-07",3.499,1.822,1.699,3.722,5.721,2.381,2.039,3.735
"1972-08",3.08,3.01,1.272,5.59,5.754,8.822,3.29,4.456
"1972-09",4.224,2.272,0.915,5.191,8.109,9.872,5.501,4.89
"1972-10",4.262,1.973,5.315,3.427,5.89,5.008,5.318,4.692
"1972-11",4.685,2.428,5.606,4.217,5.819,4.622,4.869,4.34
"1972-12",3.615,2.345,5.234,3.449,5.485,4.501,3.054,4.28
"1973-01",3.114,1.87,7.88,1.616,5.115,3.187,2.257,4.399
"1973-02",2.571,1.237,7.248,3.379,6.052,2.233,3.413,3.776
"1973-03",2.176,1.568,4.476,10.714,5.838,2.935,2.752,3.998
"1973-04",1.69,1.469,1.899,6.139,3.811,2.578,1.575,2.596
"1973-05",2.563,1.31,1.992,1.192,5.082,1.051,2.514,2.994
"1973-06",1.779,1.277,1.014,5.665,5.203,4.03,2.187,2.74
"1973-07",1.849,1.853,2.212,1.716,5.878,4.84,1.73,3.469
"1973-08",3.567,1.646,1.733,3,5.091,5.065,2.222,3.755
"1973-09",4.733,2.557,1.397,3.254,7.791,7.951,4.101,4.467
"1973-10",4.866,2.139,5.023,2.732,5.732,8.382,5.791,4.795
"1973-11",4.47,1.856,8.22,0.768,4.984,3.598,7.386,5.124
"1973-12",4.07,1.912,5.496,4.972,5.586,3.959,4.765,4.368
"1974-01",2.193,1.535,6.673,2.705,4.465,2.459,2.711,3.744
"1974-02",3.001,1.577,7.075,4.012,5.375,2.829,2.485,3.745
"1974-03",2.121,1.276,5.662,4.948,4.813,2.739,1.594,3.312
"1974-04",2.859,1.457,4.418,4.9,3.772,1.623,1.335,2.995
"1974-05",2.908,1.108,1.674,3.139,4.095,2.154,3.885,3.013
"1974-06",2.147,1.48,1.598,8.91,6.106,4.722,2.398,2.991
"1974-07",2.618,1.935,0.355,0.514,4.498,5.679,3.338,3.803
"1974-08",2.792,2.125,0.537,4.258,8.161,8.518,3.843,4.465
"1974-09",4.365,1.667,2.413,4.625,7.397,7.174,3.067,4.425
"1974-10",5.342,2.221,1.755,8.486,5.468,8.005,6.016,4.515
"1974-11",4.712,1.996,9.431,6.928,6.741,2.151,7.071,4.81
"1974-12",3.65,2.029,9.838,3.113,4.533,3.114,4.033,4.368
"1975-01",3.763,1.883,3.414,2.216,3.667,1.769,3.087,3.414
"1975-02",2.995,1.686,8.767,1.967,4.995,1.624,4.463,3.996
"1975-03",1.704,1.299,6.188,2.22,3.837,1.74,3,3.702
"1975-04",2.812,1.019,5.302,1.441,3.485,1.446,1.941,2.82
"1975-05",1.89,1.577,3.43,0.941,3.806,1.365,4.09,2.818
"1975-06",1.774,1.045,1.056,2.62,3.675,2.866,3.292,2.453
"1975-07",3.071,1.326,0.931,2.889,6.287,2.405,1.45,2.955
"1975-08",3.706,2.133,0.918,9.065,8.464,8.611,3.804,4.355
"1975-09",4.796,1.453,3.152,6.774,6.597,4.709,4.572,4.367
"1975-10",4.155,2.959,4.387,4.114,4.217,4.288,8.829,4.301
"1975-11",4.263,1.97,6.216,1.132,8.223,3.029,6.915,4.871
"1975-12",3.649,1.727,7.589,1.86,4.252,3.231,4.852,4.291
"1976-01",1.968,1.364,10.553,2.161,5.205,2.201,3.908,3.967
"1976-02",2.633,1.63,6.697,4.608,5.402,1.753,2.638,3.464
"1976-03",2.274,1.32,5.393,3.814,3.17,1.707,1.865,2.83
"1976-04",2.84,1.016,3.386,4.052,4.652,2.473,1.389,2.941
"1976-05",2.061,1.547,2.116,2.576,4.763,1.97,3.552,2.774
"1976-06",2.985,1.421,0.411,2.226,3.913,2.55,2.168,3.038
"1976-07",3.571,1.553,0.335,0.524,4.999,5.059,2.098,3.236
"1976-08",3.471,2.036,0.282,1.456,4.158,5.538,3.07,3.693
"1976-09",4.733,2.315,2.22,3.294,4.557,7.899,4.965,4.506
"1976-10",3.451,2.922,1.282,7.598,7.51,5.061,4.832,4.2
