#Dataset: Monthly information aggregated on IPCC reference regions for CMIP5/6 and CORDEX
#Reference: https://doi.org/10.5194/essd-12-2959-2020
#Project: CORDEX-NAM
#Experiment: rcp85
#Model: CCCma-CanESM2_r1i1p1_SMHI-RCA4_v1
#Variable: tas
#Variable_longname: mean near-surface air temperature
#Units: degC
#Time_frequency: month
#Feature_type: regional mean time series
#Regions: IPCC-WGI-reference-regions-v4
#Area: sea only
#Spatial_resolution: 0.5 degrees
#Interpolation_method: cdo remapcon
#Creation_Date: 2021-03-13
"date","NWN","NEN","WNA","CNA","ENA","NCA","CAR","full_domain"
"2006-01",-6.659,-12.428,9.651,16.847,13.825,19.314,25.093,9.916
"2006-02",-8.44,-20.297,9.586,16.263,13.667,19.038,24.615,8.937
"2006-03",-4.503,-18.085,10.469,17.471,14.244,19.716,24.638,9.704
"2006-04",-1.309,-9.493,10.904,21.294,17.248,21.016,26.028,11.763
"2006-05",2.526,-3.894,12.714,24.809,19.96,23.012,26.917,13.786
"2006-06",6.777,1.166,15.226,27.07,22.969,25.07,27.551,16.279
"2006-07",9.177,5.85,16.943,28.255,25.241,26.875,28.179,18.541
"2006-08",9.866,8.38,18.201,28.864,26.237,28.128,28.538,19.878
"2006-09",8.064,6.226,17.005,28.855,25.111,28.02,28.715,19.161
"2006-10",3.818,2.681,14.846,26.397,22.276,26.179,28.302,17.054
"2006-11",-0.787,-0.739,12.409,21.555,18.84,23.463,27.44,14.526
"2006-12",-7.087,-6.31,10.595,16.364,16.034,20.731,25.855,12.033
"2007-01",-8.921,-13.495,9.452,18.103,14.335,19.755,25.274,9.833
"2007-02",-6.343,-16.478,8.903,16.473,12.758,19.153,24.832,9.202
"2007-03",-7.57,-19.954,9.636,19.334,14.445,20.439,25.047,9.167
"2007-04",-4.443,-7.973,10.131,21.152,17.4,21.543,25.584,11.482
"2007-05",2.758,-0.148,11.642,24.032,20.2,23.266,26.694,14.208
"2007-06",5.771,3.131,13.582,27.55,23.268,25.355,27.645,16.28
"2007-07",9.348,7.861,16.336,28.541,25.287,26.701,27.958,18.731
"2007-08",10.8,9.348,17.633,28.988,26.22,27.467,28.484,20.019
"2007-09",9.476,6.39,16.545,28.668,24.909,27.252,28.778,19.16
"2007-10",4.558,2.83,14.448,25.771,21.784,25.718,28.277,16.994
"2007-11",-1.214,-2.488,11.547,22.392,19.623,23.459,27.211,14.457
"2007-12",-5.221,-8.293,10.639,17.704,16.103,20.814,26.308,12.105
"2008-01",-5.11,-8.048,9.327,17.433,14.196,19.862,24.479,10.981
"2008-02",-8.997,-14.814,8.841,19.705,15.151,20.2,24.585,9.378
"2008-03",-11.479,-13.736,7.815,20.475,16.763,20.563,24.869,9.414
"2008-04",-3.649,-7.961,8.544,22.269,17.692,21.428,25.308,11.123
"2008-05",1.434,-2.719,10.575,24.657,20.496,23.264,26.331,13.33
"2008-06",5.664,1.949,13.169,27.231,23.51,25.103,27.417,15.841
"2008-07",9.033,6.619,16.024,28.382,25.492,26.563,27.829,18.402
"2008-08",10.471,9.128,17.184,28.937,26.202,27.268,28.064,19.78
"2008-09",7.676,6.474,16.261,28.515,24.962,27.282,28.449,18.994
"2008-10",4.691,2.895,12.968,26.541,22.266,26.004,28.076,16.891
"2008-11",-1.166,-0.945,11.313,23.577,19.511,23.954,27.156,14.295
"2008-12",-5.06,-9.536,9.435,21.235,17.278,22.329,26.289,11.707
"2009-01",-9.577,-14.189,9.384,18.438,13.875,21.017,24.916,9.601
"2009-02",-9.426,-18.238,9.657,19.913,14.556,21.2,25.027,9.317
"2009-03",-7.824,-14.36,9.363,18.839,15.591,21.036,25.004,9.819
"2009-04",-6.866,-7.483,10.357,21.94,17.437,22.073,25.172,11.3
"2009-05",2.168,-2.669,12.379,24.849,19.732,23.343,26.842,13.76
"2009-06",6.072,1.639,15.18,27.213,22.701,25.588,27.936,16.382
"2009-07",8.692,6.382,16.944,28.811,25.316,27.286,28.452,18.837
"2009-08",9.052,7.873,18.458,29.391,26.397,28.343,28.707,20.089
"2009-09",7.363,5.997,17.196,28.544,24.876,27.893,28.971,19.159
"2009-10",3.537,3.057,15.237,25.881,21.661,26.498,28.42,17.38
"2009-11",-2.206,-0.241,12.432,22.788,18.991,23.924,27.562,14.94
"2009-12",-7.019,-7.111,10.345,18.68,16.387,20.831,26.348,12.233
"2010-01",-6.817,-13.871,9.422,18.156,14.737,20.452,25.458,10.603
"2010-02",-6.629,-19.174,10.551,17.564,14.469,20.046,25.253,10.048
"2010-03",-5.904,-13.819,10.837,19.34,14.768,20.773,25.451,10.542
"2010-04",-7.059,-10.657,10.523,22.39,18.096,21.958,26.311,11.455
"2010-05",1.288,-4.445,12.298,24.763,20.423,23.416,26.784,13.815
"2010-06",6.379,1.324,15.114,27.497,23.566,25.377,27.529,16.339
"2010-07",9.216,6.565,17.017,28.508,25.71,27.384,28.253,18.831
"2010-08",11.388,9.117,17.785,29.334,25.839,28.345,28.644,20.197
"2010-09",10.202,6.623,17.048,29.029,24.945,27.718,28.773,19.604
"2010-10",5.34,3.136,14.124,27.736,23.189,26.522,28.527,17.447
"2010-11",-0.128,-3.013,11.989,24.17,20.106,24.114,27.574,14.772
"2010-12",-3.453,-5.976,9.596,21.177,17.519,21.775,26.607,12.401
"2011-01",-9.072,-13.409,9.602,16.485,14.115,19.393,25.57,10.148
"2011-02",-7.182,-17.329,10.155,16.975,13.47,19.519,24.9,9.58
"2011-03",-5.043,-15.951,10.267,19.361,15.498,20.455,25.356,9.994
"2011-04",-4.834,-9.013,9.896,21.816,17.678,21.383,25.981,11.254
"2011-05",2.052,-1.848,11.437,24.654,20.449,22.951,26.762,13.819
"2011-06",6.694,2.445,14.381,27.182,23.444,25.056,27.787,16.319
"2011-07",10.242,7.937,16.707,28.687,25.449,26.947,28.443,18.883
"2011-08",10.363,9.287,18.041,29.16,26.173,27.938,28.526,20.074
"2011-09",9.249,6.347,17.335,29.154,25.462,27.627,28.791,19.412
"2011-10",3.284,2.508,15.446,24.618,22.044,25.875,28.102,17.244
"2011-11",-0.405,-1.911,12.537,22.97,19.399,23.838,27.416,14.852
"2011-12",-5.194,-4.955,11.324,17.375,15.254,21.303,25.628,12.737
"2012-01",-5.425,-9.165,10.294,18.065,14.206,20.827,25.154,11.458
"2012-02",-6.214,-12.262,9.828,17.849,13.987,20.633,24.626,10.5
"2012-03",-5.86,-13.577,10.068,20.613,15.275,21.285,24.983,10.567
"2012-04",-4.046,-5.535,9.88,22.413,17.252,22.216,25.411,11.874
"2012-05",1.879,-0.972,11.076,25.203,19.692,23.701,26.677,13.856
"2012-06",5.843,3.241,13.53,27.424,23.034,25.418,27.481,16.266
"2012-07",8.867,7.945,16.335,28.27,25.35,27.033,28.138,18.699
"2012-08",9.593,9.526,17.144,28.669,25.926,27.751,28.414,19.851
"2012-09",8.44,6.752,16.636,28.61,24.322,27.416,28.688,19.104
"2012-10",3.196,2.882,14.477,26.515,21.81,26.421,28.182,17.034
"2012-11",0.385,-1.309,11.573,23.381,19.539,23.761,27.137,14.496
"2012-12",-7.211,-8.429,9.156,19.586,16.032,21.183,25.912,11.424
"2013-01",-7.275,-12.923,8.604,19.529,15.132,20.246,24.987,10.142
"2013-02",-7.954,-14.618,8.949,17.934,13.161,19.751,24.016,9.38
"2013-03",-8.719,-16.329,7.468,21.683,16.674,20.384,24.843,9.518
"2013-04",-6.156,-10.294,7.993,23.342,18.245,21.696,25.412,10.844
"2013-05",1.091,-1.394,10.999,25.796,20.205,23.439,26.209,13.661
