#Dataset: Monthly information aggregated on IPCC reference regions for CMIP5/6 and CORDEX
#Reference: https://doi.org/10.5194/essd-12-2959-2020
#Project: CORDEX-NAM
#Experiment: historical
#Model: ICHEC-EC-EARTH_r12i1p1_SMHI-RCA4_v1
#Variable: tas
#Variable_longname: mean near-surface air temperature
#Units: degC
#Time_frequency: month
#Feature_type: regional mean time series
#Regions: IPCC-WGI-reference-regions-v4
#Area: sea only
#Spatial_resolution: 0.5 degrees
#Interpolation_method: cdo remapcon
#Creation_Date: 2021-03-13
"date","NWN","NEN","WNA","CNA","ENA","NCA","CAR","full_domain"
"1970-01",-11.699,-25.499,5.737,19.547,13.272,20.052,23.294,7.52
"1970-02",-12.252,-27.476,9.289,18.079,11.399,19.714,22.7,6.925
"1970-03",-10.873,-17.962,8.486,19.207,13.775,19.755,23.498,8.464
"1970-04",-7.067,-14.792,10.64,20.691,14.871,21.197,23.835,10.091
"1970-05",-1.105,-6.516,12.22,22.932,17.082,22.632,24.607,12.507
"1970-06",4.7,0.58,13.949,25.081,19.507,24.098,25.492,15.195
"1970-07",6.94,2.155,15.718,26.803,22.241,25.19,25.901,17.021
"1970-08",7.65,3.759,16.992,27.566,22.841,26.11,26.244,18.068
"1970-09",6.281,2.204,16.127,27.414,21.874,25.823,26.28,17.432
"1970-10",0.597,-2.924,15.038,24.266,19.337,24.597,25.753,15.335
"1970-11",-5.237,-6.732,12.652,20.75,16.118,22.819,24.562,12.655
"1970-12",-10.363,-15.59,9.7,19.483,14.612,20.376,24.058,9.695
"1971-01",-15.236,-21.879,10.001,16.61,12.201,19.271,22.845,7.87
"1971-02",-13.421,-26.776,10.187,16.344,12.261,19.298,23.152,7.293
"1971-03",-13.114,-21.892,8.072,19.675,13.638,19.984,22.849,7.911
"1971-04",-5.242,-15.025,10.386,20.184,13.837,20.525,23.19,9.746
"1971-05",0.864,-5.22,11.651,23.469,17.435,22.005,24.432,12.435
"1971-06",4.413,-0.13,13.211,25.234,20.254,23.632,25.108,14.985
"1971-07",7.671,2.171,15.105,27.001,22.325,24.881,25.681,16.963
"1971-08",7.64,3.264,15.673,27.381,22.961,25.76,26.27,17.884
"1971-09",4.17,1.847,15.299,27.387,22.154,25.76,26.531,17.244
"1971-10",-0.781,-2.541,13.746,24.275,20.532,24.518,25.926,15.36
"1971-11",-6.724,-9.407,11.528,21.76,17.427,22.334,24.886,12.448
"1971-12",-13.33,-16.454,9.874,18.249,14.502,20.256,23.641,9.717
"1972-01",-13.039,-21.19,8.61,15.639,12.12,18.428,22.569,7.722
"1972-02",-13.048,-29.516,5.519,18.604,14.144,19.657,22.867,6.837
"1972-03",-13.403,-20.618,8.968,20.189,13.807,20.642,22.631,8.032
"1972-04",-4.801,-15.227,9.407,21.111,14.128,21.49,23.263,9.572
"1972-05",-0.54,-3.191,11.205,23.418,17.079,22.702,24.108,12.593
"1972-06",4.361,0.111,13.289,25.647,20.149,24.14,24.961,15.083
"1972-07",6.323,3.483,15.26,26.934,22.046,25.141,25.628,16.95
"1972-08",6.574,4.987,15.626,27.178,22.637,25.657,26.096,17.934
"1972-09",4.887,3.355,15.902,26.803,22.17,25.681,26.376,17.542
"1972-10",-0.432,-0.665,14.254,24.599,20.713,25.023,25.872,15.738
"1972-11",-9.28,-6.347,10.715,21.099,17.291,22.571,24.807,12.677
"1972-12",-8.712,-17.485,9.217,18.494,14.37,20.777,23.531,10.074
"1973-01",-10.554,-24.511,9.78,15.961,11.67,19.293,23.023,8.234
"1973-02",-16.262,-21.954,9.28,15.336,11.734,18.619,22.736,7.593
"1973-03",-12.819,-24.777,8.913,19.689,13.331,20.265,22.882,7.441
"1973-04",-5.965,-9.638,10.422,20.503,15.218,20.754,23.356,10.491
"1973-05",0.1,-5.513,13.13,23.169,17.237,22.721,24.29,12.926
"1973-06",5.154,0.545,15.038,25.617,20.175,24.298,25.06,15.493
"1973-07",7.25,2.88,16.416,26.635,22.137,25.19,25.745,17.322
"1973-08",7.842,4.037,16.768,27.553,23.026,26.025,26.286,18.208
"1973-09",5.315,2.318,16.379,27.142,22.359,26.093,26.227,17.569
"1973-10",0.76,-2.211,14.926,23.897,19.906,24.532,26.003,15.772
"1973-11",-5.359,-8.381,11.292,23.185,18.449,22.487,25.124,12.786
"1973-12",-9.828,-15.977,10.707,17.458,13.313,20.3,23.887,9.942
"1974-01",-15.128,-24.921,9.519,16.839,13.908,18.755,23.327,7.577
"1974-02",-12.691,-29.997,5.794,20.352,13.678,19.977,23.158,6.594
"1974-03",-10.939,-19.998,6.71,20.976,14.979,20.188,22.977,8.403
"1974-04",-6.287,-11.416,9.83,21.884,15.414,20.942,22.914,10.315
"1974-05",1.55,-5.122,12.797,24.071,18.251,22.589,24.14,13.16
"1974-06",5.64,0.735,14.765,25.554,20.442,24.269,25.042,15.69
"1974-07",7.527,2.436,16.064,27.064,22.308,25.382,25.805,17.367
"1974-08",8.037,4.007,16.634,27.707,23.049,25.954,26.283,18.256
"1974-09",4.788,3.118,15.874,26.722,22.351,25.777,26.441,17.654
"1974-10",0.342,-2.842,15.544,23.276,19.319,24.216,25.77,15.717
"1974-11",-3.509,-5.639,12.147,22.277,17.673,22.928,25.049,13.191
"1974-12",-10.704,-18.899,11.505,18.698,14.221,20.7,23.661,9.782
"1975-01",-8.708,-26.772,10.748,18.05,12.241,19.88,23.786,8.382
"1975-02",-14.13,-21.68,9.957,17.893,12.281,19.507,23.21,8.122
"1975-03",-12.956,-15.752,9.231,20.579,14.261,19.94,23.284,8.577
"1975-04",-7.523,-9.88,9.824,21.022,14.889,20.829,23.524,10.079
"1975-05",-1.005,-4.276,11.144,23.293,17.784,22.259,24.417,12.663
"1975-06",4.632,0.713,13.412,25.42,20.381,23.734,25.089,15.084
"1975-07",6.877,3.333,15.408,26.472,22.137,24.965,25.79,17.133
"1975-08",7.169,5.205,16.263,27.26,22.793,25.627,26.265,18.047
"1975-09",3.931,3.766,15.881,26.308,22.053,25.668,26.385,17.518
"1975-10",-2.514,0.053,13.075,24.705,20.55,24.911,25.853,15.352
"1975-11",-6.874,-5.109,11.531,21.57,17.492,22.948,24.932,12.923
"1975-12",-13.025,-14.909,10.084,18.477,14.266,20.891,23.877,9.667
"1976-01",-14.852,-24.499,9.931,16.312,12.527,19.636,23.397,7.821
"1976-02",-12.051,-26.499,8.856,18.181,11.517,20.045,22.722,7.021
"1976-03",-14.74,-21.076,8.908,20.364,12.795,20.503,23.044,7.472
"1976-04",-6.701,-13.309,10.428,20.88,14.736,20.75,23.187,9.775
"1976-05",1.022,-3.757,11.455,23.816,17.695,22.518,24.453,12.719
"1976-06",3.716,-0.226,13.763,25.646,20.74,24.149,25.441,15.041
"1976-07",6.892,3.394,16.109,26.971,22.443,25.825,25.935,17.322
"1976-08",7.818,4.893,16.392,27.563,23.096,25.869,26.324,18.153
"1976-09",5.783,3.382,15.622,26.909,22.501,25.789,26.486,17.54
"1976-10",3.166,-1.985,14.654,23.146,21.003,24.299,26.249,15.737
"1976-11",-2.321,-6.466,11.913,20.59,17.371,22.347,25.372,12.99
"1976-12",-10.61,-16.334,9.906,18.092,14.573,20.348,24.168,9.844
"1977-01",-11.944,-28.355,8.398,16.654,13.061,19.145,23.257,7.137
"1977-02",-12.219,-23.678,8.888,15.732,11.502,18.843,22.487,7.19
"1977-03",-8.519,-14.06,10.444,16.812,11.573,19.342,22.577,9.036
"1977-04",-6.03,-13.869,10.831,20.709,15.104,21.003,23.899,9.918
"1977-05",0.679,-1.97,11.622,23.431,17.639,22.54,24.697,13.02
"1977-06",4.786,1.194,13.856,25.882,20.45,24.3,25.463,15.409
"1977-07",7.404,3.973,16.05,27.119,22.666,25.543,26.259,17.512
"1977-08",7.872,4.647,16.492,27.854,23.404,25.992,26.682,18.313
"1977-09",6.222,3.308,15.604,26.923,22.713,25.644,26.774,17.747
"1977-10",2.298,0.173,14.507,23.648,19.932,24.776,26.373,16.075
"1977-11",0.336,-2.728,13.73,20.675,17.189,22.68,25.168,13.974
"1977-12",-7.268,-9.229,11.142,17.744,14.49,20.068,23.664,11.154
"1978-01",-9.166,-15.051,9.851,15.431,12.644,18.231,23.641,9.414
"1978-02",-13.072,-15.914,10.441,16.792,11.604,18.879,23.241,8.77
"1978-03",-11.727,-17.416,9.186,18.842,14.176,19.473,23.373,8.685
"1978-04",-5.705,-14.927,9.376,21.731,15.048,20.735,24.028,9.885
"1978-05",0.063,-5.91,11.587,23.007,18.195,22.26,24.759,12.813
"1978-06",5.517,0.679,13.836,25.892,20.424,24.047,25.838,15.476
"1978-07",7.551,3.86,15.337,27.227,22.597,25.142,26.248,17.329
"1978-08",7.983,4.93,16.142,28.053,23.406,25.89,26.765,18.311
"1978-09",6.112,4.323,15.637,27.127,22.549,26.03,26.994,17.858
"1978-10",2.47,0.518,14.174,23.814,20.219,24.431,26.438,16.095
"1978-11",-4.246,-8.086,12.459,19.228,16.329,22.443,24.932,12.879
"1978-12",-10.094,-12.155,11.503,17.127,13.028,20.335,23.838,10.238
"1979-01",-15.976,-20.555,9.704,17.094,12.63,19.296,23.082,7.807
"1979-02",-12.029,-21.603,9.174,15.908,11.527,18.772,22.413,7.731
"1979-03",-9.053,-21.157,9.238,19.25,13.404,19.668,23.047,8.375
"1979-04",-7.986,-13.817,10.543,20.843,15.783,20.725,23.325,9.913
"1979-05",0.016,-4.132,11.905,22.953,18.221,22.182,24.213,12.638
"1979-06",3.974,-0.156,13.293,25.467,21.136,23.962,24.961,15.098
"1979-07",7.002,3.654,14.703,26.755,22.974,25.044,25.641,17.107
"1979-08",8.095,4.844,16.09,27.444,23.395,25.894,26.276,18.286
"1979-09",5.809,3.327,15.813,27.057,22.523,25.711,26.579,17.697
"1979-10",1.002,0.015,14.868,23.331,20.018,24.172,26.11,15.531
"1979-11",-4.914,-6.757,12.68,19.295,16.721,21.968,25.116,12.851
"1979-12",-11.69,-11.156,9.734,18.459,15.154,20.066,24.009,10.322
"1980-01",-12.282,-21.813,9.043,15.668,12.285,19.282,23.764,8.306
"1980-02",-10.803,-18.801,8.484,16.679,12.816,18.715,23.592,8.457
"1980-03",-8.256,-19.266,9.454,18.296,13.04,19.667,23.439,8.74
"1980-04",-4.995,-11.429,9.849,21.331,15.348,20.463,23.449,10.179
"1980-05",2.034,-2.617,11.958,23.92,18.135,22.619,24.775,13.276
"1980-06",5.53,1.227,14.322,25.062,20.784,24.324,25.657,15.72
"1980-07",8.157,3.822,16.117,26.967,22.614,25.695,26.208,17.708
"1980-08",8.832,4.377,16.904,27.779,23.289,26.093,26.754,18.448
"1980-09",7.264,3.429,16.942,27.237,22.633,25.973,26.807,18.031
"1980-10",3.463,1.41,14.918,23.361,20.031,24.732,26.38,16.236
"1980-11",-0.303,-5.857,14.008,21.473,17.662,22.971,25.462,13.883
"1980-12",-7.787,-18.275,11.444,17.477,14.86,20.29,24.673,10.156
"1981-01",-11.546,-18.628,8.564,16.391,12.917,18.995,23.409,8.239
"1981-02",-8.488,-21.328,9.859,15.381,11.882,18.703,23.191,8.331
"1981-03",-8.982,-22.351,9.896,19.188,14.037,19.741,23.527,8.457
"1981-04",-5.868,-10.289,10.196,20.473,15.548,20.97,23.943,10.499
"1981-05",-0.344,-5.009,11.533,24.296,18.201,22.785,24.762,12.711
"1981-06",5.112,0.876,13.517,26.128,20.388,24.128,25.593,15.362
"1981-07",8.168,3.721,15.482,27.248,22.679,25.119,26.186,17.458
"1981-08",8.74,4.657,16.738,27.775,23.519,25.881,26.436,18.391
"1981-09",6.529,2.877,16.271,27.492,22.603,25.915,26.842,17.746
"1981-10",0.962,-0.599,14.91,24.254,19.935,24.53,26.328,15.737
"1981-11",-2.568,-6.696,13.196,19.809,16.238,22.136,25.06,12.917
"1981-12",-5.431,-13.129,10.187,17.541,13.816,20.426,24.123,10.665
"1982-01",-13.097,-25.238,8.596,18.758,14.699,20.203,23.331,8.081
"1982-02",-10.338,-26.309,8.766,18.278,13.61,19.986,23.293,7.992
"1982-03",-11.682,-17.731,8.364,19.338,15.059,20.116,23.395,8.703
"1982-04",-7.654,-9.624,9.683,21.681,16.289,21.164,24.079,10.729
"1982-05",1.666,-2.448,12.068,23.615,18.129,22.751,24.917,13.295
"1982-06",4.884,0.411,13.35,25.607,20.724,24.154,25.386,15.357
"1982-07",7.367,3.279,15.23,26.786,22.715,25.059,25.851,17.351
"1982-08",7.48,4.741,16.202,27.106,23.398,25.714,26.351,18.128
"1982-09",5.713,2.711,15.827,26.652,22.181,25.614,26.337,17.473
"1982-10",2.529,1.012,13.702,23.551,19.647,24.465,26.021,15.664
"1982-11",-4.24,-6.608,11.678,21.522,17.101,22.648,24.934,12.927
"1982-12",-9.424,-15.833,10.081,19.329,14.277,21.185,24.02,9.943
"1983-01",-14.102,-18.798,8.543,17.16,12.423,19.624,23.042,8.235
"1983-02",-14.661,-22.487,9.245,16.276,10.843,19.14,22.499,7.282
"1983-03",-12.935,-23.412,8.528,18.736,14.396,19.624,23.392,7.592
"1983-04",-5.245,-12.357,9.818,20.583,15.194,20.886,23.628,10.038
"1983-05",1.231,-3.923,12.083,23.349,17.864,22.723,24.765,13.084
"1983-06",4.988,0.462,14.207,25.221,20.221,24.042,25.327,15.197
"1983-07",7.583,3.038,16.271,26.986,22.237,25.403,25.959,17.275
"1983-08",7.988,4.168,16.619,27.353,23.159,26.037,26.228,18.209
"1983-09",6.122,4.333,15.937,26.162,21.467,25.632,26.392,17.533
"1983-10",2.851,0.442,14.613,22.908,19.268,24.012,25.719,15.732
"1983-11",-3.521,-7.968,12.82,21.002,17.021,22.638,24.952,13.046
"1983-12",-9.7,-11.448,10.612,18.004,14.696,20.501,24.216,10.69
"1984-01",-11.807,-26.794,7.899,20.275,14.051,20.203,23.811,7.58
"1984-02",-12.432,-23.415,9.865,17.455,12.282,19.703,22.518,7.912
"1984-03",-7.231,-19.781,10.974,18.312,13.417,20.311,23.085,9.09
"1984-04",-4.075,-9.684,11.661,20.14,14.814,21.118,23.546,10.791
"1984-05",2.165,-3.146,12.801,22.831,17.8,22.462,24.635,13.311
"1984-06",5.174,0.413,14.22,25.845,20.844,24.392,25.576,15.545
"1984-07",7.301,3.584,16.023,27.522,22.838,25.748,26.176,17.636
"1984-08",7.587,4.279,16.564,27.76,23.276,26.034,26.772,18.44
"1984-09",4.423,3.35,16.011,26.604,22.397,25.672,26.79,17.683
"1984-10",0.831,-0.818,15.584,24.776,20.04,24.712,26.177,15.765
"1984-11",-8.495,-6.579,12.047,21.388,17.016,22.855,25.267,12.863
"1984-12",-10.18,-12.302,11.582,19.558,15.01,21.427,24.299,10.926
"1985-01",-10.23,-25.527,9.172,16.491,14.249,19.28,23.477,8.198
"1985-02",-12.696,-28.1,9.062,17.855,13.121,19.676,23.062,7.42
"1985-03",-6.109,-18.711,9.969,19.491,13.015,20.098,23.242,8.994
"1985-04",-3.449,-9.498,10.174,21.224,15.319,20.976,23.913,10.793
"1985-05",2.433,-5.078,12.367,23.715,17.924,22.359,24.824,13.126
"1985-06",5.576,1.005,14.229,25.355,20.369,24,25.436,15.56
"1985-07",8.079,3.466,15.982,27.033,22.74,25.532,26.034,17.602
"1985-08",8.467,4.973,16.47,27.568,23.665,26.146,26.641,18.579
"1985-09",6.385,3.923,15.853,27.388,22.865,25.965,26.725,17.972
"1985-10",2.488,0.259,13.701,24.848,20.488,24.858,26.181,16.085
"1985-11",-3.355,-6.835,12.393,18.644,17.115,22.337,25.284,13.453
