#Dataset: Monthly information aggregated on IPCC reference regions for CMIP5/6 and CORDEX
#Reference: https://doi.org/10.5194/essd-12-2959-2020
#Project: CORDEX-SAM
#Experiment: historical
#Model: MPI-M-MPI-ESM-LR_r1i1p1_SMHI-RCA4_v3
#Variable: pr
#Variable_longname: mean daily precipitation
#Units: mm/day
#Time_frequency: month
#Feature_type: regional mean time series
#Regions: IPCC-WGI-reference-regions-v4
#Area: land only
#Spatial_resolution: 0.5 degrees
#Interpolation_method: cdo remapcon
#Creation_Date: 2021-03-15
"date","SCA","NWS","NSA","NES","SAM","SWS","SES","SSA","full_domain"
"1970-01",5.168,4.549,4.78,11.575,8.643,3.655,4.498,3.497,6.184
"1970-02",4.131,6.127,4.708,8.994,8.629,3.581,3.609,4.167,5.785
"1970-03",3.489,6.231,6.141,10.445,7.734,2.224,1.405,2.555,5.583
"1970-04",6.706,6.711,9.519,9.306,4.135,4.583,0.926,3.531,5.888
"1970-05",12.025,5.562,7.686,4.166,1.401,3.16,0.944,3.389,4.152
"1970-06",12.074,2.885,4.001,1.874,0.111,3.699,0.243,2.631,2.279
"1970-07",10.138,2.583,2.846,1.463,0.241,6.408,0.618,3.526,2.167
"1970-08",12.761,4.12,2.362,1.213,0.754,4.18,1.135,2.682,2.262
"1970-09",13.568,6.497,4.299,1.209,2.042,4.764,1.951,2.798,3.424
"1970-10",8.364,7.112,5.663,3.677,2.973,4.492,1.222,3.463,4.085
"1970-11",2.59,5.431,7.981,5.61,6.814,2.921,2.403,3.892,5.384
"1970-12",5.353,4.69,6.827,11.831,8.485,3.72,3.575,4.129,6.557
"1971-01",5.153,5.278,5.258,12.258,9.457,3.345,2.52,3.597,6.19
"1971-02",5.527,5.618,3.939,9.899,8.639,3.999,2.314,3.761,5.456
"1971-03",6.181,7.996,6.248,11.572,8.671,2.717,2.259,2.631,6.398
"1971-04",3.727,7.253,7.193,7.753,4.563,4.112,0.637,4.234,5.104
"1971-05",8.157,4.689,7.904,3.101,0.406,4.674,0.246,3.174,3.651
"1971-06",10.993,4.194,6.574,2.284,0.133,6.871,0.21,2.89,3.289
"1971-07",13.42,3.154,3.399,1.415,0.094,6.27,0.525,2.222,2.325
"1971-08",14.054,3.038,2.465,0.871,0.215,5.478,0.257,2.823,1.97
"1971-09",14.644,5.622,2.819,0.923,1.143,3.898,0.816,2.424,2.511
"1971-10",13.746,6.777,2.35,1.822,4.851,3,3.146,3.721,3.707
"1971-11",11.337,6.215,5.075,6.174,9.672,3.159,3.931,2.981,5.775
"1971-12",9.074,5.245,4.528,11.203,10.894,3.33,3.583,4.04,6.415
"1972-01",4.998,4.444,4.365,12.317,9.947,3.548,2.417,3.732,5.962
"1972-02",3.989,5.243,2.484,8.412,7.971,3.927,4.4,3.688,5.121
"1972-03",3.088,5.872,4.634,11.712,7.331,3.131,2.046,2.786,5.497
"1972-04",2.883,5.38,5.524,6.133,2.594,3.102,1.298,2.92,3.93
"1972-05",9.388,4.725,6.931,3.924,1.346,5.431,1.458,3.56,4.021
"1972-06",13.774,3.984,4.959,1.59,0.211,5.637,0.673,3.218,2.884
"1972-07",10.963,2.624,3.874,1.241,0.106,5.699,0.251,3.516,2.265
"1972-08",15.519,4.277,2.077,0.899,0.646,4.149,1.976,2.334,2.364
"1972-09",14.495,5.802,2.139,0.645,1.575,2.867,1.603,2.766,2.5
"1972-10",11.951,7.892,3.871,2.976,5.447,3.669,2.26,3.448,4.269
"1972-11",12.515,7.401,4.264,4.188,6.79,4.043,3.762,3.237,5.04
"1972-12",8.17,4.956,5.627,10.174,10.572,2.63,2.745,3.84,6.186
"1973-01",4.184,4.078,4.019,11.92,9.918,2.37,3.352,3.682,5.872
"1973-02",3.642,5.461,2.958,9.705,8.534,2.655,2.858,4.015,5.155
"1973-03",2.593,6.95,5.681,9.688,6.081,2.109,0.951,2.496,5.059
"1973-04",2.88,6.68,9.179,10.97,5.35,3.856,1.322,2.98,6.156
"1973-05",9.08,3.791,6.962,3.257,0.102,3.999,0.304,3.965,3.325
"1973-06",13.163,3.73,5.835,1.841,0.166,6.102,0.368,2.702,3.022
"1973-07",13.122,3.05,3.979,1.403,0.115,5.217,0.42,3.222,2.404
"1973-08",12.868,3.312,3.283,1.231,0.323,3.027,0.894,2.184,2.18
"1973-09",14.826,5.548,2.921,1.21,0.963,2.406,1.285,2.603,2.553
"1973-10",19.862,7.703,3.915,3.754,6.946,3.195,2.118,3.724,4.743
"1973-11",11.003,6.726,6.045,5.71,7.977,2.276,3.731,3.202,5.64
"1973-12",8.766,4.944,6.187,10.025,9.493,3.306,4.093,3.971,6.471
"1974-01",5.593,5.207,4.142,9.711,8.956,3.758,4.484,4.185,5.927
