#Dataset: Monthly information aggregated on IPCC reference regions for CMIP5/6 and CORDEX
#Reference: https://doi.org/10.5194/essd-12-2959-2020
#Project: CORDEX-SAM
#Experiment: historical
#Model: CSIRO-QCCCE-CSIRO-Mk3-6-0_r1i1p1_SMHI-RCA4_v3
#Variable: pr
#Variable_longname: mean daily precipitation
#Units: mm/day
#Time_frequency: month
#Feature_type: regional mean time series
#Regions: IPCC-WGI-reference-regions-v4
#Area: sea only
#Spatial_resolution: 0.5 degrees
#Interpolation_method: cdo remapcon
#Creation_Date: 2021-03-15
"date","SCA","NWS","NSA","NES","SAM","SWS","SES","SSA","full_domain"
"1970-01",4.572,6.375,2.712,1.746,NA,0.708,3.144,2.265,2.436
"1970-02",4.569,7.479,3.282,1.959,NA,0.96,1.609,3.164,2.446
"1970-03",4.734,6.097,3.123,1.265,NA,0.457,2.472,2.259,2.741
"1970-04",4.684,4.855,2.935,1.775,NA,0.867,2.69,2.389,2.554
"1970-05",5.863,3.05,3.293,3.049,NA,1.481,2.426,2.578,2.869
"1970-06",9.904,3.758,5.696,0.565,NA,2.551,1.997,2.065,3.14
"1970-07",6.755,2.969,2.901,0.694,NA,2.2,2.158,2.309,3.025
"1970-08",7.015,3.54,0.844,0.416,NA,1.74,0.836,2.197,2.717
"1970-09",5.765,3.917,0.568,0.168,NA,1.218,1.457,2.436,2.234
"1970-10",6.418,5.119,0.539,0.365,NA,1.196,2.702,2.081,2.67
"1970-11",4.946,4.654,1.28,0.957,NA,0.585,2.245,1.686,2.383
"1970-12",6.375,3.944,5.231,1.016,NA,1.074,2.218,2.29,2.478
"1971-01",3.098,5.389,2.311,2.265,NA,0.352,1.574,2.11,1.856
"1971-02",3.018,5.865,1.006,1.923,NA,0.456,1.732,1.968,2.158
"1971-03",4.084,7.652,1.377,1.672,NA,0.598,1.809,2.774,2.42
"1971-04",6.116,5.005,1.049,4.174,NA,0.725,2.998,2.322,2.378
"1971-05",7.609,3.658,4.545,4.219,NA,2.181,2.79,2.653,3.27
"1971-06",9.979,3.198,3.021,0.754,NA,1.949,1.937,2.656,2.722
"1971-07",9.421,3.255,0.847,0.393,NA,1.994,1.29,2.436,2.643
"1971-08",10.642,3.607,0.41,0.34,NA,1.081,0.988,1.896,2.493
"1971-09",9.128,4.066,0.185,0.306,NA,1.177,1.325,1.775,2.484
"1971-10",11.12,4.128,0.462,0.207,NA,0.695,1.548,1.62,2.624
"1971-11",9.724,4.377,1.248,0.463,NA,0.639,2.006,1.621,2.631
"1971-12",5.223,5.888,2.381,0.612,NA,0.67,2.379,1.606,2.458
"1972-01",3.982,6.202,2.532,1.095,NA,0.459,2.387,1.61,2.429
"1972-02",3.938,6.644,2.307,1.477,NA,0.539,1.278,2.15,2.233
"1972-03",3.065,7.715,1.203,0.821,NA,0.65,2.626,2.275,2.285
"1972-04",6.083,5.962,2.838,3.117,NA,1.354,1.766,2.389,2.672
"1972-05",6.566,2.569,4.603,3.01,NA,2.565,3.108,2.632,3.12
"1972-06",7.095,2.735,5.108,0.864,NA,2.322,2.168,2.553,3.078
"1972-07",9.631,3.079,1.403,0.575,NA,2.178,1.763,2.89,2.817
"1972-08",7.022,3.892,1.508,0.328,NA,2.015,1.042,2.301,2.777
"1972-09",7.855,4.539,0.393,0.56,NA,1.996,1.371,2.046,2.57
"1972-10",9.099,4.481,0.495,0.13,NA,1.496,2.059,2.077,2.697
"1972-11",11.705,4.889,1.145,0.331,NA,0.595,1.849,1.747,2.909
"1972-12",7.819,5.976,4.164,0.648,NA,0.437,2.365,1.737,2.372
"1973-01",4.845,6.557,2.686,1.076,NA,0.667,1.223,1.895,1.92
"1973-02",3.486,6.891,2.477,0.967,NA,0.723,1.488,2.5,2.101
"1973-03",3.818,7.886,3.361,1.332,NA,0.661,1.974,2.519,2.407
"1973-04",5.7,6.607,3.162,1.858,NA,1.441,1.666,2.699,2.652
"1973-05",6.932,3,2.677,1.695,NA,1.767,1.956,2.365,2.775
"1973-06",7.64,3.024,5.039,0.815,NA,2.936,1.14,2.458,3.266
"1973-07",7.477,3.212,4.336,0.444,NA,1.97,0.962,2.285,2.79
"1973-08",5.713,3.643,2.013,0.34,NA,1.221,0.941,1.926,2.59
"1973-09",6.756,4.174,0.99,0.275,NA,1.223,1.512,1.589,2.549
"1973-10",7.609,4.908,0.435,0.208,NA,0.771,1.541,1.724,2.353
"1973-11",6.813,5.499,3.859,0.982,NA,0.499,1.83,1.798,2.771
"1973-12",5.007,3.547,4.499,0.469,NA,0.401,1.996,1.419,1.997
"1974-01",4.107,4.439,4.513,1.177,NA,0.283,2.364,1.803,2.174
"1974-02",4.157,6.755,2.988,1.913,NA,0.67,1.796,2.271,2.258
"1974-03",3.95,7.454,1.761,2.031,NA,0.693,2.133,2.266,2.538
"1974-04",4.974,5.188,1.341,6.723,NA,1.419,2.972,2.734,2.865
"1974-05",6.446,3.266,2.443,2.777,NA,1.516,2.664,2.583,2.707
"1974-06",7.565,2.467,5.286,0.818,NA,2.126,1.884,2.415,2.875
"1974-07",7.713,2.781,2.224,0.646,NA,2.387,1.679,1.63,2.742
"1974-08",9.079,3.925,2.278,0.339,NA,1.871,1.285,2.069,2.875
"1974-09",6.934,4.286,0.376,0.366,NA,0.796,1.595,1.791,2.581
"1974-10",7.072,5.725,0.469,0.175,NA,0.515,1.849,1.679,2.202
"1974-11",6.97,5.309,1.6,0.208,NA,0.656,1.27,1.525,2.132
"1974-12",5.438,7.208,3.756,0.481,NA,0.628,2.895,1.389,2.673
"1975-01",3.89,7.172,3.574,1.797,NA,0.268,2.489,1.73,2.36
"1975-02",2.614,6.78,2.362,2.052,NA,0.42,2.924,2.077,2.247
"1975-03",3.538,6.359,1.84,2.814,NA,0.398,2.738,2.086,2.498
"1975-04",3.409,4.409,2.048,2.838,NA,0.847,2.201,2.744,2.666
"1975-05",5.186,2.969,3.71,2.492,NA,1.148,2.207,2.404,2.672
