#Dataset: Monthly information aggregated on IPCC reference regions for CMIP5/6 and CORDEX
#Reference: https://doi.org/10.5194/essd-12-2959-2020
#Project: CORDEX-SAM
#Experiment: historical
#Model: NCC-NorESM1-M_r1i1p1_GERICS-REMO2015_v1
#Variable: tas
#Variable_longname: mean near-surface air temperature
#Units: degC
#Time_frequency: month
#Feature_type: regional mean time series
#Regions: IPCC-WGI-reference-regions-v4
#Area: land and sea
#Spatial_resolution: 0.5 degrees
#Interpolation_method: cdo remapcon
#Creation_Date: 2021-03-15
"date","SCA","NWS","NSA","NES","SAM","SWS","SES","SSA","full_domain"
"1970-01",24.086,23.684,26.161,24.607,23.403,17.356,23.047,10.472,20.329
"1970-02",24.13,23.588,26.772,24.392,23.594,17.923,23.527,11.353,20.847
"1970-03",24.555,23.153,26.254,24.423,22.95,16.742,22.284,10.155,20.406
"1970-04",25.258,23.549,26.681,24.723,22.855,15.127,18.61,8.131,19.677
"1970-05",25.86,22.963,25.796,23.964,22.223,12.795,15.974,5.927,18.611
"1970-06",26.011,22.161,24.59,22.784,21.593,11.725,15.301,5.136,17.674
"1970-07",26.062,22.574,25.447,23.173,23.217,11.823,15.204,3.33,17.532
"1970-08",26.448,23.384,26.711,25.017,24.701,12.461,14.989,3.7,17.9
"1970-09",26.537,23.526,28.055,26.475,26.974,12.592,17.225,5.36,18.692
"1970-10",26.107,23.29,29.053,27.859,28.581,13.205,18.87,6.407,19.297
"1970-11",25.966,23.614,28.345,27.73,26.902,14.601,20.842,8.445,19.912
"1970-12",25.353,24.355,27.421,26.433,25.848,16.2,22.291,10.133,20.338
"1971-01",24.855,24.706,27.126,25.585,25.1,17.158,23.48,10.798,20.849
"1971-02",24.635,24.494,28.155,24.744,24.136,17.587,22.78,11.492,21.041
"1971-03",25.023,24.161,27.389,24.833,24.255,16.588,22.119,10.232,20.685
"1971-04",25.789,23.591,27.233,24.354,23.44,15.189,19.546,8.922,19.979
"1971-05",26.023,22.657,25.376,23.335,22.173,13.128,15.905,7.209,18.648
"1971-06",26.145,22.023,24.806,22.699,21.511,11.481,14.047,5.37,17.749
"1971-07",26.087,22.134,25.595,22.508,24.076,11.082,15.997,3.622,17.705
"1971-08",25.928,22.618,27.111,23.335,26.249,12.201,17.36,4.541,18.061
"1971-09",25.779,22.609,28.29,25.25,28.591,12.317,18.707,6.506,18.961
"1971-10",25.426,22.024,27.571,25.874,25.821,13.293,19.768,7.047,19.036
"1971-11",25.103,22.162,25.798,25.796,23.802,14.9,20.353,9.079,19.203
"1971-12",24.438,22.584,25.262,25.079,23.892,15.53,22.558,9.52,19.701
"1972-01",23.715,22.34,25.32,25.079,23.277,16.473,23.072,11.191,20.192
"1972-02",23.608,22.516,25.756,24.623,23.265,16.966,23.138,12.3,20.565
"1972-03",23.975,22.927,26.422,24.761,23.801,16.936,22.698,11.03,20.633
"1972-04",24.187,22.62,26.801,24.594,23.256,15.246,19.854,9.086,19.894
"1972-05",24.809,21.737,25.246,23.19,21.191,12.951,16.664,7.327,18.565
"1972-06",24.989,21.04,23.883,21.961,19.666,11.813,14.721,6.413,17.576
"1972-07",24.998,20.898,23.83,21.835,20.56,10.801,15.637,4.956,17.263
"1972-08",25.26,21.856,25.41,22.86,23.571,11.183,15.939,5.457,17.602
"1972-09",25.432,22.418,26.382,24.624,26.974,12.682,19.161,6.618,18.635
"1972-10",25.222,22.425,26.715,26.166,26.096,13.572,20.48,7.912,19.199
"1972-11",24.767,22.349,26.461,27.134,25.204,14.852,21.962,9.22,19.688
"1972-12",24.415,22.669,25.283,25.877,23.301,15.837,22.223,9.707,19.791
"1973-01",23.756,22.622,24.951,25.327,23.275,16.874,22.442,11.348,20.218
"1973-02",24.022,22.697,25.444,24.894,23.307,17.394,23.832,12.204,20.751
"1973-03",24.312,23.28,25.878,25.1,23.363,16.574,22.527,11.055,20.581
"1973-04",24.706,22.924,26.109,24.637,23.561,15.374,20.292,8.859,19.961
"1973-05",25.244,22.084,25.128,23.123,21.416,12.94,17.031,6.529,18.534
"1973-06",25.482,21.381,24.09,22.413,19.929,11.631,14.767,5.642,17.659
"1973-07",25.809,21.615,24.439,22.146,21.6,10.273,15.71,4.657,17.427
"1973-08",25.928,22.284,25.853,22.955,24.669,11.34,17.514,5.701,18.015
"1973-09",25.782,22.167,25.958,24.576,24.159,12.632,17.833,6.475,18.291
"1973-10",25.783,22.708,26.75,26.532,25.94,13.386,19.557,7.541,19.112
"1973-11",25.364,22.49,25.995,27.129,24.877,14.942,21.01,8.968,19.497
"1973-12",24.536,22.741,25.043,25.355,23.434,16.133,21.311,10.179,19.631
"1974-01",23.895,22.505,25.215,23.831,22.721,16.892,23.1,11.505,20.138
"1974-02",23.758,22.723,25.218,24.502,23.261,17.317,23.526,11.589,20.475
"1974-03",23.948,23.05,26.119,24.014,23.007,16.336,21.861,10.665,20.325
"1974-04",24.33,22.363,25.452,23.699,22.512,14.733,20.217,8.799,19.64
"1974-05",24.772,21.875,24.992,23.23,21.659,12.849,16.47,7.264,18.481
"1974-06",24.97,21.049,23.771,21.811,19.945,11.07,15.736,5.245,17.565
"1974-07",25.222,21.4,24.306,22.057,21.761,10.87,15.956,5.089,17.436
"1974-08",25.408,21.993,25.708,22.944,24.231,11.073,16.152,4.437,17.573
"1974-09",25.422,22.206,26.284,24.43,24.66,13.054,18.843,7.398,18.49
"1974-10",25.147,22.239,27.024,26.445,26.548,13.395,19.526,7.451,19.041
"1974-11",24.838,22.389,26.27,26.529,25.525,14.983,21.502,9.023,19.547
"1974-12",24.271,22.532,24.82,25.132,23.13,15.963,21.517,10.866,19.623
"1975-01",23.756,22.234,24.746,24.149,22.57,17.155,23.232,11.436,20.081
"1975-02",23.533,22.891,25.395,24.53,22.954,17.404,22.647,11.496,20.441
"1975-03",23.605,23.129,26.221,24.057,22.804,16.985,22.482,10.932,20.42
"1975-04",24.064,22.265,26.312,23.79,22.258,15.582,19.917,9.161,19.75
"1975-05",24.707,21.807,25.278,22.737,20.873,12.943,16.546,6.42,18.423
"1975-06",25.129,21.203,23.909,21.793,20.223,11.288,15.229,4.407,17.272
"1975-07",25.415,21.318,23.682,21.496,20.461,9.944,14.727,4.594,17.033
"1975-08",25.622,21.941,24.974,21.755,23.352,11.603,18.029,5.517,17.746
"1975-09",25.722,22.52,26.446,24.256,25.724,12.606,18.545,6.748,18.487
"1975-10",25.642,22.437,26.355,25.914,24.314,13.504,18.211,7.724,18.758
"1975-11",25.232,22.425,25.629,25.752,23.332,14.593,20.346,9.074,19.185
"1975-12",24.437,22.061,24.594,25.132,22.897,15.815,21.311,10.374,19.502
"1976-01",24.047,23.206,24.966,24.478,23.008,17.056,22.852,11.503,20.181
"1976-02",23.696,23.18,25.482,24.666,22.486,17.284,22.678,12.066,20.474
"1976-03",24.232,23.723,26.523,24.386,23.211,16.587,21.327,11.001,20.469
"1976-04",25.067,23.529,26.423,23.861,22.96,14.859,19.421,8.748,19.735
"1976-05",26.096,23.133,25.383,22.59,21.357,12.731,16.448,6.897,18.666
"1976-06",26.072,22.28,24.468,22.053,20.327,11.32,14.449,5.058,17.518
"1976-07",26.156,21.842,24.393,22.18,21.656,11.09,14.969,4.059,17.248
"1976-08",26.075,22.636,26.108,23.471,24.665,11.29,15.449,3.696,17.615
"1976-09",25.982,23.005,27.073,25.077,26.742,13.09,17.895,6.038,18.473
"1976-10",25.415,22.207,26.864,25.852,24.725,13.378,18.573,7.266,18.788
"1976-11",25.007,22.711,26.896,27.303,25.924,14.831,20.638,8.752,19.528
"1976-12",24.392,22.916,25.763,25.912,23.872,16.269,21.877,10.691,19.91
"1977-01",23.899,22.976,25.439,24.198,23.102,16.97,23.269,11.816,20.285
"1977-02",23.697,23.066,26.381,24.135,23.624,17.171,23.214,11.688,20.614
"1977-03",24.208,23.222,26.415,23.949,23.665,16.768,21.985,10.474,20.338
"1977-04",24.451,22.972,26.531,24.08,23.059,15.155,18.571,8.753,19.53
"1977-05",25.335,21.896,25.069,22.959,21.44,13.887,16.921,7.059,18.501
"1977-06",25.553,21.511,24.315,22.078,20.173,12.411,15.816,6.575,17.852
"1977-07",25.789,21.823,24.661,22.016,21.941,11.79,16.39,5.961,17.806
"1977-08",26.003,22.582,26.087,22.707,24.684,12.281,18.065,5.505,18.25
"1977-09",25.941,22.35,26.748,25.275,25.541,12.297,17.073,6.393,18.495
"1977-10",26.129,23.131,27.766,26.811,27.238,13.29,20.069,7.473,19.371
"1977-11",25.625,23.174,26.389,26.89,24.539,14.466,20.17,8.505,19.442
"1977-12",25.315,24.164,26.594,26.635,25.266,16.034,22.331,10.264,20.271
"1978-01",24.876,24.366,26.758,25.392,24.464,16.948,23.091,12.096,20.765
"1978-02",24.603,24.17,26.429,25.381,24.684,18.061,24.165,11.834,21.099
"1978-03",25.052,24.316,27.466,25.393,24.434,16.892,22.157,10.79,20.818
"1978-04",25.337,23.972,27.152,24.756,23.359,15.323,19.507,8.72,19.973
"1978-05",25.818,22.955,25.851,23.864,22.491,13.682,17.917,6.255,18.901
"1978-06",25.864,21.878,24.8,22.945,21.033,12.489,15.992,4.398,17.801
"1978-07",25.803,21.807,24.923,22.843,21.685,11.695,15.34,4.976,17.522
"1978-08",25.678,22.426,26.382,24.433,25.553,12.015,16.522,6.148,18.19
"1978-09",25.9,22.651,26.96,25.51,26.398,12.908,19.734,6.69,18.842
"1978-10",25.646,22.192,26.711,26.771,25.595,13.977,20.16,7.921,19.182
"1978-11",25.436,22.422,26.177,26.766,24.975,15.012,21.93,9.214,19.686
"1978-12",24.63,22.508,25.03,24.806,22.985,15.613,22.854,10.205,19.785
"1979-01",24.115,22.576,25.221,24.208,23.272,16.589,24.04,11.502,20.343
"1979-02",23.839,23.062,25.946,25.202,24.086,17.035,23.352,11.416,20.679
"1979-03",23.9,22.873,26.549,24.763,23.771,16.741,22.022,11.336,20.532
"1979-04",24.613,22.223,25.578,23.552,22.441,15.12,20.096,9.269,19.636
"1979-05",25.04,21.537,24.44,22.704,21.277,13.506,17.101,7.165,18.499
"1979-06",25.149,21.029,23.77,21.661,19.969,11.683,15.432,5.181,17.533
"1979-07",25.119,21.192,23.918,21.243,20.994,10.834,16.924,5.302,17.361
"1979-08",25.399,21.777,25.51,22.53,23.955,11.167,16.972,5.206,17.77
