#Dataset: Monthly information aggregated on IPCC reference regions for CMIP5/6 and CORDEX
#Reference: https://doi.org/10.5194/essd-12-2959-2020
#Project: CORDEX-SAM
#Experiment: historical
#Model: CSIRO-QCCCE-CSIRO-Mk3-6-0_r1i1p1_SMHI-RCA4_v3
#Variable: tas
#Variable_longname: mean near-surface air temperature
#Units: degC
#Time_frequency: month
#Feature_type: regional mean time series
#Regions: IPCC-WGI-reference-regions-v4
#Area: sea only
#Spatial_resolution: 0.5 degrees
#Interpolation_method: cdo remapcon
#Creation_Date: 2021-03-15
"date","SCA","NWS","NSA","NES","SAM","SWS","SES","SSA","full_domain"
"1970-01",25.32,24.51,23.917,23.245,NA,18.435,21.727,11.368,18.071
"1970-02",25.069,24.767,23.855,23.814,NA,18.836,22.805,13.15,18.731
"1970-03",25.566,24.865,24.236,24.489,NA,18.306,22.563,11.847,18.642
"1970-04",26.042,24.022,24.591,24.813,NA,17.532,20.886,10.483,18.001
"1970-05",26.465,22.742,24.834,24.317,NA,16.07,19.47,8.063,16.885
"1970-06",26.46,21.38,25.614,23.342,NA,14.649,17.1,6.842,15.912
"1970-07",26.828,20.824,25.507,22.298,NA,13.261,16.38,5.102,15.011
"1970-08",26.826,21.143,25.233,21.823,NA,12.939,15.807,4.681,14.596
"1970-09",26.731,21.54,24.916,21.582,NA,13.426,16.15,5.59,14.763
"1970-10",26.887,22.418,24.516,22.129,NA,14.303,17.262,6.002,15.269
"1970-11",26.038,22.521,24.632,22.512,NA,15.478,18.762,7.626,16.073
"1970-12",25.409,22.352,24.162,22.832,NA,17.025,20.111,10.109,16.88
"1971-01",24.787,22.902,23.355,23.098,NA,18.248,21.796,12.245,17.955
"1971-02",24.84,23.55,23.727,24.009,NA,18.666,22.759,12.459,18.656
"1971-03",25.344,24.143,24.425,24.514,NA,18.322,21.981,11.296,18.533
"1971-04",26.135,23.647,25.031,24.539,NA,16.71,20.628,9.267,17.721
"1971-05",26.629,22.535,25.216,24.328,NA,15.073,18.618,6.537,16.527
"1971-06",26.709,21.424,25.669,23.066,NA,13.752,17.309,6.06,15.65
"1971-07",27.044,20.672,26.047,22.145,NA,12.343,16.743,4.118,14.758
"1971-08",26.796,20.662,25.577,21.55,NA,12.324,15.293,5.001,14.392
"1971-09",27.531,21.345,24.904,21.565,NA,13.01,16.607,5.265,14.723
"1971-10",27.201,22.369,24.562,22.045,NA,14.194,17.644,6.326,15.288
"1971-11",26.559,23.106,24.507,22.416,NA,15.481,18.702,7.425,15.949
"1971-12",25.631,23.376,24.569,22.958,NA,16.775,20.77,9.565,16.884
"1972-01",24.816,23.51,23.819,23.26,NA,18.072,21.727,11.554,17.859
"1972-02",24.76,23.808,24.128,23.696,NA,19.028,22.39,11.831,18.624
"1972-03",25.23,23.994,24.763,24.611,NA,18.295,21.684,11.321,18.455
"1972-04",25.899,23.193,25.032,24.834,NA,17.511,20.757,9.788,17.887
"1972-05",26.844,22.467,25.229,24.186,NA,16.525,18.783,7.682,16.901
"1972-06",26.91,21.724,25.542,23.429,NA,14.935,16.853,6.175,15.839
"1972-07",27.044,21.369,25.726,22.607,NA,13.554,16.031,5.428,15.201
"1972-08",27.029,21.242,25.4,22.208,NA,12.713,16.129,4.929,14.805
"1972-09",27.108,21.659,24.615,22.079,NA,13.061,16.419,4.638,14.697
"1972-10",27.264,22.489,24.534,22.33,NA,14.025,17.626,5.981,15.13
"1972-11",26.704,23.022,24.467,22.547,NA,14.678,19.268,7.672,15.984
"1972-12",25.64,23.404,23.875,22.628,NA,16.132,20.685,9.178,16.758
"1973-01",24.949,23.756,23.686,22.805,NA,17.522,22.106,11.064,17.796
"1973-02",25.162,24.319,23.921,23.646,NA,17.759,22.876,11.156,18.247
"1973-03",25.256,24.471,24.153,24.211,NA,17.425,22.695,10.633,18.309
"1973-04",25.783,23.804,24.59,24.446,NA,17.095,22.104,9.605,17.912
"1973-05",26.192,22.334,24.999,23.999,NA,15.251,18.97,7.239,16.62
"1973-06",26.347,20.899,25.348,23.095,NA,13.906,17.749,5.724,15.508
"1973-07",26.402,20.547,25.319,22.191,NA,12.78,16.333,5.02,14.819
"1973-08",26.584,21.078,25.133,21.712,NA,12.828,16.153,4.262,14.351
"1973-09",26.477,21.671,24.747,21.753,NA,13.147,16.312,4.76,14.473
"1973-10",26.376,21.959,24.261,22.216,NA,13.873,17.976,6.164,15.141
"1973-11",25.986,22.5,24.458,22.626,NA,15.399,18.838,7.292,15.88
"1973-12",25.096,22.621,23.724,22.792,NA,16.202,21.175,9.087,16.602
"1974-01",24.73,23.073,23.352,23.058,NA,17.802,22.032,11.3,17.702
"1974-02",24.469,23.799,23.412,23.662,NA,18.128,23.119,11.593,18.354
"1974-03",24.759,23.886,23.738,24.355,NA,17.736,22.508,11.19,18.158
"1974-04",25.453,23.372,24.181,24.195,NA,15.944,20.964,8.829,17.245
