#Dataset: Monthly information aggregated on IPCC reference regions for CMIP5/6 and CORDEX
#Reference: https://doi.org/10.5194/essd-12-2959-2020
#Project: CORDEX-SEA
#Experiment: rcp85
#Model: MOHC-HadGEM2-ES_r1i1p1_RU-CORE-RegCM4-3_v4
#Variable: pr
#Variable_longname: mean daily precipitation
#Units: mm/day
#Time_frequency: month
#Feature_type: regional mean time series
#Regions: IPCC-WGI-reference-regions-v4
#Area: land and sea
#Spatial_resolution: 0.5 degrees
#Interpolation_method: cdo remapcon
#Creation_Date: 2021-03-13
"date","SEA","full_domain"
"2006-01",9.006,7.381
"2006-02",8.928,7.26
"2006-03",6.864,6.006
"2006-04",8.296,6.476
"2006-05",9.815,8.249
"2006-06",8.7,7.703
"2006-07",6.693,6.854
"2006-08",6.922,8.07
"2006-09",8.337,7.787
"2006-10",6.257,5.449
"2006-11",6.998,5.749
"2006-12",8.426,6.58
"2007-01",7.617,6.267
"2007-02",6.675,5.55
"2007-03",6.461,5.171
"2007-04",8.916,7.634
"2007-05",9.321,8.361
"2007-06",8.669,7.915
"2007-07",6.656,6.002
"2007-08",6.665,6.918
"2007-09",10.028,9.012
"2007-10",8.75,7.135
"2007-11",8.844,7.173
"2007-12",8.35,6.76
"2008-01",8.434,6.824
"2008-02",7.352,6.395
"2008-03",7.369,5.749
"2008-04",10.759,8.574
"2008-05",8.936,8.168
"2008-06",5.903,5.86
"2008-07",6.036,5.894
"2008-08",7.431,7.586
"2008-09",8.582,8.143
"2008-10",6.747,5.74
"2008-11",6.073,5.082
"2008-12",7.367,5.939
"2009-01",8.049,6.526
"2009-02",6.706,5.606
"2009-03",8.23,6.93
"2009-04",6.651,5.711
"2009-05",9.272,7.595
"2009-06",7.771,6.659
"2009-07",5.653,6.275
"2009-08",7.998,7.303
"2009-09",8.755,8.552
"2009-10",7.139,5.424
"2009-11",5.787,5.105
"2009-12",8.256,6.358
"2010-01",7.207,6.012
"2010-02",7.144,5.843
"2010-03",6.195,5.067
"2010-04",7.503,5.922
"2010-05",7.346,6.557
"2010-06",7.138,7.156
"2010-07",7.378,7.021
"2010-08",8.086,7.627
"2010-09",8.867,8.285
"2010-10",7.424,5.81
"2010-11",6.804,5.572
"2010-12",7.179,5.911
"2011-01",6.508,5.701
"2011-02",6.755,6.05
"2011-03",5.769,4.884
"2011-04",8.684,6.865
"2011-05",8.147,7.102
"2011-06",8.721,7.565
"2011-07",9.361,8.057
"2011-08",10.204,9.443
"2011-09",9.048,7.973
"2011-10",10.51,8.162
"2011-11",6.864,5.748
"2011-12",8.09,6.874
"2012-01",9.587,7.701
"2012-02",8.66,6.905
"2012-03",7.777,6.446
"2012-04",7.843,7.104
"2012-05",8.037,7.123
"2012-06",7.105,6.603
"2012-07",6.224,6.395
"2012-08",5.443,5.631
"2012-09",8.57,7.987
"2012-10",7.824,6.303
"2012-11",6.977,5.811
"2012-12",8.36,6.611
"2013-01",8.924,7.128
"2013-02",8.063,6.982
"2013-03",7.323,6.258
"2013-04",6.606,6.145
"2013-05",5.538,5.561
"2013-06",7.009,7.123
"2013-07",8.912,8.51
"2013-08",7.868,7.594
"2013-09",6.343,6.379
"2013-10",7.346,6.632
"2013-11",6.353,5.542
"2013-12",6.782,5.96
"2014-01",7.428,5.906
"2014-02",7.706,6.67
"2014-03",7.374,5.831
"2014-04",9.444,7.517
"2014-05",7.693,6.782
"2014-06",9.114,8.051
"2014-07",6.876,6.747
"2014-08",7.493,7.893
"2014-09",7.809,7.092
"2014-10",7.017,6.119
"2014-11",7.084,5.874
"2014-12",7.281,6.032
"2015-01",7.938,6.602
"2015-02",7.029,5.654
"2015-03",6.304,5.411
"2015-04",7.897,6.263
"2015-05",11.825,9.17
"2015-06",7.677,6.725
"2015-07",5.779,6.623
"2015-08",8.702,8.32
"2015-09",7.891,7.065
"2015-10",6.398,5.735
"2015-11",6.794,5.427
"2015-12",7.343,6.352
"2016-01",8.677,7.082
"2016-02",9.309,7.617
"2016-03",7.875,6.14
"2016-04",9.778,7.78
"2016-05",7.375,7.203
"2016-06",7.521,6.957
"2016-07",6.343,5.989
