#Dataset: Monthly information aggregated on IPCC reference regions for CMIP5/6 and CORDEX
#Reference: https://doi.org/10.5194/essd-12-2959-2020
#Project: CORDEX-SEA
#Experiment: rcp26
#Model: MPI-M-MPI-ESM-LR_r1i1p1_GERICS-REMO2015_v1
#Variable: pr
#Variable_longname: mean daily precipitation
#Units: mm/day
#Time_frequency: month
#Feature_type: regional mean time series
#Regions: IPCC-WGI-reference-regions-v4
#Area: land and sea
#Spatial_resolution: 0.5 degrees
#Interpolation_method: cdo remapcon
#Creation_Date: 2021-03-13
"date","SEA","full_domain"
"2006-01",6.442,7.501
"2006-02",9.044,8.372
"2006-03",7.528,8.599
"2006-04",10.547,9.718
"2006-05",13.536,11.533
"2006-06",11.953,9.805
"2006-07",10.82,9.784
"2006-08",12.218,11.059
"2006-09",13.582,10.708
"2006-10",11.074,10.24
"2006-11",13.28,10.892
"2006-12",8.252,8.332
"2007-01",8.177,7.883
"2007-02",9.265,9.559
"2007-03",6.411,7.42
"2007-04",8.985,8.331
"2007-05",12.328,10.762
"2007-06",12.125,11.075
"2007-07",13.679,11.854
"2007-08",12.038,10.792
"2007-09",11.059,10.072
"2007-10",10.586,9.146
"2007-11",14.472,11.613
"2007-12",11.281,9.624
"2008-01",10.967,9.616
"2008-02",6.697,8.075
"2008-03",6.159,6.781
"2008-04",9.428,9.67
"2008-05",11.825,10.771
"2008-06",13.466,11.376
"2008-07",15.11,12.517
"2008-08",13.46,11.444
"2008-09",10.447,9.467
"2008-10",14.739,11.802
"2008-11",13.234,11.103
"2008-12",8.524,8.681
"2009-01",9.495,9.208
"2009-02",8.698,9.487
"2009-03",8.605,9.34
"2009-04",7.367,8.101
"2009-05",11.527,10.283
"2009-06",11.702,11.626
"2009-07",12.813,11.092
"2009-08",12.749,11.34
"2009-09",14.41,12.014
"2009-10",11.452,10.266
"2009-11",13.891,11.687
"2009-12",12.466,10.47
"2010-01",9.63,9.46
"2010-02",8.101,8.922
"2010-03",7.421,7.36
"2010-04",7.228,6.889
"2010-05",10.661,8.792
"2010-06",12.291,10.295
"2010-07",10.629,10.366
"2010-08",11.426,10.742
"2010-09",13.339,11.004
"2010-10",10.829,8.497
"2010-11",7.192,7.727
"2010-12",12.091,10.078
"2011-01",9.254,8.835
"2011-02",7.593,9.048
"2011-03",6.353,7.092
"2011-04",9.061,9.169
"2011-05",12.487,9.971
"2011-06",13.543,11.017
"2011-07",15.478,12.716
"2011-08",12.032,10.479
"2011-09",15.381,12.95
"2011-10",12.809,10.587
"2011-11",12.537,10.525
"2011-12",10.592,10.01
"2012-01",10.952,10.178
"2012-02",9.777,9.523
"2012-03",5.829,7.377
"2012-04",7.491,8.54
"2012-05",12.839,10.763
"2012-06",14.865,11.428
"2012-07",10.859,11.37
"2012-08",12.451,11.991
"2012-09",12.022,10.765
"2012-10",11.769,10.28
"2012-11",13.027,10.163
"2012-12",12.432,11.034
"2013-01",10.439,9.253
"2013-02",7.324,8.517
"2013-03",5.192,6.47
"2013-04",5.941,6.046
"2013-05",9.895,8.656
"2013-06",10.473,9.795
"2013-07",12.828,11.21
"2013-08",10.256,11.752
"2013-09",7.894,7.744
"2013-10",5.158,6.672
"2013-11",9.106,7.505
"2013-12",9.674,8.762
"2014-01",10.175,9.269
"2014-02",5.912,8.093
"2014-03",4.7,4.934
"2014-04",10.812,9.879
"2014-05",12.764,10.362
"2014-06",11.301,11.786
"2014-07",11.54,11.117
"2014-08",10.066,10.786
"2014-09",7.632,9.811
