#Dataset: Monthly information aggregated on IPCC reference regions for CMIP5/6 and CORDEX
#Reference: https://doi.org/10.5194/essd-12-2959-2020
#Project: CORDEX-SEA
#Experiment: rcp85
#Model: MPI-M-MPI-ESM-MR_r1i1p1_ICTP-RegCM4-7_v0
#Variable: pr
#Variable_longname: mean daily precipitation
#Units: mm/day
#Time_frequency: month
#Feature_type: regional mean time series
#Regions: IPCC-WGI-reference-regions-v4
#Area: land and sea
#Spatial_resolution: 0.5 degrees
#Interpolation_method: cdo remapcon
#Creation_Date: 2021-03-13
"date","SEA","full_domain"
"2006-01",8.617,8.59
"2006-02",7.047,7.518
"2006-03",4.772,5.43
"2006-04",6.012,5.959
"2006-05",11.561,9.464
"2006-06",9.243,8.472
"2006-07",10.763,10.218
"2006-08",11.295,10.274
"2006-09",11.931,9.971
"2006-10",12.447,11.314
"2006-11",9.729,8.594
"2006-12",7.735,6.473
"2007-01",11.234,9.537
"2007-02",9.879,8.86
"2007-03",7.556,7.014
"2007-04",7.696,7.562
"2007-05",13.901,11.001
"2007-06",13.738,11.402
"2007-07",10.915,10.136
"2007-08",12.298,10.01
"2007-09",13.834,11.558
"2007-10",15.169,12.179
"2007-11",10.713,8.652
"2007-12",8.637,7.591
"2008-01",9.828,8.175
"2008-02",7.856,6.976
"2008-03",10.324,9.243
"2008-04",5.901,5.319
"2008-05",10.561,8.599
"2008-06",17.072,14.335
"2008-07",15.75,13.4
"2008-08",14.258,11.071
"2008-09",14.094,11.43
"2008-10",13.796,11.632
"2008-11",12.363,9.272
"2008-12",9.263,7.817
"2009-01",8.074,7.099
"2009-02",7.229,7.717
"2009-03",4.851,5.252
"2009-04",6.324,5.982
"2009-05",11.474,9.607
"2009-06",16.654,13.968
"2009-07",14.794,12.226
"2009-08",13.209,11.898
"2009-09",13.291,10.994
"2009-10",18.291,14.352
"2009-11",14.137,11.751
"2009-12",6.617,7.304
"2010-01",9.011,7.911
"2010-02",9.927,8.792
"2010-03",8.536,7.558
"2010-04",7.072,6.218
"2010-05",9.344,8.415
"2010-06",10.028,9.394
"2010-07",17.305,14.103
"2010-08",15.155,13.221
"2010-09",14.239,12.115
"2010-10",12.521,10.118
"2010-11",11.666,9.325
"2010-12",10.582,8.688
"2011-01",6.246,6.027
"2011-02",6.342,7.363
"2011-03",6.713,7.447
"2011-04",3.652,4.356
"2011-05",6.9,6.968
"2011-06",14.247,11.905
"2011-07",15.636,12.736
"2011-08",14.215,12.512
"2011-09",13.618,11.888
"2011-10",13.027,10.915
"2011-11",9.487,7.898
"2011-12",9.568,7.678
"2012-01",7.837,6.756
"2012-02",11.536,9.617
"2012-03",6.32,6.409
"2012-04",5.77,5.978
"2012-05",14.714,12.309
"2012-06",12.757,11.026
"2012-07",11.952,10.564
"2012-08",13.017,11.741
"2012-09",14.372,11.523
"2012-10",10.239,8.932
"2012-11",9.853,7.655
"2012-12",11.562,9.33
"2013-01",7.726,6.947
"2013-02",8.88,7.843
"2013-03",10.616,9.341
"2013-04",8.179,7.163
"2013-05",14.368,12.398
"2013-06",12.567,10.874
"2013-07",16.42,13.352
"2013-08",14.22,12.672
"2013-09",11.217,9.317
"2013-10",15.267,12.313
"2013-11",9.778,9.278
"2013-12",7.728,7.114
"2014-01",8.754,7.735
"2014-02",5.56,5.231
"2014-03",5.663,5.433
"2014-04",6.408,6.558
"2014-05",16.42,12.534
"2014-06",10.907,9.566
"2014-07",12.725,11.804
"2014-08",10.032,8.761
"2014-09",11.932,11.905
"2014-10",9.865,9.555
"2014-11",5.811,5.52
"2014-12",9.179,7.559
"2015-01",9.047,8.625
"2015-02",6.386,6.124
"2015-03",5.251,5.751
"2015-04",8.629,7.552
"2015-05",12.889,9.861
"2015-06",15.246,13.651
"2015-07",14.32,13.311
"2015-08",11.41,10.39
"2015-09",11.147,9.299
"2015-10",16.673,12.735
"2015-11",10.473,9.134
"2015-12",7.201,6.254
"2016-01",8.793,7.639
"2016-02",6.906,7.371
"2016-03",7.87,7.381
"2016-04",6.46,6.399
"2016-05",13.5,10.516
"2016-06",14.333,11.885
"2016-07",12.923,11.403
"2016-08",12.012,10.457
"2016-09",12.4,11.534
"2016-10",9.118,7.816
"2016-11",6.75,5.267
"2016-12",7.41,5.965
"2017-01",6.577,5.933
"2017-02",5.175,4.579
"2017-03",3.535,3.285
"2017-04",6.371,6.543
"2017-05",7.217,6.387
"2017-06",10.114,9.027
"2017-07",7.431,7.764
"2017-08",8.717,8.094
"2017-09",10.223,10.364
"2017-10",7.216,7.088
"2017-11",6.754,6.826
"2017-12",8.302,6.867
"2018-01",6.321,6.086
"2018-02",10.202,8.856
"2018-03",9.1,8.423
"2018-04",5.847,6.542
"2018-05",12.304,10.808
"2018-06",16.871,13.821
"2018-07",15.417,13.077
"2018-08",11.82,10.766
"2018-09",15.133,11.773
"2018-10",14.675,12.121
"2018-11",10.995,10.017
"2018-12",8.115,7.704
"2019-01",5.955,6.016
"2019-02",8.671,7.312
"2019-03",6.934,6.701
"2019-04",5.826,5.481
"2019-05",12.102,10.583
"2019-06",16.225,13.791
"2019-07",15.344,13.241
"2019-08",14.063,11.734
"2019-09",14.702,12.385
"2019-10",19.501,15.27
"2019-11",13.492,11.331
"2019-12",9.269,7.247
"2020-01",7.771,6.932
"2020-02",9.232,8.329
"2020-03",7.523,7.096
"2020-04",5.62,5.208
"2020-05",13.028,10.872
"2020-06",14.908,12.275
"2020-07",13.868,12.782
"2020-08",10.688,9.682
"2020-09",14.86,12.091
"2020-10",12.445,11.524
"2020-11",8.126,7.928
"2020-12",5.972,5.656
"2021-01",8.935,7.747
"2021-02",5.858,5.62
"2021-03",5.99,5.931
"2021-04",5.424,5.316
"2021-05",8.94,8.135
"2021-06",10.282,10.449
"2021-07",8.219,7.564
"2021-08",8.265,8.793
"2021-09",10.401,9.503
"2021-10",11.669,11.499
"2021-11",5.516,5.78
"2021-12",6.045,5.521
"2022-01",7.104,6.955
"2022-02",5.226,4.558
"2022-03",7.202,7.306
"2022-04",6.192,5.81
"2022-05",9.532,8.131
"2022-06",12.748,11.226
"2022-07",8.555,8.229
"2022-08",9.879,9.768
"2022-09",9.811,9.272
"2022-10",12.35,9.693
"2022-11",14.383,11.622
"2022-12",9.199,8.553
"2023-01",7.639,6.852
"2023-02",8.282,8.491
"2023-03",4.546,5.452
"2023-04",6.048,6.611
"2023-05",11.329,10.449
"2023-06",13.961,11.909
"2023-07",11.168,10.303
"2023-08",12.944,12.08
"2023-09",9.875,10.304
"2023-10",8.053,8.661
"2023-11",7.34,6.839
"2023-12",6.596,5.449
"2024-01",8.574,7.478
"2024-02",7.858,7.077
"2024-03",4.429,5.306
"2024-04",4.185,5.256
"2024-05",7.528,6.591
"2024-06",11.324,10.256
"2024-07",8.976,8.816
"2024-08",8.695,8.446
"2024-09",15.402,11.819
"2024-10",15.442,12.623
"2024-11",9.737,8.215
"2024-12",11.146,8.966
"2025-01",9.715,9.054
"2025-02",5.747,5.926
"2025-03",7.501,7.41
"2025-04",8.263,7.691
"2025-05",13.554,11.79
"2025-06",17.556,13.99
"2025-07",16.599,13.828
"2025-08",12.255,10.653
"2025-09",18.331,14.493
"2025-10",15.55,12.498
"2025-11",13.616,11.371
"2025-12",9.459,7.894
"2026-01",8.749,8.374
"2026-02",7.253,6.84
"2026-03",4.647,5.268
"2026-04",11.018,9.359
"2026-05",15.662,12.682
"2026-06",14.562,12.492
"2026-07",16.268,13.214
"2026-08",14.733,12.529
"2026-09",17.058,13.863
"2026-10",16.428,13.153
"2026-11",12.815,11.555
"2026-12",6.178,5.742
"2027-01",8.654,7.575
"2027-02",7.412,7.315
"2027-03",7.577,7.072
"2027-04",5.677,5.773
"2027-05",5.935,5.957
"2027-06",11.388,10.207
"2027-07",12.814,12.566
"2027-08",10.96,10.351
"2027-09",10.699,9.411
"2027-10",13.758,10.365
"2027-11",15.471,12.487
"2027-12",6.171,5.864
"2028-01",7.259,7.647
"2028-02",6.016,5.499
"2028-03",9.006,8.221
"2028-04",4.342,4.083
"2028-05",6.759,6.693
"2028-06",11.233,10.162
"2028-07",7.805,7.496
"2028-08",10.952,11.076
"2028-09",7.533,8.161
"2028-10",7.535,6.928
"2028-11",9.077,7.727
"2028-12",8.566,6.89
"2029-01",6.443,6.088
"2029-02",7.083,7.175
"2029-03",5.407,5.049
"2029-04",3.643,4.027
"2029-05",6.696,6.06
"2029-06",9.293,8.596
"2029-07",9.14,8.946
"2029-08",8.549,8.395
"2029-09",7.036,7.785
"2029-10",8.052,8.084
"2029-11",5.679,5.933
"2029-12",5.839,4.969
"2030-01",6.442,6.183
"2030-02",6.159,5.791
"2030-03",6.322,5.347
"2030-04",6.943,5.728
"2030-05",7.281,7.212
"2030-06",10.737,9.908
"2030-07",13.351,11.76
"2030-08",10.819,9.554
"2030-09",13.93,11.027
"2030-10",16.513,13.486
"2030-11",10.232,8.657
"2030-12",10.374,8.832
"2031-01",8.215,7.686
"2031-02",10.029,8.835
"2031-03",7.827,7.753
"2031-04",8.455,7.822
"2031-05",14.514,12.03
"2031-06",17.236,13.777
"2031-07",14.553,12.409
"2031-08",10.227,9.477
"2031-09",13.415,11.441
"2031-10",16.269,13.546
"2031-11",13.538,11.119
"2031-12",9.275,8.251
"2032-01",8.557,7.181
"2032-02",9.076,8.142
"2032-03",10.014,8.67
"2032-04",6.261,5.79
"2032-05",12.25,9.652
"2032-06",13.799,11.887
"2032-07",11.748,11.912
"2032-08",10.454,10.532
"2032-09",9.063,8.985
"2032-10",8.105,7.416
"2032-11",8.045,7.373
"2032-12",7.619,7.65
"2033-01",7.583,6.94
"2033-02",6.956,7.188
"2033-03",7.499,6.863
"2033-04",5.887,5.621
"2033-05",9.363,8.187
"2033-06",10.442,9.857
"2033-07",10.861,10.296
"2033-08",11.133,10.894
"2033-09",10.691,10.026
"2033-10",6.21,6.563
"2033-11",6.547,6.408
"2033-12",7.896,6.562
"2034-01",6.371,6.031
"2034-02",8.579,8.476
"2034-03",4.844,4.645
"2034-04",4.96,4.787
"2034-05",5.148,5.432
"2034-06",9.594,8.877
"2034-07",11.468,9.848
"2034-08",12.032,10.244
"2034-09",12.261,9.991
"2034-10",15.181,12.461
"2034-11",10.079,9.087
"2034-12",6.655,5.858
"2035-01",8.743,7.777
"2035-02",7.502,6.657
"2035-03",8.456,7.585
"2035-04",5.205,5.728
"2035-05",10.165,9.045
"2035-06",10.325,9.55
"2035-07",12.108,10.88
"2035-08",14.532,11.887
"2035-09",14.004,11.181
"2035-10",11.665,10.26
"2035-11",9.509,8.179
"2035-12",10.241,8.33
"2036-01",6.69,6.334
"2036-02",6.664,6.931
"2036-03",4.549,4.944
"2036-04",4.727,4.377
"2036-05",8.585,8.051
"2036-06",10.181,9.305
"2036-07",10.567,9.035
"2036-08",8.905,7.879
"2036-09",7.88,8.188
"2036-10",10.239,8.584
"2036-11",10.242,8.402
"2036-12",8.481,7.417
"2037-01",11.9,9.798
"2037-02",8.331,7.653
"2037-03",9.766,8.406
"2037-04",9.286,7.924
"2037-05",10.073,8.851
"2037-06",9.598,8.381
"2037-07",12.546,11.663
"2037-08",9.154,8.614
"2037-09",12.224,10.841
"2037-10",8.67,8.149
"2037-11",6.403,5.504
"2037-12",9.13,7.389
"2038-01",6.168,6.47
"2038-02",7.432,6.873
"2038-03",11.088,9.381
