#Dataset: Monthly information aggregated on IPCC reference regions for CMIP5/6 and CORDEX
#Reference: https://doi.org/10.5194/essd-12-2959-2020
#Project: CORDEX-SEA
#Experiment: rcp45
#Model: IPSL-IPSL-CM5A-LR_r1i1p1_RU-CORE-RegCM4-3_v4
#Variable: pr
#Variable_longname: mean daily precipitation
#Units: mm/day
#Time_frequency: month
#Feature_type: regional mean time series
#Regions: IPCC-WGI-reference-regions-v4
#Area: sea only
#Spatial_resolution: 0.5 degrees
#Interpolation_method: cdo remapcon
#Creation_Date: 2021-03-13
"date","SEA","full_domain"
"2006-01",1.733,1.41
"2006-02",1.419,1.237
"2006-03",1.08,0.821
"2006-04",0.889,0.691
"2006-05",0.86,0.708
"2006-06",0.446,0.419
"2006-07",0.28,0.439
"2006-08",0.405,0.449
"2006-09",0.444,0.445
"2006-10",0.686,0.595
"2006-11",1.081,0.867
"2006-12",1.334,1.057
"2007-01",1.422,1.196
"2007-02",1.443,1.192
"2007-03",1.24,0.924
"2007-04",0.8,0.688
"2007-05",0.625,0.561
"2007-06",0.488,0.488
"2007-07",0.555,0.524
"2007-08",0.469,0.517
"2007-09",0.531,0.467
"2007-10",0.784,0.654
"2007-11",1.05,0.945
"2007-12",1.135,1.006
"2008-01",1.525,1.267
"2008-02",1.282,1.073
"2008-03",1.186,1.005
"2008-04",0.693,0.749
"2008-05",0.877,0.744
"2008-06",0.581,0.518
"2008-07",0.377,0.422
"2008-08",0.352,0.387
"2008-09",0.4,0.447
"2008-10",0.86,0.634
"2008-11",1.163,0.85
"2008-12",1.617,1.237
"2009-01",1.804,1.441
"2009-02",1.402,1.039
"2009-03",0.874,0.696
"2009-04",0.7,0.581
"2009-05",0.744,0.801
"2009-06",0.533,0.616
"2009-07",0.41,0.545
"2009-08",0.297,0.419
"2009-09",0.383,0.402
"2009-10",0.768,0.635
"2009-11",1.244,1.151
"2009-12",1.854,1.47
"2010-01",1.393,1.241
"2010-02",1.297,1.077
"2010-03",0.956,0.774
"2010-04",1.007,0.763
"2010-05",0.534,0.571
"2010-06",0.73,0.661
"2010-07",0.387,0.434
"2010-08",0.368,0.461
"2010-09",0.627,0.539
"2010-10",0.712,0.584
"2010-11",1.458,1.291
"2010-12",1.942,1.446
"2011-01",1.565,1.34
"2011-02",1.076,0.881
"2011-03",1.214,0.948
"2011-04",1.032,0.809
"2011-05",0.712,0.577
"2011-06",0.513,0.529
"2011-07",0.293,0.416
"2011-08",0.432,0.462
"2011-09",0.571,0.499
"2011-10",0.706,0.579
"2011-11",1.48,1.306
"2011-12",1.698,1.477
"2012-01",1.247,1.097
"2012-02",1.599,1.256
"2012-03",0.667,0.694
"2012-04",0.91,0.775
"2012-05",0.755,0.633
"2012-06",0.617,0.584
"2012-07",0.521,0.517
"2012-08",0.403,0.526
"2012-09",0.498,0.494
"2012-10",0.871,0.63
"2012-11",1.326,1.021
"2012-12",1.679,1.426
"2013-01",1.25,1.093
"2013-02",1.615,1.266
"2013-03",0.679,0.703
"2013-04",1.055,0.922
"2013-05",0.776,0.724
"2013-06",0.557,0.575
"2013-07",0.525,0.492
"2013-08",0.383,0.473
"2013-09",0.355,0.406
"2013-10",0.871,0.71
"2013-11",1.485,1.169
"2013-12",1.553,1.348
"2014-01",2.237,1.689
"2014-02",1.299,1.04
"2014-03",0.99,0.819
"2014-04",0.561,0.44
"2014-05",0.807,0.639
"2014-06",0.735,0.636
"2014-07",0.595,0.587
"2014-08",0.392,0.525
"2014-09",0.405,0.486
"2014-10",0.657,0.563
"2014-11",1.402,1.129
"2014-12",1.533,1.264
"2015-01",2.609,1.838
"2015-02",1.948,1.395
"2015-03",1.547,1.11
"2015-04",0.991,0.745
"2015-05",0.816,0.669
"2015-06",0.668,0.571
"2015-07",0.411,0.505
"2015-08",0.358,0.535
"2015-09",0.44,0.393
"2015-10",1.168,0.897
"2015-11",1.209,0.88
"2015-12",1.502,1.163
"2016-01",1.351,1.013
"2016-02",1.256,1.142
"2016-03",1.314,1.447
"2016-04",0.935,0.887
"2016-05",0.741,0.692
"2016-06",0.565,0.619
"2016-07",0.391,0.49
"2016-08",0.401,0.429
"2016-09",0.474,0.492
"2016-10",0.877,0.736
"2016-11",1.514,1.297
"2016-12",1.568,1.321
"2017-01",1.452,1.213
"2017-02",1.434,1.133
"2017-03",0.798,0.796
"2017-04",0.935,0.682
"2017-05",0.927,0.751
"2017-06",0.571,0.504
"2017-07",0.468,0.476
"2017-08",0.572,0.495
"2017-09",0.618,0.549
"2017-10",0.814,0.665
"2017-11",1.576,1.344
"2017-12",1.994,1.629
"2018-01",1.878,1.398
"2018-02",1.323,1.104
"2018-03",0.915,0.878
"2018-04",0.904,0.737
"2018-05",0.747,0.604
"2018-06",0.516,0.497
"2018-07",0.499,0.461
"2018-08",0.336,0.427
"2018-09",0.565,0.541
"2018-10",1.136,0.872
"2018-11",1.536,1.226
"2018-12",2.007,1.769
"2019-01",1.274,1.227
"2019-02",1.209,1.214
"2019-03",0.963,0.761
"2019-04",0.799,1
"2019-05",0.823,0.857
"2019-06",0.582,0.53
"2019-07",0.529,0.631
"2019-08",0.323,0.458
"2019-09",0.437,0.446
"2019-10",0.756,0.576
"2019-11",1.675,1.511
"2019-12",2.226,1.763
"2020-01",1.704,1.554
"2020-02",1.668,1.346
"2020-03",0.901,0.856
"2020-04",1.127,0.932
"2020-05",1.017,0.853
"2020-06",0.392,0.421
"2020-07",0.358,0.42
"2020-08",0.282,0.376
"2020-09",0.546,0.565
"2020-10",1.601,1.306
"2020-11",1.567,1.401
"2020-12",1.726,1.587
"2021-01",1.764,1.595
"2021-02",1.015,1.112
"2021-03",1.393,1.194
"2021-04",0.892,0.782
"2021-05",0.825,0.595
"2021-06",0.44,0.394
"2021-07",0.446,0.464
"2021-08",0.383,0.41
"2021-09",0.484,0.449
"2021-10",0.825,0.655
"2021-11",1.471,1.114
"2021-12",1.774,1.412
"2022-01",1.657,1.514
"2022-02",0.98,1.074
"2022-03",0.96,0.928
"2022-04",0.854,0.824
"2022-05",0.741,0.756
"2022-06",0.706,0.591
"2022-07",0.434,0.454
"2022-08",0.345,0.49
"2022-09",0.656,0.561
"2022-10",0.972,0.759
"2022-11",1.385,1.08
"2022-12",1.519,1.113
"2023-01",1.543,1.41
"2023-02",1.305,1.151
"2023-03",1.044,1.068
"2023-04",0.971,0.865
"2023-05",0.805,0.745
"2023-06",0.646,0.546
"2023-07",0.541,0.512
"2023-08",0.345,0.427
"2023-09",0.612,0.531
"2023-10",1.158,0.845
"2023-11",1.336,0.966
"2023-12",1.707,1.252
"2024-01",1.856,1.446
"2024-02",0.975,0.925
"2024-03",0.752,0.77
"2024-04",0.574,0.654
"2024-05",0.855,0.782
"2024-06",0.456,0.481
"2024-07",0.434,0.434
"2024-08",0.399,0.464
"2024-09",0.499,0.446
"2024-10",0.582,0.475
"2024-11",1.463,1.298
"2024-12",1.465,1.285
"2025-01",1.838,1.259
"2025-02",1.56,1.26
"2025-03",1.018,0.84
"2025-04",1.016,0.911
"2025-05",0.779,0.733
"2025-06",0.841,0.709
"2025-07",0.579,0.505
"2025-08",0.398,0.506
"2025-09",0.555,0.569
"2025-10",1.402,0.995
"2025-11",1.566,1.212
"2025-12",1.547,1.23
"2026-01",1.546,1.201
"2026-02",1.369,1.087
"2026-03",0.845,0.826
"2026-04",1.003,0.807
"2026-05",0.859,0.64
"2026-06",0.67,0.624
"2026-07",0.425,0.474
"2026-08",0.277,0.429
"2026-09",0.388,0.466
"2026-10",0.829,0.712
"2026-11",1.546,1.381
"2026-12",1.705,1.398
"2027-01",1.919,1.458
"2027-02",1.241,1.069
"2027-03",0.705,0.668
"2027-04",0.925,0.737
"2027-05",0.788,0.642
"2027-06",0.675,0.626
"2027-07",0.583,0.517
"2027-08",0.424,0.515
"2027-09",0.566,0.497
"2027-10",0.678,0.546
"2027-11",1.304,1.244
"2027-12",1.578,1.471
"2028-01",1.985,1.525
"2028-02",1.645,1.203
"2028-03",0.771,0.764
"2028-04",0.714,0.939
"2028-05",0.887,0.775
"2028-06",0.53,0.458
"2028-07",0.551,0.528
"2028-08",0.478,0.475
"2028-09",0.657,0.604
"2028-10",0.95,0.749
"2028-11",1.624,1.511
"2028-12",1.821,1.515
"2029-01",1.4,1.132
"2029-02",1.111,1.177
"2029-03",0.999,0.88
"2029-04",1.026,0.824
"2029-05",0.853,0.963
"2029-06",0.477,0.445
"2029-07",0.492,0.495
"2029-08",0.395,0.449
"2029-09",0.747,0.736
"2029-10",0.858,0.691
"2029-11",1.074,0.916
"2029-12",1.619,1.519
"2030-01",1.873,1.486
"2030-02",1.49,1.204
"2030-03",0.734,0.683
"2030-04",0.87,0.767
"2030-05",0.843,0.677
"2030-06",0.608,0.615
"2030-07",0.4,0.505
"2030-08",0.351,0.443
"2030-09",0.378,0.419
"2030-10",0.895,0.803
"2030-11",1.579,1.311
"2030-12",1.21,1.005
"2031-01",1.246,1.173
"2031-02",0.984,1.041
"2031-03",1.21,1.031
"2031-04",0.846,0.7
"2031-05",0.798,0.825
"2031-06",0.525,0.5
