#Dataset: Monthly information aggregated on IPCC reference regions for CMIP5/6 and CORDEX
#Reference: https://doi.org/10.5194/essd-12-2959-2020
#Project: CORDEX-SEA
#Experiment: rcp85
#Model: MPI-M-MPI-ESM-MR_r1i1p1_RU-CORE-RegCM4-3_v4
#Variable: pr
#Variable_longname: mean daily precipitation
#Units: mm/day
#Time_frequency: month
#Feature_type: regional mean time series
#Regions: IPCC-WGI-reference-regions-v4
#Area: sea only
#Spatial_resolution: 0.5 degrees
#Interpolation_method: cdo remapcon
#Creation_Date: 2021-03-13
"date","SEA","full_domain"
"2006-01",6.553,7.426
"2006-02",5.05,6.89
"2006-03",3.356,5.644
"2006-04",5.103,5.65
"2006-05",7.007,6.432
"2006-06",5.869,6.955
"2006-07",3.455,5.942
"2006-08",5.209,7.502
"2006-09",3.82,5.7
"2006-10",3.746,5.608
"2006-11",5.69,6.692
"2006-12",5.58,6.695
"2007-01",5.839,7.892
"2007-02",6.833,7.042
"2007-03",5.182,6.585
"2007-04",6.878,7.008
"2007-05",9.157,8.302
"2007-06",5.372,6.517
"2007-07",3.346,6.25
"2007-08",5.316,6.53
"2007-09",5.982,7.786
"2007-10",7.144,7.51
"2007-11",6.126,6.885
"2007-12",6.27,7.622
"2008-01",7.226,7.381
"2008-02",4.59,6.008
"2008-03",6.112,7.518
"2008-04",3.975,5.13
"2008-05",7.921,7.086
"2008-06",9.493,9.009
"2008-07",4.84,6.517
"2008-08",5.74,6.194
"2008-09",4.746,6.428
"2008-10",3.449,5.13
"2008-11",7.026,7.28
"2008-12",5.98,6.743
"2009-01",5.801,7.017
"2009-02",4.925,6.793
"2009-03",5.514,6.352
"2009-04",3.334,5.256
"2009-05",5.03,6.049
"2009-06",6.257,7.08
"2009-07",5.613,6.973
"2009-08",7.192,9.756
"2009-09",4.621,5.832
"2009-10",5.553,6.933
"2009-11",9.046,8.767
"2009-12",4.943,6.769
"2010-01",4.896,7.238
"2010-02",4.806,7.056
"2010-03",4.644,6.519
"2010-04",4.305,5.327
"2010-05",6.35,7.849
"2010-06",4.66,6.028
"2010-07",7.084,8.072
"2010-08",6.799,8.43
"2010-09",6.332,7.916
"2010-10",6.113,7.385
"2010-11",7.895,7.896
"2010-12",7.723,7.586
"2011-01",4.595,6.417
"2011-02",5.077,6.639
"2011-03",4.626,6.447
"2011-04",3.489,5.086
"2011-05",5.689,6.685
"2011-06",6.417,7.344
"2011-07",7.048,7.822
"2011-08",6.356,7.785
"2011-09",5.61,7.195
"2011-10",5.884,6.948
