#Dataset: Monthly information aggregated on IPCC reference regions for CMIP5/6 and CORDEX
#Reference: https://doi.org/10.5194/essd-12-2959-2020
#Project: CORDEX-SEA
#Experiment: rcp45
#Model: MPI-M-MPI-ESM-MR_r1i1p1_RU-CORE-RegCM4-3_v4
#Variable: tas
#Variable_longname: mean near-surface air temperature
#Units: degC
#Time_frequency: month
#Feature_type: regional mean time series
#Regions: IPCC-WGI-reference-regions-v4
#Area: sea only
#Spatial_resolution: 0.5 degrees
#Interpolation_method: cdo remapcon
#Creation_Date: 2021-03-13
"date","SEA","full_domain"
"2006-01",26.737,26.215
"2006-02",26.147,25.628
"2006-03",26.429,25.862
"2006-04",27.49,26.906
"2006-05",28.226,27.638
"2006-06",28.178,27.825
"2006-07",27.657,27.582
"2006-08",27.009,27.102
"2006-09",26.926,26.981
"2006-10",27.398,27.277
"2006-11",27.419,27.152
"2006-12",27.084,26.625
"2007-01",26.234,25.656
"2007-02",26.152,25.612
"2007-03",26.757,26.107
"2007-04",27.597,26.925
"2007-05",28.24,27.583
"2007-06",28.527,28.043
"2007-07",28.02,27.814
"2007-08",27.642,27.614
"2007-09",28.06,27.912
"2007-10",28.141,27.931
"2007-11",28.353,27.98
"2007-12",27.661,27.148
"2008-01",27.143,26.342
"2008-02",27.037,26.212
"2008-03",27.335,26.568
"2008-04",27.817,27.137
"2008-05",28.575,27.967
"2008-06",28.362,27.979
"2008-07",28.083,27.955
"2008-08",27.726,27.765
"2008-09",27.834,27.838
"2008-10",27.744,27.677
"2008-11",27.558,27.325
"2008-12",27.494,26.972
"2009-01",27.059,26.432
"2009-02",26.479,25.896
"2009-03",27.075,26.472
"2009-04",27.65,26.877
"2009-05",28.645,27.842
"2009-06",28.601,28.097
"2009-07",28.491,28.171
"2009-08",28.272,28.027
"2009-09",28.023,27.82
"2009-10",28.041,27.7
"2009-11",27.828,27.375
"2009-12",27.09,26.671
"2010-01",26.664,25.975
"2010-02",26.429,25.737
"2010-03",26.974,26.3
"2010-04",27.526,26.859
"2010-05",28.316,27.735
"2010-06",28.455,27.983
"2010-07",28.297,28.004
"2010-08",28.033,27.914
"2010-09",28.014,27.737
"2010-10",28.144,27.773
"2010-11",27.973,27.545
"2010-12",27.457,26.972
"2011-01",27.182,26.525
"2011-02",26.942,26.275
"2011-03",27.215,26.433
"2011-04",27.901,27.259
"2011-05",28.473,27.78
"2011-06",28.445,27.958
"2011-07",28.26,28.011
"2011-08",28.052,27.934
"2011-09",28.463,28.15
"2011-10",27.824,27.747
"2011-11",28.074,27.772
"2011-12",27.903,27.285
"2012-01",27.463,26.747
"2012-02",27.031,26.249
"2012-03",27.021,26.495
"2012-04",27.78,27.15
"2012-05",28.737,28.107
"2012-06",28.632,28.193
"2012-07",27.974,27.828
"2012-08",27.897,27.783
"2012-09",28.063,27.822
"2012-10",28.403,28.077
"2012-11",28.008,27.589
"2012-12",27.463,27.001
"2013-01",26.984,26.381
"2013-02",26.825,26.161
"2013-03",27.09,26.413
"2013-04",27.646,27.031
"2013-05",28,27.471
"2013-06",28.12,27.789
"2013-07",28.027,27.817
"2013-08",28.187,27.982
"2013-09",27.889,27.756
"2013-10",27.902,27.728
"2013-11",27.762,27.438
"2013-12",27.249,26.807
"2014-01",26.556,26.061
"2014-02",26.447,25.763
"2014-03",26.984,26.5
"2014-04",27.792,27.216
"2014-05",28.363,27.827
"2014-06",28.294,27.954
"2014-07",28.293,27.999
"2014-08",28.397,28.169
"2014-09",28.183,27.95
"2014-10",28.192,27.898
"2014-11",28.072,27.639
"2014-12",27.202,26.819
"2015-01",27.127,26.523
"2015-02",26.71,26
"2015-03",27,26.29
"2015-04",27.611,26.945
"2015-05",28.44,27.657
"2015-06",28.588,28.082
"2015-07",28.366,28.139
"2015-08",28.194,28.052
"2015-09",28.442,28.258
"2015-10",28.169,27.983
"2015-11",27.699,27.233
"2015-12",27.287,26.764
"2016-01",27.188,26.529
"2016-02",26.959,26.304
"2016-03",27.281,26.53
"2016-04",27.852,27.156
"2016-05",28.657,28.032
"2016-06",28.818,28.417
"2016-07",28.259,28.158
"2016-08",27.905,27.854
"2016-09",28.139,27.996
"2016-10",28.209,27.918
"2016-11",28.146,27.732
"2016-12",27.851,27.125
"2017-01",26.702,26.182
"2017-02",26.387,25.712
"2017-03",26.578,25.979
"2017-04",27.615,27.008
"2017-05",28.477,27.854
"2017-06",28.533,28.151
"2017-07",27.917,27.875
"2017-08",27.512,27.596
"2017-09",27.766,27.781
"2017-10",27.846,27.768
"2017-11",27.759,27.6
"2017-12",28.027,27.385
"2018-01",27.539,26.753
"2018-02",27.336,26.598
"2018-03",27.441,26.631
"2018-04",27.842,27.22
"2018-05",28.786,28.129
"2018-06",28.587,28.097
"2018-07",28.246,28.151
"2018-08",27.631,27.603
"2018-09",27.668,27.675
"2018-10",27.807,27.738
"2018-11",27.531,27.139
"2018-12",27.437,26.812
"2019-01",27.119,26.518
"2019-02",26.66,26.047
"2019-03",27.115,26.512
"2019-04",27.782,27.199
"2019-05",28.655,27.973
"2019-06",28.912,28.402
"2019-07",28.315,28.078
"2019-08",28.183,28.028
"2019-09",28.188,28.073
"2019-10",27.95,27.762
"2019-11",27.9,27.633
"2019-12",27.341,27.029
"2020-01",26.714,26.223
"2020-02",26.627,26.061
"2020-03",27.153,26.496
"2020-04",27.893,27.279
"2020-05",28.76,28.081
"2020-06",28.519,28.106
"2020-07",28.245,28.094
"2020-08",28.083,27.955
"2020-09",28.259,28.083
"2020-10",27.89,27.6
"2020-11",27.838,27.426
"2020-12",27.152,26.581
"2021-01",26.313,25.882
"2021-02",25.92,25.435
"2021-03",26.578,26.166
"2021-04",27.494,27.099
"2021-05",28.466,27.963
"2021-06",28.422,28.106
"2021-07",28.633,28.324
"2021-08",28.138,27.932
"2021-09",28.249,28.053
"2021-10",27.943,27.806
"2021-11",27.86,27.565
"2021-12",27.902,27.258
"2022-01",27.097,26.35
"2022-02",27.145,26.389
"2022-03",27.48,26.759
"2022-04",28.178,27.544
"2022-05",28.808,28.139
"2022-06",28.745,28.254
"2022-07",28.373,28.126
"2022-08",28.346,28.201
"2022-09",28.265,27.995
"2022-10",28.514,28.241
"2022-11",28.168,27.829
"2022-12",27.349,27.065
"2023-01",27.114,26.489
"2023-02",26.881,26.038
"2023-03",27.291,26.574
"2023-04",27.801,27.041
"2023-05",28.56,27.857
"2023-06",28.634,28.075
"2023-07",28.076,27.882
"2023-08",27.321,27.355
"2023-09",27.334,27.408
"2023-10",27.71,27.66
"2023-11",27.695,27.447
"2023-12",27.429,27.024
"2024-01",26.956,26.335
"2024-02",26.946,26.26
"2024-03",26.92,26.309
"2024-04",27.988,27.347
"2024-05",28.445,27.865
"2024-06",28.235,27.837
"2024-07",27.935,27.765
"2024-08",27.804,27.77
"2024-09",28.014,27.948
"2024-10",28.379,28.153
"2024-11",28.414,27.966
"2024-12",27.964,27.211
"2025-01",27.157,26.396
"2025-02",27.139,26.439
"2025-03",27.413,26.757
