#Dataset: Monthly information aggregated on IPCC reference regions for CMIP5/6 and CORDEX
#Reference: https://doi.org/10.5194/essd-12-2959-2020
#Project: CORDEX-WAS
#Experiment: historical
#Model: CCCma-CanESM2_r1i1p1_SMHI-RCA4_v2
#Variable: pr
#Variable_longname: mean daily precipitation
#Units: mm/day
#Time_frequency: month
#Feature_type: regional mean time series
#Regions: IPCC-WGI-reference-regions-v4
#Area: land only
#Spatial_resolution: 0.5 degrees
#Interpolation_method: cdo remapcon
#Creation_Date: 2021-03-14
"date","NEAF","SEAF","WCA","ECA","TIB","ARP","SAS","ARS","BOB","EIO","full_domain"
"1970-01",0.052,2.202,0.406,0.06,0.184,0.016,1.486,3.249,6.924,7.55,0.902
"1970-02",0.191,3.764,0.568,0.141,0.261,0.024,0.062,0.405,2.1,2.315,0.879
"1970-03",0.18,3.704,0.559,0.298,0.587,0.008,0.325,0.303,2.302,4.264,1.174
"1970-04",0.904,4.078,0.761,0.416,0.662,0.012,0.562,0.7,1.832,3.342,1.543
"1970-05",3.293,2.849,0.533,0.747,0.722,0.108,0.7,1.899,4.106,6.82,1.759
"1970-06",3.043,2.387,0.636,0.624,1.355,0.104,2.465,3.53,4.674,11.004,2.399
"1970-07",3.195,1.882,0.4,0.747,3.084,0.065,3.814,1.131,4.079,6.661,2.693
"1970-08",3.276,2.758,0.335,1.237,2.728,0.084,5.171,0.598,3.705,6.965,2.899
"1970-09",2.907,3.735,0.195,1.114,1.833,0.061,4.058,1.332,5.121,6.633,2.669
"1970-10",1.614,5.137,0.178,0.345,1.207,0.012,2.27,1.281,4.07,7.169,1.845
"1970-11",0.709,4.38,0.403,0.055,1.474,0.019,1.895,4.535,8.161,4.987,1.503
"1970-12",0.162,3.028,0.279,0.071,0.624,0.017,2.067,3.883,10.125,4.834,1.244
"1971-01",0.139,2.842,0.363,0.104,0.317,0.199,0.29,1.193,3.994,3.172,0.81
"1971-02",0.018,2.33,0.32,0.095,0.357,0.006,0.613,0.747,3.23,4.519,0.826
"1971-03",0.67,6.624,0.565,0.348,0.624,0.048,0.799,0.585,1.915,3.19,1.646
"1971-04",1.536,5.277,0.836,0.474,0.78,0.021,0.715,0.054,1.168,4.089,1.755
"1971-05",2.842,3.22,0.569,0.45,0.888,0.123,1.411,2.009,2.613,4.795,1.884
"1971-06",2.673,2.215,0.474,0.51,1.145,0.226,3.629,4.723,5.202,7.381,2.4
"1971-07",2.539,1.658,0.33,0.748,2.523,0.134,5.94,2.883,6.161,8.801,2.604
"1971-08",3.301,2.056,0.364,1.036,3.173,0.137,6.256,2.814,5.485,9,3.181
"1971-09",3.348,3.801,0.341,0.845,2.311,0.114,4.731,0.769,4.942,5.521,2.773
"1971-10",2.388,5.32,0.251,0.571,0.994,0.076,1.678,1.737,4.434,5.213,1.991
"1971-11",0.58,5.498,0.183,0.065,0.545,0.209,2.109,11.847,13.387,9.215,1.55
"1971-12",0.477,3.789,0.396,0.115,0.719,0.003,1.351,2.207,7.194,4.999,1.29
"1972-01",0.432,3.367,0.467,0.04,0.195,0.031,0.79,0.954,5.293,4.127,1.194
"1972-02",0.072,3.608,0.376,0.029,0.098,0.019,0.434,0.589,4.269,5.041,0.942
"1972-03",0.098,3.49,0.682,0.231,0.354,0.006,0.174,0.324,3.448,5.106,1.048
"1972-04",1.538,3.973,0.697,0.425,1.32,0.009,0.923,0.479,3.887,6.645,1.753
"1972-05",3.179,3.351,0.517,0.883,1.257,0.11,1.745,0.645,2.919,7.415,2.005
"1972-06",2.186,1.884,0.363,0.472,1.362,0.04,3.298,3.482,4.437,8.406,2.227
"1972-07",2.842,1.648,0.346,0.745,2.228,0.131,4.701,0.904,3.43,6.04,2.47
"1972-08",3.224,2.38,0.243,0.924,3.704,0.174,6.893,2.092,4.606,5.863,3.142
"1972-09",3.028,4.164,0.155,0.463,2.721,0.09,5.517,0.238,4.114,7.651,2.883
"1972-10",3.281,5.684,0.672,0.583,0.848,0.651,1.665,2.407,5.601,4.923,2.01
"1972-11",1.078,5.237,0.472,0.272,0.914,0.06,2.129,4.629,8.688,9.162,1.738
"1972-12",0.456,3.683,0.847,0.125,0.477,0.186,0.636,2.535,10.036,6.742,1.132
"1973-01",0.106,2.105,0.601,0.139,0.122,0.018,0.332,1.063,5.815,6.049,0.876
"1973-02",0.025,1.268,0.514,0.237,0.247,0.032,0.184,0.315,1.192,3.295,0.687
"1973-03",0.226,4.485,1,0.265,0.753,0.104,0.359,0.029,0.951,3.323,1.326
"1973-04",2.045,4.392,0.679,0.329,0.798,0.17,0.967,0.178,1.685,6.669,1.666
"1973-05",2.005,2.174,1.022,0.886,0.916,0.091,1.631,1.194,5.161,12.83,1.895
"1973-06",2.473,1.322,0.666,0.747,1.774,0.056,2.261,1.298,3.048,8.64,2.154
"1973-07",2.31,1.122,0.421,0.822,1.548,0.183,2.759,1.566,3.601,5.732,1.965
"1973-08",2.932,2.094,0.32,1.114,2.135,0.299,3.744,0.297,1.719,4.622,2.358
"1973-09",2.952,3.255,0.199,0.218,1.721,0.079,3.332,0.019,1.686,7.549,2.257
"1973-10",3.315,5.754,0.653,0.097,1.017,0.071,1.245,4.588,2.904,7.781,1.711
"1973-11",1.467,7.973,0.642,0.186,0.694,0.026,0.825,3.609,11.809,13.046,1.614
"1973-12",0.714,5.869,0.701,0.09,0.186,0.327,0.258,1.924,4.539,6.043,1.315
"1974-01",0.034,2.914,0.214,0.128,0.207,0.001,0.536,1.625,2.765,5.353,0.75
"1974-02",0.169,2.78,0.7,0.098,0.516,0.09,0.717,1.779,5.252,5.582,1.062
"1974-03",0.289,4.603,1.063,0.261,0.708,0.078,0.814,0.294,6.645,7.402,1.627
"1974-04",1.721,6.212,0.867,0.491,1.189,0.058,1.021,0.182,6.025,6.196,1.831
"1974-05",3.408,2.69,1.413,0.838,1.539,0.255,1.275,0,0.803,7.746,2.082
"1974-06",4.075,2.202,1.3,0.675,1.614,0.398,2.89,0.199,0.915,4.889,2.379
"1974-07",3.176,1.736,0.341,0.735,2.765,0.096,3.933,1.326,2.838,7.803,2.434
"1974-08",3.437,2.205,0.224,0.914,3.131,0.223,5.853,2.977,4.761,10.466,2.845
"1974-09",2.94,3.058,0.217,0.971,2.641,0.088,5.899,0.43,3.508,4.529,2.886
"1974-10",1.728,5.732,0.451,0.482,1.155,0.047,2.208,1.141,4.205,5.053,2.109
"1974-11",0.308,5.605,0.566,0.115,0.979,0.003,2.102,1.883,6.698,4.538,1.732
"1974-12",0.459,4.602,0.326,0.124,0.059,0.007,0.623,2.337,8.228,4.839,1.251
"1975-01",0.074,2.165,0.203,0.028,0.316,0.007,1.026,0.229,7.553,4.891,1.004
"1975-02",0.005,1.857,0.318,0.056,0.158,0.005,1.557,0.704,9.081,7.786,1.045
"1975-03",0.03,4.092,0.29,0.156,0.331,0.001,0.789,0.156,4.121,3.523,1.263
"1975-04",0.455,4.024,0.933,0.33,0.454,0.015,0.356,0.394,2.351,4.402,1.544
"1975-05",1.83,2.414,0.35,0.622,0.423,0.08,1.292,0.356,3.02,8.222,1.829
"1975-06",2.924,2.137,0.312,0.749,2.25,0.086,5.033,3.395,5.097,9.828,2.598
"1975-07",3.415,2.374,0.229,0.534,3.726,0.149,6.443,2.603,5.421,11.21,2.998
"1975-08",3.309,3.156,0.185,0.917,3.375,0.139,6.21,1.298,3.139,7.314,2.991
"1975-09",3.467,3.762,0.309,0.742,2.309,0.212,5.32,0.518,3.572,5.395,2.887
"1975-10",1.617,5.465,0.207,0.43,1.344,0.07,2.428,1.001,6.295,5.616,2.025
"1975-11",0.152,5.483,0.194,0.049,0.864,0.004,2.163,1.957,10.318,6.594,1.654
"1975-12",0.257,4.584,0.4,0.08,0.059,0.016,0.762,2.878,11.718,6.014,1.16
"1976-01",0.132,4.038,0.268,0.086,0.671,0.011,0.893,0.65,6.633,4.784,1.06
"1976-02",0.239,2.2,0.467,0.13,0.111,0.017,0.39,2.272,8.702,6.459,0.804
"1976-03",0.602,5.403,0.776,0.433,0.691,0.044,0.54,1.013,2.572,3.03,1.412
"1976-04",1.69,5.793,1.471,0.405,1.25,0.069,0.775,0.207,3.136,5.101,2.02
"1976-05",2.686,3.089,0.953,0.804,1.227,0.088,1.737,0.146,3.895,7.805,2.116
"1976-06",3.139,1.93,0.632,0.483,2.297,0.104,4.606,2.864,4.057,8.052,2.629
"1976-07",3.33,1.546,0.373,1.282,2.575,0.085,4.03,1.177,4.579,9.044,2.447
"1976-08",3.173,2.212,0.159,0.959,2.713,0.166,5.819,1.576,3.905,7.464,2.818
"1976-09",2.979,3.909,0.19,0.255,2.421,0.123,5.644,0.185,6.131,7.375,2.651
"1976-10",2.139,6.737,0.275,0.663,0.9,0.019,2.535,3.818,3.631,4.334,2.219
"1976-11",0.944,6.215,0.419,0.135,0.533,0.061,1.07,1.303,5.976,5.234,1.67
"1976-12",0.103,4.81,0.374,0.039,1.54,0.034,1.986,1.022,7.888,5.236,1.437
"1977-01",0.065,1.792,0.353,0.089,0.09,0.004,0.226,1.679,8.106,9.341,0.787
"1977-02",0.188,3.075,0.238,0.071,0.351,0.004,0.942,1.234,2.971,3.226,0.827
"1977-03",0.603,5.899,1.208,0.479,1.021,0.035,0.309,0.156,0.675,2.91,1.477
"1977-04",1.645,4.837,1.354,0.611,1.023,0.032,0.323,0.099,5.99,6.954,1.754
"1977-05",3.399,2.668,0.887,0.795,1.188,0.316,1.313,0.554,1.755,8.844,2.144
"1977-06",2.332,1.935,0.538,0.393,1.597,0.063,3.407,3.663,5.931,12.488,2.146
"1977-07",2.863,2.12,0.34,0.878,2.622,0.094,4.446,2.354,5.123,9.238,2.584
"1977-08",3.212,2.579,0.232,1.014,2.465,0.118,4.664,1.53,4.239,5.996,2.737
"1977-09",3.501,3.696,0.12,0.67,1.415,0.104,2.908,0.336,3.823,8.552,2.412
"1977-10",3.26,5.588,0.103,0.244,0.983,0.037,2.538,4.563,6.006,10.542,1.917
"1977-11",1.698,7.452,0.542,0.226,0.279,0.264,0.522,2.895,7.945,8.859,1.608
"1977-12",0.767,4.011,0.3,0.053,0.266,0.024,0.423,4.287,13.137,10.899,1.123
"1978-01",0.066,2.042,0.164,0.083,0.395,0.006,0.811,2.311,5.513,5.665,0.823
"1978-02",0.048,1.924,0.333,0.075,0.333,0.004,0.223,0.415,1.711,2.999,0.614
"1978-03",0.086,4.25,0.207,0.148,0.406,0.002,1.199,0.377,6.546,6.526,1.231
"1978-04",1.095,5.007,0.429,0.425,0.903,0.006,1.192,1.006,2.525,4.45,1.881
"1978-05",2.905,3.433,0.389,0.602,0.997,0.048,1.681,0.398,2.083,7.117,2.038
"1978-06",2.357,1.923,0.241,0.351,1.841,0.044,4.92,2.86,4.757,15.112,2.49
"1978-07",3.425,1.997,0.303,0.649,3.163,0.267,6.322,3.227,5.469,8.13,2.831
"1978-08",3.413,3.094,0.215,0.528,2.786,0.198,5.296,1.496,3.554,8.949,2.787
"1978-09",2.987,4.632,0.168,0.619,2.064,0.131,6.016,0.466,3.226,6.446,2.961
"1978-10",1.95,5.61,0.178,0.57,1.493,0.001,3.155,1.029,7.063,8.509,2.292
"1978-11",0.462,5.649,0.157,0.067,1.05,0.047,3.377,3.838,12.026,7.679,1.876
"1978-12",0.492,4.09,0.614,0.115,0.217,0.031,0.773,2.094,9.051,7.907,1.238
"1979-01",0.08,4.672,0.161,0.079,0.22,0.007,0.706,1.758,5.737,4.924,1.071
"1979-02",0.174,3.832,0.096,0.074,1.032,0.006,0.618,1.123,7.032,4.482,1.069
"1979-03",0.286,5.188,0.449,0.145,1.146,0.002,0.932,0.826,6.593,6.073,1.425
"1979-04",1.716,5.481,0.386,0.519,0.786,0.017,1.015,0.462,4.746,4.333,1.87
"1979-05",2.403,2.664,0.445,0.972,1.197,0.038,1.832,1.065,3.708,7.479,2.211
"1979-06",2.248,1.945,0.393,0.707,2.184,0.036,4.868,2.805,3.04,9.614,2.392
"1979-07",2.699,1.186,0.314,0.496,2.307,0.221,6.45,1.569,2.223,7.179,2.593
"1979-08",3.237,2.65,0.221,0.945,3.173,0.171,6.371,0.588,3.114,7.271,3.03
"1979-09",2.904,3.375,0.231,0.397,1.809,0.091,4.949,0.709,4.279,5.451,2.656
"1979-10",2.4,5.936,0.27,0.267,1.229,0.087,3.983,2.277,6.275,5.78,2.33
"1979-11",0.993,7.249,0.237,0.1,1.044,0.038,1.763,4.876,11.637,9.281,1.807
"1979-12",0.33,4.138,0.256,0.064,0.769,0.01,2.218,3.358,6.034,5.411,1.479
"1980-01",0.106,2.428,0.478,0.106,0.059,0.022,0.193,1.453,7.099,2.987,0.958
"1980-02",0.088,3.542,0.28,0.103,0.729,0.007,1.416,1.421,9.971,9.248,1.155
"1980-03",0.177,4.132,0.818,0.17,0.855,0.009,1.094,1.713,11.626,10.428,1.575
"1980-04",1.001,3.987,0.946,0.524,0.775,0.041,0.731,0.143,4.38,5.611,1.587
"1980-05",1.681,2.293,0.581,0.656,1.06,0.072,3.233,1.33,8.596,13.797,2.19
"1980-06",2.55,1.327,0.603,0.924,2.381,0.044,3.985,2.651,4.495,6.672,2.524
"1980-07",3.057,1.757,0.411,0.885,3.231,0.086,4.61,2.322,4.484,8.204,2.583
"1980-08",3.046,2.069,0.236,0.603,2.814,0.123,5.24,2.224,3.993,8.238,2.709
"1980-09",2.712,1.887,0.288,0.505,2.64,0.146,4.399,0.811,4.309,5.748,2.265
"1980-10",1.879,4.808,0.478,0.508,1.593,0.008,3.428,1.005,6.864,5.261,2.182
"1980-11",0.903,4.877,0.219,0.076,0.642,0.037,1.923,2.802,4.299,3.505,1.542
"1980-12",0.139,4.568,0.2,0.052,0.06,0.017,0.722,2.778,6.675,4.447,1.033
"1981-01",0.049,3.569,0.715,0.045,0.181,0.006,0.179,0.226,4.079,3.244,0.939
"1981-02",0.07,3.069,0.305,0.083,0.352,0.013,1.698,1.559,11.871,11.154,1.264
"1981-03",0.217,4.875,0.632,0.379,0.54,0.01,0.568,0.573,5.865,4.701,1.501
"1981-04",2.313,4.492,0.561,0.803,1.164,0.035,1.049,1.117,6.466,6.37,1.786
"1981-05",2.27,1.955,0.691,0.463,0.709,0.075,0.88,1.27,5.177,8.564,1.834
"1981-06",2.071,1.986,0.37,0.624,1.028,0.04,2.231,2.258,3.565,8.369,1.908
"1981-07",2.911,1.668,0.358,0.942,2.198,0.121,4.42,2.307,3.486,7.767,2.396
"1981-08",3.184,2.075,0.238,0.749,3.409,0.207,5.181,3.184,5.086,8.406,2.777
"1981-09",2.778,2.738,0.111,0.228,2.383,0.118,4.164,0.593,3.457,5.677,2.281
"1981-10",2.727,5.542,0.418,0.23,1.026,0.133,1.801,4.046,9.619,9.142,1.798
"1981-11",1.197,7.053,1.417,0.271,0.347,0.088,0.722,4.374,5.754,10.913,1.839
"1981-12",0.432,4.264,0.624,0.238,0.508,0.085,0.266,1.167,4.042,5.468,1.098
"1982-01",0.12,2.741,0.841,0.16,0.378,0.08,0.461,0.62,3.593,4.514,0.92
"1982-02",0.264,3.64,0.519,0.154,0.402,0.093,0.367,0.152,0.808,2.981,0.945
"1982-03",0.536,6.613,1.424,0.314,1.134,0.072,0.47,0.062,0.646,3.208,1.606
"1982-04",2.212,7.825,0.856,0.607,0.607,0.226,0.307,0.589,3.566,5.429,1.971
"1982-05",3.274,3.18,1.1,1.23,0.8,0.128,1.686,2.502,6.383,14.893,2.25
"1982-06",3.534,2.239,0.476,0.593,1.727,0.049,3.568,5.026,5.745,12.048,2.441
"1982-07",3.395,1.793,0.401,0.746,2.467,0.201,5.748,4.742,5.511,13.07,2.957
"1982-08",3.409,2.901,0.138,1.065,3.702,0.085,5.586,2.812,5.507,7.632,2.994
"1982-09",3.072,4.943,0.131,1.015,1.45,0.073,3.593,1.019,3.656,6.552,2.459
"1982-10",2.521,6.155,0.196,0.332,0.754,0.006,2.273,1.743,6.864,6.961,2.021
"1982-11",2.156,6.662,0.437,0.147,0.389,0.139,1.212,4.745,5.817,6.121,1.672
"1982-12",0.21,3.594,0.42,0.083,0.947,0.026,1.232,2.539,6.296,8.125,1.185
"1983-01",0.2,2.73,0.377,0.055,0.249,0.194,0.12,1.821,2.809,5.043,0.796
"1983-02",0.111,2.97,0.456,0.139,0.138,0.017,0.022,0.116,1.085,3.609,0.739
"1983-03",0.048,4.058,0.465,0.234,0.381,0.014,0.466,0.112,3.338,4.146,1.268
"1983-04",0.599,5.462,0.384,0.496,0.873,0.002,0.976,0.395,3.543,4.877,1.682
"1983-05",2.46,2.255,0.665,0.556,1.402,0.035,1.242,0.151,4.242,10.157,1.752
"1983-06",1.972,1.969,0.4,0.721,1.098,0.02,2.784,2.722,6.97,17.136,2.017
"1983-07",3.276,2.177,0.481,1.668,2.546,0.177,4.477,2.654,4.297,8.392,2.678
"1983-08",3.145,2.917,0.28,0.922,2.916,0.075,4.459,2.235,5.723,8.846,2.655
"1983-09",3.34,3.643,0.231,0.596,1.694,0.076,3.366,1.291,4.872,8.197,2.526
"1983-10",1.969,5.777,0.183,0.368,0.606,0.007,1.492,0.64,11.03,8.757,2.084
"1983-11",0.92,6.812,0.151,0.069,0.799,0.013,2.579,3.412,7.84,6.1,1.827
"1983-12",0.701,3.959,0.288,0.07,0.388,0.004,0.38,3.455,5.895,6.249,0.971
"1984-01",0.217,2.42,0.315,0.055,0.143,0.007,0.234,1.571,4.041,4,0.838
"1984-02",0.033,2.614,0.072,0.092,0.455,0.008,1.663,0.807,5.142,4.455,0.99
"1984-03",0.087,2.627,0.278,0.183,0.825,0.008,1.002,1.267,7.816,6.778,1.173
"1984-04",0.89,3.751,0.559,0.796,0.583,0.126,0.691,0.198,6.819,6.415,1.466
"1984-05",3.058,2.32,0.956,0.837,1.826,0.122,2.142,2.126,4.174,10.066,2.222
"1984-06",2.738,1.901,0.623,0.372,1.114,0.067,2.876,3.063,4.509,7.989,2.01
"1984-07",2.824,1.577,0.235,0.634,3.039,0.132,4.911,1.817,3.977,7.614,2.613
"1984-08",3.384,2.472,0.346,0.961,3.72,0.223,6.229,1.57,4.141,7.379,3.05
"1984-09",3.721,3.938,0.366,0.482,2.626,0.117,4.461,0.757,3.803,4.206,2.781
"1984-10",2.089,6.02,0.262,0.133,1.448,0.008,1.924,4.209,9.59,8.249,1.886
"1984-11",1.268,6.403,0.698,0.142,0.447,0.349,0.96,2.83,8.125,6.749,1.677
"1984-12",0.217,2.608,0.224,0.062,0.816,0.004,2.306,2.406,7.785,8.514,1.252
"1985-01",0.09,1.438,0.407,0.114,0.179,0.048,0.335,2.053,6.258,6.692,0.682
"1985-02",0.021,2.98,0.632,0.105,0.641,0.008,0.251,0.339,1.892,3.653,0.801
"1985-03",0.221,4.682,0.271,0.156,0.469,0.029,0.672,0.175,3.64,4.692,1.357
"1985-04",1.813,3.336,0.808,0.606,1.318,0.033,0.948,0.984,4.755,6.998,1.579
"1985-05",3.29,2.747,0.984,0.637,1.123,0.195,1.651,0.645,1.111,7.106,1.944
"1985-06",2.666,2.14,0.811,0.627,1.181,0.12,2.829,0.976,1.913,16.949,2.076
"1985-07",3.301,1.483,0.262,0.443,3.442,0.08,5.192,3.929,5.364,10.511,2.634
"1985-08",3.28,2.114,0.228,1.097,2.826,0.2,5.231,2.324,4.462,8.454,2.642
"1985-09",3.651,4.181,0.119,0.422,2.378,0.071,4.443,0.619,3.681,9.707,2.49
"1985-10",2.956,6.642,0.389,0.468,0.974,0.136,1.049,2.659,5.244,10.444,1.74
"1985-11",1.461,7.44,0.441,0.076,0.726,0.088,0.505,5.9,9.674,11.267,1.491
"1985-12",0.261,5.316,0.402,0.087,0.66,0.011,0.322,2.099,6.502,6.616,1.094
"1986-01",0.117,3.569,0.306,0.056,0.142,0.011,0.216,0.393,4.301,4.082,0.89
"1986-02",0.018,1.277,0.357,0.101,0.351,0.011,0.464,0.343,1.598,3.191,0.707
"1986-03",0.19,2.838,0.851,0.223,0.263,0.007,0.227,0.202,1.458,2.571,1.148
"1986-04",1.141,5.581,0.578,0.56,0.939,0.006,1.027,0.172,2.178,5.474,1.715
"1986-05",2.836,2.963,1.088,0.573,1.626,0.1,1.84,0.455,4.365,8.622,2.109
"1986-06",2.739,2.301,0.673,0.79,0.935,0.054,2.132,1.734,3.151,9.645,2.079
"1986-07",3.352,2.023,0.306,0.957,2.109,0.08,4.545,3.432,6.138,11.551,2.506
